date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,national_newu_ILITOTAL,colorado_new_ILITOTAL,new_mexico_new_ILITOTAL,texas_new_ILITOTAL
7/6/19,8549,433,9986,354,88,328
7/13/19,8422,477,8549,387,104,254
7/20/19,8111,416,8422,399,100,281
7/27/19,7755,425,8111,338,86,317
8/3/19,7874,414,7755,374,91,281
8/10/19,8038,447,7874,361,79,253
8/17/19,8987,411,8038,457,110,198
8/24/19,10096,426,8987,550,173,298
8/31/19,11817,486,10096,793,165,450
9/7/19,13158,576,11817,773,213,451
9/14/19,14831,688,13158,917,180,544
9/21/19,15977,779,14831,918,175,386
9/28/19,17414,803,15977,879,191,521
10/5/19,21915,884,17414,870,211,640
10/12/19,22953,919,21915,957,260,759
10/19/19,24857,997,22953,979,338,768
10/26/19,27419,1128,24857,1007,383,987
11/2/19,28910,1115,27419,919,366,1124
11/9/19,34586,1174,28910,982,495,1501
11/16/19,37728,1366,34586,1112,612,1456
11/23/19,44148,1394,37728,1216,799,2114
11/30/19,43817,1254,44148,912,656,1783
12/7/19,48877,1384,43817,1465,956,1902
12/14/19,56444,1496,48877,1635,1227,2124
12/21/19,71584,1545,56444,1943,1621,2605
12/28/19,95757,1771,71584,2569,3084,2349
1/4/20,88681,1796,95757,2178,2520,2933
1/11/20,75585,1891,88681,2472,2463,3008
1/18/20,79746,1960,75585,2403,2513,3100
1/25/20,90072,2139,79746,2869,2367,3459
2/1/20,108307,2395,90072,3136,2163,3818
2/8/20,111289,2275,108307,2903,1771,3100
2/15/20,95418,2308,111289,2373,1449,3098
2/22/20,79832,2040,95418,2086,1310,2902
2/29/20,74809,2194,79832,2046,1099,2458
3/7/20,78779,2210,74809,2238,1262,2415
3/14/20,89571,3425,78779,2793,1406,1792
3/21/20,78584,4257,89571,1504,1144,1921
3/28/20,53142,3195,78584,656,663,730
4/4/20,36251,1712,53142,472,393,401
4/11/20,24974,828,36251,325,272,344
4/18/20,18265,621,24974,217,253,232
4/25/20,15164,480,18265,192,204,216
5/2/20,12817,363,15164,128,171,128
5/9/20,11066,315,12817,107,190,166
5/16/20,10480,324,11066,126,174,153
5/23/20,11735,405,10480,105,136,152
5/30/20,9614,310,11735,100,111,141
6/6/20,9325,314,9614,63,79,188
6/13/20,9580,344,9325,71,106,178
6/20/20,11866,280,9580,74,85,267
6/27/20,15499,297,11866,87,123,348
7/4/20,17843,340,15499,96,149,185
7/11/20,20046,370,17843,125,147,339
7/18/20,19260,333,20046,125,154,300
7/25/20,16533,394,19260,123,144,279
8/1/20,15524,323,16533,113,117,192
8/8/20,14117,345,15524,114,132,225
8/15/20,13193,380,14117,145,128,180
8/22/20,12952,329,13193,145,128,89
8/29/20,13159,341,12952,135,113,70
9/5/20,12316,393,13159,136,130,81
9/12/20,13035,404,12316,157,120,177
9/19/20,13049,474,13035,231,145,106
9/26/20,14586,520,13049,254,179,505
10/3/20,16466,677,14586,226,168,565
10/10/20,19144,653,16466,342,231,751
10/17/20,17235,635,19144,297,299,745
10/24/20,18133,683,17235,326,334,614
10/31/20,18554,716,18133,409,345,720
11/7/20,21370,782,18554,410,404,905
11/14/20,22598,933,21370,369,426,1038
11/21/20,22709,928,22598,351,498,936
11/28/20,21313,973,22709,201,344,801
12/5/20,22251,1124,21313,240,317,794
12/12/20,22103,1234,22251,216,657,834
12/19/20,20874,994,22103,177,527,638
12/26/20,19836,977,20874,142,504,722
1/2/21,22423,1107,19836,131,299,739
1/9/21,22711,1152,22423,178,297,872
1/9/21,22711,1152,22711,178,297,872
1/16/21,19018,1043,19018,158,252,539
1/23/21,18350,1035,18350,192,255,766
1/30/21,16896,979,16896,230,221,594
2/6/21,16098,998,16098,225,172,1196
2/13/21,14079,800,14079,245,198,183
2/20/21,12591,773,12591,242,187,44
2/27/21,13344,1009,13344,238,177,450
3/6/21,13000,1051,13000,207,156,391
3/13/21,14077,877,14077,269,219,348
3/20/21,14574,1518,14574,190,198,459
3/27/21,15354,1449,15354,205,179,433
4/3/21,15993,1975,15993,252,205,546
4/10/21,18100,994,18100,313,247,753
4/17/21,19165,1083,19165,333,230,735
4/24/21,19305,978,19305,376,229,657
5/1/21,20099,962,20099,412,311,776
5/8/21,19930,954,19930,388,241,740
5/15/21,20367,827,20367,428,213,813
5/22/21,21262,904,21262,412,193,799
5/29/21,19675,848,19675,400,221,718
6/5/21,20143,880,20143,391,250,759
6/12/21,19182,873,19182,404,252,685
6/19/21,19579,1126,19579,403,222,785
6/26/21,19890,1032,19890,421,208,806
7/3/21,20092,825,20092,443,222,734
7/10/21,22371,821,22371,370,262,935
7/17/21,25261,839,25261,452,258,1043
7/24/21,30545,994,30545,488,389,1254
7/31/21,35195,1062,35195,490,389,1410
8/7/21,37756,1014,37756,421,488,1441
8/14/21,40067,1057,40067,509,609,1536
8/21/21,42721,1111,42721,635,725,1479
8/28/21,43058,1198,43058,858,847,1864
9/4/21,40864,1197,40864,991,743,1773
9/11/21,39421,1286,39421,872,616,1402
9/18/21,36193,1444,36193,870,473,1387
9/25/21,33976,1417,33976,794,496,1163
10/2/21,29949,1520,29949,851,541,1123
10/9/21,39535,1684,39535,1012,559,1314
10/16/21,37638,1653,37638,1021,558,1157
10/23/21,35714,1863,35714,917,634,1150
10/30/21,36639,1227,36639,945,665,1089
11/6/21,40030,1615,40030,1056,842,1290
11/13/21,44163,1655,44163,1112,958,1342
11/20/21,47076,2284,47076,1123,887,1811
11/27/21,43324,2293,43324,887,865,1404
12/4/21,52729,2389,52729,1120,1205,1331
12/11/21,55069,3037,55069,1134,962,1656
12/18/21,62545,3668,62545,1226,912,1833
12/25/21,79225,4234,79225,1224,967,1801
1/1/22,113862,4137,113862,1636,1396,3378
1/8/22,93262,3213,93262,1535,1843,3882
1/15/22,69183,2996,69183,1088,1723,3413
1/22/22,48498,2266,48498,862,1311,2491
1/29/22,34810,2053,34810,622,947,1611
2/5/22,25831,1729,25831,500,547,1023
2/12/22,23731,1570,23731,459,414,1001
2/19/22,23946,1536,23946,539,251,1217
2/26/22,23609,1680,23609,580,399,1199
