date,ILITOTAL,OT
2010-10-04 00:00:00,15,1714
2010-10-11 00:00:00,19,1684
2010-10-18 00:00:00,11,1877
2010-10-25 00:00:00,18,1860
2010-11-01 00:00:00,13,1901
2010-11-08 00:00:00,19,1996
2010-11-15 00:00:00,18,1870
2010-11-22 00:00:00,10,1533
2010-11-29 00:00:00,8,1740
2010-12-06 00:00:00,14,1755
2010-12-13 00:00:00,21,1989
2010-12-20 00:00:00,15,1760
2010-12-27 00:00:00,21,1857
2011-01-08 00:00:00,12,2025
2011-01-10 00:00:00,28,1889
2011-01-17 00:00:00,36,2158
2011-01-24 00:00:00,33,2355
2011-01-31 00:00:00,49,1332
2011-02-07 00:00:00,41,2093
2011-02-14 00:00:00,69,1557
2011-02-21 00:00:00,65,2215
2011-02-28 00:00:00,116,2377
2011-03-07 00:00:00,87,2462
2011-03-14 00:00:00,62,2307
2011-03-21 00:00:00,48,1587
2011-03-28 00:00:00,51,2379
2011-04-04 00:00:00,49,2219
2011-04-11 00:00:00,31,2271
2011-04-18 00:00:00,31,2195
2011-04-25 00:00:00,17,1990
2011-05-02 00:00:00,17,2130
2011-05-09 00:00:00,7,1946
2011-05-16 00:00:00,6,1959
2011-05-23 00:00:00,14,1953
2011-05-30 00:00:00,7,1910
2011-06-06 00:00:00,11,1828
2011-06-13 00:00:00,10,1810
2011-06-20 00:00:00,14,1832
2011-06-27 00:00:00,10,1788
2011-07-04 00:00:00,9,1797
2011-07-11 00:00:00,12,1794
2011-07-18 00:00:00,6,1890
2011-07-25 00:00:00,8,1948
2011-08-01 00:00:00,7,1895
2011-08-08 00:00:00,9,1841
2011-08-15 00:00:00,6,1859
2011-08-22 00:00:00,3,1817
2011-08-29 00:00:00,17,1860
2011-09-05 00:00:00,16,1850
2011-09-12 00:00:00,19,1934
2011-09-19 00:00:00,24,1956
2011-09-26 00:00:00,29,2384
2011-10-03 00:00:00,58,3517
2011-10-10 00:00:00,38,2527
2011-10-17 00:00:00,32,3207
2011-10-24 00:00:00,30,3448
2011-10-31 00:00:00,11,1483
2011-11-07 00:00:00,25,2129
2011-11-14 00:00:00,9,1764
2011-11-21 00:00:00,10,1728
2011-11-28 00:00:00,20,2087
2011-12-05 00:00:00,15,2133
2011-12-12 00:00:00,11,1948
2011-12-19 00:00:00,10,1936
2011-12-26 00:00:00,12,1812
2012-01-08 00:00:00,13,1867
2012-01-09 00:00:00,9,1775
2012-01-16 00:00:00,14,1833
2012-01-23 00:00:00,28,1871
2012-01-30 00:00:00,11,1312
2012-02-06 00:00:00,13,2111
2012-02-13 00:00:00,8,2218
2012-02-20 00:00:00,10,2146
2012-02-27 00:00:00,19,2249
2012-03-05 00:00:00,13,2041
2012-03-12 00:00:00,25,1878
2012-03-19 00:00:00,23,2025
2012-03-26 00:00:00,18,1955
2012-04-02 00:00:00,37,2204
2012-04-09 00:00:00,54,2327
2012-04-16 00:00:00,51,2328
2012-04-23 00:00:00,45,2458
2012-04-30 00:00:00,41,2203
2012-05-07 00:00:00,35,2370
2012-05-14 00:00:00,22,2111
2012-05-21 00:00:00,17,2256
2012-05-28 00:00:00,11,2104
2012-06-04 00:00:00,5,1803
2012-06-11 00:00:00,6,1767
2012-06-18 00:00:00,5,1865
2012-06-25 00:00:00,8,1869
2012-07-02 00:00:00,7,1840
2012-07-09 00:00:00,6,1836
2012-07-16 00:00:00,6,1972
2012-07-23 00:00:00,6,2052
2012-07-30 00:00:00,5,1902
2012-08-06 00:00:00,5,1838
2012-08-13 00:00:00,2,2040
2012-08-20 00:00:00,3,2003
2012-08-27 00:00:00,3,1993
2012-09-03 00:00:00,12,1962
2012-09-10 00:00:00,13,2068
2012-09-17 00:00:00,4,1745
2012-09-24 00:00:00,7,1232
2012-10-01 00:00:00,27,2252
2012-10-08 00:00:00,17,2007
2012-10-15 00:00:00,23,2332
2012-10-22 00:00:00,27,2298
2012-10-29 00:00:00,31,2254
2012-11-05 00:00:00,25,1880
2012-11-12 00:00:00,21,2025
2012-11-19 00:00:00,38,2280
2012-11-26 00:00:00,35,2296
2012-12-03 00:00:00,32,2134
2012-12-10 00:00:00,62,2200
2012-12-17 00:00:00,46,2075
2012-12-24 00:00:00,81,1986
2013-01-08 00:00:00,46,2124
2013-01-14 00:00:00,49,2164
2013-01-21 00:00:00,56,2211
2013-01-28 00:00:00,18,1837
2013-02-04 00:00:00,55,2221
2013-02-11 00:00:00,36,2297
2013-02-18 00:00:00,23,2193
2013-02-25 00:00:00,21,2339
2013-03-04 00:00:00,24,2331
2013-03-11 00:00:00,14,2417
2013-03-18 00:00:00,14,1238
2013-03-25 00:00:00,12,1184
2013-04-01 00:00:00,14,1528
2013-04-08 00:00:00,5,1498
2013-04-15 00:00:00,11,1539
2013-04-22 00:00:00,22,1672
2013-04-29 00:00:00,12,1525
2013-05-06 00:00:00,5,584
2013-05-13 00:00:00,2,1156
2013-05-20 00:00:00,7,617
2013-05-27 00:00:00,11,1833
2013-06-03 00:00:00,3,1836
2013-06-10 00:00:00,3,1695
2013-06-17 00:00:00,2,1615
2013-06-24 00:00:00,1,1769
2013-07-01 00:00:00,0,1221
2013-07-08 00:00:00,0,1196
2013-07-15 00:00:00,3,1357
2013-07-22 00:00:00,4,1884
2013-07-29 00:00:00,3,1834
2013-08-05 00:00:00,1,1918
2013-08-12 00:00:00,6,1661
2013-08-19 00:00:00,5,1789
2013-08-26 00:00:00,3,1662
2013-09-02 00:00:00,4,1704
2013-09-09 00:00:00,5,1353
2013-09-16 00:00:00,9,1479
2013-09-23 00:00:00,15,1677
2013-09-30 00:00:00,9,1740
2013-10-07 00:00:00,13,2084
2013-10-14 00:00:00,15,1788
2013-10-21 00:00:00,14,2136
2013-10-28 00:00:00,14,2185
2013-11-04 00:00:00,10,2185
2013-11-11 00:00:00,13,2308
2013-11-18 00:00:00,9,2097
2013-11-25 00:00:00,9,2046
2013-12-02 00:00:00,6,1866
2013-12-09 00:00:00,11,1867
2013-12-16 00:00:00,25,1810
2013-12-23 00:00:00,62,1920
2013-12-30 00:00:00,104,1959
2014-01-08 00:00:00,78,1986
2014-01-13 00:00:00,76,2229
2014-01-20 00:00:00,48,1925
2014-01-27 00:00:00,39,2107
2014-02-03 00:00:00,42,2250
2014-02-10 00:00:00,33,2050
2014-02-17 00:00:00,33,1924
2014-02-24 00:00:00,12,1807
2014-03-03 00:00:00,20,2374
2014-03-10 00:00:00,22,2334
2014-03-17 00:00:00,6,1327
2014-03-24 00:00:00,17,2297
2014-03-31 00:00:00,19,2060
2014-04-07 00:00:00,19,2188
2014-04-14 00:00:00,13,1981
2014-04-21 00:00:00,18,2122
2014-04-28 00:00:00,17,2312
2014-05-05 00:00:00,13,2311
2014-05-12 00:00:00,20,2330
2014-05-19 00:00:00,3,1173
2014-05-26 00:00:00,11,1098
2014-06-02 00:00:00,5,1045
2014-06-09 00:00:00,9,540
2014-06-16 00:00:00,1,642
2014-06-23 00:00:00,2,575
2014-06-30 00:00:00,0,583
2014-07-07 00:00:00,1,395
2014-07-14 00:00:00,0,579
2014-07-21 00:00:00,4,564
2014-07-28 00:00:00,0,43
2014-08-04 00:00:00,1,650
2014-08-11 00:00:00,0,764
2014-08-18 00:00:00,0,678
2014-08-25 00:00:00,3,678
2014-09-01 00:00:00,0,699
2014-09-08 00:00:00,0,693
2014-09-15 00:00:00,0,700
2014-09-22 00:00:00,0,739
2014-09-29 00:00:00,4,699
2014-10-06 00:00:00,5,1143
2014-10-13 00:00:00,6,1453
2014-10-20 00:00:00,4,1097
2014-10-27 00:00:00,22,1423
2014-11-03 00:00:00,21,1162
2014-11-10 00:00:00,37,1188
2014-11-17 00:00:00,42,1334
2014-11-24 00:00:00,41,1400
2014-12-01 00:00:00,26,1084
2014-12-08 00:00:00,30,1412
2014-12-15 00:00:00,23,1383
2014-12-22 00:00:00,26,987
2014-12-29 00:00:00,22,938
2015-01-05 00:00:00,23,972
2015-01-08 00:00:00,11,1128
2015-01-12 00:00:00,11,1066
2015-01-19 00:00:00,30,1433
2015-01-26 00:00:00,13,1372
2015-02-02 00:00:00,15,1512
2015-02-09 00:00:00,18,1400
2015-02-16 00:00:00,2,1091
2015-02-23 00:00:00,6,1147
2015-03-02 00:00:00,6,1112
2015-03-09 00:00:00,6,1107
2015-03-16 00:00:00,0,1271
2015-03-23 00:00:00,2,1053
2015-03-30 00:00:00,5,1112
2015-04-06 00:00:00,0,1176
2015-04-13 00:00:00,4,1275
2015-04-20 00:00:00,4,919
2015-04-27 00:00:00,0,670
2015-05-04 00:00:00,0,771
2015-05-11 00:00:00,4,680
2015-05-18 00:00:00,8,754
2015-05-25 00:00:00,12,857
2015-06-01 00:00:00,2,408
2015-06-08 00:00:00,0,435
2015-06-15 00:00:00,13,802
2015-06-22 00:00:00,21,919
2015-06-29 00:00:00,15,890
2015-07-06 00:00:00,13,822
2015-07-13 00:00:00,7,1058
2015-07-20 00:00:00,7,1058
2015-07-27 00:00:00,7,1027
2015-08-03 00:00:00,4,925
2015-08-10 00:00:00,8,963
2015-08-17 00:00:00,6,1118
2015-08-24 00:00:00,2,403
2015-08-31 00:00:00,10,854
2015-09-07 00:00:00,21,1065
2015-09-14 00:00:00,11,1011
2015-09-21 00:00:00,8,796
2015-09-28 00:00:00,4,791
2015-10-05 00:00:00,10,1594
2015-10-12 00:00:00,20,1705
2015-10-19 00:00:00,17,1730
2015-10-26 00:00:00,9,1693
2015-11-02 00:00:00,10,1055
2015-11-09 00:00:00,11,981
2015-11-16 00:00:00,7,978
2015-11-23 00:00:00,6,832
2015-11-30 00:00:00,13,984
2015-12-07 00:00:00,6,1006
2015-12-14 00:00:00,2,884
2015-12-21 00:00:00,3,710
2015-12-28 00:00:00,3,841
2016-01-08 00:00:00,5,845
2016-01-11 00:00:00,3,901
2016-01-18 00:00:00,4,924
2016-01-25 00:00:00,7,974
2016-02-01 00:00:00,10,1663
2016-02-08 00:00:00,20,1667
2016-02-15 00:00:00,28,1649
2016-02-22 00:00:00,34,1705
2016-02-29 00:00:00,34,1764
2016-03-07 00:00:00,64,1880
2016-03-14 00:00:00,98,1709
2016-03-21 00:00:00,81,1949
2016-03-28 00:00:00,85,1922
2016-04-04 00:00:00,62,1682
2016-04-11 00:00:00,36,1294
2016-04-18 00:00:00,54,1518
2016-04-25 00:00:00,33,1474
2016-05-02 00:00:00,32,1565
2016-05-09 00:00:00,14,1353
2016-05-16 00:00:00,40,1177
2016-05-23 00:00:00,8,1469
2016-05-30 00:00:00,6,1095
2016-06-06 00:00:00,5,1145
2016-06-13 00:00:00,6,1064
2016-06-20 00:00:00,3,1462
2016-06-27 00:00:00,2,1072
2016-07-04 00:00:00,7,1344
2016-07-11 00:00:00,3,1152
2016-07-18 00:00:00,3,1189
2016-07-25 00:00:00,6,1170
2016-08-01 00:00:00,7,1193
2016-08-08 00:00:00,7,1213
2016-08-15 00:00:00,8,1556
2016-08-22 00:00:00,8,1250
2016-08-29 00:00:00,8,642
2016-09-05 00:00:00,15,1541
2016-09-12 00:00:00,14,1525
2016-09-19 00:00:00,13,1122
2016-09-26 00:00:00,14,1122
2016-10-03 00:00:00,14,1489
2016-10-10 00:00:00,18,1556
2016-10-17 00:00:00,7,1395
2016-10-24 00:00:00,12,1470
2016-10-31 00:00:00,8,1499
2016-11-07 00:00:00,13,1620
2016-11-14 00:00:00,18,1605
2016-11-21 00:00:00,13,1299
2016-11-28 00:00:00,17,1533
2016-12-05 00:00:00,10,1421
2016-12-12 00:00:00,10,1462
2016-12-19 00:00:00,19,1488
2016-12-26 00:00:00,17,1061
2017-01-08 00:00:00,13,1526
2017-01-09 00:00:00,40,1526
2017-01-16 00:00:00,29,1475
2017-01-23 00:00:00,31,1617
2017-01-30 00:00:00,36,1571
2017-02-06 00:00:00,60,1615
2017-02-13 00:00:00,71,1656
2017-02-20 00:00:00,59,1568
2017-02-27 00:00:00,56,1589
2017-03-06 00:00:00,29,1666
2017-03-13 00:00:00,40,1695
2017-03-20 00:00:00,45,1786
2017-03-27 00:00:00,77,1790
2017-04-03 00:00:00,61,1581
2017-04-10 00:00:00,48,1477
2017-04-17 00:00:00,27,1118
2017-04-24 00:00:00,25,1488
2017-05-01 00:00:00,41,1490
2017-05-08 00:00:00,19,1394
2017-05-15 00:00:00,17,1463
2017-05-22 00:00:00,12,1466
2017-05-29 00:00:00,11,1424
2017-06-05 00:00:00,14,1419
2017-06-12 00:00:00,7,1459
2017-06-19 00:00:00,19,1069
2017-06-26 00:00:00,5,1150
2017-07-03 00:00:00,5,1036
2017-07-10 00:00:00,8,1152
2017-07-17 00:00:00,0,1153
2017-07-24 00:00:00,0,1227
2017-07-31 00:00:00,11,1111
2017-08-07 00:00:00,10,1457
2017-08-14 00:00:00,7,1424
2017-08-21 00:00:00,11,1464
2017-08-28 00:00:00,15,1445
2017-09-04 00:00:00,23,1437
2017-09-11 00:00:00,28,1456
2017-09-18 00:00:00,29,1427
2017-09-25 00:00:00,24,1358
2017-10-02 00:00:00,141,5171
2017-10-09 00:00:00,139,5064
2017-10-16 00:00:00,183,4914
2017-10-23 00:00:00,160,4872
2017-10-30 00:00:00,137,4951
2017-11-06 00:00:00,149,5016
2017-11-13 00:00:00,162,4747
2017-11-20 00:00:00,156,4521
2017-11-27 00:00:00,181,4881
2017-12-04 00:00:00,192,4611
2017-12-11 00:00:00,204,5241
2017-12-18 00:00:00,208,5068
2017-12-25 00:00:00,231,5000
2018-01-08 00:00:00,222,5122
2018-01-15 00:00:00,208,4692
2018-01-22 00:00:00,199,4980
2018-01-29 00:00:00,233,4796
2018-02-05 00:00:00,303,4971
2018-02-12 00:00:00,329,5480
2018-02-19 00:00:00,385,5506
2018-02-26 00:00:00,344,5475
2018-03-05 00:00:00,399,5597
2018-03-12 00:00:00,436,5729
2018-03-19 00:00:00,365,5570
2018-03-26 00:00:00,342,5485
2018-04-02 00:00:00,322,5017
2018-04-09 00:00:00,328,4961
2018-04-16 00:00:00,234,4510
2018-04-23 00:00:00,231,4501
2018-04-30 00:00:00,164,4087
2018-05-07 00:00:00,135,4190
2018-05-14 00:00:00,137,4336
2018-05-21 00:00:00,113,4346
2018-05-28 00:00:00,104,3985
2018-06-04 00:00:00,75,4008
2018-06-11 00:00:00,70,3976
2018-06-18 00:00:00,36,3988
2018-06-25 00:00:00,58,4266
2018-07-02 00:00:00,84,4382
2018-07-09 00:00:00,81,4708
2018-07-16 00:00:00,79,4373
2018-07-23 00:00:00,63,4267
2018-07-30 00:00:00,60,4490
2018-08-06 00:00:00,63,4363
2018-08-13 00:00:00,64,4300
2018-08-20 00:00:00,75,3987
2018-08-27 00:00:00,60,2861
2018-09-03 00:00:00,114,4012
2018-09-10 00:00:00,121,4178
2018-09-17 00:00:00,100,3939
2018-09-24 00:00:00,85,3934
2018-10-01 00:00:00,126,3945
2018-10-08 00:00:00,79,3952
2018-10-15 00:00:00,109,4560
2018-10-22 00:00:00,100,4405
2018-10-29 00:00:00,38,3782
2018-11-05 00:00:00,95,3882
2018-11-12 00:00:00,101,4895
2018-11-19 00:00:00,114,4450
2018-11-26 00:00:00,121,4604
2018-12-03 00:00:00,116,5014
2018-12-10 00:00:00,114,4721
2018-12-17 00:00:00,134,4853
2018-12-24 00:00:00,143,4842
2018-12-31 00:00:00,128,4411
2019-01-08 00:00:00,137,4454
2019-01-14 00:00:00,126,4891
2019-01-21 00:00:00,191,5260
2019-01-28 00:00:00,329,5185
2019-02-04 00:00:00,389,5165
2019-02-11 00:00:00,524,5392
2019-02-18 00:00:00,548,5785
2019-02-25 00:00:00,419,5220
2019-03-04 00:00:00,335,4876
2019-03-11 00:00:00,312,4782
2019-03-18 00:00:00,290,5252
2019-03-25 00:00:00,111,3988
2019-04-01 00:00:00,38,3139
2019-04-08 00:00:00,81,3782
2019-04-15 00:00:00,66,3386
2019-04-22 00:00:00,141,3830
2019-04-29 00:00:00,141,3823
2019-05-06 00:00:00,150,4196
2019-05-13 00:00:00,109,3807
2019-05-20 00:00:00,110,3846
2019-05-27 00:00:00,59,4100
2019-06-03 00:00:00,159,4243
2019-06-10 00:00:00,26,4039
2019-06-17 00:00:00,42,4015
2019-06-24 00:00:00,53,3831
2019-07-01 00:00:00,58,4453
2019-07-08 00:00:00,70,4434
2019-07-15 00:00:00,64,4669
2019-07-22 00:00:00,52,4370
2019-07-29 00:00:00,68,4329
2019-08-05 00:00:00,91,5218
2019-08-12 00:00:00,55,5203
2019-08-19 00:00:00,77,5226
2019-08-26 00:00:00,64,5334
2019-09-02 00:00:00,127,5382
2019-09-09 00:00:00,146,5550
2019-09-16 00:00:00,145,5496
2019-09-23 00:00:00,117,5328
2019-09-30 00:00:00,16,1602
2019-10-07 00:00:00,53,5071
2019-10-14 00:00:00,123,5274
2019-10-21 00:00:00,80,5264
2019-10-28 00:00:00,72,5044
2019-11-04 00:00:00,73,4823
2019-11-11 00:00:00,115,4784
2019-11-18 00:00:00,115,4123
2019-11-25 00:00:00,97,4821
2019-12-02 00:00:00,103,4585
2019-12-09 00:00:00,115,4697
2019-12-16 00:00:00,161,5210
2019-12-23 00:00:00,467,5568
2019-12-30 00:00:00,631,5383
2020-01-08 00:00:00,235,5127
2020-01-13 00:00:00,202,4462
2020-01-20 00:00:00,214,4837
2020-01-27 00:00:00,249,4982
2020-02-03 00:00:00,228,5134
2020-02-10 00:00:00,195,5321
2020-02-17 00:00:00,182,5226
2020-02-24 00:00:00,309,3115
2020-03-02 00:00:00,180,4289
2020-03-09 00:00:00,159,4294
2020-03-16 00:00:00,128,4203
2020-03-23 00:00:00,141,3745
2020-03-30 00:00:00,69,2758
2020-04-06 00:00:00,19,2116
2020-04-13 00:00:00,74,2104
2020-04-20 00:00:00,26,1967
2020-04-27 00:00:00,23,2067
2020-05-04 00:00:00,19,2446
2020-05-11 00:00:00,21,2579
2020-05-18 00:00:00,31,2855
2020-05-25 00:00:00,14,2964
2020-06-01 00:00:00,28,3059
2020-06-08 00:00:00,18,2896
2020-06-15 00:00:00,20,2942
2020-06-22 00:00:00,16,2993
2020-06-29 00:00:00,11,3013
2020-07-06 00:00:00,18,3109
2020-07-13 00:00:00,15,3448
2020-07-20 00:00:00,24,3083
2020-07-27 00:00:00,6,568
2020-08-03 00:00:00,1,535
2020-08-10 00:00:00,1,496
2020-08-17 00:00:00,1,511
2020-08-24 00:00:00,5,472
2020-08-31 00:00:00,2,472
2020-09-07 00:00:00,2,476
2020-09-14 00:00:00,4,470
2020-09-21 00:00:00,4,499
2020-09-28 00:00:00,3,470
2020-10-05 00:00:00,54,3059
2020-10-12 00:00:00,24,3305
2020-10-19 00:00:00,27,3244
2020-10-26 00:00:00,30,3074
2020-11-02 00:00:00,25,2910
2020-11-09 00:00:00,28,2947
2020-11-16 00:00:00,37,3212
2020-11-23 00:00:00,34,2924
2020-11-30 00:00:00,30,2663
