date,ILITOTAL,OT
2010-10-04 00:00:00,249,11664
2010-10-11 00:00:00,239,11602
2010-10-18 00:00:00,232,11945
2010-10-25 00:00:00,274,12036
2010-11-01 00:00:00,342,12069
2010-11-08 00:00:00,419,12102
2010-11-15 00:00:00,434,12286
2010-11-22 00:00:00,360,8418
2010-11-29 00:00:00,467,10517
2010-12-06 00:00:00,656,11289
2010-12-13 00:00:00,1245,11930
2010-12-20 00:00:00,1297,9910
2010-12-27 00:00:00,1274,10927
2011-01-08 00:00:00,1191,12231
2011-01-10 00:00:00,1195,10005
2011-01-17 00:00:00,1624,12391
2011-01-24 00:00:00,1938,13150
2011-01-31 00:00:00,1504,11938
2011-02-07 00:00:00,1586,13782
2011-02-14 00:00:00,1450,12114
2011-02-21 00:00:00,1200,12407
2011-02-28 00:00:00,737,10835
2011-03-07 00:00:00,593,10179
2011-03-14 00:00:00,390,9639
2011-03-21 00:00:00,334,9714
2011-03-28 00:00:00,291,9169
2011-04-04 00:00:00,252,9175
2011-04-11 00:00:00,189,7063
2011-04-18 00:00:00,194,7007
2011-04-25 00:00:00,207,6305
2011-05-02 00:00:00,198,6590
2011-05-09 00:00:00,180,6802
2011-05-16 00:00:00,161,6533
2011-05-23 00:00:00,167,6121
2011-05-30 00:00:00,134,5265
2011-06-06 00:00:00,144,6027
2011-06-13 00:00:00,149,5916
2011-06-20 00:00:00,96,5352
2011-06-27 00:00:00,112,4745
2011-07-04 00:00:00,88,4777
2011-07-11 00:00:00,109,5790
2011-07-18 00:00:00,74,5434
2011-07-25 00:00:00,77,5868
2011-08-01 00:00:00,14,4115
2011-08-08 00:00:00,111,6194
2011-08-15 00:00:00,130,6006
2011-08-22 00:00:00,142,6164
2011-08-29 00:00:00,145,6185
2011-09-05 00:00:00,181,5249
2011-09-12 00:00:00,224,6293
2011-09-19 00:00:00,234,6908
2011-09-26 00:00:00,229,6610
2011-10-03 00:00:00,267,10702
2011-10-10 00:00:00,317,11209
2011-10-17 00:00:00,315,9196
2011-10-24 00:00:00,387,10094
2011-10-31 00:00:00,362,9541
2011-11-07 00:00:00,396,9445
2011-11-14 00:00:00,286,8711
2011-11-21 00:00:00,337,7912
2011-11-28 00:00:00,318,9571
2011-12-05 00:00:00,387,8501
2011-12-12 00:00:00,425,8755
2011-12-19 00:00:00,394,7255
2011-12-26 00:00:00,416,7170
2012-01-08 00:00:00,389,8437
2012-01-09 00:00:00,449,9157
2012-01-16 00:00:00,545,9411
2012-01-23 00:00:00,606,9677
2012-01-30 00:00:00,650,9862
2012-02-06 00:00:00,697,10838
2012-02-13 00:00:00,726,10755
2012-02-20 00:00:00,654,10768
2012-02-27 00:00:00,577,9239
2012-03-05 00:00:00,574,9175
2012-03-12 00:00:00,552,9281
2012-03-19 00:00:00,366,7976
2012-03-26 00:00:00,334,7530
2012-04-02 00:00:00,316,8117
2012-04-09 00:00:00,297,7913
2012-04-16 00:00:00,351,8082
2012-04-23 00:00:00,350,7876
2012-04-30 00:00:00,341,7186
2012-05-07 00:00:00,331,7751
2012-05-14 00:00:00,357,6845
2012-05-21 00:00:00,250,6511
2012-05-28 00:00:00,257,6136
2012-06-04 00:00:00,244,5345
2012-06-11 00:00:00,207,5680
2012-06-18 00:00:00,44,4159
2012-06-25 00:00:00,199,5510
2012-07-02 00:00:00,177,4892
2012-07-09 00:00:00,186,5427
2012-07-16 00:00:00,160,5289
2012-07-23 00:00:00,166,5190
2012-07-30 00:00:00,174,5227
2012-08-06 00:00:00,153,5677
2012-08-13 00:00:00,197,5829
2012-08-20 00:00:00,216,5281
2012-08-27 00:00:00,286,5884
2012-09-03 00:00:00,274,5611
2012-09-10 00:00:00,277,5292
2012-09-17 00:00:00,268,6006
2012-09-24 00:00:00,312,6304
2012-10-01 00:00:00,238,15930
2012-10-08 00:00:00,288,14485
2012-10-15 00:00:00,265,15510
2012-10-22 00:00:00,261,16688
2012-10-29 00:00:00,275,16058
2012-11-05 00:00:00,335,15832
2012-11-12 00:00:00,482,16052
2012-11-19 00:00:00,647,12345
2012-11-26 00:00:00,916,17296
2012-12-03 00:00:00,1480,16887
2012-12-10 00:00:00,1595,16322
2012-12-17 00:00:00,1508,14596
2012-12-24 00:00:00,1263,10423
2013-01-08 00:00:00,867,11317
2013-01-14 00:00:00,1074,14482
2013-01-21 00:00:00,799,13523
2013-01-28 00:00:00,593,12449
2013-02-04 00:00:00,597,13363
2013-02-11 00:00:00,511,13234
2013-02-18 00:00:00,531,12862
2013-02-25 00:00:00,393,12849
2013-03-04 00:00:00,408,12013
2013-03-11 00:00:00,398,12458
2013-03-18 00:00:00,397,11909
2013-03-25 00:00:00,427,10964
2013-04-01 00:00:00,229,10982
2013-04-08 00:00:00,225,11791
2013-04-15 00:00:00,129,10822
2013-04-22 00:00:00,110,9938
2013-04-29 00:00:00,67,10139
2013-05-06 00:00:00,72,9737
2013-05-13 00:00:00,65,9593
2013-05-20 00:00:00,43,7200
2013-05-27 00:00:00,67,8337
2013-06-03 00:00:00,41,7843
2013-06-10 00:00:00,31,8106
2013-06-17 00:00:00,34,7956
2013-06-24 00:00:00,44,7353
2013-07-01 00:00:00,30,7557
2013-07-08 00:00:00,14,6115
2013-07-15 00:00:00,19,7702
2013-07-22 00:00:00,23,8043
2013-07-29 00:00:00,25,6233
2013-08-05 00:00:00,32,7687
2013-08-12 00:00:00,26,8173
2013-08-19 00:00:00,24,7805
2013-08-26 00:00:00,33,7850
2013-09-02 00:00:00,37,8225
2013-09-09 00:00:00,64,8055
2013-09-16 00:00:00,65,8794
2013-09-23 00:00:00,56,8420
2013-09-30 00:00:00,132,8512
2013-10-07 00:00:00,201,12638
2013-10-14 00:00:00,217,12664
2013-10-21 00:00:00,243,15361
2013-10-28 00:00:00,452,14776
2013-11-04 00:00:00,435,15012
2013-11-11 00:00:00,509,15376
2013-11-18 00:00:00,506,15299
2013-11-25 00:00:00,585,15519
2013-12-02 00:00:00,398,10300
2013-12-09 00:00:00,939,15908
2013-12-16 00:00:00,854,13466
2013-12-23 00:00:00,892,12722
2013-12-30 00:00:00,755,10120
2014-01-08 00:00:00,808,11687
2014-01-13 00:00:00,598,11670
2014-01-20 00:00:00,451,10939
2014-01-27 00:00:00,576,11741
2014-02-03 00:00:00,467,11141
2014-02-10 00:00:00,437,12068
2014-02-17 00:00:00,230,7507
2014-02-24 00:00:00,239,12163
2014-03-03 00:00:00,223,10265
2014-03-10 00:00:00,204,10207
2014-03-17 00:00:00,163,9271
2014-03-24 00:00:00,131,9076
2014-03-31 00:00:00,105,7499
2014-04-07 00:00:00,81,8235
2014-04-14 00:00:00,85,8556
2014-04-21 00:00:00,115,8420
2014-04-28 00:00:00,138,8799
2014-05-05 00:00:00,105,7740
2014-05-12 00:00:00,119,8181
2014-05-19 00:00:00,119,7820
2014-05-26 00:00:00,115,7721
2014-06-02 00:00:00,73,6517
2014-06-09 00:00:00,92,7247
2014-06-16 00:00:00,83,6304
2014-06-23 00:00:00,56,5984
2014-06-30 00:00:00,58,6278
2014-07-07 00:00:00,46,5069
2014-07-14 00:00:00,46,6318
2014-07-21 00:00:00,47,6194
2014-07-28 00:00:00,54,6123
2014-08-04 00:00:00,41,6324
2014-08-11 00:00:00,68,6666
2014-08-18 00:00:00,87,6747
2014-08-25 00:00:00,111,7073
2014-09-01 00:00:00,122,7120
2014-09-08 00:00:00,120,6603
2014-09-15 00:00:00,118,6720
2014-09-22 00:00:00,152,7148
2014-09-29 00:00:00,136,6649
2014-10-06 00:00:00,220,12704
2014-10-13 00:00:00,270,13067
2014-10-20 00:00:00,214,12334
2014-10-27 00:00:00,246,13379
2014-11-03 00:00:00,253,11944
2014-11-10 00:00:00,274,10902
2014-11-17 00:00:00,510,12894
2014-11-24 00:00:00,693,12156
2014-12-01 00:00:00,600,8262
2014-12-08 00:00:00,447,8916
2014-12-15 00:00:00,1216,12031
2014-12-22 00:00:00,1830,11937
2014-12-29 00:00:00,1714,8827
2015-01-05 00:00:00,1008,8983
2015-01-08 00:00:00,525,9670
2015-01-12 00:00:00,886,10737
2015-01-19 00:00:00,1033,10693
2015-01-26 00:00:00,933,10930
2015-02-02 00:00:00,797,9622
2015-02-09 00:00:00,791,9401
2015-02-16 00:00:00,556,9214
2015-02-23 00:00:00,451,8165
2015-03-02 00:00:00,496,8449
2015-03-09 00:00:00,418,8866
2015-03-16 00:00:00,334,8557
2015-03-23 00:00:00,196,7023
2015-03-30 00:00:00,138,6975
2015-04-06 00:00:00,145,8122
2015-04-13 00:00:00,126,7602
2015-04-20 00:00:00,108,7056
2015-04-27 00:00:00,92,6475
2015-05-04 00:00:00,70,5249
2015-05-11 00:00:00,94,5006
2015-05-18 00:00:00,56,3594
2015-05-25 00:00:00,30,3779
2015-06-01 00:00:00,42,4378
2015-06-08 00:00:00,42,4157
2015-06-15 00:00:00,40,3972
2015-06-22 00:00:00,26,4152
2015-06-29 00:00:00,13,2097
2015-07-06 00:00:00,30,4374
2015-07-13 00:00:00,46,4300
2015-07-20 00:00:00,27,4402
2015-07-27 00:00:00,28,4697
2015-08-03 00:00:00,37,4774
2015-08-10 00:00:00,47,4385
2015-08-17 00:00:00,63,5086
2015-08-24 00:00:00,85,7097
2015-08-31 00:00:00,74,7011
2015-09-07 00:00:00,66,7572
2015-09-14 00:00:00,71,5648
2015-09-21 00:00:00,95,5760
2015-09-28 00:00:00,128,5943
2015-10-05 00:00:00,272,10507
2015-10-12 00:00:00,258,10369
2015-10-19 00:00:00,251,10836
2015-10-26 00:00:00,279,12699
2015-11-02 00:00:00,313,13508
2015-11-09 00:00:00,290,13127
2015-11-16 00:00:00,305,11531
2015-11-23 00:00:00,255,7279
2015-11-30 00:00:00,295,12023
2015-12-07 00:00:00,339,12269
2015-12-14 00:00:00,334,10640
2015-12-21 00:00:00,249,7578
