date,ILITOTAL,OT
2010-10-04 00:00:00,18,2586
2010-10-11 00:00:00,18,2670
2010-10-18 00:00:00,17,3306
2010-10-25 00:00:00,12,2901
2010-11-01 00:00:00,57,5228
2010-11-08 00:00:00,58,4844
2010-11-15 00:00:00,74,4760
2010-11-22 00:00:00,53,2616
2010-11-29 00:00:00,62,4451
2010-12-06 00:00:00,44,4311
2010-12-13 00:00:00,89,4227
2010-12-20 00:00:00,77,2132
2010-12-27 00:00:00,61,2367
2011-01-08 00:00:00,122,3623
2011-01-10 00:00:00,166,3425
2011-01-17 00:00:00,271,3999
2011-01-24 00:00:00,335,4591
2011-01-31 00:00:00,296,4562
2011-02-07 00:00:00,285,3527
2011-02-14 00:00:00,410,5007
2011-02-21 00:00:00,271,4491
2011-02-28 00:00:00,308,4441
2011-03-07 00:00:00,109,4176
2011-03-14 00:00:00,129,3946
2011-03-21 00:00:00,63,2723
2011-03-28 00:00:00,65,3908
2011-04-04 00:00:00,23,2703
2011-04-11 00:00:00,12,2735
2011-04-18 00:00:00,18,2664
2011-04-25 00:00:00,12,2633
2011-05-02 00:00:00,14,2221
2011-05-09 00:00:00,10,1405
2011-05-16 00:00:00,6,1153
2011-05-23 00:00:00,12,1158
2011-05-30 00:00:00,13,1384
2011-06-06 00:00:00,11,1602
2011-06-13 00:00:00,8,863
2011-06-20 00:00:00,3,763
2011-06-27 00:00:00,3,693
2011-07-04 00:00:00,2,768
2011-07-11 00:00:00,2,768
2011-07-18 00:00:00,0,811
2011-07-25 00:00:00,1,787
2011-08-01 00:00:00,0,458
2011-08-08 00:00:00,5,664
2011-08-15 00:00:00,2,526
2011-08-22 00:00:00,6,1041
2011-08-29 00:00:00,7,1055
2011-09-05 00:00:00,8,875
2011-09-12 00:00:00,11,1003
2011-09-19 00:00:00,9,1088
2011-09-26 00:00:00,5,1004
2011-10-03 00:00:00,27,3584
2011-10-10 00:00:00,31,3578
2011-10-17 00:00:00,55,4220
2011-10-24 00:00:00,44,4397
2011-10-31 00:00:00,61,4798
2011-11-07 00:00:00,67,4867
2011-11-14 00:00:00,74,5682
2011-11-21 00:00:00,47,2925
2011-11-28 00:00:00,104,5544
2011-12-05 00:00:00,79,5042
2011-12-12 00:00:00,70,4877
2011-12-19 00:00:00,73,3758
2011-12-26 00:00:00,59,3253
2012-01-08 00:00:00,75,4269
2012-01-09 00:00:00,90,4913
2012-01-16 00:00:00,93,5048
2012-01-23 00:00:00,118,5548
2012-01-30 00:00:00,78,5657
2012-02-06 00:00:00,137,5483
2012-02-13 00:00:00,119,5363
2012-02-20 00:00:00,132,5085
2012-02-27 00:00:00,164,4934
2012-03-05 00:00:00,254,5401
2012-03-12 00:00:00,327,5410
2012-03-19 00:00:00,118,3131
2012-03-26 00:00:00,81,4318
2012-04-02 00:00:00,66,4565
2012-04-09 00:00:00,49,4437
2012-04-16 00:00:00,29,3836
2012-04-23 00:00:00,34,4206
2012-04-30 00:00:00,28,3759
2012-05-07 00:00:00,37,3219
2012-05-14 00:00:00,31,2935
2012-05-21 00:00:00,16,3164
2012-05-28 00:00:00,14,2369
2012-06-04 00:00:00,1,1364
2012-06-11 00:00:00,0,1398
2012-06-18 00:00:00,3,1867
2012-06-25 00:00:00,3,1502
2012-07-02 00:00:00,0,780
2012-07-09 00:00:00,0,1172
2012-07-16 00:00:00,0,1203
2012-07-23 00:00:00,3,1409
2012-07-30 00:00:00,5,620
2012-08-06 00:00:00,3,696
2012-08-13 00:00:00,0,244
2012-08-20 00:00:00,0,816
2012-08-27 00:00:00,0,497
2012-09-03 00:00:00,0,433
2012-09-10 00:00:00,0,617
2012-09-17 00:00:00,0,511
2012-09-24 00:00:00,2,464
2012-10-01 00:00:00,14,2968
2012-10-08 00:00:00,23,3959
2012-10-15 00:00:00,33,5079
2012-10-22 00:00:00,37,3911
2012-10-29 00:00:00,13,3867
2012-11-05 00:00:00,22,4209
2012-11-12 00:00:00,19,3399
2012-11-19 00:00:00,35,3202
2012-11-26 00:00:00,74,5103
2012-12-03 00:00:00,94,5387
2012-12-10 00:00:00,142,4976
2012-12-17 00:00:00,197,3567
2012-12-24 00:00:00,134,2287
2013-01-08 00:00:00,154,3148
2013-01-14 00:00:00,301,5215
2013-01-21 00:00:00,293,4963
2013-01-28 00:00:00,231,4683
2013-02-04 00:00:00,158,4009
2013-02-11 00:00:00,91,3217
2013-02-18 00:00:00,75,3602
