date,ILITOTAL,OT
2010-10-04 00:00:00,172,25492
2010-10-11 00:00:00,183,24402
2010-10-18 00:00:00,240,25174
2010-10-25 00:00:00,233,26215
2010-11-01 00:00:00,312,26313
2010-11-08 00:00:00,239,25282
2010-11-15 00:00:00,284,25897
2010-11-22 00:00:00,251,22138
2010-11-29 00:00:00,371,26085
2010-12-06 00:00:00,517,24065
2010-12-13 00:00:00,488,24178
2010-12-20 00:00:00,454,19716
2010-12-27 00:00:00,344,22684
2011-01-08 00:00:00,411,25741
2011-01-10 00:00:00,447,26118
2011-01-17 00:00:00,604,25296
2011-01-24 00:00:00,756,32376
2011-01-31 00:00:00,682,27974
2011-02-07 00:00:00,769,27699
2011-02-14 00:00:00,770,29238
2011-02-21 00:00:00,681,29789
2011-02-28 00:00:00,454,26517
2011-03-07 00:00:00,443,26049
2011-03-14 00:00:00,310,23340
2011-03-21 00:00:00,276,27693
2011-03-28 00:00:00,272,24435
2011-04-04 00:00:00,246,24661
2011-04-11 00:00:00,222,24803
2011-04-18 00:00:00,257,23572
2011-04-25 00:00:00,241,28842
2011-05-02 00:00:00,181,23425
2011-05-09 00:00:00,156,22737
2011-05-16 00:00:00,124,21776
2011-05-23 00:00:00,137,24662
2011-05-30 00:00:00,104,18884
2011-06-06 00:00:00,97,20716
2011-06-13 00:00:00,80,20376
2011-06-20 00:00:00,86,20989
2011-06-27 00:00:00,81,21017
2011-07-04 00:00:00,82,17454
2011-07-11 00:00:00,95,21141
2011-07-18 00:00:00,77,20891
2011-07-25 00:00:00,67,20419
2011-08-01 00:00:00,91,21769
2011-08-08 00:00:00,69,22432
2011-08-15 00:00:00,98,22467
2011-08-22 00:00:00,128,21843
2011-08-29 00:00:00,148,21964
2011-09-05 00:00:00,85,19695
2011-09-12 00:00:00,118,23650
2011-09-19 00:00:00,107,23375
2011-09-26 00:00:00,120,23255
2011-10-03 00:00:00,138,19794
2011-10-10 00:00:00,132,20106
2011-10-17 00:00:00,153,21231
2011-10-24 00:00:00,179,21851
2011-10-31 00:00:00,201,20240
2011-11-07 00:00:00,198,19825
2011-11-14 00:00:00,250,20747
2011-11-21 00:00:00,219,16523
2011-11-28 00:00:00,242,20816
2011-12-05 00:00:00,223,19587
2011-12-12 00:00:00,193,18359
2011-12-19 00:00:00,192,17481
2011-12-26 00:00:00,213,15614
2012-01-08 00:00:00,225,17487
2012-01-09 00:00:00,207,20325
2012-01-16 00:00:00,212,19287
2012-01-23 00:00:00,216,20962
2012-01-30 00:00:00,303,20898
2012-02-06 00:00:00,273,19603
2012-02-13 00:00:00,362,18924
2012-02-20 00:00:00,344,17897
2012-02-27 00:00:00,354,19342
2012-03-05 00:00:00,334,19115
2012-03-12 00:00:00,321,19109
