date,ILITOTAL,OT
2010-10-04 00:00:00,632,32342
2010-10-11 00:00:00,742,34469
2010-10-18 00:00:00,766,34170
2010-10-25 00:00:00,666,34733
2010-11-01 00:00:00,887,35153
2010-11-08 00:00:00,906,32998
2010-11-15 00:00:00,1020,36175
2010-11-22 00:00:00,729,23060
2010-11-29 00:00:00,939,36028
2010-12-06 00:00:00,1072,35077
2010-12-13 00:00:00,1170,31969
2010-12-20 00:00:00,1057,22875
2010-12-27 00:00:00,916,19533
2011-01-08 00:00:00,1190,33407
2011-01-10 00:00:00,1354,35695
2011-01-17 00:00:00,1324,32879
2011-01-24 00:00:00,1768,38393
2011-01-31 00:00:00,1747,40255
2011-02-07 00:00:00,1987,40658
2011-02-14 00:00:00,2036,40145
2011-02-21 00:00:00,1775,34306
2011-02-28 00:00:00,2007,40133
2011-03-07 00:00:00,1853,39472
2011-03-14 00:00:00,1598,36008
2011-03-21 00:00:00,1111,33697
2011-03-28 00:00:00,1160,36250
2011-04-04 00:00:00,927,35023
2011-04-11 00:00:00,918,35693
2011-04-18 00:00:00,736,32828
2011-04-25 00:00:00,784,33442
2011-05-02 00:00:00,734,34198
2011-05-09 00:00:00,672,32736
2011-05-16 00:00:00,700,32820
2011-05-23 00:00:00,583,27674
2011-05-30 00:00:00,581,22550
2011-06-06 00:00:00,588,25969
2011-06-13 00:00:00,461,24951
2011-06-20 00:00:00,436,25159
2011-06-27 00:00:00,426,25405
2011-07-04 00:00:00,343,20323
2011-07-11 00:00:00,383,23873
2011-07-18 00:00:00,327,22484
2011-07-25 00:00:00,303,22421
2011-08-01 00:00:00,91,16447
2011-08-08 00:00:00,295,21741
2011-08-15 00:00:00,284,24405
2011-08-22 00:00:00,350,25958
2011-08-29 00:00:00,376,25430
2011-09-05 00:00:00,322,20098
2011-09-12 00:00:00,420,24015
2011-09-19 00:00:00,445,25285
2011-09-26 00:00:00,474,25657
2011-10-03 00:00:00,568,31504
2011-10-10 00:00:00,703,34038
2011-10-17 00:00:00,801,33614
2011-10-24 00:00:00,797,34784
2011-10-31 00:00:00,866,34869
2011-11-07 00:00:00,784,36056
2011-11-14 00:00:00,992,37756
2011-11-21 00:00:00,594,23645
2011-11-28 00:00:00,511,30312
2011-12-05 00:00:00,883,32659
2011-12-12 00:00:00,951,31476
2011-12-19 00:00:00,843,23366
2011-12-26 00:00:00,718,16494
2012-01-08 00:00:00,854,24359
2012-01-09 00:00:00,958,32552
2012-01-16 00:00:00,855,31238
2012-01-23 00:00:00,1224,34650
2012-01-30 00:00:00,1359,35266
2012-02-06 00:00:00,1265,38358
2012-02-13 00:00:00,1278,35764
2012-02-20 00:00:00,1300,30911
2012-02-27 00:00:00,1253,35393
2012-03-05 00:00:00,812,30156
2012-03-12 00:00:00,920,29445
2012-03-19 00:00:00,819,28919
2012-03-26 00:00:00,1229,31522
2012-04-02 00:00:00,952,31822
2012-04-09 00:00:00,927,32278
2012-04-16 00:00:00,717,33333
2012-04-23 00:00:00,693,32178
2012-04-30 00:00:00,732,31003
2012-05-07 00:00:00,673,30903
2012-05-14 00:00:00,613,29971
2012-05-21 00:00:00,593,26641
2012-05-28 00:00:00,465,20999
2012-06-04 00:00:00,497,24661
2012-06-11 00:00:00,466,25707
2012-06-18 00:00:00,482,23649
2012-06-25 00:00:00,411,21920
2012-07-02 00:00:00,365,18877
2012-07-09 00:00:00,390,21351
2012-07-16 00:00:00,357,21086
2012-07-23 00:00:00,354,21009
2012-07-30 00:00:00,362,20636
2012-08-06 00:00:00,343,21247
2012-08-13 00:00:00,160,14858
2012-08-20 00:00:00,411,21819
2012-08-27 00:00:00,525,26043
2012-09-03 00:00:00,543,23378
2012-09-10 00:00:00,627,27935
2012-09-17 00:00:00,678,27792
2012-09-24 00:00:00,656,27223
2012-10-01 00:00:00,720,34264
2012-10-08 00:00:00,781,34481
2012-10-15 00:00:00,840,35639
2012-10-22 00:00:00,812,34236
2012-10-29 00:00:00,853,34712
2012-11-05 00:00:00,909,35486
2012-11-12 00:00:00,857,34115
2012-11-19 00:00:00,639,23403
2012-11-26 00:00:00,946,36908
2012-12-03 00:00:00,905,36798
2012-12-10 00:00:00,920,33961
2012-12-17 00:00:00,1025,30385
2012-12-24 00:00:00,957,17412
2013-01-08 00:00:00,812,22412
2013-01-14 00:00:00,1255,33843
2013-01-21 00:00:00,1783,35737
2013-01-28 00:00:00,2043,34985
2013-02-04 00:00:00,2349,38499
2013-02-11 00:00:00,1993,36665
2013-02-18 00:00:00,1746,35858
2013-02-25 00:00:00,1365,32905
2013-03-04 00:00:00,1354,36501
2013-03-11 00:00:00,1399,35121
2013-03-18 00:00:00,1159,33588
2013-03-25 00:00:00,1017,31418
2013-04-01 00:00:00,871,29397
2013-04-08 00:00:00,715,28554
2013-04-15 00:00:00,687,34727
2013-04-22 00:00:00,609,33347
2013-04-29 00:00:00,600,34608
