date,ILITOTAL,OT
2010-10-04 00:00:00,134,20282
2010-10-11 00:00:00,115,18294
2010-10-18 00:00:00,152,18905
2010-10-25 00:00:00,175,19238
2010-11-01 00:00:00,193,19862
2010-11-08 00:00:00,139,19332
2010-11-15 00:00:00,137,19683
2010-11-22 00:00:00,108,14316
2010-11-29 00:00:00,168,19771
2010-12-06 00:00:00,154,19024
2010-12-13 00:00:00,174,19299
2010-12-20 00:00:00,123,14757
2010-12-27 00:00:00,160,15093
2011-01-08 00:00:00,199,21642
2011-01-10 00:00:00,202,19919
2011-01-17 00:00:00,236,20684
2011-01-24 00:00:00,406,21503
2011-01-31 00:00:00,486,19282
2011-02-07 00:00:00,548,20775
2011-02-14 00:00:00,654,22338
2011-02-21 00:00:00,637,22302
2011-02-28 00:00:00,591,22070
2011-03-07 00:00:00,451,21433
2011-03-14 00:00:00,387,21689
2011-03-21 00:00:00,289,20983
2011-03-28 00:00:00,192,19504
2011-04-04 00:00:00,182,20297
2011-04-11 00:00:00,167,20506
2011-04-18 00:00:00,153,20023
2011-04-25 00:00:00,177,19457
2011-05-02 00:00:00,151,19881
2011-05-09 00:00:00,113,18698
2011-05-16 00:00:00,118,18806
2011-05-23 00:00:00,112,18880
2011-05-30 00:00:00,88,15964
2011-06-06 00:00:00,84,19361
2011-06-13 00:00:00,70,18801
2011-06-20 00:00:00,55,17728
2011-06-27 00:00:00,45,17936
2011-07-04 00:00:00,64,15138
2011-07-11 00:00:00,56,18130
2011-07-18 00:00:00,75,18459
2011-07-25 00:00:00,70,18971
2011-08-01 00:00:00,93,19390
2011-08-08 00:00:00,69,19647
2011-08-15 00:00:00,77,19636
2011-08-22 00:00:00,78,19431
2011-08-29 00:00:00,119,19322
2011-09-05 00:00:00,99,15411
2011-09-12 00:00:00,121,18765
2011-09-19 00:00:00,124,17043
2011-09-26 00:00:00,131,17430
2011-10-03 00:00:00,153,20555
2011-10-10 00:00:00,117,20609
2011-10-17 00:00:00,123,21488
2011-10-24 00:00:00,127,20107
2011-10-31 00:00:00,116,19951
2011-11-07 00:00:00,108,21059
2011-11-14 00:00:00,152,21596
2011-11-21 00:00:00,84,16363
2011-11-28 00:00:00,141,20683
2011-12-05 00:00:00,137,19803
2011-12-12 00:00:00,141,20269
2011-12-19 00:00:00,125,18202
2011-12-26 00:00:00,123,16629
2012-01-08 00:00:00,127,19454
2012-01-09 00:00:00,157,22023
2012-01-16 00:00:00,160,21995
2012-01-23 00:00:00,231,22493
2012-01-30 00:00:00,213,21204
2012-02-06 00:00:00,239,22559
2012-02-13 00:00:00,243,23085
2012-02-20 00:00:00,316,23168
2012-02-27 00:00:00,343,23843
2012-03-05 00:00:00,321,23420
2012-03-12 00:00:00,340,23003
2012-03-19 00:00:00,274,23012
2012-03-26 00:00:00,188,21744
2012-04-02 00:00:00,194,21001
2012-04-09 00:00:00,156,21282
2012-04-16 00:00:00,129,21556
2012-04-23 00:00:00,133,21066
2012-04-30 00:00:00,125,20875
2012-05-07 00:00:00,99,20367
2012-05-14 00:00:00,130,20810
2012-05-21 00:00:00,77,20666
2012-05-28 00:00:00,85,17880
2012-06-04 00:00:00,88,20538
2012-06-11 00:00:00,77,20131
2012-06-18 00:00:00,75,18948
2012-06-25 00:00:00,60,18849
2012-07-02 00:00:00,57,17323
2012-07-09 00:00:00,68,19749
2012-07-16 00:00:00,69,20158
2012-07-23 00:00:00,72,19855
2012-07-30 00:00:00,59,20801
2012-08-06 00:00:00,62,20986
2012-08-13 00:00:00,72,21505
2012-08-20 00:00:00,95,21224
2012-08-27 00:00:00,110,21650
2012-09-03 00:00:00,89,17457
2012-09-10 00:00:00,97,20847
2012-09-17 00:00:00,102,21572
2012-09-24 00:00:00,132,21031
2012-10-01 00:00:00,102,20269
2012-10-08 00:00:00,115,20699
2012-10-15 00:00:00,98,21048
2012-10-22 00:00:00,101,20608
2012-10-29 00:00:00,124,20840
2012-11-05 00:00:00,137,21634
2012-11-12 00:00:00,164,21912
2012-11-19 00:00:00,147,16566
2012-11-26 00:00:00,230,22646
2012-12-03 00:00:00,300,21219
2012-12-10 00:00:00,402,21589
2012-12-17 00:00:00,556,21117
2012-12-24 00:00:00,483,16107
2013-01-08 00:00:00,492,18535
