date,ILITOTAL,OT
2010-10-04 00:00:00,3,3831
2010-10-11 00:00:00,9,3780
2010-10-18 00:00:00,15,4009
2010-10-25 00:00:00,16,4797
2010-11-01 00:00:00,19,4789
2010-11-08 00:00:00,14,4381
2010-11-15 00:00:00,22,3555
2010-11-22 00:00:00,11,1535
2010-11-29 00:00:00,19,4289
2010-12-06 00:00:00,23,3512
2010-12-13 00:00:00,20,3033
2010-12-20 00:00:00,19,2175
2010-12-27 00:00:00,13,1523
2011-01-08 00:00:00,25,2708
2011-01-10 00:00:00,34,3249
2011-01-17 00:00:00,43,3633
2011-01-24 00:00:00,38,3546
2011-01-31 00:00:00,71,4313
2011-02-07 00:00:00,96,5443
2011-02-14 00:00:00,109,5496
2011-02-21 00:00:00,110,5553
2011-02-28 00:00:00,76,5659
2011-03-07 00:00:00,37,3197
2011-03-14 00:00:00,37,4164
2011-03-21 00:00:00,15,4215
2011-03-28 00:00:00,41,6092
2011-04-04 00:00:00,16,4647
2011-04-11 00:00:00,8,3275
2011-04-18 00:00:00,8,3469
2011-04-25 00:00:00,10,4332
2011-05-02 00:00:00,4,3353
2011-05-09 00:00:00,3,2336
2011-05-16 00:00:00,2,2127
2011-05-23 00:00:00,1,1596
2011-05-30 00:00:00,2,1145
2011-06-06 00:00:00,1,1410
2011-06-13 00:00:00,0,1363
2011-06-20 00:00:00,0,1382
2011-06-27 00:00:00,0,1291
2011-07-04 00:00:00,0,1101
2011-07-11 00:00:00,0,1512
2011-07-18 00:00:00,0,1389
2011-07-25 00:00:00,0,1324
2011-08-01 00:00:00,0,1209
2011-08-08 00:00:00,0,1478
2011-08-15 00:00:00,2,1471
2011-08-22 00:00:00,1,1846
2011-08-29 00:00:00,0,1901
2011-09-05 00:00:00,0,3029
2011-09-12 00:00:00,2,4190
2011-09-19 00:00:00,0,4229
2011-09-26 00:00:00,1,4165
2011-10-03 00:00:00,3,3890
2011-10-10 00:00:00,5,4702
2011-10-17 00:00:00,17,4650
2011-10-24 00:00:00,9,4719
2011-10-31 00:00:00,7,3773
2011-11-07 00:00:00,19,6264
2011-11-14 00:00:00,11,5518
2011-11-21 00:00:00,0,1333
2011-11-28 00:00:00,7,4440
2011-12-05 00:00:00,8,2447
2011-12-12 00:00:00,21,3535
2011-12-19 00:00:00,9,2464
2011-12-26 00:00:00,10,1699
2012-01-08 00:00:00,19,2580
2012-01-09 00:00:00,6,2041
2012-01-16 00:00:00,15,3404
2012-01-23 00:00:00,18,3790
2012-01-30 00:00:00,14,3875
