date,ILITOTAL,OT
2010-10-04 00:00:00,4,3995
2010-10-11 00:00:00,15,4070
2010-10-18 00:00:00,14,4154
2010-10-25 00:00:00,19,4126
2010-11-01 00:00:00,9,4048
2010-11-08 00:00:00,25,3146
2010-11-15 00:00:00,12,3070
2010-11-22 00:00:00,12,2384
2010-11-29 00:00:00,11,4074
2010-12-06 00:00:00,9,2492
2010-12-13 00:00:00,12,4083
2010-12-20 00:00:00,13,2578
2010-12-27 00:00:00,19,3733
2011-01-08 00:00:00,30,3827
2011-01-10 00:00:00,104,4110
2011-01-17 00:00:00,81,4078
2011-01-24 00:00:00,84,4214
2011-01-31 00:00:00,91,4553
2011-02-07 00:00:00,99,4706
2011-02-14 00:00:00,125,4642
2011-02-21 00:00:00,101,4335
2011-02-28 00:00:00,89,4147
2011-03-07 00:00:00,73,4331
2011-03-14 00:00:00,43,4537
2011-03-21 00:00:00,22,4180
2011-03-28 00:00:00,41,4233
2011-04-04 00:00:00,19,3999
2011-04-11 00:00:00,4,3468
2011-04-18 00:00:00,3,3658
2011-04-25 00:00:00,1,2187
2011-05-02 00:00:00,3,3475
2011-05-09 00:00:00,1,2193
2011-05-16 00:00:00,2,1858
2011-05-23 00:00:00,0,329
2011-05-30 00:00:00,0,252
2011-06-06 00:00:00,0,0
2011-06-13 00:00:00,0,0
2011-06-20 00:00:00,0,0
2011-06-27 00:00:00,0,0
2011-07-04 00:00:00,0,0
2011-07-11 00:00:00,0,0
2011-07-18 00:00:00,0,0
2011-07-25 00:00:00,0,0
2011-08-01 00:00:00,0,0
2011-08-08 00:00:00,0,0
2011-08-15 00:00:00,0,0
2011-08-22 00:00:00,0,0
2011-08-29 00:00:00,0,0
2011-09-05 00:00:00,0,0
2011-09-12 00:00:00,0,0
2011-09-19 00:00:00,0,0
2011-09-26 00:00:00,0,0
2011-10-03 00:00:00,5,3110
2011-10-10 00:00:00,4,3538
2011-10-17 00:00:00,2,3134
2011-10-24 00:00:00,3,3606
2011-10-31 00:00:00,7,3146
2011-11-07 00:00:00,10,3529
2011-11-14 00:00:00,13,3640
2011-11-21 00:00:00,3,3132
2011-11-28 00:00:00,14,3327
2011-12-05 00:00:00,25,3654
2011-12-12 00:00:00,16,3796
2011-12-19 00:00:00,6,3759
2011-12-26 00:00:00,8,3352
