date,ILITOTAL,OT
2010-10-04 00:00:00,647,40314
2010-10-11 00:00:00,702,40979
2010-10-18 00:00:00,793,39404
2010-10-25 00:00:00,881,36901
2010-11-01 00:00:00,1033,38891
2010-11-08 00:00:00,1390,40726
2010-11-15 00:00:00,1938,42545
2010-11-22 00:00:00,1801,32966
2010-11-29 00:00:00,1315,37768
2010-12-06 00:00:00,1685,37531
2010-12-13 00:00:00,2254,35755
2010-12-20 00:00:00,2489,34195
2010-12-27 00:00:00,2064,34013
2011-01-08 00:00:00,1723,35731
2011-01-10 00:00:00,1133,27557
2011-01-17 00:00:00,1288,36583
2011-01-24 00:00:00,1629,37305
2011-01-31 00:00:00,1828,38119
2011-02-07 00:00:00,1908,39163
2011-02-14 00:00:00,1835,38942
2011-02-21 00:00:00,1596,39344
2011-02-28 00:00:00,1048,37144
2011-03-07 00:00:00,794,33524
2011-03-14 00:00:00,775,35901
2011-03-21 00:00:00,665,37659
2011-03-28 00:00:00,581,35417
2011-04-04 00:00:00,549,35896
2011-04-11 00:00:00,485,36440
2011-04-18 00:00:00,490,36983
2011-04-25 00:00:00,468,34443
2011-05-02 00:00:00,446,34046
2011-05-09 00:00:00,488,33556
2011-05-16 00:00:00,491,31115
2011-05-23 00:00:00,373,30064
2011-05-30 00:00:00,414,31345
2011-06-06 00:00:00,300,31064
2011-06-13 00:00:00,249,30443
2011-06-20 00:00:00,214,32043
2011-06-27 00:00:00,168,27667
2011-07-04 00:00:00,222,29837
2011-07-11 00:00:00,173,28899
2011-07-18 00:00:00,154,30012
2011-07-25 00:00:00,181,28762
2011-08-01 00:00:00,186,26945
2011-08-08 00:00:00,241,29839
2011-08-15 00:00:00,284,31159
2011-08-22 00:00:00,406,34030
2011-08-29 00:00:00,389,32667
2011-09-05 00:00:00,435,29126
2011-09-12 00:00:00,467,33472
2011-09-19 00:00:00,453,34805
2011-09-26 00:00:00,563,34411
2011-10-03 00:00:00,578,38831
2011-10-10 00:00:00,559,37836
2011-10-17 00:00:00,485,37225
2011-10-24 00:00:00,389,28086
2011-10-31 00:00:00,577,35424
2011-11-07 00:00:00,623,35880
2011-11-14 00:00:00,569,37103
2011-11-21 00:00:00,599,28210
2011-11-28 00:00:00,520,33176
2011-12-05 00:00:00,440,24137
2011-12-12 00:00:00,553,23637
2011-12-19 00:00:00,778,21815
2011-12-26 00:00:00,714,19971
2012-01-08 00:00:00,609,24892
2012-01-09 00:00:00,550,32701
2012-01-16 00:00:00,622,32316
2012-01-23 00:00:00,642,34361
2012-01-30 00:00:00,768,36442
2012-02-06 00:00:00,724,36024
2012-02-13 00:00:00,740,35873
2012-02-20 00:00:00,379,32216
2012-02-27 00:00:00,732,36363
2012-03-05 00:00:00,696,36165
2012-03-12 00:00:00,748,33031
2012-03-19 00:00:00,688,35830
2012-03-26 00:00:00,642,35524
2012-04-02 00:00:00,521,32063
2012-04-09 00:00:00,468,32385
2012-04-16 00:00:00,468,33995
2012-04-23 00:00:00,303,29881
2012-04-30 00:00:00,175,26907
2012-05-07 00:00:00,189,27576
2012-05-14 00:00:00,208,25136
2012-05-21 00:00:00,476,30394
2012-05-28 00:00:00,496,30752
2012-06-04 00:00:00,363,29504
2012-06-11 00:00:00,346,29681
2012-06-18 00:00:00,261,29675
2012-06-25 00:00:00,231,27811
2012-07-02 00:00:00,253,25784
2012-07-09 00:00:00,221,26949
2012-07-16 00:00:00,222,26344
2012-07-23 00:00:00,231,27119
2012-07-30 00:00:00,210,27001
2012-08-06 00:00:00,281,27824
2012-08-13 00:00:00,335,30197
2012-08-20 00:00:00,483,34370
2012-08-27 00:00:00,414,31732
2012-09-03 00:00:00,215,27302
2012-09-10 00:00:00,226,26978
2012-09-17 00:00:00,211,27216
2012-09-24 00:00:00,230,27247
2012-10-01 00:00:00,261,27435
2012-10-08 00:00:00,308,26360
2012-10-15 00:00:00,278,26681
2012-10-22 00:00:00,364,29130
2012-10-29 00:00:00,384,29716
2012-11-05 00:00:00,587,32207
2012-11-12 00:00:00,787,32152
2012-11-19 00:00:00,781,24071
