date,ILITOTAL,OT
2010-10-04 00:00:00,20,1943
2010-10-11 00:00:00,32,1826
2010-10-18 00:00:00,14,1854
2010-10-25 00:00:00,27,1715
2010-11-01 00:00:00,27,1522
2010-11-08 00:00:00,19,1618
2010-11-15 00:00:00,23,1753
2010-11-22 00:00:00,128,8131
2010-11-29 00:00:00,34,1732
2010-12-06 00:00:00,42,1734
2010-12-13 00:00:00,41,1632
2010-12-20 00:00:00,19,857
2010-12-27 00:00:00,32,957
2011-01-08 00:00:00,48,1965
2011-01-10 00:00:00,41,2031
2011-01-17 00:00:00,57,1772
2011-01-24 00:00:00,68,1722
2011-01-31 00:00:00,63,1685
2011-02-07 00:00:00,81,1717
2011-02-14 00:00:00,97,1695
2011-02-21 00:00:00,88,1586
2011-02-28 00:00:00,94,1789
2011-03-07 00:00:00,61,1179
2011-03-14 00:00:00,73,1723
2011-03-21 00:00:00,24,1216
2011-03-28 00:00:00,42,1522
2011-04-04 00:00:00,43,1536
2011-04-11 00:00:00,26,1405
2011-04-18 00:00:00,34,1331
2011-04-25 00:00:00,22,1242
2011-05-02 00:00:00,8,1325
2011-05-09 00:00:00,18,1275
2011-05-16 00:00:00,19,1350
2011-05-23 00:00:00,24,1286
2011-05-30 00:00:00,11,967
2011-06-06 00:00:00,13,1054
2011-06-13 00:00:00,11,1454
2011-06-20 00:00:00,17,1464
2011-06-27 00:00:00,18,1142
2011-07-04 00:00:00,28,1191
2011-07-11 00:00:00,22,1348
2011-07-18 00:00:00,16,1419
2011-07-25 00:00:00,20,1316
2011-08-01 00:00:00,2,1398
2011-08-08 00:00:00,8,1706
2011-08-15 00:00:00,7,950
2011-08-22 00:00:00,17,1752
2011-08-29 00:00:00,9,1399
2011-09-05 00:00:00,12,1352
2011-09-12 00:00:00,19,1478
2011-09-19 00:00:00,12,1472
2011-09-26 00:00:00,17,1858
2011-10-03 00:00:00,106,14588
2011-10-10 00:00:00,104,22278
2011-10-17 00:00:00,112,15191
2011-10-24 00:00:00,125,15052
2011-10-31 00:00:00,146,14479
2011-11-07 00:00:00,115,12031
2011-11-14 00:00:00,131,14394
2011-11-21 00:00:00,88,9193
2011-11-28 00:00:00,134,14389
2011-12-05 00:00:00,119,13377
2011-12-12 00:00:00,125,13202
2011-12-19 00:00:00,98,11472
2011-12-26 00:00:00,100,9195
2012-01-08 00:00:00,128,11150
2012-01-09 00:00:00,125,13986
2012-01-16 00:00:00,148,11602
2012-01-23 00:00:00,144,14132
2012-01-30 00:00:00,150,13579
2012-02-06 00:00:00,129,13921
2012-02-13 00:00:00,154,14108
2012-02-20 00:00:00,119,11182
2012-02-27 00:00:00,169,13997
2012-03-05 00:00:00,171,13442
2012-03-12 00:00:00,212,13423
2012-03-19 00:00:00,319,13838
2012-03-26 00:00:00,334,11536
2012-04-02 00:00:00,370,13415
2012-04-09 00:00:00,57,1975
2012-04-16 00:00:00,56,1927
2012-04-23 00:00:00,347,13851
2012-04-30 00:00:00,352,13814
2012-05-07 00:00:00,369,13477
2012-05-14 00:00:00,348,13031
2012-05-21 00:00:00,355,13122
2012-05-28 00:00:00,303,10748
2012-06-04 00:00:00,241,12853
2012-06-11 00:00:00,185,10819
2012-06-18 00:00:00,183,13135
2012-06-25 00:00:00,160,13181
2012-07-02 00:00:00,150,10277
2012-07-09 00:00:00,122,13029
2012-07-16 00:00:00,161,13085
2012-07-23 00:00:00,200,12590
2012-07-30 00:00:00,231,13104
2012-08-06 00:00:00,251,13870
2012-08-13 00:00:00,209,11951
2012-08-20 00:00:00,228,13374
2012-08-27 00:00:00,208,13525
2012-09-03 00:00:00,160,10457
2012-09-10 00:00:00,161,13045
2012-09-17 00:00:00,171,13466
2012-09-24 00:00:00,177,13113
2012-10-01 00:00:00,201,14325
2012-10-08 00:00:00,173,11963
2012-10-15 00:00:00,179,14335
2012-10-22 00:00:00,198,14110
2012-10-29 00:00:00,170,13511
2012-11-05 00:00:00,190,13675
2012-11-12 00:00:00,174,11747
2012-11-19 00:00:00,178,9076
2012-11-26 00:00:00,190,13834
2012-12-03 00:00:00,221,13815
2012-12-10 00:00:00,248,13263
2012-12-17 00:00:00,232,12393
2012-12-24 00:00:00,140,8545
2013-01-08 00:00:00,247,9765
2013-01-14 00:00:00,367,12954
2013-01-21 00:00:00,510,15216
2013-01-28 00:00:00,603,12446
2013-02-04 00:00:00,531,14077
2013-02-11 00:00:00,52,1291
2013-02-18 00:00:00,44,1374
2013-02-25 00:00:00,37,1176
2013-03-04 00:00:00,54,1333
2013-03-11 00:00:00,61,1352
2013-03-18 00:00:00,41,1329
2013-03-25 00:00:00,40,1258
2013-04-01 00:00:00,22,896
2013-04-08 00:00:00,20,1022
2013-04-15 00:00:00,47,1360
2013-04-22 00:00:00,30,1224
2013-04-29 00:00:00,42,1198
2013-05-06 00:00:00,37,1291
2013-05-13 00:00:00,46,1168
2013-05-20 00:00:00,34,896
2013-05-27 00:00:00,14,922
2013-06-03 00:00:00,23,896
