date,ILITOTAL,OT
2010-10-04 00:00:00,10,1776
2010-10-11 00:00:00,20,2323
2010-10-18 00:00:00,10,2457
2010-10-25 00:00:00,9,4912
2010-11-01 00:00:00,18,5017
2010-11-08 00:00:00,21,5016
2010-11-15 00:00:00,21,4337
2010-11-22 00:00:00,8,1499
2010-11-29 00:00:00,26,3142
2010-12-06 00:00:00,28,2934
2010-12-13 00:00:00,41,2736
2010-12-20 00:00:00,44,2123
2010-12-27 00:00:00,28,1923
2011-01-08 00:00:00,13,2245
2011-01-10 00:00:00,21,4574
2011-01-17 00:00:00,44,4371
2011-01-24 00:00:00,101,4611
2011-01-31 00:00:00,102,3903
2011-02-07 00:00:00,81,4686
2011-02-14 00:00:00,105,4788
2011-02-21 00:00:00,107,4841
2011-02-28 00:00:00,101,4626
2011-03-07 00:00:00,55,3819
2011-03-14 00:00:00,66,3517
2011-03-21 00:00:00,25,3880
2011-03-28 00:00:00,12,2111
2011-04-04 00:00:00,22,2359
2011-04-11 00:00:00,14,2219
2011-04-18 00:00:00,10,2261
2011-04-25 00:00:00,12,2170
2011-05-02 00:00:00,5,2065
2011-05-09 00:00:00,3,1792
2011-05-16 00:00:00,3,1768
2011-05-23 00:00:00,2,1728
2011-05-30 00:00:00,1,1482
2011-06-06 00:00:00,0,1639
2011-06-13 00:00:00,0,1452
2011-06-20 00:00:00,0,1499
2011-06-27 00:00:00,0,1477
2011-07-04 00:00:00,1,1259
2011-07-11 00:00:00,0,949
2011-07-18 00:00:00,0,1106
2011-07-25 00:00:00,0,1067
2011-08-01 00:00:00,1,1088
2011-08-08 00:00:00,1,1190
2011-08-15 00:00:00,0,595
2011-08-22 00:00:00,1,1850
2011-08-29 00:00:00,4,1885
2011-09-05 00:00:00,5,1508
2011-09-12 00:00:00,15,2155
2011-09-19 00:00:00,7,2463
2011-09-26 00:00:00,12,2332
2011-10-03 00:00:00,36,3478
2011-10-10 00:00:00,41,3389
2011-10-17 00:00:00,37,3276
2011-10-24 00:00:00,46,5331
2011-10-31 00:00:00,62,5834
2011-11-07 00:00:00,30,5998
2011-11-14 00:00:00,51,5785
2011-11-21 00:00:00,11,3983
2011-11-28 00:00:00,38,6204
2011-12-05 00:00:00,47,5786
2011-12-12 00:00:00,39,3356
2011-12-19 00:00:00,33,2240
2011-12-26 00:00:00,22,3457
2012-01-08 00:00:00,41,4402
2012-01-09 00:00:00,33,5265
2012-01-16 00:00:00,41,5316
2012-01-23 00:00:00,47,5722
2012-01-30 00:00:00,52,5688
2012-02-06 00:00:00,64,5806
2012-02-13 00:00:00,68,6029
2012-02-20 00:00:00,40,4862
2012-02-27 00:00:00,61,5117
2012-03-05 00:00:00,46,4740
2012-03-12 00:00:00,43,3604
2012-03-19 00:00:00,37,4764
2012-03-26 00:00:00,21,2877
2012-04-02 00:00:00,13,3768
2012-04-09 00:00:00,14,4094
2012-04-16 00:00:00,18,4046
2012-04-23 00:00:00,14,4177
2012-04-30 00:00:00,6,3690
2012-05-07 00:00:00,4,2819
2012-05-14 00:00:00,1,2920
2012-05-21 00:00:00,1,3256
2012-05-28 00:00:00,0,2423
2012-06-04 00:00:00,0,3089
2012-06-11 00:00:00,0,2884
2012-06-18 00:00:00,1,2850
2012-06-25 00:00:00,1,941
2012-07-02 00:00:00,1,2333
2012-07-09 00:00:00,1,3173
2012-07-16 00:00:00,0,1014
2012-07-23 00:00:00,0,908
2012-07-30 00:00:00,0,412
2012-08-06 00:00:00,0,149
2012-08-13 00:00:00,0,203
2012-08-20 00:00:00,0,417
2012-08-27 00:00:00,1,1463
2012-09-03 00:00:00,2,1170
2012-09-10 00:00:00,7,1525
2012-09-17 00:00:00,1,1539
2012-09-24 00:00:00,7,1671
2012-10-01 00:00:00,13,2702
2012-10-08 00:00:00,5,2369
2012-10-15 00:00:00,10,2449
