date,ILITOTAL,OT
2010-10-04 00:00:00,19,4579
2010-10-11 00:00:00,68,4664
2010-10-18 00:00:00,64,4545
2010-10-25 00:00:00,58,4531
2010-11-01 00:00:00,88,4816
2010-11-08 00:00:00,62,4149
2010-11-15 00:00:00,98,5003
2010-11-22 00:00:00,99,3226
2010-11-29 00:00:00,86,4774
2010-12-06 00:00:00,81,4702
2010-12-13 00:00:00,54,3956
2010-12-20 00:00:00,102,3182
2010-12-27 00:00:00,90,3464
2011-01-08 00:00:00,95,4659
2011-01-10 00:00:00,115,5097
2011-01-17 00:00:00,162,4524
2011-01-24 00:00:00,170,4958
2011-01-31 00:00:00,200,5073
2011-02-07 00:00:00,224,4912
2011-02-14 00:00:00,301,5008
2011-02-21 00:00:00,287,4584
2011-02-28 00:00:00,290,5180
2011-03-07 00:00:00,299,4609
2011-03-14 00:00:00,202,4604
2011-03-21 00:00:00,177,4034
2011-03-28 00:00:00,102,3598
2011-04-04 00:00:00,107,3740
2011-04-11 00:00:00,107,3647
2011-04-18 00:00:00,51,3431
2011-04-25 00:00:00,68,3655
2011-05-02 00:00:00,58,3659
2011-05-09 00:00:00,50,3445
2011-05-16 00:00:00,65,3543
2011-05-23 00:00:00,50,3217
2011-05-30 00:00:00,66,2805
2011-06-06 00:00:00,52,3048
2011-06-13 00:00:00,44,2951
2011-06-20 00:00:00,46,2867
2011-06-27 00:00:00,49,3898
2011-07-04 00:00:00,31,3446
2011-07-11 00:00:00,22,3410
2011-07-18 00:00:00,32,3457
2011-07-25 00:00:00,20,3042
2011-08-01 00:00:00,13,3356
2011-08-08 00:00:00,23,3297
2011-08-15 00:00:00,24,3335
2011-08-22 00:00:00,14,3342
2011-08-29 00:00:00,45,3646
2011-09-05 00:00:00,43,3329
2011-09-12 00:00:00,26,3952
2011-09-19 00:00:00,32,3731
2011-09-26 00:00:00,32,3801
2011-10-03 00:00:00,35,3829
2011-10-10 00:00:00,48,3813
2011-10-17 00:00:00,46,3868
2011-10-24 00:00:00,66,4325
2011-10-31 00:00:00,86,4578
2011-11-07 00:00:00,73,4744
2011-11-14 00:00:00,100,4934
2011-11-21 00:00:00,53,3661
2011-11-28 00:00:00,98,4650
2011-12-05 00:00:00,73,4484
2011-12-12 00:00:00,90,4257
2011-12-19 00:00:00,58,3491
2011-12-26 00:00:00,92,3308
2012-01-08 00:00:00,68,4187
2012-01-09 00:00:00,62,4056
2012-01-16 00:00:00,65,3696
2012-01-23 00:00:00,85,4230
2012-01-30 00:00:00,100,4190
2012-02-06 00:00:00,82,4152
2012-02-13 00:00:00,146,4277
2012-02-20 00:00:00,105,4524
2012-02-27 00:00:00,133,4716
2012-03-05 00:00:00,112,4720
2012-03-12 00:00:00,157,4685
2012-03-19 00:00:00,157,4416
2012-03-26 00:00:00,111,3944
2012-04-02 00:00:00,122,3842
2012-04-09 00:00:00,82,3424
