date,ILITOTAL,OT
2010-10-04 00:00:00,505,39390
2010-10-11 00:00:00,600,41354
2010-10-18 00:00:00,644,41122
2010-10-25 00:00:00,623,42741
2010-11-01 00:00:00,625,41966
2010-11-08 00:00:00,651,41894
2010-11-15 00:00:00,661,40492
2010-11-22 00:00:00,622,34238
2010-11-29 00:00:00,659,40646
2010-12-06 00:00:00,732,39506
2010-12-13 00:00:00,775,37787
2010-12-20 00:00:00,1039,33621
2010-12-27 00:00:00,1251,35224
2011-01-08 00:00:00,1172,39188
2011-01-10 00:00:00,1280,38982
2011-01-17 00:00:00,1664,41243
2011-01-24 00:00:00,1991,42193
2011-01-31 00:00:00,1857,37377
2011-02-07 00:00:00,1774,41906
2011-02-14 00:00:00,1739,43006
2011-02-21 00:00:00,1568,40630
2011-02-28 00:00:00,1579,42730
2011-03-07 00:00:00,1345,42161
2011-03-14 00:00:00,1284,38067
2011-03-21 00:00:00,1045,39643
2011-03-28 00:00:00,985,38600
2011-04-04 00:00:00,851,39523
2011-04-11 00:00:00,616,39220
2011-04-18 00:00:00,640,37168
2011-04-25 00:00:00,526,34493
2011-05-02 00:00:00,479,35533
2011-05-09 00:00:00,575,36148
2011-05-16 00:00:00,392,32750
2011-05-23 00:00:00,381,30764
2011-05-30 00:00:00,516,30644
2011-06-06 00:00:00,392,31079
2011-06-13 00:00:00,311,28088
2011-06-20 00:00:00,307,28830
2011-06-27 00:00:00,379,30372
2011-07-04 00:00:00,372,24448
2011-07-11 00:00:00,244,29654
2011-07-18 00:00:00,335,29379
2011-07-25 00:00:00,356,30106
2011-08-01 00:00:00,351,25231
2011-08-08 00:00:00,316,31238
2011-08-15 00:00:00,370,32198
2011-08-22 00:00:00,398,32722
2011-08-29 00:00:00,431,32838
2011-09-05 00:00:00,448,31715
2011-09-12 00:00:00,439,32854
2011-09-19 00:00:00,541,28025
2011-09-26 00:00:00,512,33321
2011-10-03 00:00:00,886,48153
2011-10-10 00:00:00,794,48283
2011-10-17 00:00:00,755,45660
2011-10-24 00:00:00,772,45577
2011-10-31 00:00:00,797,46641
2011-11-07 00:00:00,742,45066
2011-11-14 00:00:00,819,46311
2011-11-21 00:00:00,783,38497
2011-11-28 00:00:00,772,45037
2011-12-05 00:00:00,694,42674
2011-12-12 00:00:00,772,36777
2011-12-19 00:00:00,840,39205
2011-12-26 00:00:00,1020,37940
2012-01-08 00:00:00,888,40324
2012-01-09 00:00:00,830,44465
2012-01-16 00:00:00,867,41643
2012-01-23 00:00:00,948,45962
2012-01-30 00:00:00,1136,46222
2012-02-06 00:00:00,989,41134
2012-02-13 00:00:00,1361,46505
2012-02-20 00:00:00,1557,46222
2012-02-27 00:00:00,1561,46183
2012-03-05 00:00:00,1829,46314
2012-03-12 00:00:00,2074,44423
2012-03-19 00:00:00,1562,46225
2012-03-26 00:00:00,1077,44070
2012-04-02 00:00:00,1009,43446
2012-04-09 00:00:00,962,42655
2012-04-16 00:00:00,863,43494
2012-04-23 00:00:00,839,43388
2012-04-30 00:00:00,749,41710
2012-05-07 00:00:00,544,39298
2012-05-14 00:00:00,542,38434
2012-05-21 00:00:00,482,33992
2012-05-28 00:00:00,511,33864
2012-06-04 00:00:00,490,34865
2012-06-11 00:00:00,374,33701
2012-06-18 00:00:00,389,33811
2012-06-25 00:00:00,402,33327
2012-07-02 00:00:00,369,29556
2012-07-09 00:00:00,396,33554
2012-07-16 00:00:00,397,33178
2012-07-23 00:00:00,429,35060
2012-07-30 00:00:00,490,30953
2012-08-06 00:00:00,378,29636
2012-08-13 00:00:00,442,36986
2012-08-20 00:00:00,518,38624
2012-08-27 00:00:00,579,39232
2012-09-03 00:00:00,503,31457
2012-09-10 00:00:00,687,41273
2012-09-17 00:00:00,607,37070
2012-09-24 00:00:00,644,38979
2012-10-01 00:00:00,696,43991
2012-10-08 00:00:00,734,43363
2012-10-15 00:00:00,789,46136
2012-10-22 00:00:00,765,44430
2012-10-29 00:00:00,836,44225
2012-11-05 00:00:00,923,45500
2012-11-12 00:00:00,885,44293
2012-11-19 00:00:00,853,36638
2012-11-26 00:00:00,1116,46671
2012-12-03 00:00:00,1529,47445
2012-12-10 00:00:00,1995,47063
2012-12-17 00:00:00,2271,44720
2012-12-24 00:00:00,2227,35509
2013-01-08 00:00:00,1903,37641
2013-01-14 00:00:00,2008,46181
2013-01-21 00:00:00,1790,46027
2013-01-28 00:00:00,1500,42329
2013-02-04 00:00:00,1572,44879
2013-02-11 00:00:00,1381,44180
2013-02-18 00:00:00,1282,41900
2013-02-25 00:00:00,1064,41641
2013-03-04 00:00:00,1194,42420
2013-03-11 00:00:00,1102,42033
2013-03-18 00:00:00,1073,35329
2013-03-25 00:00:00,1039,39351
2013-04-01 00:00:00,954,38954
2013-04-08 00:00:00,932,40193
2013-04-15 00:00:00,746,39331
2013-04-22 00:00:00,724,39650
2013-04-29 00:00:00,705,41503
2013-05-06 00:00:00,678,41161
2013-05-13 00:00:00,664,41147
2013-05-20 00:00:00,647,34230
2013-05-27 00:00:00,526,36966
2013-06-03 00:00:00,531,33468
2013-06-10 00:00:00,585,37130
2013-06-17 00:00:00,499,30306
2013-06-24 00:00:00,473,34489
2013-07-01 00:00:00,428,35134
2013-07-08 00:00:00,370,31510
2013-07-15 00:00:00,418,35986
2013-07-22 00:00:00,344,35705
2013-07-29 00:00:00,366,36918
2013-08-05 00:00:00,332,34962
2013-08-12 00:00:00,321,35552
2013-08-19 00:00:00,385,35846
2013-08-26 00:00:00,363,38547
2013-09-02 00:00:00,383,37115
2013-09-09 00:00:00,439,36896
2013-09-16 00:00:00,560,40874
2013-09-23 00:00:00,578,39686
2013-09-30 00:00:00,562,39031
2013-10-07 00:00:00,859,60860
2013-10-14 00:00:00,932,61042
2013-10-21 00:00:00,937,58470
2013-10-28 00:00:00,1036,59792
2013-11-04 00:00:00,1072,58003
2013-11-11 00:00:00,1069,59677
2013-11-18 00:00:00,1060,58668
2013-11-25 00:00:00,1095,56729
2013-12-02 00:00:00,1012,43271
2013-12-09 00:00:00,1371,57583
2013-12-16 00:00:00,1337,48075
2013-12-23 00:00:00,1627,54227
2013-12-30 00:00:00,1920,42588
2014-01-08 00:00:00,1995,44908
2014-01-13 00:00:00,1716,49753
2014-01-20 00:00:00,1712,57151
2014-01-27 00:00:00,1538,54661
2014-02-03 00:00:00,1240,53607
2014-02-10 00:00:00,1120,53509
2014-02-17 00:00:00,1146,56725
2014-02-24 00:00:00,1182,57008
2014-03-03 00:00:00,1186,58078
2014-03-10 00:00:00,1033,55868
2014-03-17 00:00:00,1101,55518
2014-03-24 00:00:00,975,55648
2014-03-31 00:00:00,1126,55297
2014-04-07 00:00:00,1158,58978
2014-04-14 00:00:00,1181,60506
2014-04-21 00:00:00,1006,56237
2014-04-28 00:00:00,1093,58699
2014-05-05 00:00:00,956,55763
2014-05-12 00:00:00,1055,52980
2014-05-19 00:00:00,808,49493
2014-05-26 00:00:00,794,45828
2014-06-02 00:00:00,757,48488
2014-06-09 00:00:00,761,51174
2014-06-16 00:00:00,678,47477
2014-06-23 00:00:00,660,47055
2014-06-30 00:00:00,461,42528
2014-07-07 00:00:00,347,39641
2014-07-14 00:00:00,392,43607
2014-07-21 00:00:00,351,42463
2014-07-28 00:00:00,343,43499
2014-08-04 00:00:00,331,42964
2014-08-11 00:00:00,338,41687
2014-08-18 00:00:00,351,44070
2014-08-25 00:00:00,410,41268
2014-09-01 00:00:00,362,42561
2014-09-08 00:00:00,559,47757
2014-09-15 00:00:00,984,52363
2014-09-22 00:00:00,966,53538
2014-09-29 00:00:00,801,50115
2014-10-06 00:00:00,853,57777
2014-10-13 00:00:00,831,56141
2014-10-20 00:00:00,929,56597
2014-10-27 00:00:00,899,56302
2014-11-03 00:00:00,979,56032
2014-11-10 00:00:00,1109,56714
2014-11-17 00:00:00,1212,55943
2014-11-24 00:00:00,1378,53968
2014-12-01 00:00:00,1810,47624
2014-12-08 00:00:00,2687,59675
2014-12-15 00:00:00,3463,60819
2014-12-22 00:00:00,3569,59727
2014-12-29 00:00:00,2308,41250
2015-01-05 00:00:00,2035,47036
2015-01-08 00:00:00,1397,45457
2015-01-12 00:00:00,1120,48417
2015-01-19 00:00:00,1158,52324
2015-01-26 00:00:00,1153,50374
2015-02-02 00:00:00,1030,43837
2015-02-09 00:00:00,1288,54276
2015-02-16 00:00:00,1232,51881
2015-02-23 00:00:00,1285,53167
2015-03-02 00:00:00,1359,52133
2015-03-09 00:00:00,1484,56538
2015-03-16 00:00:00,1562,55721
2015-03-23 00:00:00,1549,53030
2015-03-30 00:00:00,1547,53799
2015-04-06 00:00:00,1358,55380
2015-04-13 00:00:00,1142,56439
2015-04-20 00:00:00,922,49683
2015-04-27 00:00:00,937,53501
2015-05-04 00:00:00,878,53675
2015-05-11 00:00:00,752,49803
2015-05-18 00:00:00,742,49745
2015-05-25 00:00:00,562,43741
2015-06-01 00:00:00,558,40127
2015-06-08 00:00:00,521,41118
2015-06-15 00:00:00,435,40497
2015-06-22 00:00:00,548,44035
2015-06-29 00:00:00,448,40243
2015-07-06 00:00:00,435,41592
2015-07-13 00:00:00,437,42473
2015-07-20 00:00:00,415,41467
2015-07-27 00:00:00,432,40585
2015-08-03 00:00:00,438,39113
2015-08-10 00:00:00,412,41705
2015-08-17 00:00:00,384,42602
2015-08-24 00:00:00,450,42529
2015-08-31 00:00:00,428,41970
2015-09-07 00:00:00,500,40875
2015-09-14 00:00:00,643,43810
2015-09-21 00:00:00,609,42763
2015-09-28 00:00:00,542,42332
2015-10-05 00:00:00,833,50853
2015-10-12 00:00:00,908,51632
2015-10-19 00:00:00,806,50243
2015-10-26 00:00:00,842,47425
2015-11-02 00:00:00,920,51197
2015-11-09 00:00:00,1020,50541
2015-11-16 00:00:00,978,51610
2015-11-23 00:00:00,830,40525
2015-11-30 00:00:00,1057,51760
2015-12-07 00:00:00,1119,51779
2015-12-14 00:00:00,1008,46511
2015-12-21 00:00:00,1041,39103
2015-12-28 00:00:00,1034,40520
2016-01-08 00:00:00,1178,48185
2016-01-11 00:00:00,1217,43598
2016-01-18 00:00:00,1238,48322
2016-01-25 00:00:00,1402,50944
2016-02-01 00:00:00,1551,50924
2016-02-08 00:00:00,1699,51037
2016-02-15 00:00:00,2003,51686
2016-02-22 00:00:00,1989,51161
2016-02-29 00:00:00,2162,51838
2016-03-07 00:00:00,2093,53528
2016-03-14 00:00:00,1642,49329
2016-03-21 00:00:00,1335,47886
2016-03-28 00:00:00,1246,48786
2016-04-04 00:00:00,1029,48984
2016-04-11 00:00:00,955,49589
2016-04-18 00:00:00,894,49928
2016-04-25 00:00:00,800,49573
2016-05-02 00:00:00,664,47662
2016-05-09 00:00:00,699,46841
2016-05-16 00:00:00,636,45071
2016-05-23 00:00:00,540,40945
2016-05-30 00:00:00,513,37182
2016-06-06 00:00:00,395,39419
2016-06-13 00:00:00,310,36004
2016-06-20 00:00:00,346,35000
2016-06-27 00:00:00,355,30575
2016-07-04 00:00:00,289,33162
2016-07-11 00:00:00,317,38049
2016-07-18 00:00:00,307,37289
2016-07-25 00:00:00,295,37455
2016-08-01 00:00:00,267,36812
2016-08-08 00:00:00,263,38387
2016-08-15 00:00:00,275,39081
2016-08-22 00:00:00,327,38635
2016-08-29 00:00:00,315,39968
2016-09-05 00:00:00,396,38388
2016-09-12 00:00:00,516,39913
2016-09-19 00:00:00,497,42245
2016-09-26 00:00:00,623,40089
2016-10-03 00:00:00,640,49406
2016-10-10 00:00:00,571,46943
2016-10-17 00:00:00,743,49952
2016-10-24 00:00:00,742,48249
2016-10-31 00:00:00,804,48388
2016-11-07 00:00:00,827,46592
2016-11-14 00:00:00,899,48074
2016-11-21 00:00:00,744,38743
2016-11-28 00:00:00,860,48951
2016-12-05 00:00:00,894,47265
2016-12-12 00:00:00,943,44978
2016-12-19 00:00:00,978,42500
2016-12-26 00:00:00,1234,40207
2017-01-08 00:00:00,1267,44772
2017-01-09 00:00:00,1350,46715
2017-01-16 00:00:00,1443,47859
2017-01-23 00:00:00,1640,50900
2017-01-30 00:00:00,1810,50544
2017-02-06 00:00:00,2297,52630
2017-02-13 00:00:00,2435,51061
2017-02-20 00:00:00,2284,50022
2017-02-27 00:00:00,1743,49468
2017-03-06 00:00:00,1759,48592
2017-03-13 00:00:00,1450,45468
2017-03-20 00:00:00,1440,46421
2017-03-27 00:00:00,1348,49288
2017-04-03 00:00:00,1169,49712
2017-04-10 00:00:00,764,47560
2017-04-17 00:00:00,676,48183
2017-04-24 00:00:00,681,48483
2017-05-01 00:00:00,617,47323
2017-05-08 00:00:00,715,46952
2017-05-15 00:00:00,576,45776
2017-05-22 00:00:00,485,39745
2017-05-29 00:00:00,417,36392
2017-06-05 00:00:00,404,38935
2017-06-12 00:00:00,339,37657
2017-06-19 00:00:00,328,37560
2017-06-26 00:00:00,293,34829
2017-07-03 00:00:00,226,33676
2017-07-10 00:00:00,276,35146
2017-07-17 00:00:00,238,33615
2017-07-24 00:00:00,242,35291
2017-07-31 00:00:00,256,35382
2017-08-07 00:00:00,249,34747
2017-08-14 00:00:00,273,36935
2017-08-21 00:00:00,263,36584
2017-08-28 00:00:00,299,38072
2017-09-04 00:00:00,354,35752
2017-09-11 00:00:00,476,39552
2017-09-18 00:00:00,469,39632
2017-09-25 00:00:00,473,40132
2017-10-02 00:00:00,571,48264
2017-10-09 00:00:00,583,45846
2017-10-16 00:00:00,485,48311
2017-10-23 00:00:00,535,47022
2017-10-30 00:00:00,549,46259
2017-11-06 00:00:00,633,46858
2017-11-13 00:00:00,610,47169
2017-11-20 00:00:00,545,34958
2017-11-27 00:00:00,906,48729
2017-12-04 00:00:00,957,47864
2017-12-11 00:00:00,1397,46587
2017-12-18 00:00:00,1956,46597
2017-12-25 00:00:00,2524,39171
2018-01-08 00:00:00,2495,42614
2018-01-15 00:00:00,2465,47503
2018-01-22 00:00:00,2370,45340
2018-01-29 00:00:00,2560,50888
2018-02-05 00:00:00,2720,46394
2018-02-12 00:00:00,2552,45691
2018-02-19 00:00:00,2414,48859
2018-02-26 00:00:00,1879,46933
2018-03-05 00:00:00,1279,46939
2018-03-12 00:00:00,1081,46923
2018-03-19 00:00:00,1051,45384
2018-03-26 00:00:00,958,43290
2018-04-02 00:00:00,811,37040
2018-04-09 00:00:00,781,44354
2018-04-16 00:00:00,695,45005
2018-04-23 00:00:00,506,42888
2018-04-30 00:00:00,578,45444
2018-05-07 00:00:00,445,43161
2018-05-14 00:00:00,423,43096
2018-05-21 00:00:00,387,42744
2018-05-28 00:00:00,366,38464
2018-06-04 00:00:00,319,35061
2018-06-11 00:00:00,224,34926
2018-06-18 00:00:00,209,34579
2018-06-25 00:00:00,269,36948
2018-07-02 00:00:00,239,37154
2018-07-09 00:00:00,241,32637
2018-07-16 00:00:00,264,37900
2018-07-23 00:00:00,221,37420
2018-07-30 00:00:00,164,35777
2018-08-06 00:00:00,177,34920
2018-08-13 00:00:00,157,35580
2018-08-20 00:00:00,172,36147
2018-08-27 00:00:00,188,36699
2018-09-03 00:00:00,269,37696
2018-09-10 00:00:00,263,35501
2018-09-17 00:00:00,292,39108
2018-09-24 00:00:00,334,39035
2018-10-01 00:00:00,272,36592
2018-10-08 00:00:00,394,49752
2018-10-15 00:00:00,493,49031
2018-10-22 00:00:00,518,49846
2018-10-29 00:00:00,579,49913
2018-11-05 00:00:00,656,50265
2018-11-12 00:00:00,632,50231
2018-11-19 00:00:00,649,47240
2018-11-26 00:00:00,627,40380
2018-12-03 00:00:00,732,50693
2018-12-10 00:00:00,788,51096
2018-12-17 00:00:00,849,50461
2018-12-24 00:00:00,987,47120
2018-12-31 00:00:00,1339,40167
2019-01-08 00:00:00,1262,43073
2019-01-14 00:00:00,1019,46670
2019-01-21 00:00:00,1057,48735
2019-01-28 00:00:00,1046,46658
2019-02-04 00:00:00,1089,36950
2019-02-11 00:00:00,1198,51337
2019-02-18 00:00:00,1326,47549
2019-02-25 00:00:00,1601,50618
2019-03-04 00:00:00,1557,48986
2019-03-11 00:00:00,1650,50013
2019-03-18 00:00:00,1907,51993
2019-03-25 00:00:00,1458,46705
2019-04-01 00:00:00,1255,49561
2019-04-08 00:00:00,1062,49511
2019-04-15 00:00:00,847,42059
2019-04-22 00:00:00,691,45354
2019-04-29 00:00:00,562,43180
2019-05-06 00:00:00,479,39394
2019-05-13 00:00:00,487,45999
2019-05-20 00:00:00,445,42446
2019-05-27 00:00:00,370,38076
2019-06-03 00:00:00,281,30633
2019-06-10 00:00:00,243,29955
2019-06-17 00:00:00,272,38019
2019-06-24 00:00:00,219,38208
2019-07-01 00:00:00,238,31379
2019-07-08 00:00:00,195,29291
2019-07-15 00:00:00,195,33962
2019-07-22 00:00:00,197,37936
2019-07-29 00:00:00,193,33365
2019-08-05 00:00:00,187,32997
