date,ILITOTAL,OT
2010-10-04 00:00:00,65,12525
2010-10-11 00:00:00,84,12861
2010-10-18 00:00:00,76,13006
2010-10-25 00:00:00,76,13079
2010-11-01 00:00:00,107,12704
2010-11-08 00:00:00,97,12898
2010-11-15 00:00:00,104,12670
2010-11-22 00:00:00,72,9056
2010-11-29 00:00:00,109,12286
2010-12-06 00:00:00,112,11790
2010-12-13 00:00:00,98,10164
2010-12-20 00:00:00,100,7337
2010-12-27 00:00:00,136,7849
2011-01-08 00:00:00,168,9590
2011-01-10 00:00:00,256,10650
2011-01-17 00:00:00,510,11622
2011-01-24 00:00:00,902,13064
2011-01-31 00:00:00,826,12198
2011-02-07 00:00:00,832,13702
2011-02-14 00:00:00,844,14125
2011-02-21 00:00:00,664,13218
2011-02-28 00:00:00,509,13366
2011-03-07 00:00:00,342,12539
2011-03-14 00:00:00,235,11463
2011-03-21 00:00:00,217,13032
2011-03-28 00:00:00,119,12088
2011-04-04 00:00:00,107,11601
2011-04-11 00:00:00,68,11701
2011-04-18 00:00:00,53,11166
2011-04-25 00:00:00,53,10329
2011-05-02 00:00:00,46,10361
2011-05-09 00:00:00,59,8638
2011-05-16 00:00:00,43,8268
2011-05-23 00:00:00,35,7634
2011-05-30 00:00:00,48,6650
2011-06-06 00:00:00,31,7160
2011-06-13 00:00:00,30,6793
2011-06-20 00:00:00,21,6753
2011-06-27 00:00:00,31,5991
2011-07-04 00:00:00,26,5815
2011-07-11 00:00:00,14,5941
2011-07-18 00:00:00,19,6375
2011-07-25 00:00:00,18,6406
2011-08-01 00:00:00,14,6592
2011-08-08 00:00:00,12,6222
2011-08-15 00:00:00,17,7077
2011-08-22 00:00:00,28,8293
2011-08-29 00:00:00,27,8247
2011-09-05 00:00:00,34,7312
2011-09-12 00:00:00,33,8622
2011-09-19 00:00:00,53,8102
2011-09-26 00:00:00,77,9055
2011-10-03 00:00:00,97,11603
2011-10-10 00:00:00,132,11669
2011-10-17 00:00:00,130,10716
2011-10-24 00:00:00,118,11115
2011-10-31 00:00:00,150,11185
2011-11-07 00:00:00,130,11526
2011-11-14 00:00:00,115,11214
2011-11-21 00:00:00,91,8247
2011-11-28 00:00:00,120,10672
2011-12-05 00:00:00,109,9788
2011-12-12 00:00:00,103,9936
2011-12-19 00:00:00,89,7893
2011-12-26 00:00:00,109,7303
2012-01-08 00:00:00,92,8609
2012-01-09 00:00:00,106,9499
2012-01-16 00:00:00,91,9360
2012-01-23 00:00:00,133,10287
2012-01-30 00:00:00,133,9613
2012-02-06 00:00:00,125,9688
2012-02-13 00:00:00,110,9906
2012-02-20 00:00:00,183,9756
2012-02-27 00:00:00,175,9892
2012-03-05 00:00:00,193,9613
2012-03-12 00:00:00,219,8966
2012-03-19 00:00:00,193,9607
2012-03-26 00:00:00,153,9496
2012-04-02 00:00:00,145,8359
2012-04-09 00:00:00,95,9136
2012-04-16 00:00:00,91,9936
2012-04-23 00:00:00,66,9246
2012-04-30 00:00:00,62,7946
2012-05-07 00:00:00,56,7616
2012-05-14 00:00:00,36,6826
2012-05-21 00:00:00,31,6169
