date,ILITOTAL,OT
2010-10-04 00:00:00,39,8819
2010-10-11 00:00:00,49,8485
2010-10-18 00:00:00,43,8963
2010-10-25 00:00:00,53,9850
2010-11-01 00:00:00,49,10181
2010-11-08 00:00:00,74,10207
2010-11-15 00:00:00,63,10574
2010-11-22 00:00:00,61,6850
2010-11-29 00:00:00,66,9174
2010-12-06 00:00:00,86,10381
2010-12-13 00:00:00,84,9738
2010-12-20 00:00:00,75,7741
2010-12-27 00:00:00,81,5936
2011-01-08 00:00:00,101,9547
2011-01-10 00:00:00,79,7439
2011-01-17 00:00:00,148,9233
2011-01-24 00:00:00,291,10226
2011-01-31 00:00:00,286,8630
2011-02-07 00:00:00,341,10672
2011-02-14 00:00:00,397,10665
2011-02-21 00:00:00,403,11867
2011-02-28 00:00:00,350,11338
2011-03-07 00:00:00,255,10183
2011-03-14 00:00:00,147,8309
2011-03-21 00:00:00,96,6159
2011-03-28 00:00:00,83,7325
2011-04-04 00:00:00,70,7846
2011-04-11 00:00:00,51,8277
2011-04-18 00:00:00,46,8183
2011-04-25 00:00:00,48,6976
2011-05-02 00:00:00,32,6710
2011-05-09 00:00:00,31,7306
2011-05-16 00:00:00,39,6110
2011-05-23 00:00:00,25,3748
2011-05-30 00:00:00,19,3674
2011-06-06 00:00:00,18,3867
2011-06-13 00:00:00,6,3924
2011-06-20 00:00:00,14,3605
2011-06-27 00:00:00,4,3729
2011-07-04 00:00:00,4,3666
2011-07-11 00:00:00,4,4016
2011-07-18 00:00:00,14,3473
2011-07-25 00:00:00,14,4068
2011-08-01 00:00:00,6,3116
2011-08-08 00:00:00,8,3829
2011-08-15 00:00:00,2,4373
2011-08-22 00:00:00,12,4548
2011-08-29 00:00:00,17,4056
2011-09-05 00:00:00,35,4027
2011-09-12 00:00:00,45,4585
2011-09-19 00:00:00,26,4400
2011-09-26 00:00:00,41,4647
2011-10-03 00:00:00,81,8919
2011-10-10 00:00:00,82,10054
2011-10-17 00:00:00,80,10485
2011-10-24 00:00:00,93,10424
2011-10-31 00:00:00,72,9450
2011-11-07 00:00:00,78,9797
2011-11-14 00:00:00,65,10703
2011-11-21 00:00:00,70,7350
2011-11-28 00:00:00,66,10165
2011-12-05 00:00:00,71,9546
2011-12-12 00:00:00,80,8189
2011-12-19 00:00:00,70,7645
2011-12-26 00:00:00,77,6245
2012-01-08 00:00:00,59,7710
2012-01-09 00:00:00,91,9505
2012-01-16 00:00:00,109,8582
2012-01-23 00:00:00,112,10454
2012-01-30 00:00:00,155,10182
2012-02-06 00:00:00,218,10012
2012-02-13 00:00:00,265,9961
2012-02-20 00:00:00,289,9240
2012-02-27 00:00:00,323,9766
2012-03-05 00:00:00,338,9843
2012-03-12 00:00:00,262,9923
2012-03-19 00:00:00,133,7489
2012-03-26 00:00:00,93,8879
2012-04-02 00:00:00,78,8407
2012-04-09 00:00:00,40,8823
2012-04-16 00:00:00,39,8412
2012-04-23 00:00:00,35,8978
2012-04-30 00:00:00,30,8442
2012-05-07 00:00:00,22,7857
2012-05-14 00:00:00,18,7055
2012-05-21 00:00:00,10,3738
2012-05-28 00:00:00,5,2797
2012-06-04 00:00:00,3,2591
2012-06-11 00:00:00,3,2670
2012-06-18 00:00:00,1,2485
2012-06-25 00:00:00,1,2535
2012-07-02 00:00:00,4,2332
2012-07-09 00:00:00,3,2793
2012-07-16 00:00:00,0,2568
2012-07-23 00:00:00,4,2507
2012-07-30 00:00:00,3,2693
2012-08-06 00:00:00,2,2676
2012-08-13 00:00:00,2,2928
2012-08-20 00:00:00,6,3119
2012-08-27 00:00:00,3,3322
2012-09-03 00:00:00,6,3306
2012-09-10 00:00:00,8,3631
2012-09-17 00:00:00,7,3516
2012-09-24 00:00:00,2,3488
2012-10-01 00:00:00,50,7870
2012-10-08 00:00:00,62,8239
2012-10-15 00:00:00,92,8401
2012-10-22 00:00:00,64,8066
2012-10-29 00:00:00,135,8383
2012-11-05 00:00:00,98,8784
2012-11-12 00:00:00,75,8265
2012-11-19 00:00:00,64,6199
2012-11-26 00:00:00,99,8101
2012-12-03 00:00:00,194,8251
2012-12-10 00:00:00,205,7894
2012-12-17 00:00:00,259,7523
2012-12-24 00:00:00,347,5831
2013-01-08 00:00:00,415,6802
2013-01-14 00:00:00,396,8317
2013-01-21 00:00:00,513,8498
2013-01-28 00:00:00,473,8659
2013-02-04 00:00:00,512,8372
2013-02-11 00:00:00,458,8503
2013-02-18 00:00:00,306,8071
2013-02-25 00:00:00,221,6350
2013-03-04 00:00:00,143,6976
2013-03-11 00:00:00,133,7561
2013-03-18 00:00:00,76,7243
2013-03-25 00:00:00,54,5755
2013-04-01 00:00:00,40,6517
2013-04-08 00:00:00,30,6637
2013-04-15 00:00:00,35,6344
2013-04-22 00:00:00,10,6354
2013-04-29 00:00:00,13,6195
2013-05-06 00:00:00,18,6026
2013-05-13 00:00:00,15,6094
2013-05-20 00:00:00,13,6209
2013-05-27 00:00:00,8,4011
2013-06-03 00:00:00,13,3901
2013-06-10 00:00:00,9,4132
2013-06-17 00:00:00,7,4032
2013-06-24 00:00:00,7,3662
2013-07-01 00:00:00,6,3908
2013-07-08 00:00:00,5,2729
2013-07-15 00:00:00,3,3474
2013-07-22 00:00:00,5,3160
2013-07-29 00:00:00,2,3369
2013-08-05 00:00:00,2,2647
2013-08-12 00:00:00,4,2777
2013-08-19 00:00:00,5,2898
2013-08-26 00:00:00,4,3270
2013-09-02 00:00:00,9,3042
2013-09-09 00:00:00,11,3287
2013-09-16 00:00:00,6,3752
2013-09-23 00:00:00,10,3711
2013-09-30 00:00:00,10,3515
2013-10-07 00:00:00,24,7194
2013-10-14 00:00:00,42,6995
2013-10-21 00:00:00,42,7335
2013-10-28 00:00:00,72,7766
2013-11-04 00:00:00,71,7169
2013-11-11 00:00:00,88,7826
2013-11-18 00:00:00,54,7336
2013-11-25 00:00:00,98,7580
2013-12-02 00:00:00,63,5264
2013-12-09 00:00:00,91,6800
2013-12-16 00:00:00,113,6647
2013-12-23 00:00:00,171,6176
2013-12-30 00:00:00,276,4620
2014-01-08 00:00:00,299,5596
2014-01-13 00:00:00,299,6549
2014-01-20 00:00:00,384,6731
2014-01-27 00:00:00,350,6627
2014-02-03 00:00:00,314,6729
2014-02-10 00:00:00,176,5887
2014-02-17 00:00:00,158,6980
2014-02-24 00:00:00,153,6983
2014-03-03 00:00:00,142,6766
2014-03-10 00:00:00,102,7051
2014-03-17 00:00:00,127,6810
2014-03-24 00:00:00,66,5435
2014-03-31 00:00:00,46,6997
2014-04-07 00:00:00,56,6490
2014-04-14 00:00:00,38,6821
2014-04-21 00:00:00,33,5552
2014-04-28 00:00:00,38,6026
2014-05-05 00:00:00,33,5881
2014-05-12 00:00:00,29,5651
2014-05-19 00:00:00,25,4276
2014-05-26 00:00:00,8,3948
2014-06-02 00:00:00,13,3521
2014-06-09 00:00:00,4,3571
2014-06-16 00:00:00,7,3402
2014-06-23 00:00:00,9,3431
2014-06-30 00:00:00,1,2240
2014-07-07 00:00:00,2,2527
2014-07-14 00:00:00,5,2982
2014-07-21 00:00:00,7,2759
2014-07-28 00:00:00,5,2869
2014-08-04 00:00:00,10,2303
2014-08-11 00:00:00,12,2615
2014-08-18 00:00:00,7,2802
2014-08-25 00:00:00,3,2794
2014-09-01 00:00:00,12,3194
2014-09-08 00:00:00,14,2540
2014-09-15 00:00:00,21,2255
2014-09-22 00:00:00,20,2543
2014-09-29 00:00:00,31,3501
2014-10-06 00:00:00,35,7022
2014-10-13 00:00:00,42,6994
2014-10-20 00:00:00,55,6285
2014-10-27 00:00:00,67,7259
2014-11-03 00:00:00,47,6016
2014-11-10 00:00:00,71,6974
2014-11-17 00:00:00,82,6903
2014-11-24 00:00:00,130,7130
2014-12-01 00:00:00,107,4820
2014-12-08 00:00:00,152,6833
2014-12-15 00:00:00,351,7456
2014-12-22 00:00:00,529,6529
2014-12-29 00:00:00,413,4787
2015-01-05 00:00:00,466,5304
2015-01-08 00:00:00,397,6271
2015-01-12 00:00:00,410,6816
2015-01-19 00:00:00,485,7208
2015-01-26 00:00:00,555,7819
2015-02-02 00:00:00,449,7455
2015-02-09 00:00:00,345,7570
2015-02-16 00:00:00,291,6983
2015-02-23 00:00:00,285,7321
2015-03-02 00:00:00,312,7254
2015-03-09 00:00:00,300,7273
2015-03-16 00:00:00,177,6239
2015-03-23 00:00:00,162,6832
2015-03-30 00:00:00,136,6617
2015-04-06 00:00:00,119,6769
2015-04-13 00:00:00,92,6684
2015-04-20 00:00:00,79,5601
2015-04-27 00:00:00,86,5499
2015-05-04 00:00:00,47,5269
2015-05-11 00:00:00,28,3380
2015-05-18 00:00:00,20,4587
2015-05-25 00:00:00,16,3603
2015-06-01 00:00:00,11,3060
2015-06-08 00:00:00,15,3463
2015-06-15 00:00:00,13,3318
2015-06-22 00:00:00,19,3036
2015-06-29 00:00:00,8,2999
2015-07-06 00:00:00,8,3363
2015-07-13 00:00:00,4,3294
2015-07-20 00:00:00,6,3370
2015-07-27 00:00:00,11,3446
2015-08-03 00:00:00,6,3509
2015-08-10 00:00:00,4,3811
2015-08-17 00:00:00,12,3855
2015-08-24 00:00:00,13,4141
2015-08-31 00:00:00,12,4408
2015-09-07 00:00:00,9,4067
2015-09-14 00:00:00,27,4345
2015-09-21 00:00:00,35,3896
2015-09-28 00:00:00,49,3986
2015-10-05 00:00:00,90,8024
2015-10-12 00:00:00,78,7602
2015-10-19 00:00:00,85,8088
2015-10-26 00:00:00,91,7537
2015-11-02 00:00:00,119,7421
2015-11-09 00:00:00,111,7694
2015-11-16 00:00:00,111,7885
2015-11-23 00:00:00,90,5690
2015-11-30 00:00:00,104,7374
2015-12-07 00:00:00,91,7108
2015-12-14 00:00:00,91,6746
2015-12-21 00:00:00,67,4972
2015-12-28 00:00:00,71,4541
2016-01-08 00:00:00,99,6216
2016-01-11 00:00:00,83,6912
2016-01-18 00:00:00,81,6709
2016-01-25 00:00:00,105,7233
2016-02-01 00:00:00,122,7273
2016-02-08 00:00:00,122,7411
2016-02-15 00:00:00,182,7760
2016-02-22 00:00:00,185,7694
2016-02-29 00:00:00,204,6933
2016-03-07 00:00:00,242,7407
2016-03-14 00:00:00,151,5858
2016-03-21 00:00:00,149,6909
2016-03-28 00:00:00,128,6195
2016-04-04 00:00:00,151,6865
2016-04-11 00:00:00,142,7037
2016-04-18 00:00:00,91,6792
2016-04-25 00:00:00,59,6268
2016-05-02 00:00:00,65,6413
