date,ILITOTAL,OT
2010-10-04 00:00:00,19,13293
2010-10-11 00:00:00,23,10269
2010-10-18 00:00:00,25,16010
2010-10-25 00:00:00,27,17987
2010-11-01 00:00:00,38,13118
2010-11-08 00:00:00,34,15247
2010-11-15 00:00:00,78,16839
2010-11-22 00:00:00,63,11675
2010-11-29 00:00:00,111,16482
2010-12-06 00:00:00,90,15032
2010-12-13 00:00:00,77,12229
2010-12-20 00:00:00,148,11496
2010-12-27 00:00:00,134,14044
2011-01-08 00:00:00,135,10622
2011-01-10 00:00:00,98,13792
2011-01-17 00:00:00,224,14943
2011-01-24 00:00:00,365,18061
2011-01-31 00:00:00,496,15490
2011-02-07 00:00:00,465,15302
2011-02-14 00:00:00,329,15366
2011-02-21 00:00:00,459,17843
2011-02-28 00:00:00,291,16315
2011-03-07 00:00:00,144,15170
2011-03-14 00:00:00,96,15035
2011-03-21 00:00:00,79,16145
2011-03-28 00:00:00,127,18121
2011-04-04 00:00:00,44,12356
2011-04-11 00:00:00,43,14314
2011-04-18 00:00:00,28,14960
2011-04-25 00:00:00,35,19042
2011-05-02 00:00:00,72,12985
2011-05-09 00:00:00,19,14187
2011-05-16 00:00:00,18,14193
2011-05-23 00:00:00,8,16454
2011-05-30 00:00:00,33,10202
2011-06-06 00:00:00,6,14021
2011-06-13 00:00:00,12,14947
2011-06-20 00:00:00,10,13660
2011-06-27 00:00:00,34,16087
2011-07-04 00:00:00,5,9836
2011-07-11 00:00:00,5,16156
2011-07-18 00:00:00,26,13902
2011-07-25 00:00:00,2,15268
2011-08-01 00:00:00,23,10098
2011-08-08 00:00:00,0,13874
2011-08-15 00:00:00,2,15050
2011-08-22 00:00:00,3,15515
2011-08-29 00:00:00,6,12142
2011-09-05 00:00:00,7,14463
2011-09-12 00:00:00,7,15353
2011-09-19 00:00:00,5,17969
2011-09-26 00:00:00,8,12565
2011-10-03 00:00:00,73,17007
2011-10-10 00:00:00,53,16821
2011-10-17 00:00:00,49,19493
2011-10-24 00:00:00,59,16564
2011-10-31 00:00:00,84,17940
2011-11-07 00:00:00,54,18632
2011-11-14 00:00:00,57,15257
2011-11-21 00:00:00,51,19976
2011-11-28 00:00:00,77,19407
2011-12-05 00:00:00,84,18517
2011-12-12 00:00:00,47,18752
2011-12-19 00:00:00,49,18451
2011-12-26 00:00:00,37,13220
2012-01-08 00:00:00,62,17922
2012-01-09 00:00:00,71,18739
