date,ILITOTAL,OT
2010-10-04 00:00:00,391,17141
2010-10-11 00:00:00,325,15871
2010-10-18 00:00:00,402,16545
2010-10-25 00:00:00,326,16904
2010-11-01 00:00:00,492,17513
2010-11-08 00:00:00,463,22198
2010-11-15 00:00:00,539,19147
2010-11-22 00:00:00,433,14793
2010-11-29 00:00:00,443,16624
2010-12-06 00:00:00,492,17541
2010-12-13 00:00:00,450,13316
2010-12-20 00:00:00,588,15367
2010-12-27 00:00:00,1307,23212
2011-01-08 00:00:00,922,21010
2011-01-10 00:00:00,989,17289
2011-01-17 00:00:00,1684,21510
2011-01-24 00:00:00,1035,15601
2011-01-31 00:00:00,2251,22407
2011-02-07 00:00:00,1596,21909
2011-02-14 00:00:00,1656,22467
2011-02-21 00:00:00,1102,21809
2011-02-28 00:00:00,602,14637
2011-03-07 00:00:00,596,16835
2011-03-14 00:00:00,695,20730
2011-03-21 00:00:00,585,20056
2011-03-28 00:00:00,392,21461
2011-04-04 00:00:00,467,18793
2011-04-11 00:00:00,242,16289
2011-04-18 00:00:00,219,14243
2011-04-25 00:00:00,308,16203
2011-05-02 00:00:00,184,12210
2011-05-09 00:00:00,107,14308
2011-05-16 00:00:00,178,16480
2011-05-23 00:00:00,165,14318
2011-05-30 00:00:00,121,14205
2011-06-06 00:00:00,152,15700
2011-06-13 00:00:00,162,14094
2011-06-20 00:00:00,149,15311
2011-06-27 00:00:00,145,13874
2011-07-04 00:00:00,65,8784
2011-07-11 00:00:00,119,12988
2011-07-18 00:00:00,180,14738
2011-07-25 00:00:00,169,14913
2011-08-01 00:00:00,109,12490
2011-08-08 00:00:00,113,10437
2011-08-15 00:00:00,121,10781
2011-08-22 00:00:00,198,13682
2011-08-29 00:00:00,171,12506
2011-09-05 00:00:00,170,9960
2011-09-12 00:00:00,35,1764
2011-09-19 00:00:00,37,1169
2011-09-26 00:00:00,127,4267
2011-10-03 00:00:00,377,13235
2011-10-10 00:00:00,355,12277
2011-10-17 00:00:00,333,13581
2011-10-24 00:00:00,314,13359
2011-10-31 00:00:00,420,16869
2011-11-07 00:00:00,289,11680
2011-11-14 00:00:00,356,12619
2011-11-21 00:00:00,290,11482
2011-11-28 00:00:00,355,12028
2011-12-05 00:00:00,321,11949
2011-12-12 00:00:00,449,12049
2011-12-19 00:00:00,338,12422
2011-12-26 00:00:00,314,10399
2012-01-08 00:00:00,397,11612
2012-01-09 00:00:00,226,9356
2012-01-16 00:00:00,238,9045
2012-01-23 00:00:00,270,12667
2012-01-30 00:00:00,266,12915
2012-02-06 00:00:00,365,12772
2012-02-13 00:00:00,376,11829
2012-02-20 00:00:00,430,17103
2012-02-27 00:00:00,370,15300
2012-03-05 00:00:00,329,13104
2012-03-12 00:00:00,425,15473
2012-03-19 00:00:00,365,14488
2012-03-26 00:00:00,422,16224
2012-04-02 00:00:00,284,12692
2012-04-09 00:00:00,233,12870
2012-04-16 00:00:00,350,15903
2012-04-23 00:00:00,289,14520
2012-04-30 00:00:00,326,15526
2012-05-07 00:00:00,227,12379
2012-05-14 00:00:00,248,14045
2012-05-21 00:00:00,302,18243
2012-05-28 00:00:00,120,14205
2012-06-04 00:00:00,262,16143
2012-06-11 00:00:00,206,14749
2012-06-18 00:00:00,206,16568
2012-06-25 00:00:00,202,16954
2012-07-02 00:00:00,184,15761
2012-07-09 00:00:00,191,16216
2012-07-16 00:00:00,199,18760
2012-07-23 00:00:00,196,19838
2012-07-30 00:00:00,227,18388
2012-08-06 00:00:00,261,19684
2012-08-13 00:00:00,219,19599
2012-08-20 00:00:00,344,20133
2012-08-27 00:00:00,364,18388
2012-09-03 00:00:00,301,18901
2012-09-10 00:00:00,360,20076
2012-09-17 00:00:00,395,20854
2012-09-24 00:00:00,370,20367
2012-10-01 00:00:00,549,19042
2012-10-08 00:00:00,677,23433
2012-10-15 00:00:00,681,25644
2012-10-22 00:00:00,809,24798
2012-10-29 00:00:00,837,25336
2012-11-05 00:00:00,1175,27732
2012-11-12 00:00:00,1108,26233
2012-11-19 00:00:00,1163,22358
2012-11-26 00:00:00,1444,29169
2012-12-03 00:00:00,1759,31736
2012-12-10 00:00:00,2138,30758
2012-12-17 00:00:00,2096,26497
2012-12-24 00:00:00,2484,27770
2013-01-08 00:00:00,2068,28946
2013-01-14 00:00:00,1967,30265
2013-01-21 00:00:00,1751,30613
2013-01-28 00:00:00,1750,32429
2013-02-04 00:00:00,1592,34043
2013-02-11 00:00:00,1339,31563
2013-02-18 00:00:00,1102,31907
2013-02-25 00:00:00,1085,30926
2013-03-04 00:00:00,967,31577
2013-03-11 00:00:00,1015,30942
2013-03-18 00:00:00,940,24976
2013-03-25 00:00:00,868,30698
2013-04-01 00:00:00,940,32259
