date,ILITOTAL,OT
2010-10-04 00:00:00,168,27786
2010-10-11 00:00:00,216,24328
2010-10-18 00:00:00,209,28061
2010-10-25 00:00:00,228,29092
2010-11-01 00:00:00,225,27695
2010-11-08 00:00:00,187,25514
2010-11-15 00:00:00,236,29372
2010-11-22 00:00:00,198,20666
2010-11-29 00:00:00,260,28787
2010-12-06 00:00:00,272,28114
2010-12-13 00:00:00,316,28213
2010-12-20 00:00:00,268,20513
2010-12-27 00:00:00,258,17670
2011-01-08 00:00:00,328,27817
2011-01-10 00:00:00,407,24059
2011-01-17 00:00:00,370,24253
2011-01-24 00:00:00,512,27470
2011-01-31 00:00:00,577,24333
2011-02-07 00:00:00,697,29896
2011-02-14 00:00:00,726,27374
2011-02-21 00:00:00,618,25160
2011-02-28 00:00:00,532,27450
2011-03-07 00:00:00,585,28628
2011-03-14 00:00:00,481,27027
2011-03-21 00:00:00,424,28065
2011-03-28 00:00:00,459,29953
2011-04-04 00:00:00,399,28679
2011-04-11 00:00:00,364,28403
2011-04-18 00:00:00,291,23236
2011-04-25 00:00:00,247,24920
2011-05-02 00:00:00,244,26732
2011-05-09 00:00:00,200,26661
2011-05-16 00:00:00,214,26344
2011-05-23 00:00:00,248,25970
2011-05-30 00:00:00,202,22080
2011-06-06 00:00:00,254,29007
2011-06-13 00:00:00,218,23183
2011-06-20 00:00:00,177,21734
2011-06-27 00:00:00,155,20816
2011-07-04 00:00:00,138,17883
2011-07-11 00:00:00,167,22224
2011-07-18 00:00:00,163,21951
2011-07-25 00:00:00,154,21731
2011-08-01 00:00:00,153,23486
2011-08-08 00:00:00,164,24138
2011-08-15 00:00:00,142,23384
2011-08-22 00:00:00,143,23760
2011-08-29 00:00:00,134,21591
2011-09-05 00:00:00,121,20925
2011-09-12 00:00:00,163,25579
2011-09-19 00:00:00,169,25322
2011-09-26 00:00:00,216,25786
2011-10-03 00:00:00,190,28770
2011-10-10 00:00:00,297,25732
2011-10-17 00:00:00,275,29471
2011-10-24 00:00:00,301,29495
2011-10-31 00:00:00,315,30104
2011-11-07 00:00:00,306,30419
2011-11-14 00:00:00,261,30308
2011-11-21 00:00:00,241,22100
2011-11-28 00:00:00,261,30240
2011-12-05 00:00:00,245,29347
2011-12-12 00:00:00,296,28783
2011-12-19 00:00:00,319,24847
2011-12-26 00:00:00,279,19527
2012-01-08 00:00:00,295,24258
2012-01-09 00:00:00,333,27780
2012-01-16 00:00:00,314,24904
2012-01-23 00:00:00,353,29733
2012-01-30 00:00:00,338,29413
2012-02-06 00:00:00,312,27954
2012-02-13 00:00:00,320,28239
2012-02-20 00:00:00,305,22906
2012-02-27 00:00:00,298,27611
2012-03-05 00:00:00,261,27500
2012-03-12 00:00:00,292,25521
2012-03-19 00:00:00,320,26075
2012-03-26 00:00:00,197,27092
2012-04-02 00:00:00,289,26680
2012-04-09 00:00:00,279,26824
2012-04-16 00:00:00,260,23297
2012-04-23 00:00:00,235,27362
2012-04-30 00:00:00,178,26290
2012-05-07 00:00:00,215,25416
2012-05-14 00:00:00,196,25737
2012-05-21 00:00:00,200,25386
2012-05-28 00:00:00,156,20582
2012-06-04 00:00:00,161,24179
2012-06-11 00:00:00,171,24276
2012-06-18 00:00:00,173,24201
2012-06-25 00:00:00,168,23671
2012-07-02 00:00:00,145,17890
2012-07-09 00:00:00,185,23333
2012-07-16 00:00:00,166,22738
2012-07-23 00:00:00,134,22121
2012-07-30 00:00:00,144,21616
2012-08-06 00:00:00,159,21909
