date,ILITOTAL,OT
2010-10-04 00:00:00,117,8869
2010-10-11 00:00:00,99,4717
2010-10-18 00:00:00,173,11895
2010-10-25 00:00:00,146,11517
2010-11-01 00:00:00,147,10111
2010-11-08 00:00:00,128,9004
2010-11-15 00:00:00,156,10399
2010-11-22 00:00:00,128,6360
2010-11-29 00:00:00,167,8962
2010-12-06 00:00:00,153,9864
2010-12-13 00:00:00,175,8713
2010-12-20 00:00:00,174,6355
2010-12-27 00:00:00,199,5401
2011-01-08 00:00:00,219,9645
2011-01-10 00:00:00,219,9269
2011-01-17 00:00:00,344,8341
2011-01-24 00:00:00,322,8472
2011-01-31 00:00:00,381,9501
2011-02-07 00:00:00,339,9281
2011-02-14 00:00:00,269,8801
2011-02-21 00:00:00,213,8113
2011-02-28 00:00:00,199,9295
2011-03-07 00:00:00,177,8885
2011-03-14 00:00:00,146,8790
2011-03-21 00:00:00,142,7983
2011-03-28 00:00:00,104,8485
2011-04-04 00:00:00,116,7375
2011-04-11 00:00:00,118,6080
2011-04-18 00:00:00,130,6646
2011-04-25 00:00:00,69,6559
2011-05-02 00:00:00,83,7328
2011-05-09 00:00:00,72,7097
2011-05-16 00:00:00,55,6469
2011-05-23 00:00:00,77,6161
2011-05-30 00:00:00,41,4610
2011-06-06 00:00:00,70,4944
2011-06-13 00:00:00,100,5603
2011-06-20 00:00:00,66,5458
2011-06-27 00:00:00,63,5206
2011-07-04 00:00:00,63,2630
2011-07-11 00:00:00,74,5773
2011-07-18 00:00:00,67,5546
2011-07-25 00:00:00,46,1935
2011-08-01 00:00:00,78,4527
2011-08-08 00:00:00,55,5363
2011-08-15 00:00:00,52,5606
2011-08-22 00:00:00,78,5317
2011-08-29 00:00:00,49,4066
2011-09-05 00:00:00,40,3534
2011-09-12 00:00:00,54,4985
2011-09-19 00:00:00,113,5392
2011-09-26 00:00:00,105,5586
2011-10-03 00:00:00,172,8569
2011-10-10 00:00:00,141,8237
2011-10-17 00:00:00,150,10823
2011-10-24 00:00:00,187,10225
2011-10-31 00:00:00,160,9411
2011-11-07 00:00:00,159,8910
2011-11-14 00:00:00,183,8608
2011-11-21 00:00:00,128,6321
2011-11-28 00:00:00,176,9206
2011-12-05 00:00:00,152,8791
2011-12-12 00:00:00,182,8918
2011-12-19 00:00:00,174,6996
2011-12-26 00:00:00,150,5701
2012-01-08 00:00:00,155,8087
2012-01-09 00:00:00,170,8979
2012-01-16 00:00:00,181,8279
2012-01-23 00:00:00,203,9934
2012-01-30 00:00:00,180,9170
2012-02-06 00:00:00,236,8949
2012-02-13 00:00:00,226,8167
2012-02-20 00:00:00,162,8598
2012-02-27 00:00:00,198,6248
2012-03-05 00:00:00,255,10313
2012-03-12 00:00:00,212,5430
2012-03-19 00:00:00,191,9128
2012-03-26 00:00:00,150,7423
2012-04-02 00:00:00,134,8261
2012-04-09 00:00:00,122,8747
2012-04-16 00:00:00,117,9772
2012-04-23 00:00:00,156,9966
2012-04-30 00:00:00,139,5399
2012-05-07 00:00:00,119,3361
