date,ILITOTAL,OT
2010-10-04 00:00:00,22,6150
2010-10-11 00:00:00,26,5979
2010-10-18 00:00:00,27,6402
2010-10-25 00:00:00,22,6501
2010-11-01 00:00:00,9,5100
2010-11-08 00:00:00,22,6169
2010-11-15 00:00:00,33,6342
2010-11-22 00:00:00,27,4372
2010-11-29 00:00:00,23,6610
2010-12-06 00:00:00,26,5974
2010-12-13 00:00:00,20,5857
2010-12-20 00:00:00,25,4170
2010-12-27 00:00:00,25,3877
2011-01-08 00:00:00,31,6088
2011-01-10 00:00:00,27,5730
2011-01-17 00:00:00,39,5181
2011-01-24 00:00:00,64,6189
2011-01-31 00:00:00,79,5374
2011-02-07 00:00:00,100,6339
2011-02-14 00:00:00,150,6581
2011-02-21 00:00:00,101,5241
2011-02-28 00:00:00,123,6463
2011-03-07 00:00:00,73,6081
2011-03-14 00:00:00,68,6351
2011-03-21 00:00:00,55,6392
2011-03-28 00:00:00,48,6051
2011-04-04 00:00:00,47,6495
2011-04-11 00:00:00,33,5120
2011-04-18 00:00:00,25,4438
2011-04-25 00:00:00,23,4949
2011-05-02 00:00:00,25,5032
2011-05-09 00:00:00,25,4919
2011-05-16 00:00:00,16,4324
2011-05-23 00:00:00,21,4040
2011-05-30 00:00:00,23,3574
2011-06-06 00:00:00,18,4069
2011-06-13 00:00:00,17,4218
2011-06-20 00:00:00,15,4101
2011-06-27 00:00:00,19,4077
2011-07-04 00:00:00,31,3549
2011-07-11 00:00:00,24,4023
2011-07-18 00:00:00,25,4139
2011-07-25 00:00:00,19,4222
2011-08-01 00:00:00,14,3885
2011-08-08 00:00:00,15,3593
2011-08-15 00:00:00,18,3741
2011-08-22 00:00:00,17,3608
2011-08-29 00:00:00,20,3303
2011-09-05 00:00:00,19,3153
2011-09-12 00:00:00,14,3479
2011-09-19 00:00:00,16,3779
2011-09-26 00:00:00,15,3844
2011-10-03 00:00:00,23,5940
2011-10-10 00:00:00,28,5902
2011-10-17 00:00:00,30,6641
2011-10-24 00:00:00,42,6503
2011-10-31 00:00:00,26,6547
2011-11-07 00:00:00,44,6221
2011-11-14 00:00:00,31,6590
2011-11-21 00:00:00,22,4064
2011-11-28 00:00:00,36,6640
2011-12-05 00:00:00,35,6258
2011-12-12 00:00:00,32,5857
2011-12-19 00:00:00,29,5148
2011-12-26 00:00:00,25,4398
2012-01-08 00:00:00,23,5657
2012-01-09 00:00:00,32,5977
2012-01-16 00:00:00,19,5857
2012-01-23 00:00:00,32,5937
2012-01-30 00:00:00,21,6096
2012-02-06 00:00:00,26,6390
2012-02-13 00:00:00,31,6481
2012-02-20 00:00:00,29,5364
2012-02-27 00:00:00,23,5833
2012-03-05 00:00:00,17,5256
2012-03-12 00:00:00,11,6026
2012-03-19 00:00:00,33,6242
2012-03-26 00:00:00,23,6230
2012-04-02 00:00:00,18,6176
2012-04-09 00:00:00,27,5733
2012-04-16 00:00:00,20,4974
2012-04-23 00:00:00,11,5723
2012-04-30 00:00:00,20,5797
2012-05-07 00:00:00,30,5759
2012-05-14 00:00:00,13,5712
2012-05-21 00:00:00,9,4964
2012-05-28 00:00:00,24,4223
2012-06-04 00:00:00,17,5032
2012-06-11 00:00:00,2,3887
2012-06-18 00:00:00,19,4626
2012-06-25 00:00:00,27,4710
2012-07-02 00:00:00,19,3524
2012-07-09 00:00:00,15,3923
2012-07-16 00:00:00,15,3656
2012-07-23 00:00:00,23,4040
2012-07-30 00:00:00,19,3757
2012-08-06 00:00:00,17,3923
2012-08-13 00:00:00,14,3922
2012-08-20 00:00:00,13,3791
2012-08-27 00:00:00,14,4792
2012-09-03 00:00:00,13,4171
2012-09-10 00:00:00,14,4812
2012-09-17 00:00:00,21,4596
2012-09-24 00:00:00,14,4466
2012-10-01 00:00:00,45,7271
2012-10-08 00:00:00,54,6671
2012-10-15 00:00:00,46,6598
2012-10-22 00:00:00,45,6867
2012-10-29 00:00:00,47,6688
2012-11-05 00:00:00,59,7163
2012-11-12 00:00:00,62,6587
2012-11-19 00:00:00,41,4738
2012-11-26 00:00:00,67,6648
2012-12-03 00:00:00,50,6596
2012-12-10 00:00:00,90,6580
2012-12-17 00:00:00,136,6231
2012-12-24 00:00:00,158,3770
2013-01-08 00:00:00,158,5605
2013-01-14 00:00:00,213,7361
2013-01-21 00:00:00,211,6934
2013-01-28 00:00:00,129,6236
2013-02-04 00:00:00,120,6256
2013-02-11 00:00:00,103,6546
2013-02-18 00:00:00,75,6746
2013-02-25 00:00:00,64,6009
2013-03-04 00:00:00,64,5866
2013-03-11 00:00:00,50,5948
2013-03-18 00:00:00,52,6389
2013-03-25 00:00:00,46,5957
2013-04-01 00:00:00,58,6304
2013-04-08 00:00:00,76,6350
2013-04-15 00:00:00,63,6655
2013-04-22 00:00:00,36,5604
2013-04-29 00:00:00,55,6011
2013-05-06 00:00:00,44,5972
2013-05-13 00:00:00,40,6070
2013-05-20 00:00:00,26,5941
2013-05-27 00:00:00,45,5136
