date,ILITOTAL,OT
2010-10-04 00:00:00,98,14587
2010-10-11 00:00:00,95,16239
2010-10-18 00:00:00,81,15451
2010-10-25 00:00:00,152,16496
2010-11-01 00:00:00,138,15983
2010-11-08 00:00:00,139,17232
2010-11-15 00:00:00,109,16629
2010-11-22 00:00:00,92,10758
2010-11-29 00:00:00,88,15586
2010-12-06 00:00:00,85,15087
2010-12-13 00:00:00,106,14027
2010-12-20 00:00:00,74,10820
2010-12-27 00:00:00,83,9226
2011-01-08 00:00:00,96,13973
2011-01-10 00:00:00,127,15234
2011-01-17 00:00:00,149,14242
2011-01-24 00:00:00,252,15846
2011-01-31 00:00:00,230,13238
2011-02-07 00:00:00,384,16862
2011-02-14 00:00:00,375,16332
2011-02-21 00:00:00,428,15792
2011-02-28 00:00:00,291,13637
2011-03-07 00:00:00,353,16165
2011-03-14 00:00:00,249,14576
2011-03-21 00:00:00,216,16475
2011-03-28 00:00:00,176,16157
2011-04-04 00:00:00,117,14023
2011-04-11 00:00:00,92,16466
2011-04-18 00:00:00,97,15148
2011-04-25 00:00:00,77,15442
2011-05-02 00:00:00,79,14191
2011-05-09 00:00:00,84,14373
2011-05-16 00:00:00,92,10951
2011-05-23 00:00:00,56,10624
2011-05-30 00:00:00,51,9405
2011-06-06 00:00:00,69,12896
2011-06-13 00:00:00,65,11776
2011-06-20 00:00:00,52,10778
2011-06-27 00:00:00,54,8759
2011-07-04 00:00:00,36,6199
2011-07-11 00:00:00,45,10432
2011-07-18 00:00:00,38,9849
2011-07-25 00:00:00,30,10022
2011-08-01 00:00:00,41,7260
2011-08-08 00:00:00,35,8067
2011-08-15 00:00:00,42,9746
2011-08-22 00:00:00,51,10332
2011-08-29 00:00:00,70,10049
2011-09-05 00:00:00,49,7212
2011-09-12 00:00:00,63,11613
2011-09-19 00:00:00,59,13402
2011-09-26 00:00:00,80,12236
2011-10-03 00:00:00,105,17495
2011-10-10 00:00:00,108,17800
2011-10-17 00:00:00,102,17837
2011-10-24 00:00:00,92,17882
2011-10-31 00:00:00,117,17272
2011-11-07 00:00:00,119,17719
2011-11-14 00:00:00,88,16687
2011-11-21 00:00:00,76,11611
2011-11-28 00:00:00,86,16636
2011-12-05 00:00:00,91,16362
2011-12-12 00:00:00,113,16084
2011-12-19 00:00:00,88,13265
2011-12-26 00:00:00,65,8980
2012-01-08 00:00:00,74,12249
2012-01-09 00:00:00,99,15703
2012-01-16 00:00:00,105,15452
2012-01-23 00:00:00,125,16467
2012-01-30 00:00:00,135,12938
2012-02-06 00:00:00,126,16513
2012-02-13 00:00:00,163,15702
2012-02-20 00:00:00,150,15911
2012-02-27 00:00:00,171,15317
2012-03-05 00:00:00,189,12803
2012-03-12 00:00:00,263,15885
2012-03-19 00:00:00,169,15353
2012-03-26 00:00:00,102,15006
2012-04-02 00:00:00,99,13392
2012-04-09 00:00:00,105,14750
2012-04-16 00:00:00,85,14719
2012-04-23 00:00:00,87,15172
2012-04-30 00:00:00,103,11534
2012-05-07 00:00:00,92,11147
2012-05-14 00:00:00,79,10589
2012-05-21 00:00:00,55,10353
2012-05-28 00:00:00,45,7899
2012-06-04 00:00:00,45,8196
2012-06-11 00:00:00,47,8609
2012-06-18 00:00:00,51,7940
2012-06-25 00:00:00,13,7283
2012-07-02 00:00:00,51,6157
2012-07-09 00:00:00,50,8497
2012-07-16 00:00:00,36,8241
2012-07-23 00:00:00,41,7990
2012-07-30 00:00:00,45,8315
2012-08-06 00:00:00,31,8704
2012-08-13 00:00:00,41,8044
2012-08-20 00:00:00,49,8307
2012-08-27 00:00:00,46,9129
2012-09-03 00:00:00,51,8247
2012-09-10 00:00:00,46,10070
2012-09-17 00:00:00,64,11779
2012-09-24 00:00:00,33,10835
2012-10-01 00:00:00,139,16368
2012-10-08 00:00:00,158,17105
2012-10-15 00:00:00,167,16596
2012-10-22 00:00:00,136,17641
2012-10-29 00:00:00,177,15580
2012-11-05 00:00:00,170,16731
2012-11-12 00:00:00,210,15781
2012-11-19 00:00:00,182,12547
2012-11-26 00:00:00,216,17373
2012-12-03 00:00:00,224,15439
2012-12-10 00:00:00,302,16663
2012-12-17 00:00:00,379,12849
2012-12-24 00:00:00,447,9286
2013-01-08 00:00:00,508,11461
2013-01-14 00:00:00,696,17954
2013-01-21 00:00:00,720,17648
2013-01-28 00:00:00,708,16016
2013-02-04 00:00:00,493,14512
2013-02-11 00:00:00,544,15912
2013-02-18 00:00:00,466,15749
2013-02-25 00:00:00,397,14879
2013-03-04 00:00:00,414,15386
2013-03-11 00:00:00,350,14624
2013-03-18 00:00:00,443,15578
2013-03-25 00:00:00,374,15157
2013-04-01 00:00:00,300,15080
2013-04-08 00:00:00,255,14205
2013-04-15 00:00:00,251,15794
2013-04-22 00:00:00,221,14951
2013-04-29 00:00:00,203,14522
2013-05-06 00:00:00,120,12127
2013-05-13 00:00:00,166,12536
2013-05-20 00:00:00,130,11618
2013-05-27 00:00:00,150,11420
2013-06-03 00:00:00,162,9308
2013-06-10 00:00:00,159,10150
2013-06-17 00:00:00,112,9501
2013-06-24 00:00:00,166,10601
2013-07-01 00:00:00,154,10592
2013-07-08 00:00:00,143,7669
2013-07-15 00:00:00,141,11175
2013-07-22 00:00:00,125,7726
2013-07-29 00:00:00,113,9603
2013-08-05 00:00:00,82,6829
2013-08-12 00:00:00,86,8923
2013-08-19 00:00:00,75,6591
2013-08-26 00:00:00,78,7068
2013-09-02 00:00:00,106,7744
2013-09-09 00:00:00,107,8849
2013-09-16 00:00:00,116,6775
2013-09-23 00:00:00,142,8000
2013-09-30 00:00:00,143,12041
2013-10-07 00:00:00,182,16538
2013-10-14 00:00:00,193,16806
2013-10-21 00:00:00,216,16967
2013-10-28 00:00:00,189,17591
2013-11-04 00:00:00,201,17474
2013-11-11 00:00:00,228,16880
2013-11-18 00:00:00,252,17042
2013-11-25 00:00:00,213,14479
2013-12-02 00:00:00,241,9964
2013-12-09 00:00:00,308,14374
2013-12-16 00:00:00,288,15311
2013-12-23 00:00:00,371,15148
2013-12-30 00:00:00,292,8700
2014-01-08 00:00:00,370,10384
2014-01-13 00:00:00,427,13546
2014-01-20 00:00:00,424,17323
2014-01-27 00:00:00,383,14930
2014-02-03 00:00:00,349,14540
2014-02-10 00:00:00,366,15642
2014-02-17 00:00:00,325,13635
2014-02-24 00:00:00,376,14808
2014-03-03 00:00:00,292,15293
2014-03-10 00:00:00,306,13587
2014-03-17 00:00:00,319,15218
2014-03-24 00:00:00,312,15395
2014-03-31 00:00:00,266,15505
2014-04-07 00:00:00,246,14825
2014-04-14 00:00:00,187,13462
2014-04-21 00:00:00,145,12543
2014-04-28 00:00:00,120,12557
2014-05-05 00:00:00,152,13947
2014-05-12 00:00:00,138,12150
2014-05-19 00:00:00,140,12862
2014-05-26 00:00:00,126,10926
2014-06-02 00:00:00,108,10903
2014-06-09 00:00:00,127,12547
2014-06-16 00:00:00,111,10145
2014-06-23 00:00:00,116,11772
