date,ILITOTAL,OT
2010-10-04 00:00:00,38,6611
2010-10-11 00:00:00,35,6466
2010-10-18 00:00:00,33,6332
2010-10-25 00:00:00,42,6586
2010-11-01 00:00:00,50,6205
2010-11-08 00:00:00,45,5487
2010-11-15 00:00:00,44,6261
2010-11-22 00:00:00,47,4269
2010-11-29 00:00:00,51,5962
2010-12-06 00:00:00,37,6332
2010-12-13 00:00:00,59,5081
2010-12-20 00:00:00,39,3853
2010-12-27 00:00:00,34,3076
2011-01-08 00:00:00,61,4450
2011-01-10 00:00:00,47,4396
2011-01-17 00:00:00,82,4465
2011-01-24 00:00:00,100,5047
2011-01-31 00:00:00,119,4637
2011-02-07 00:00:00,125,4977
2011-02-14 00:00:00,162,5144
2011-02-21 00:00:00,140,4687
2011-02-28 00:00:00,161,4983
2011-03-07 00:00:00,133,4682
2011-03-14 00:00:00,128,4562
2011-03-21 00:00:00,116,4862
2011-03-28 00:00:00,109,4990
2011-04-04 00:00:00,105,5132
2011-04-11 00:00:00,68,4849
2011-04-18 00:00:00,57,4290
2011-04-25 00:00:00,44,4338
2011-05-02 00:00:00,24,4075
2011-05-09 00:00:00,22,3779
2011-05-16 00:00:00,26,3437
2011-05-23 00:00:00,21,3512
2011-05-30 00:00:00,14,2668
2011-06-06 00:00:00,17,3246
2011-06-13 00:00:00,15,3436
2011-06-20 00:00:00,29,3574
2011-06-27 00:00:00,11,3286
2011-07-04 00:00:00,26,2777
2011-07-11 00:00:00,12,3348
2011-07-18 00:00:00,15,3201
2011-07-25 00:00:00,4,2482
2011-08-01 00:00:00,18,3199
2011-08-08 00:00:00,12,3310
2011-08-15 00:00:00,8,842
2011-08-22 00:00:00,20,3561
2011-08-29 00:00:00,11,1444
2011-09-05 00:00:00,19,2939
2011-09-12 00:00:00,34,3364
2011-09-19 00:00:00,27,2457
2011-09-26 00:00:00,44,2509
2011-10-03 00:00:00,33,4749
2011-10-10 00:00:00,48,5655
2011-10-17 00:00:00,70,4488
2011-10-24 00:00:00,53,4968
2011-10-31 00:00:00,84,5403
2011-11-07 00:00:00,88,5275
2011-11-14 00:00:00,71,5566
2011-11-21 00:00:00,78,4010
2011-11-28 00:00:00,75,5567
2011-12-05 00:00:00,66,5206
2011-12-12 00:00:00,62,4676
2011-12-19 00:00:00,67,3086
2011-12-26 00:00:00,95,2923
2012-01-08 00:00:00,61,3375
2012-01-09 00:00:00,64,3840
2012-01-16 00:00:00,46,3965
2012-01-23 00:00:00,65,4390
2012-01-30 00:00:00,72,4353
2012-02-06 00:00:00,78,4586
2012-02-13 00:00:00,80,4495
2012-02-20 00:00:00,73,4000
2012-02-27 00:00:00,95,4484
2012-03-05 00:00:00,72,3605
2012-03-12 00:00:00,89,3902
2012-03-19 00:00:00,103,4268
2012-03-26 00:00:00,75,4294
2012-04-02 00:00:00,86,4501
2012-04-09 00:00:00,68,4386
2012-04-16 00:00:00,55,4319
2012-04-23 00:00:00,59,4573
2012-04-30 00:00:00,69,4196
2012-05-07 00:00:00,53,2995
2012-05-14 00:00:00,44,3229
2012-05-21 00:00:00,20,3774
2012-05-28 00:00:00,22,3169
2012-06-04 00:00:00,29,3853
2012-06-11 00:00:00,24,3402
2012-06-18 00:00:00,14,3654
2012-06-25 00:00:00,27,3004
2012-07-02 00:00:00,31,3023
2012-07-09 00:00:00,29,3789
2012-07-16 00:00:00,18,3847
2012-07-23 00:00:00,25,3693
2012-07-30 00:00:00,22,3099
2012-08-06 00:00:00,26,3940
2012-08-13 00:00:00,10,3586
2012-08-20 00:00:00,20,4210
2012-08-27 00:00:00,13,4319
2012-09-03 00:00:00,17,3943
2012-09-10 00:00:00,30,4675
2012-09-17 00:00:00,32,4544
2012-09-24 00:00:00,30,4619
2012-10-01 00:00:00,34,3900
2012-10-08 00:00:00,24,4968
2012-10-15 00:00:00,27,4849
2012-10-22 00:00:00,29,4845
2012-10-29 00:00:00,38,4965
2012-11-05 00:00:00,36,4928
2012-11-12 00:00:00,30,4847
2012-11-19 00:00:00,37,3500
2012-11-26 00:00:00,47,4861
2012-12-03 00:00:00,46,4822
2012-12-10 00:00:00,89,4977
2012-12-17 00:00:00,140,4586
2012-12-24 00:00:00,202,3025
2013-01-08 00:00:00,211,3802
2013-01-14 00:00:00,188,4595
2013-01-21 00:00:00,152,4940
2013-01-28 00:00:00,127,4434
2013-02-04 00:00:00,125,4674
2013-02-11 00:00:00,144,4773
2013-02-18 00:00:00,121,4592
2013-02-25 00:00:00,82,4625
2013-03-04 00:00:00,84,5095
2013-03-11 00:00:00,78,4561
2013-03-18 00:00:00,87,4256
2013-03-25 00:00:00,37,3477
2013-04-01 00:00:00,47,4371
2013-04-08 00:00:00,32,4521
2013-04-15 00:00:00,40,4633
2013-04-22 00:00:00,54,4386
2013-04-29 00:00:00,32,4384
2013-05-06 00:00:00,39,4531
2013-05-13 00:00:00,22,4317
2013-05-20 00:00:00,26,4244
2013-05-27 00:00:00,27,3927
2013-06-03 00:00:00,19,3348
2013-06-10 00:00:00,24,3798
2013-06-17 00:00:00,24,3614
2013-06-24 00:00:00,4,3300
2013-07-01 00:00:00,22,3830
2013-07-08 00:00:00,33,3024
2013-07-15 00:00:00,18,4005
2013-07-22 00:00:00,18,3670
2013-07-29 00:00:00,26,3823
2013-08-05 00:00:00,23,3783
2013-08-12 00:00:00,18,3532
2013-08-19 00:00:00,31,3739
2013-08-26 00:00:00,30,3995
2013-09-02 00:00:00,31,4027
2013-09-09 00:00:00,4,3396
2013-09-16 00:00:00,4,3152
2013-09-23 00:00:00,2,3137
2013-09-30 00:00:00,4,3177
2013-10-07 00:00:00,12,4623
2013-10-14 00:00:00,33,4998
2013-10-21 00:00:00,24,4698
2013-10-28 00:00:00,57,5054
2013-11-04 00:00:00,65,4895
2013-11-11 00:00:00,45,4721
2013-11-18 00:00:00,20,4313
2013-11-25 00:00:00,17,4519
2013-12-02 00:00:00,43,3957
2013-12-09 00:00:00,56,4782
2013-12-16 00:00:00,46,5085
2013-12-23 00:00:00,94,4668
2013-12-30 00:00:00,95,2700
2014-01-08 00:00:00,127,3794
2014-01-13 00:00:00,109,4338
2014-01-20 00:00:00,130,4181
2014-01-27 00:00:00,156,4778
2014-02-03 00:00:00,121,4774
2014-02-10 00:00:00,107,4960
2014-02-17 00:00:00,106,4958
2014-02-24 00:00:00,121,4555
2014-03-03 00:00:00,98,4983
2014-03-10 00:00:00,109,4797
2014-03-17 00:00:00,90,4766
2014-03-24 00:00:00,94,4549
2014-03-31 00:00:00,90,5024
2014-04-07 00:00:00,95,4488
2014-04-14 00:00:00,62,4644
2014-04-21 00:00:00,58,4616
2014-04-28 00:00:00,74,4740
2014-05-05 00:00:00,83,4784
2014-05-12 00:00:00,66,4932
2014-05-19 00:00:00,62,4386
2014-05-26 00:00:00,83,4540
2014-06-02 00:00:00,4,2915
2014-06-09 00:00:00,49,4377
2014-06-16 00:00:00,32,3809
2014-06-23 00:00:00,31,3597
2014-06-30 00:00:00,34,3327
2014-07-07 00:00:00,25,3264
2014-07-14 00:00:00,34,3804
2014-07-21 00:00:00,26,3749
2014-07-28 00:00:00,13,3181
2014-08-04 00:00:00,24,2832
2014-08-11 00:00:00,17,3554
2014-08-18 00:00:00,36,3513
2014-08-25 00:00:00,23,3684
2014-09-01 00:00:00,21,3719
2014-09-08 00:00:00,44,3429
2014-09-15 00:00:00,42,4065
2014-09-22 00:00:00,60,4205
2014-09-29 00:00:00,22,3482
2014-10-06 00:00:00,42,5476
2014-10-13 00:00:00,42,5567
2014-10-20 00:00:00,46,5156
2014-10-27 00:00:00,44,5139
2014-11-03 00:00:00,45,5444
2014-11-10 00:00:00,43,5195
2014-11-17 00:00:00,43,5548
2014-11-24 00:00:00,63,4461
2014-12-01 00:00:00,54,4148
2014-12-08 00:00:00,80,4685
2014-12-15 00:00:00,250,5508
2014-12-22 00:00:00,302,5279
2014-12-29 00:00:00,251,3197
2015-01-05 00:00:00,216,3775
2015-01-08 00:00:00,163,4474
2015-01-12 00:00:00,160,4946
2015-01-19 00:00:00,158,4357
2015-01-26 00:00:00,139,5067
2015-02-02 00:00:00,148,5329
2015-02-09 00:00:00,107,4792
2015-02-16 00:00:00,127,5489
2015-02-23 00:00:00,118,5766
2015-03-02 00:00:00,127,5363
2015-03-09 00:00:00,131,5040
2015-03-16 00:00:00,153,5551
2015-03-23 00:00:00,166,4021
2015-03-30 00:00:00,147,5361
2015-04-06 00:00:00,108,5253
2015-04-13 00:00:00,117,4615
2015-04-20 00:00:00,80,5108
2015-04-27 00:00:00,73,5010
2015-05-04 00:00:00,50,4697
2015-05-11 00:00:00,49,4891
2015-05-18 00:00:00,73,4551
2015-05-25 00:00:00,15,2140
2015-06-01 00:00:00,42,4309
2015-06-08 00:00:00,48,4133
2015-06-15 00:00:00,32,4636
2015-06-22 00:00:00,30,4608
2015-06-29 00:00:00,31,3688
2015-07-06 00:00:00,34,4784
2015-07-13 00:00:00,35,4638
2015-07-20 00:00:00,32,4074
2015-07-27 00:00:00,26,4589
2015-08-03 00:00:00,42,4164
2015-08-10 00:00:00,45,4512
2015-08-17 00:00:00,38,4571
2015-08-24 00:00:00,57,4834
2015-08-31 00:00:00,38,5250
2015-09-07 00:00:00,22,4167
2015-09-14 00:00:00,21,5339
2015-09-21 00:00:00,42,5367
2015-09-28 00:00:00,42,5153
2015-10-05 00:00:00,36,6028
2015-10-12 00:00:00,60,5125
2015-10-19 00:00:00,45,5760
2015-10-26 00:00:00,48,5772
2015-11-02 00:00:00,74,5748
2015-11-09 00:00:00,68,6127
2015-11-16 00:00:00,79,5281
2015-11-23 00:00:00,73,3747
2015-11-30 00:00:00,51,5540
2015-12-07 00:00:00,111,6165
2015-12-14 00:00:00,85,5506
2015-12-21 00:00:00,99,3480
2015-12-28 00:00:00,67,3460
2016-01-08 00:00:00,29,5208
2016-01-11 00:00:00,31,5336
2016-01-18 00:00:00,37,5467
2016-01-25 00:00:00,43,5639
2016-02-01 00:00:00,39,3883
2016-02-08 00:00:00,44,3936
2016-02-15 00:00:00,87,3184
2016-02-22 00:00:00,87,3275
2016-02-29 00:00:00,162,5241
2016-03-07 00:00:00,201,4935
2016-03-14 00:00:00,121,4829
2016-03-21 00:00:00,114,5099
2016-03-28 00:00:00,72,5062
2016-04-04 00:00:00,88,5270
2016-04-11 00:00:00,85,5294
2016-04-18 00:00:00,87,5137
2016-04-25 00:00:00,72,3418
2016-05-02 00:00:00,30,3145
2016-05-09 00:00:00,38,2580
2016-05-16 00:00:00,17,2206
2016-05-23 00:00:00,16,2715
2016-05-30 00:00:00,12,1954
2016-06-06 00:00:00,12,2147
2016-06-13 00:00:00,11,2086
2016-06-20 00:00:00,12,2109
2016-06-27 00:00:00,12,2522
2016-07-04 00:00:00,6,2254
2016-07-11 00:00:00,7,2155
2016-07-18 00:00:00,13,2018
2016-07-25 00:00:00,13,1478
2016-08-01 00:00:00,16,2373
2016-08-08 00:00:00,11,1900
2016-08-15 00:00:00,17,1877
2016-08-22 00:00:00,14,1590
2016-08-29 00:00:00,10,1577
2016-09-05 00:00:00,26,2342
2016-09-12 00:00:00,18,2677
2016-09-19 00:00:00,33,2779
2016-09-26 00:00:00,26,3237
2016-10-03 00:00:00,62,4580
2016-10-10 00:00:00,75,5548
2016-10-17 00:00:00,55,5230
2016-10-24 00:00:00,73,4736
2016-10-31 00:00:00,61,7836
2016-11-07 00:00:00,50,7420
2016-11-14 00:00:00,61,6389
2016-11-21 00:00:00,60,5464
2016-11-28 00:00:00,118,7733
2016-12-05 00:00:00,78,7075
2016-12-12 00:00:00,76,6428
2016-12-19 00:00:00,121,5512
2016-12-26 00:00:00,105,4489
2017-01-08 00:00:00,108,4737
2017-01-09 00:00:00,142,6044
2017-01-16 00:00:00,225,6616
2017-01-23 00:00:00,236,6967
2017-01-30 00:00:00,247,7168
2017-02-06 00:00:00,279,6318
2017-02-13 00:00:00,333,7321
2017-02-20 00:00:00,305,6607
2017-02-27 00:00:00,218,7198
2017-03-06 00:00:00,206,5750
2017-03-13 00:00:00,164,5881
2017-03-20 00:00:00,203,6724
2017-03-27 00:00:00,207,6547
2017-04-03 00:00:00,213,6448
2017-04-10 00:00:00,172,6218
2017-04-17 00:00:00,190,6495
2017-04-24 00:00:00,176,7217
2017-05-01 00:00:00,156,7266
2017-05-08 00:00:00,152,6883
2017-05-15 00:00:00,112,6052
2017-05-22 00:00:00,75,5590
2017-05-29 00:00:00,50,4788
2017-06-05 00:00:00,11,1365
2017-06-12 00:00:00,9,1246
2017-06-19 00:00:00,58,4540
2017-06-26 00:00:00,32,4299
2017-07-03 00:00:00,19,2998
2017-07-10 00:00:00,36,4436
2017-07-17 00:00:00,48,4265
2017-07-24 00:00:00,49,4099
2017-07-31 00:00:00,32,3420
2017-08-07 00:00:00,41,4325
2017-08-14 00:00:00,44,4021
2017-08-21 00:00:00,33,4480
2017-08-28 00:00:00,30,4814
2017-09-04 00:00:00,9,1585
2017-09-11 00:00:00,63,6283
2017-09-18 00:00:00,20,2847
2017-09-25 00:00:00,75,6426
2017-10-02 00:00:00,99,6940
2017-10-09 00:00:00,106,7396
2017-10-16 00:00:00,106,7458
2017-10-23 00:00:00,88,7088
2017-10-30 00:00:00,99,7241
2017-11-06 00:00:00,107,7516
2017-11-13 00:00:00,115,7001
2017-11-20 00:00:00,90,5423
2017-11-27 00:00:00,100,6787
2017-12-04 00:00:00,153,7115
2017-12-11 00:00:00,157,6814
2017-12-18 00:00:00,177,6030
2017-12-25 00:00:00,150,4126
2018-01-08 00:00:00,221,5220
2018-01-15 00:00:00,321,6338
2018-01-22 00:00:00,373,6418
2018-01-29 00:00:00,458,7247
2018-02-05 00:00:00,499,7725
2018-02-12 00:00:00,474,7038
2018-02-19 00:00:00,431,6213
