date,ILITOTAL,OT
2010-10-04 00:00:00,106,9621
2010-10-11 00:00:00,90,9672
2010-10-18 00:00:00,94,9496
2010-10-25 00:00:00,91,9482
2010-11-01 00:00:00,100,8564
2010-11-08 00:00:00,106,8662
2010-11-15 00:00:00,101,8391
2010-11-22 00:00:00,78,5516
2010-11-29 00:00:00,132,8422
2010-12-06 00:00:00,113,8246
2010-12-13 00:00:00,126,8936
2010-12-20 00:00:00,154,6573
2010-12-27 00:00:00,181,6753
2011-01-08 00:00:00,173,8134
2011-01-10 00:00:00,194,8241
2011-01-17 00:00:00,189,8381
2011-01-24 00:00:00,322,8775
2011-01-31 00:00:00,318,6287
2011-02-07 00:00:00,395,8065
2011-02-14 00:00:00,528,8647
2011-02-21 00:00:00,466,8575
2011-02-28 00:00:00,344,8827
2011-03-07 00:00:00,336,7974
2011-03-14 00:00:00,200,7871
2011-03-21 00:00:00,184,7527
2011-03-28 00:00:00,131,6562
2011-04-04 00:00:00,109,6762
2011-04-11 00:00:00,93,6956
2011-04-18 00:00:00,64,6442
2011-04-25 00:00:00,43,6046
2011-05-02 00:00:00,38,6292
2011-05-09 00:00:00,54,5993
2011-05-16 00:00:00,41,5711
2011-05-23 00:00:00,43,5348
2011-05-30 00:00:00,2,2474
2011-06-06 00:00:00,3,2900
2011-06-13 00:00:00,1,2574
2011-06-20 00:00:00,8,2533
2011-06-27 00:00:00,3,2749
2011-07-04 00:00:00,4,2459
2011-07-11 00:00:00,3,2738
2011-07-18 00:00:00,2,2684
2011-07-25 00:00:00,1,2626
2011-08-01 00:00:00,3,2447
2011-08-08 00:00:00,1,2592
2011-08-15 00:00:00,1,2883
2011-08-22 00:00:00,1,3143
2011-08-29 00:00:00,5,3531
2011-09-05 00:00:00,8,3236
2011-09-12 00:00:00,9,3532
2011-09-19 00:00:00,9,3328
2011-09-26 00:00:00,6,3717
2011-10-03 00:00:00,87,9665
2011-10-10 00:00:00,77,9265
2011-10-17 00:00:00,58,8068
2011-10-24 00:00:00,62,8983
2011-10-31 00:00:00,88,9322
2011-11-07 00:00:00,63,9290
2011-11-14 00:00:00,95,8760
2011-11-21 00:00:00,70,5909
2011-11-28 00:00:00,86,8377
2011-12-05 00:00:00,72,8128
2011-12-12 00:00:00,107,8008
2011-12-19 00:00:00,84,6607
2011-12-26 00:00:00,119,6111
2012-01-08 00:00:00,132,7243
2012-01-09 00:00:00,136,7797
2012-01-16 00:00:00,136,8376
2012-01-23 00:00:00,203,9032
2012-01-30 00:00:00,312,8944
2012-02-06 00:00:00,342,9005
2012-02-13 00:00:00,386,8849
2012-02-20 00:00:00,358,8696
2012-02-27 00:00:00,393,8945
2012-03-05 00:00:00,363,9125
2012-03-12 00:00:00,291,8658
2012-03-19 00:00:00,158,7990
2012-03-26 00:00:00,92,7694
2012-04-02 00:00:00,60,7511
2012-04-09 00:00:00,64,7635
2012-04-16 00:00:00,52,7996
2012-04-23 00:00:00,58,8012
2012-04-30 00:00:00,52,7621
2012-05-07 00:00:00,10,4488
2012-05-14 00:00:00,6,3260
2012-05-21 00:00:00,4,3220
2012-05-28 00:00:00,7,2705
2012-06-04 00:00:00,3,3165
2012-06-11 00:00:00,0,3076
2012-06-18 00:00:00,0,3042
2012-06-25 00:00:00,2,3253
2012-07-02 00:00:00,0,2523
2012-07-09 00:00:00,7,2991
2012-07-16 00:00:00,6,3103
2012-07-23 00:00:00,2,3103
2012-07-30 00:00:00,1,3072
2012-08-06 00:00:00,2,3177
2012-08-13 00:00:00,5,3410
2012-08-20 00:00:00,5,4132
2012-08-27 00:00:00,2,4316
2012-09-03 00:00:00,8,3557
2012-09-10 00:00:00,18,4426
2012-09-17 00:00:00,6,4479
2012-09-24 00:00:00,28,4380
2012-10-01 00:00:00,101,9237
2012-10-08 00:00:00,103,8926
2012-10-15 00:00:00,140,8770
2012-10-22 00:00:00,114,8243
2012-10-29 00:00:00,132,9517
2012-11-05 00:00:00,168,8333
2012-11-12 00:00:00,203,8259
2012-11-19 00:00:00,210,5943
2012-11-26 00:00:00,251,8158
2012-12-03 00:00:00,238,8004
2012-12-10 00:00:00,282,8069
2012-12-17 00:00:00,309,6489
2012-12-24 00:00:00,397,5690
2013-01-08 00:00:00,325,6165
2013-01-14 00:00:00,380,8264
2013-01-21 00:00:00,403,9098
2013-01-28 00:00:00,407,8321
2013-02-04 00:00:00,381,7686
2013-02-11 00:00:00,360,8101
2013-02-18 00:00:00,253,7580
2013-02-25 00:00:00,203,6440
2013-03-04 00:00:00,153,6458
2013-03-11 00:00:00,182,7020
2013-03-18 00:00:00,142,6736
2013-03-25 00:00:00,123,6786
2013-04-01 00:00:00,105,5615
2013-04-08 00:00:00,83,6392
2013-04-15 00:00:00,83,6611
2013-04-22 00:00:00,63,6987
2013-04-29 00:00:00,85,6828
2013-05-06 00:00:00,65,7079
2013-05-13 00:00:00,57,6786
2013-05-20 00:00:00,34,6451
2013-05-27 00:00:00,42,5146
2013-06-03 00:00:00,40,5379
2013-06-10 00:00:00,6,2866
2013-06-17 00:00:00,6,2843
2013-06-24 00:00:00,7,2962
2013-07-01 00:00:00,2,2696
2013-07-08 00:00:00,1,2452
2013-07-15 00:00:00,1,2840
2013-07-22 00:00:00,2,2635
2013-07-29 00:00:00,0,2684
2013-08-05 00:00:00,2,2584
2013-08-12 00:00:00,2,2939
2013-08-19 00:00:00,3,3156
2013-08-26 00:00:00,4,3800
2013-09-02 00:00:00,3,3686
2013-09-09 00:00:00,10,3265
2013-09-16 00:00:00,13,3848
2013-09-23 00:00:00,14,3244
2013-09-30 00:00:00,11,3101
2013-10-07 00:00:00,85,7715
2013-10-14 00:00:00,104,7842
2013-10-21 00:00:00,79,7894
2013-10-28 00:00:00,98,7848
2013-11-04 00:00:00,80,7532
2013-11-11 00:00:00,86,7357
2013-11-18 00:00:00,95,7674
2013-11-25 00:00:00,103,7129
2013-12-02 00:00:00,90,5533
2013-12-09 00:00:00,150,7870
2013-12-16 00:00:00,173,7597
2013-12-23 00:00:00,308,6769
2013-12-30 00:00:00,342,5105
2014-01-08 00:00:00,351,5923
2014-01-13 00:00:00,260,6541
2014-01-20 00:00:00,264,7852
2014-01-27 00:00:00,244,7637
2014-02-03 00:00:00,257,8083
2014-02-10 00:00:00,162,6645
2014-02-17 00:00:00,148,7397
2014-02-24 00:00:00,127,7546
2014-03-03 00:00:00,126,7698
2014-03-10 00:00:00,100,7134
2014-03-17 00:00:00,117,6541
2014-03-24 00:00:00,93,7027
2014-03-31 00:00:00,81,5879
