date,ILITOTAL,OT
2010-10-04 00:00:00,491,16874
2010-10-11 00:00:00,523,17605
2010-10-18 00:00:00,534,17911
2010-10-25 00:00:00,538,17090
2010-11-01 00:00:00,550,16390
2010-11-08 00:00:00,649,16510
2010-11-15 00:00:00,764,17108
2010-11-22 00:00:00,786,16246
2010-11-29 00:00:00,829,16970
2010-12-06 00:00:00,878,16447
2010-12-13 00:00:00,1529,17344
2010-12-20 00:00:00,1775,16410
2010-12-27 00:00:00,1570,17379
2011-01-08 00:00:00,1139,16853
2011-01-10 00:00:00,899,15123
2011-01-17 00:00:00,1062,16027
2011-01-24 00:00:00,1146,17413
2011-01-31 00:00:00,1142,16773
2011-02-07 00:00:00,1020,16592
2011-02-14 00:00:00,1089,18259
2011-02-21 00:00:00,865,17240
2011-02-28 00:00:00,677,15900
2011-03-07 00:00:00,621,15465
2011-03-14 00:00:00,581,15399
2011-03-21 00:00:00,513,16874
2011-03-28 00:00:00,560,16677
2011-04-04 00:00:00,515,16420
2011-04-11 00:00:00,520,16606
2011-04-18 00:00:00,438,15321
2011-04-25 00:00:00,420,15429
2011-05-02 00:00:00,355,15292
2011-05-09 00:00:00,378,15735
2011-05-16 00:00:00,334,15274
2011-05-23 00:00:00,342,15054
2011-05-30 00:00:00,392,16280
2011-06-06 00:00:00,349,16353
2011-06-13 00:00:00,300,15926
2011-06-20 00:00:00,276,15063
2011-06-27 00:00:00,212,12959
2011-07-04 00:00:00,268,15615
2011-07-11 00:00:00,244,14867
2011-07-18 00:00:00,287,15607
2011-07-25 00:00:00,235,15470
2011-08-01 00:00:00,225,15384
2011-08-08 00:00:00,247,15250
2011-08-15 00:00:00,304,15556
2011-08-22 00:00:00,404,15680
2011-08-29 00:00:00,327,15940
2011-09-05 00:00:00,360,14513
2011-09-12 00:00:00,370,15728
2011-09-19 00:00:00,339,13940
2011-09-26 00:00:00,415,14833
2011-10-03 00:00:00,399,15187
2011-10-10 00:00:00,394,15161
2011-10-17 00:00:00,396,15157
2011-10-24 00:00:00,389,14449
2011-10-31 00:00:00,412,14454
2011-11-07 00:00:00,467,14477
2011-11-14 00:00:00,438,12397
2011-11-21 00:00:00,430,14968
2011-11-28 00:00:00,426,12646
2011-12-05 00:00:00,405,9452
2011-12-12 00:00:00,494,13080
2011-12-19 00:00:00,529,13316
2011-12-26 00:00:00,666,16067
2012-01-08 00:00:00,488,16381
2012-01-09 00:00:00,576,16607
2012-01-16 00:00:00,443,14518
2012-01-23 00:00:00,514,16202
2012-01-30 00:00:00,660,15895
2012-02-06 00:00:00,646,15860
2012-02-13 00:00:00,593,15339
2012-02-20 00:00:00,578,15075
2012-02-27 00:00:00,562,12017
2012-03-05 00:00:00,688,13283
2012-03-12 00:00:00,671,12611
2012-03-19 00:00:00,531,12129
2012-03-26 00:00:00,456,11023
2012-04-02 00:00:00,439,11478
2012-04-09 00:00:00,329,10237
2012-04-16 00:00:00,316,11383
2012-04-23 00:00:00,375,12810
2012-04-30 00:00:00,398,12486
2012-05-07 00:00:00,425,13719
2012-05-14 00:00:00,397,11838
2012-05-21 00:00:00,359,9629
2012-05-28 00:00:00,263,9484
2012-06-04 00:00:00,252,8506
2012-06-11 00:00:00,232,8162
2012-06-18 00:00:00,212,10981
2012-06-25 00:00:00,186,7297
2012-07-02 00:00:00,183,8279
2012-07-09 00:00:00,134,6557
2012-07-16 00:00:00,104,5045
2012-07-23 00:00:00,230,8289
2012-07-30 00:00:00,262,7841
2012-08-06 00:00:00,205,7998
2012-08-13 00:00:00,181,8919
2012-08-20 00:00:00,235,10098
2012-08-27 00:00:00,190,6705
2012-09-03 00:00:00,250,10415
2012-09-10 00:00:00,219,10098
2012-09-17 00:00:00,257,8748
2012-09-24 00:00:00,323,10135
2012-10-01 00:00:00,469,14470
2012-10-08 00:00:00,504,14238
2012-10-15 00:00:00,518,13471
2012-10-22 00:00:00,550,13355
2012-10-29 00:00:00,571,13209
2012-11-05 00:00:00,649,12064
2012-11-12 00:00:00,822,12632
2012-11-19 00:00:00,1093,12765
2012-11-26 00:00:00,977,14049
2012-12-03 00:00:00,1483,18047
2012-12-10 00:00:00,1537,17786
2012-12-17 00:00:00,1647,12427
2012-12-24 00:00:00,1794,15512
2013-01-08 00:00:00,1353,16615
2013-01-14 00:00:00,1168,17428
2013-01-21 00:00:00,1014,16639
2013-01-28 00:00:00,1037,17414
2013-02-04 00:00:00,959,17611
2013-02-11 00:00:00,899,17294
2013-02-18 00:00:00,785,16852
2013-02-25 00:00:00,858,17642
2013-03-04 00:00:00,865,15822
2013-03-11 00:00:00,933,17740
2013-03-18 00:00:00,920,16131
2013-03-25 00:00:00,740,18118
2013-04-01 00:00:00,636,14879
2013-04-08 00:00:00,620,16810
2013-04-15 00:00:00,550,17300
2013-04-22 00:00:00,445,17199
2013-04-29 00:00:00,410,15903
2013-05-06 00:00:00,367,16108
2013-05-13 00:00:00,393,15711
2013-05-20 00:00:00,383,15627
2013-05-27 00:00:00,350,15523
2013-06-03 00:00:00,343,15539
2013-06-10 00:00:00,254,15428
2013-06-17 00:00:00,295,14783
2013-06-24 00:00:00,250,15403
2013-07-01 00:00:00,244,13559
2013-07-08 00:00:00,205,14684
2013-07-15 00:00:00,202,15465
2013-07-22 00:00:00,203,15414
2013-07-29 00:00:00,228,15290
2013-08-05 00:00:00,240,15485
2013-08-12 00:00:00,227,14051
2013-08-19 00:00:00,231,12477
2013-08-26 00:00:00,371,16047
2013-09-02 00:00:00,399,15822
2013-09-09 00:00:00,393,17222
2013-09-16 00:00:00,415,17320
2013-09-23 00:00:00,350,16213
2013-09-30 00:00:00,378,16624
2013-10-07 00:00:00,415,16092
2013-10-14 00:00:00,491,17010
2013-10-21 00:00:00,615,17130
2013-10-28 00:00:00,664,16225
2013-11-04 00:00:00,664,15243
2013-11-11 00:00:00,835,17973
2013-11-18 00:00:00,889,17699
