date,ILITOTAL,OT
2010-10-04 00:00:00,1,2694
2010-10-11 00:00:00,5,2763
2010-10-18 00:00:00,5,2690
2010-10-25 00:00:00,1,2748
2010-11-01 00:00:00,1,2468
2010-11-08 00:00:00,6,2460
2010-11-15 00:00:00,3,2729
2010-11-22 00:00:00,10,1862
2010-11-29 00:00:00,1,2628
2010-12-06 00:00:00,1,2782
2010-12-13 00:00:00,2,2588
2010-12-20 00:00:00,1,1602
2010-12-27 00:00:00,3,1277
2011-01-08 00:00:00,0,2164
2011-01-10 00:00:00,5,2253
2011-01-17 00:00:00,5,1992
2011-01-24 00:00:00,6,2887
2011-01-31 00:00:00,23,2748
2011-02-07 00:00:00,10,2816
2011-02-14 00:00:00,20,2852
2011-02-21 00:00:00,28,2541
2011-02-28 00:00:00,32,2866
2011-03-07 00:00:00,22,2746
2011-03-14 00:00:00,28,3434
2011-03-21 00:00:00,30,3592
2011-03-28 00:00:00,14,3003
2011-04-04 00:00:00,6,2148
2011-04-11 00:00:00,8,3404
2011-04-18 00:00:00,1,3357
2011-04-25 00:00:00,0,3262
2011-05-02 00:00:00,0,3191
2011-05-09 00:00:00,0,3023
2011-05-16 00:00:00,0,1696
2011-05-23 00:00:00,0,2497
2011-05-30 00:00:00,0,1779
2011-06-06 00:00:00,0,1220
2011-06-13 00:00:00,0,1472
2011-06-20 00:00:00,0,1198
2011-06-27 00:00:00,0,1692
2011-07-04 00:00:00,0,1470
2011-07-11 00:00:00,0,1649
2011-07-18 00:00:00,0,1158
2011-07-25 00:00:00,0,1406
2011-08-01 00:00:00,0,1241
2011-08-08 00:00:00,0,1330
2011-08-15 00:00:00,0,1392
2011-08-22 00:00:00,0,2168
2011-08-29 00:00:00,0,1991
2011-09-05 00:00:00,0,1517
2011-09-12 00:00:00,0,2049
2011-09-19 00:00:00,1,1886
2011-09-26 00:00:00,0,1668
2011-10-03 00:00:00,0,2331
2011-10-10 00:00:00,2,2203
2011-10-17 00:00:00,1,2525
2011-10-24 00:00:00,4,2508
2011-10-31 00:00:00,4,2258
2011-11-07 00:00:00,0,2209
2011-11-14 00:00:00,3,2494
2011-11-21 00:00:00,7,1541
2011-11-28 00:00:00,7,2373
2011-12-05 00:00:00,4,2289
2011-12-12 00:00:00,3,2311
2011-12-19 00:00:00,3,1554
2011-12-26 00:00:00,2,1206
2012-01-08 00:00:00,2,1659
2012-01-09 00:00:00,4,1981
2012-01-16 00:00:00,3,1663
2012-01-23 00:00:00,4,2333
2012-01-30 00:00:00,6,2428
2012-02-06 00:00:00,7,2506
2012-02-13 00:00:00,5,2367
2012-02-20 00:00:00,16,2159
2012-02-27 00:00:00,12,2560
2012-03-05 00:00:00,23,2719
2012-03-12 00:00:00,31,2642
2012-03-19 00:00:00,19,2551
2012-03-26 00:00:00,4,2552
2012-04-02 00:00:00,3,1615
2012-04-09 00:00:00,9,2280
2012-04-16 00:00:00,2,2434
2012-04-23 00:00:00,10,2489
2012-04-30 00:00:00,0,2542
2012-05-07 00:00:00,3,2510
2012-05-14 00:00:00,0,1754
2012-05-21 00:00:00,0,1974
2012-05-28 00:00:00,0,1042
2012-06-04 00:00:00,0,1182
2012-06-11 00:00:00,0,1286
2012-06-18 00:00:00,0,1227
2012-06-25 00:00:00,0,1215
2012-07-02 00:00:00,0,929
2012-07-09 00:00:00,0,1301
2012-07-16 00:00:00,0,1280
2012-07-23 00:00:00,0,1377
2012-07-30 00:00:00,0,1254
2012-08-06 00:00:00,0,1184
2012-08-13 00:00:00,0,1269
