date,ILITOTAL,OT
2010-10-04 00:00:00,134,25215
2010-10-11 00:00:00,141,26280
2010-10-18 00:00:00,116,25377
2010-10-25 00:00:00,136,26606
2010-11-01 00:00:00,169,26003
2010-11-08 00:00:00,115,24116
2010-11-15 00:00:00,122,25177
2010-11-22 00:00:00,102,16140
2010-11-29 00:00:00,170,25844
2010-12-06 00:00:00,132,21512
2010-12-13 00:00:00,119,18927
2010-12-20 00:00:00,107,11326
2010-12-27 00:00:00,158,9938
2011-01-08 00:00:00,289,18931
2011-01-10 00:00:00,469,18505
2011-01-17 00:00:00,910,22856
2011-01-24 00:00:00,1260,25738
2011-01-31 00:00:00,1370,24368
2011-02-07 00:00:00,1406,23157
2011-02-14 00:00:00,1305,25923
2011-02-21 00:00:00,962,25728
2011-02-28 00:00:00,522,23115
2011-03-07 00:00:00,381,16378
2011-03-14 00:00:00,298,20157
2011-03-21 00:00:00,226,21359
2011-03-28 00:00:00,175,20868
2011-04-04 00:00:00,105,19570
2011-04-11 00:00:00,115,19623
2011-04-18 00:00:00,60,16185
2011-04-25 00:00:00,49,17789
2011-05-02 00:00:00,50,15589
2011-05-09 00:00:00,50,12328
2011-05-16 00:00:00,37,11800
2011-05-23 00:00:00,41,6589
2011-05-30 00:00:00,39,6419
2011-06-06 00:00:00,34,6371
2011-06-13 00:00:00,31,5120
2011-06-20 00:00:00,27,4232
2011-06-27 00:00:00,29,4432
2011-07-04 00:00:00,26,3837
2011-07-11 00:00:00,19,4495
2011-07-18 00:00:00,13,4096
2011-07-25 00:00:00,17,4483
2011-08-01 00:00:00,11,4193
2011-08-08 00:00:00,11,3995
2011-08-15 00:00:00,23,4324
2011-08-22 00:00:00,16,5446
2011-08-29 00:00:00,25,5722
2011-09-05 00:00:00,20,5131
2011-09-12 00:00:00,36,6396
2011-09-19 00:00:00,37,7102
2011-09-26 00:00:00,59,6871
2011-10-03 00:00:00,64,18251
2011-10-10 00:00:00,110,18837
2011-10-17 00:00:00,162,20404
2011-10-24 00:00:00,164,22134
2011-10-31 00:00:00,178,22311
2011-11-07 00:00:00,201,22080
2011-11-14 00:00:00,193,22332
2011-11-21 00:00:00,103,13108
2011-11-28 00:00:00,170,21365
2011-12-05 00:00:00,147,19581
2011-12-12 00:00:00,166,18793
2011-12-19 00:00:00,129,11318
2011-12-26 00:00:00,149,9795
2012-01-08 00:00:00,134,14565
2012-01-09 00:00:00,184,20685
2012-01-16 00:00:00,195,19264
2012-01-23 00:00:00,215,20584
2012-01-30 00:00:00,235,22320
2012-02-06 00:00:00,293,22711
2012-02-13 00:00:00,292,22013
2012-02-20 00:00:00,390,22818
2012-02-27 00:00:00,345,22679
2012-03-05 00:00:00,299,18268
2012-03-12 00:00:00,174,19273
2012-03-19 00:00:00,271,20992
2012-03-26 00:00:00,169,19135
2012-04-02 00:00:00,200,18026
2012-04-09 00:00:00,168,18491
2012-04-16 00:00:00,154,19404
2012-04-23 00:00:00,130,17414
2012-04-30 00:00:00,98,15733
2012-05-07 00:00:00,78,13744
2012-05-14 00:00:00,57,11219
2012-05-21 00:00:00,18,8413
2012-05-28 00:00:00,72,7091
2012-06-04 00:00:00,55,6641
2012-06-11 00:00:00,46,6182
2012-06-18 00:00:00,41,5734
2012-06-25 00:00:00,42,5951
2012-07-02 00:00:00,41,4597
2012-07-09 00:00:00,51,6007
2012-07-16 00:00:00,45,5906
2012-07-23 00:00:00,45,4908
2012-07-30 00:00:00,3,4595
2012-08-06 00:00:00,42,5837
2012-08-13 00:00:00,43,6236
2012-08-20 00:00:00,43,7164
2012-08-27 00:00:00,62,7446
2012-09-03 00:00:00,43,6055
2012-09-10 00:00:00,63,7033
2012-09-17 00:00:00,69,7341
2012-09-24 00:00:00,71,7062
2012-10-01 00:00:00,150,20462
2012-10-08 00:00:00,120,19489
2012-10-15 00:00:00,154,20722
2012-10-22 00:00:00,181,21841
2012-10-29 00:00:00,210,19382
2012-11-05 00:00:00,318,21437
2012-11-12 00:00:00,295,19866
2012-11-19 00:00:00,242,13452
2012-11-26 00:00:00,459,21004
2012-12-03 00:00:00,1242,24200
2012-12-10 00:00:00,1285,20246
2012-12-17 00:00:00,745,15142
2012-12-24 00:00:00,797,9045
2013-01-08 00:00:00,761,15160
2013-01-14 00:00:00,767,21211
2013-01-21 00:00:00,695,21881
2013-01-28 00:00:00,475,19238
