date,ILITOTAL,OT
2010-10-04 00:00:00,42,6256
2010-10-11 00:00:00,43,5956
2010-10-18 00:00:00,32,5639
2010-10-25 00:00:00,18,5306
2010-11-01 00:00:00,38,5324
2010-11-08 00:00:00,43,5672
2010-11-15 00:00:00,30,4657
2010-11-22 00:00:00,27,4572
2010-11-29 00:00:00,18,5186
2010-12-06 00:00:00,11,4631
2010-12-13 00:00:00,6,1889
2010-12-20 00:00:00,4,1451
2010-12-27 00:00:00,0,958
2011-01-08 00:00:00,4,1510
2011-01-10 00:00:00,2,1693
2011-01-17 00:00:00,14,1821
2011-01-24 00:00:00,19,1848
2011-01-31 00:00:00,25,2040
2011-02-07 00:00:00,29,1815
2011-02-14 00:00:00,48,2128
2011-02-21 00:00:00,57,2125
2011-02-28 00:00:00,67,2221
2011-03-07 00:00:00,89,2110
2011-03-14 00:00:00,44,1985
2011-03-21 00:00:00,47,2076
2011-03-28 00:00:00,19,2244
2011-04-04 00:00:00,15,2078
2011-04-11 00:00:00,16,2014
2011-04-18 00:00:00,6,1501
2011-04-25 00:00:00,4,1901
2011-05-02 00:00:00,4,1624
2011-05-09 00:00:00,1,1463
2011-05-16 00:00:00,4,1167
2011-05-23 00:00:00,0,1128
2011-05-30 00:00:00,2,1234
2011-06-06 00:00:00,0,1322
2011-06-13 00:00:00,0,1321
2011-06-20 00:00:00,0,1355
2011-06-27 00:00:00,1,1304
2011-07-04 00:00:00,0,953
2011-07-11 00:00:00,0,1260
2011-07-18 00:00:00,0,1260
2011-07-25 00:00:00,0,1321
2011-08-01 00:00:00,5,3567
2011-08-08 00:00:00,7,3873
2011-08-15 00:00:00,8,4054
2011-08-22 00:00:00,12,4255
2011-08-29 00:00:00,11,4484
2011-09-05 00:00:00,15,4574
2011-09-12 00:00:00,20,4710
2011-09-19 00:00:00,32,5390
2011-09-26 00:00:00,24,4837
2011-10-03 00:00:00,32,4709
2011-10-10 00:00:00,32,5025
2011-10-17 00:00:00,29,4662
2011-10-24 00:00:00,16,4681
2011-10-31 00:00:00,24,3966
2011-11-07 00:00:00,25,3597
2011-11-14 00:00:00,20,3817
2011-11-21 00:00:00,38,3096
2011-11-28 00:00:00,15,3320
2011-12-05 00:00:00,25,3359
2011-12-12 00:00:00,36,3405
2011-12-19 00:00:00,30,3929
2011-12-26 00:00:00,16,3691
2012-01-08 00:00:00,23,3833
2012-01-09 00:00:00,18,4240
2012-01-16 00:00:00,27,4155
2012-01-23 00:00:00,26,2766
2012-01-30 00:00:00,31,2922
2012-02-06 00:00:00,25,1821
2012-02-13 00:00:00,21,1880
2012-02-20 00:00:00,17,1553
2012-02-27 00:00:00,19,1558
2012-03-05 00:00:00,18,1884
2012-03-12 00:00:00,42,1663
2012-03-19 00:00:00,40,2063
2012-03-26 00:00:00,18,2034
2012-04-02 00:00:00,26,1864
2012-04-09 00:00:00,18,1522
2012-04-16 00:00:00,26,2084
2012-04-23 00:00:00,8,1556
2012-04-30 00:00:00,5,1210
2012-05-07 00:00:00,8,1441
2012-05-14 00:00:00,10,1643
2012-05-21 00:00:00,1,1224
2012-05-28 00:00:00,4,1138
2012-06-04 00:00:00,0,1427
2012-06-11 00:00:00,3,1440
2012-06-18 00:00:00,3,1335
2012-06-25 00:00:00,0,767
2012-07-02 00:00:00,0,778
2012-07-09 00:00:00,0,962
2012-07-16 00:00:00,0,1119
2012-07-23 00:00:00,0,820
