date,ILITOTAL,OT
2010-10-04 00:00:00,61,2773
2010-10-11 00:00:00,68,2486
2010-10-18 00:00:00,94,2839
2010-10-25 00:00:00,60,2916
2010-11-01 00:00:00,11,2920
2010-11-08 00:00:00,105,3546
2010-11-15 00:00:00,85,3508
2010-11-22 00:00:00,15,2440
2010-11-29 00:00:00,99,3516
2010-12-06 00:00:00,91,3696
2010-12-13 00:00:00,111,3429
2010-12-20 00:00:00,62,2792
2010-12-27 00:00:00,85,2220
2011-01-08 00:00:00,102,3393
2011-01-10 00:00:00,86,2906
2011-01-17 00:00:00,108,3461
2011-01-24 00:00:00,164,3662
2011-01-31 00:00:00,156,2484
2011-02-07 00:00:00,126,3423
2011-02-14 00:00:00,156,3520
2011-02-21 00:00:00,300,3640
2011-02-28 00:00:00,261,3837
2011-03-07 00:00:00,192,3260
2011-03-14 00:00:00,87,3005
2011-03-21 00:00:00,48,3070
2011-03-28 00:00:00,31,2670
2011-04-04 00:00:00,29,3243
2011-04-11 00:00:00,38,2640
2011-04-18 00:00:00,28,2656
2011-04-25 00:00:00,13,2530
2011-05-02 00:00:00,9,2135
2011-05-09 00:00:00,7,2471
2011-05-16 00:00:00,8,2025
2011-05-23 00:00:00,3,1621
2011-05-30 00:00:00,3,1636
2011-06-06 00:00:00,5,1514
2011-06-13 00:00:00,1,1142
2011-06-20 00:00:00,2,1190
2011-06-27 00:00:00,1,1523
2011-07-04 00:00:00,1,809
2011-07-11 00:00:00,1,1934
2011-07-18 00:00:00,2,1347
2011-07-25 00:00:00,4,1513
2011-08-01 00:00:00,1,1340
2011-08-08 00:00:00,2,1482
2011-08-15 00:00:00,5,1352
2011-08-22 00:00:00,3,1570
2011-08-29 00:00:00,4,1276
2011-09-05 00:00:00,11,1179
2011-09-12 00:00:00,34,1114
2011-09-19 00:00:00,14,1278
2011-09-26 00:00:00,10,1071
2011-10-03 00:00:00,19,3206
2011-10-10 00:00:00,11,2897
2011-10-17 00:00:00,9,3158
2011-10-24 00:00:00,79,3723
2011-10-31 00:00:00,81,3229
2011-11-07 00:00:00,84,3324
2011-11-14 00:00:00,9,2713
2011-11-21 00:00:00,15,2339
2011-11-28 00:00:00,86,3648
2011-12-05 00:00:00,22,2937
2011-12-12 00:00:00,107,3668
2011-12-19 00:00:00,82,3202
2011-12-26 00:00:00,124,2558
2012-01-08 00:00:00,81,3396
2012-01-09 00:00:00,104,3472
2012-01-16 00:00:00,121,3530
2012-01-23 00:00:00,102,3676
2012-01-30 00:00:00,124,3014
2012-02-06 00:00:00,123,3544
2012-02-13 00:00:00,120,3650
2012-02-20 00:00:00,120,3951
2012-02-27 00:00:00,140,3261
2012-03-05 00:00:00,112,3245
2012-03-12 00:00:00,83,3017
2012-03-19 00:00:00,68,3140
2012-03-26 00:00:00,67,2908
2012-04-02 00:00:00,60,2985
2012-04-09 00:00:00,59,3093
2012-04-16 00:00:00,56,2735
2012-04-23 00:00:00,50,3021
2012-04-30 00:00:00,55,1707
2012-05-07 00:00:00,61,1702
2012-05-14 00:00:00,52,1841
2012-05-21 00:00:00,44,1809
2012-05-28 00:00:00,14,1505
2012-06-04 00:00:00,2,1317
2012-06-11 00:00:00,6,1379
2012-06-18 00:00:00,3,1275
2012-06-25 00:00:00,2,889
2012-07-02 00:00:00,13,1334
2012-07-09 00:00:00,4,1364
2012-07-16 00:00:00,5,1391
2012-07-23 00:00:00,8,1457
2012-07-30 00:00:00,15,1456
2012-08-06 00:00:00,5,942
2012-08-13 00:00:00,6,1111
2012-08-20 00:00:00,43,1907
2012-08-27 00:00:00,53,1665
2012-09-03 00:00:00,51,1395
2012-09-10 00:00:00,58,1315
2012-09-17 00:00:00,62,1275
2012-09-24 00:00:00,61,1401
2012-10-01 00:00:00,90,3211
2012-10-08 00:00:00,85,3185
2012-10-15 00:00:00,81,3207
2012-10-22 00:00:00,93,2923
2012-10-29 00:00:00,94,3086
2012-11-05 00:00:00,57,2958
2012-11-12 00:00:00,105,3389
2012-11-19 00:00:00,63,2958
2012-11-26 00:00:00,130,3985
2012-12-03 00:00:00,92,4050
2012-12-10 00:00:00,97,3428
2012-12-17 00:00:00,263,3859
2012-12-24 00:00:00,272,2681
2013-01-08 00:00:00,321,3710
2013-01-14 00:00:00,454,4494
2013-01-21 00:00:00,412,4376
2013-01-28 00:00:00,398,4113
2013-02-04 00:00:00,305,3477
2013-02-11 00:00:00,223,3554
2013-02-18 00:00:00,197,3371
2013-02-25 00:00:00,166,2961
2013-03-04 00:00:00,152,3259
2013-03-11 00:00:00,101,3293
2013-03-18 00:00:00,121,3119
2013-03-25 00:00:00,94,3057
2013-04-01 00:00:00,87,2604
2013-04-08 00:00:00,71,2668
2013-04-15 00:00:00,52,2492
2013-04-22 00:00:00,66,2202
2013-04-29 00:00:00,64,2623
2013-05-06 00:00:00,52,2196
2013-05-13 00:00:00,41,1856
2013-05-20 00:00:00,44,1891
2013-05-27 00:00:00,48,1930
2013-06-03 00:00:00,30,1064
2013-06-10 00:00:00,5,1395
2013-06-17 00:00:00,3,961
2013-06-24 00:00:00,8,935
2013-07-01 00:00:00,4,911
2013-07-08 00:00:00,2,595
2013-07-15 00:00:00,3,793
2013-07-22 00:00:00,4,816
2013-07-29 00:00:00,8,888
2013-08-05 00:00:00,4,717
2013-08-12 00:00:00,58,1199
2013-08-19 00:00:00,47,1597
2013-08-26 00:00:00,46,1554
2013-09-02 00:00:00,8,1048
2013-09-09 00:00:00,49,1413
2013-09-16 00:00:00,77,1552
2013-09-23 00:00:00,56,1451
2013-09-30 00:00:00,70,1488
2013-10-07 00:00:00,11,2343
2013-10-14 00:00:00,19,2500
2013-10-21 00:00:00,19,2384
2013-10-28 00:00:00,23,2427
2013-11-04 00:00:00,11,2329
2013-11-11 00:00:00,19,2752
2013-11-18 00:00:00,25,2623
2013-11-25 00:00:00,17,2502
2013-12-02 00:00:00,17,1888
2013-12-09 00:00:00,19,2665
2013-12-16 00:00:00,21,2334
2013-12-23 00:00:00,30,2544
2013-12-30 00:00:00,24,1530
2014-01-08 00:00:00,35,1864
2014-01-13 00:00:00,45,2531
2014-01-20 00:00:00,52,2629
2014-01-27 00:00:00,65,2608
2014-02-03 00:00:00,55,2685
2014-02-10 00:00:00,50,2507
2014-02-17 00:00:00,31,2561
2014-02-24 00:00:00,20,2475
2014-03-03 00:00:00,15,2610
2014-03-10 00:00:00,26,2673
2014-03-17 00:00:00,29,2651
2014-03-24 00:00:00,20,2675
2014-03-31 00:00:00,12,2701
2014-04-07 00:00:00,17,2604
2014-04-14 00:00:00,18,2651
2014-04-21 00:00:00,13,2548
2014-04-28 00:00:00,10,2466
2014-05-05 00:00:00,5,2120
2014-05-12 00:00:00,11,1700
2014-05-19 00:00:00,7,1605
2014-05-26 00:00:00,9,1350
2014-06-02 00:00:00,7,1241
2014-06-09 00:00:00,10,740
2014-06-16 00:00:00,3,1225
2014-06-23 00:00:00,9,1159
2014-06-30 00:00:00,6,812
2014-07-07 00:00:00,8,675
2014-07-14 00:00:00,4,995
2014-07-21 00:00:00,7,945
2014-07-28 00:00:00,7,890
2014-08-04 00:00:00,7,929
2014-08-11 00:00:00,6,648
2014-08-18 00:00:00,8,1165
2014-08-25 00:00:00,13,1071
2014-09-01 00:00:00,12,1093
2014-09-08 00:00:00,9,834
2014-09-15 00:00:00,21,1111
2014-09-22 00:00:00,15,1036
2014-09-29 00:00:00,11,1037
2014-10-06 00:00:00,17,2696
2014-10-13 00:00:00,20,2697
2014-10-20 00:00:00,26,3039
2014-10-27 00:00:00,14,2637
2014-11-03 00:00:00,11,2619
2014-11-10 00:00:00,7,2382
2014-11-17 00:00:00,18,2629
2014-11-24 00:00:00,19,2809
2014-12-01 00:00:00,18,2063
2014-12-08 00:00:00,32,2832
2014-12-15 00:00:00,37,2655
2014-12-22 00:00:00,67,2599
2014-12-29 00:00:00,89,1806
2015-01-05 00:00:00,76,2145
2015-01-08 00:00:00,81,2869
2015-01-12 00:00:00,71,2795
2015-01-19 00:00:00,164,2823
2015-01-26 00:00:00,106,2608
2015-02-02 00:00:00,72,2567
2015-02-09 00:00:00,47,2755
2015-02-16 00:00:00,45,2917
2015-02-23 00:00:00,42,2832
2015-03-02 00:00:00,48,2742
2015-03-09 00:00:00,60,2723
2015-03-16 00:00:00,65,2824
2015-03-23 00:00:00,67,2797
2015-03-30 00:00:00,53,2536
2015-04-06 00:00:00,34,2644
2015-04-13 00:00:00,27,2805
2015-04-20 00:00:00,19,2386
2015-04-27 00:00:00,15,2208
2015-05-04 00:00:00,19,2037
2015-05-11 00:00:00,15,1651
2015-05-18 00:00:00,10,1627
2015-05-25 00:00:00,10,1586
2015-06-01 00:00:00,11,1608
2015-06-08 00:00:00,10,1499
2015-06-15 00:00:00,9,1873
2015-06-22 00:00:00,11,1960
2015-06-29 00:00:00,6,1608
2015-07-06 00:00:00,5,1363
2015-07-13 00:00:00,13,1392
2015-07-20 00:00:00,10,1273
2015-07-27 00:00:00,11,1321
2015-08-03 00:00:00,11,1082
2015-08-10 00:00:00,6,1338
2015-08-17 00:00:00,10,1276
2015-08-24 00:00:00,10,1640
2015-08-31 00:00:00,8,1576
2015-09-07 00:00:00,11,1340
2015-09-14 00:00:00,9,1572
2015-09-21 00:00:00,11,1526
2015-09-28 00:00:00,16,1340
2015-10-05 00:00:00,12,2798
2015-10-12 00:00:00,16,3542
2015-10-19 00:00:00,16,3211
2015-10-26 00:00:00,12,3619
2015-11-02 00:00:00,18,3676
2015-11-09 00:00:00,20,3535
2015-11-16 00:00:00,33,3580
2015-11-23 00:00:00,17,2438
2015-11-30 00:00:00,12,3426
2015-12-07 00:00:00,26,3121
2015-12-14 00:00:00,18,3300
2015-12-21 00:00:00,10,2174
2015-12-28 00:00:00,9,2137
2016-01-08 00:00:00,18,3400
2016-01-11 00:00:00,18,3413
2016-01-18 00:00:00,11,3348
2016-01-25 00:00:00,14,3441
2016-02-01 00:00:00,12,2745
2016-02-08 00:00:00,25,3549
2016-02-15 00:00:00,24,3433
2016-02-22 00:00:00,35,3481
2016-02-29 00:00:00,53,3561
2016-03-07 00:00:00,56,3479
2016-03-14 00:00:00,29,3429
2016-03-21 00:00:00,32,3043
2016-03-28 00:00:00,37,3403
2016-04-04 00:00:00,26,3560
2016-04-11 00:00:00,16,3383
2016-04-18 00:00:00,12,3428
2016-04-25 00:00:00,20,3350
2016-05-02 00:00:00,11,3166
2016-05-09 00:00:00,10,2972
2016-05-16 00:00:00,9,2268
2016-05-23 00:00:00,4,1691
2016-05-30 00:00:00,8,1418
2016-06-06 00:00:00,7,1826
2016-06-13 00:00:00,5,1880
2016-06-20 00:00:00,8,1443
2016-06-27 00:00:00,11,1738
2016-07-04 00:00:00,6,1401
2016-07-11 00:00:00,7,1894
2016-07-18 00:00:00,3,2041
2016-07-25 00:00:00,4,1970
2016-08-01 00:00:00,8,2101
2016-08-08 00:00:00,6,1792
2016-08-15 00:00:00,6,1697
2016-08-22 00:00:00,6,1893
2016-08-29 00:00:00,8,2028
2016-09-05 00:00:00,7,1847
2016-09-12 00:00:00,8,2098
2016-09-19 00:00:00,8,1837
2016-09-26 00:00:00,4,1815
2016-10-03 00:00:00,11,3282
2016-10-10 00:00:00,7,2756
2016-10-17 00:00:00,9,3225
2016-10-24 00:00:00,5,3173
2016-10-31 00:00:00,14,3363
2016-11-07 00:00:00,20,3419
2016-11-14 00:00:00,13,3173
2016-11-21 00:00:00,12,2097
2016-11-28 00:00:00,29,3642
2016-12-05 00:00:00,15,3214
2016-12-12 00:00:00,16,3211
2016-12-19 00:00:00,27,2864
2016-12-26 00:00:00,24,2395
2017-01-08 00:00:00,41,2772
2017-01-09 00:00:00,49,2992
2017-01-16 00:00:00,83,2893
2017-01-23 00:00:00,80,3068
2017-01-30 00:00:00,106,3310
2017-02-06 00:00:00,132,3164
2017-02-13 00:00:00,69,3005
2017-02-20 00:00:00,56,2892
2017-02-27 00:00:00,42,3379
2017-03-06 00:00:00,45,2907
2017-03-13 00:00:00,57,2866
2017-03-20 00:00:00,44,3240
2017-03-27 00:00:00,26,2926
2017-04-03 00:00:00,27,3043
2017-04-10 00:00:00,16,2518
2017-04-17 00:00:00,7,2711
2017-04-24 00:00:00,8,2293
2017-05-01 00:00:00,6,2251
2017-05-08 00:00:00,6,2293
2017-05-15 00:00:00,7,1557
2017-05-22 00:00:00,1,1553
2017-05-29 00:00:00,2,1041
2017-06-05 00:00:00,6,1705
2017-06-12 00:00:00,6,1625
2017-06-19 00:00:00,4,1689
2017-06-26 00:00:00,7,1680
2017-07-03 00:00:00,2,1173
2017-07-10 00:00:00,3,1570
2017-07-17 00:00:00,4,1721
2017-07-24 00:00:00,0,1484
2017-07-31 00:00:00,16,1757
2017-08-07 00:00:00,9,1715
2017-08-14 00:00:00,3,1508
2017-08-21 00:00:00,12,1234
2017-08-28 00:00:00,9,1334
2017-09-04 00:00:00,8,617
2017-09-11 00:00:00,6,1418
2017-09-18 00:00:00,12,1293
2017-09-25 00:00:00,10,1418
2017-10-02 00:00:00,108,8409
2017-10-09 00:00:00,119,8985
