date,ILITOTAL,OT
2010-10-04 00:00:00,3,3951
2010-10-11 00:00:00,4,4326
2010-10-18 00:00:00,17,5790
2010-10-25 00:00:00,10,5593
2010-11-01 00:00:00,17,5775
2010-11-08 00:00:00,16,5256
2010-11-15 00:00:00,16,5729
2010-11-22 00:00:00,8,3899
2010-11-29 00:00:00,7,5043
2010-12-06 00:00:00,12,4858
2010-12-13 00:00:00,4,5640
2010-12-20 00:00:00,10,4110
2010-12-27 00:00:00,8,3007
2011-01-08 00:00:00,17,5171
2011-01-10 00:00:00,11,4746
2011-01-17 00:00:00,20,4731
2011-01-24 00:00:00,22,5321
2011-01-31 00:00:00,24,4755
2011-02-07 00:00:00,40,5511
2011-02-14 00:00:00,37,5592
2011-02-21 00:00:00,37,4827
2011-02-28 00:00:00,47,5004
2011-03-07 00:00:00,28,5292
2011-03-14 00:00:00,24,4429
2011-03-21 00:00:00,20,5152
2011-03-28 00:00:00,26,5368
2011-04-04 00:00:00,10,5082
2011-04-11 00:00:00,3,5076
2011-04-18 00:00:00,2,4530
2011-04-25 00:00:00,7,4341
2011-05-02 00:00:00,3,3988
2011-05-09 00:00:00,3,4249
2011-05-16 00:00:00,3,4407
2011-05-23 00:00:00,1,3200
2011-05-30 00:00:00,1,2231
2011-06-06 00:00:00,0,3071
2011-06-13 00:00:00,0,2691
2011-06-20 00:00:00,1,2724
2011-06-27 00:00:00,1,2388
2011-07-04 00:00:00,0,2176
2011-07-11 00:00:00,0,3034
2011-07-18 00:00:00,1,3036
2011-07-25 00:00:00,0,3040
2011-08-01 00:00:00,1,3246
2011-08-08 00:00:00,0,3129
2011-08-15 00:00:00,1,3180
2011-08-22 00:00:00,0,3219
2011-08-29 00:00:00,1,3125
2011-09-05 00:00:00,0,2372
2011-09-12 00:00:00,1,3357
2011-09-19 00:00:00,3,3438
2011-09-26 00:00:00,5,3323
2011-10-03 00:00:00,4,3319
2011-10-10 00:00:00,12,4731
2011-10-17 00:00:00,7,5461
2011-10-24 00:00:00,21,5468
2011-10-31 00:00:00,14,5149
2011-11-07 00:00:00,15,5259
2011-11-14 00:00:00,23,6046
2011-11-21 00:00:00,11,3849
2011-11-28 00:00:00,19,5731
2011-12-05 00:00:00,16,4590
2011-12-12 00:00:00,18,5019
