date,ILITOTAL,OT
2010-10-04 00:00:00,163,7040
2010-10-11 00:00:00,189,7626
2010-10-18 00:00:00,191,8496
2010-10-25 00:00:00,216,7734
2010-11-01 00:00:00,113,6179
2010-11-08 00:00:00,169,7671
2010-11-15 00:00:00,158,7393
2010-11-22 00:00:00,143,5915
2010-11-29 00:00:00,144,5536
2010-12-06 00:00:00,183,6896
2010-12-13 00:00:00,210,6561
2010-12-20 00:00:00,264,5685
2010-12-27 00:00:00,199,4050
2011-01-08 00:00:00,224,5667
2011-01-10 00:00:00,273,5490
2011-01-17 00:00:00,307,5991
2011-01-24 00:00:00,321,5438
2011-01-31 00:00:00,384,6858
2011-02-07 00:00:00,412,7026
2011-02-14 00:00:00,351,5741
2011-02-21 00:00:00,421,6285
2011-02-28 00:00:00,440,7664
2011-03-07 00:00:00,247,4886
2011-03-14 00:00:00,201,4287
2011-03-21 00:00:00,183,5366
2011-03-28 00:00:00,239,5188
2011-04-04 00:00:00,185,5448
2011-04-11 00:00:00,140,5097
2011-04-18 00:00:00,136,4869
2011-04-25 00:00:00,189,6827
2011-05-02 00:00:00,93,4625
2011-05-09 00:00:00,102,4590
2011-05-16 00:00:00,162,6020
2011-05-23 00:00:00,162,5492
2011-05-30 00:00:00,118,4667
2011-06-06 00:00:00,151,5432
2011-06-13 00:00:00,106,3443
2011-06-20 00:00:00,117,3987
2011-06-27 00:00:00,43,4858
2011-07-04 00:00:00,9,3237
2011-07-11 00:00:00,8,3529
2011-07-18 00:00:00,4,3724
2011-07-25 00:00:00,11,3894
2011-08-01 00:00:00,13,3449
2011-08-08 00:00:00,16,2206
2011-08-15 00:00:00,13,3474
2011-08-22 00:00:00,10,3466
2011-08-29 00:00:00,10,3809
2011-09-05 00:00:00,12,3996
2011-09-12 00:00:00,16,5016
2011-09-19 00:00:00,24,5230
2011-09-26 00:00:00,33,5716
2011-10-03 00:00:00,49,5489
2011-10-10 00:00:00,44,5592
2011-10-17 00:00:00,48,5650
2011-10-24 00:00:00,45,5620
2011-10-31 00:00:00,60,5453
2011-11-07 00:00:00,55,5478
2011-11-14 00:00:00,66,5444
2011-11-21 00:00:00,54,3831
2011-11-28 00:00:00,59,5322
2011-12-05 00:00:00,59,5326
2011-12-12 00:00:00,57,5139
2011-12-19 00:00:00,28,4350
2011-12-26 00:00:00,15,2412
2012-01-08 00:00:00,39,3708
2012-01-09 00:00:00,24,4171
2012-01-16 00:00:00,36,4583
2012-01-23 00:00:00,45,5935
2012-01-30 00:00:00,40,4951
2012-02-06 00:00:00,42,5165
2012-02-13 00:00:00,44,5386
2012-02-20 00:00:00,44,5250
2012-02-27 00:00:00,49,5022
2012-03-05 00:00:00,61,4543
2012-03-12 00:00:00,37,4178
2012-03-19 00:00:00,48,5014
2012-03-26 00:00:00,42,5242
2012-04-02 00:00:00,49,4246
2012-04-09 00:00:00,38,4483
2012-04-16 00:00:00,48,4906
2012-04-23 00:00:00,40,5334
2012-04-30 00:00:00,45,4389
2012-05-07 00:00:00,19,4316
2012-05-14 00:00:00,19,3727
2012-05-21 00:00:00,6,3654
2012-05-28 00:00:00,9,3217
2012-06-04 00:00:00,3,3287
2012-06-11 00:00:00,5,3278
2012-06-18 00:00:00,4,2829
2012-06-25 00:00:00,5,3266
2012-07-02 00:00:00,8,2329
2012-07-09 00:00:00,2,3469
2012-07-16 00:00:00,1,2784
2012-07-23 00:00:00,4,2067
2012-07-30 00:00:00,2,1739
2012-08-06 00:00:00,1,1822
2012-08-13 00:00:00,1,1952
2012-08-20 00:00:00,6,1810
2012-08-27 00:00:00,6,1286
2012-09-03 00:00:00,17,2789
2012-09-10 00:00:00,21,3188
2012-09-17 00:00:00,24,3429
2012-09-24 00:00:00,26,3267
2012-10-01 00:00:00,68,4967
2012-10-08 00:00:00,83,4867
2012-10-15 00:00:00,71,5092
2012-10-22 00:00:00,113,7764
2012-10-29 00:00:00,49,3836
2012-11-05 00:00:00,80,4427
2012-11-12 00:00:00,103,7379
2012-11-19 00:00:00,72,5277
2012-11-26 00:00:00,161,7192
2012-12-03 00:00:00,172,7767
2012-12-10 00:00:00,126,5845
2012-12-17 00:00:00,166,4312
2012-12-24 00:00:00,250,4594
2013-01-08 00:00:00,268,5358
2013-01-14 00:00:00,356,7196
2013-01-21 00:00:00,399,7103
2013-01-28 00:00:00,348,7044
2013-02-04 00:00:00,231,4981
2013-02-11 00:00:00,300,6736
2013-02-18 00:00:00,242,5051
2013-02-25 00:00:00,242,7029
2013-03-04 00:00:00,207,7424
2013-03-11 00:00:00,129,3442
2013-03-18 00:00:00,143,4453
2013-03-25 00:00:00,116,4066
2013-04-01 00:00:00,118,4265
2013-04-08 00:00:00,99,4383
2013-04-15 00:00:00,84,4505
2013-04-22 00:00:00,32,3209
2013-04-29 00:00:00,74,4515
2013-05-06 00:00:00,80,4354
2013-05-13 00:00:00,64,4389
2013-05-20 00:00:00,71,3928
2013-05-27 00:00:00,55,3508
2013-06-03 00:00:00,49,3217
2013-06-10 00:00:00,44,3293
2013-06-17 00:00:00,49,3312
2013-06-24 00:00:00,57,3257
2013-07-01 00:00:00,54,3138
2013-07-08 00:00:00,2,1808
2013-07-15 00:00:00,40,3288
2013-07-22 00:00:00,39,3130
2013-07-29 00:00:00,28,3170
2013-08-05 00:00:00,41,2996
2013-08-12 00:00:00,60,2809
2013-08-19 00:00:00,35,2874
2013-08-26 00:00:00,35,3056
2013-09-02 00:00:00,44,3266
2013-09-09 00:00:00,33,3659
2013-09-16 00:00:00,60,6690
2013-09-23 00:00:00,79,7035
2013-09-30 00:00:00,53,5812
2013-10-07 00:00:00,162,10685
2013-10-14 00:00:00,179,11971
2013-10-21 00:00:00,160,9131
2013-10-28 00:00:00,209,12045
2013-11-04 00:00:00,204,12279
2013-11-11 00:00:00,201,12513
2013-11-18 00:00:00,195,12472
2013-11-25 00:00:00,178,8932
2013-12-02 00:00:00,144,6254
2013-12-09 00:00:00,227,11377
2013-12-16 00:00:00,119,8989
2013-12-23 00:00:00,178,9084
2013-12-30 00:00:00,189,8117
2014-01-08 00:00:00,219,5850
2014-01-13 00:00:00,318,9942
2014-01-20 00:00:00,323,9928
2014-01-27 00:00:00,185,7220
2014-02-03 00:00:00,288,8063
2014-02-10 00:00:00,325,9508
2014-02-17 00:00:00,286,8548
2014-02-24 00:00:00,261,10153
2014-03-03 00:00:00,297,10880
2014-03-10 00:00:00,278,10081
2014-03-17 00:00:00,290,10860
2014-03-24 00:00:00,295,10635
2014-03-31 00:00:00,340,10381
2014-04-07 00:00:00,319,10991
2014-04-14 00:00:00,288,8601
2014-04-21 00:00:00,212,7384
2014-04-28 00:00:00,233,10649
2014-05-05 00:00:00,220,10805
2014-05-12 00:00:00,256,10747
2014-05-19 00:00:00,245,10613
2014-05-26 00:00:00,157,7706
2014-06-02 00:00:00,168,6289
2014-06-09 00:00:00,170,7317
2014-06-16 00:00:00,154,6978
2014-06-23 00:00:00,131,6731
2014-06-30 00:00:00,120,6723
2014-07-07 00:00:00,74,5366
2014-07-14 00:00:00,85,6618
2014-07-21 00:00:00,96,8979
2014-07-28 00:00:00,77,6206
2014-08-04 00:00:00,66,6086
2014-08-11 00:00:00,77,6146
2014-08-18 00:00:00,56,6336
2014-08-25 00:00:00,62,6259
2014-09-01 00:00:00,63,5047
2014-09-08 00:00:00,67,5968
2014-09-15 00:00:00,100,7724
2014-09-22 00:00:00,137,7835
2014-09-29 00:00:00,122,7019
2014-10-06 00:00:00,114,8111
2014-10-13 00:00:00,181,8337
2014-10-20 00:00:00,173,10749
2014-10-27 00:00:00,207,11120
2014-11-03 00:00:00,168,10659
2014-11-10 00:00:00,170,10563
2014-11-17 00:00:00,194,11006
2014-11-24 00:00:00,227,10611
2014-12-01 00:00:00,142,7365
2014-12-08 00:00:00,215,10575
2014-12-15 00:00:00,231,10235
2014-12-22 00:00:00,340,10246
2014-12-29 00:00:00,301,6942
2015-01-05 00:00:00,274,7298
2015-01-08 00:00:00,343,9467
2015-01-12 00:00:00,339,10141
2015-01-19 00:00:00,378,7599
2015-01-26 00:00:00,320,6658
2015-02-02 00:00:00,281,7957
2015-02-09 00:00:00,312,8008
2015-02-16 00:00:00,239,7866
2015-02-23 00:00:00,187,4658
2015-03-02 00:00:00,188,7404
2015-03-09 00:00:00,191,8516
2015-03-16 00:00:00,211,7308
2015-03-23 00:00:00,198,8111
2015-03-30 00:00:00,129,6878
2015-04-06 00:00:00,117,7423
2015-04-13 00:00:00,121,7524
2015-04-20 00:00:00,147,7845
2015-04-27 00:00:00,127,7935
2015-05-04 00:00:00,130,8117
2015-05-11 00:00:00,106,7799
2015-05-18 00:00:00,91,7203
2015-05-25 00:00:00,80,5474
2015-06-01 00:00:00,81,6716
2015-06-08 00:00:00,102,6264
2015-06-15 00:00:00,107,6673
2015-06-22 00:00:00,93,5929
2015-06-29 00:00:00,62,5109
2015-07-06 00:00:00,83,5497
2015-07-13 00:00:00,88,6469
2015-07-20 00:00:00,74,6373
2015-07-27 00:00:00,78,6738
