date,ILITOTAL,OT
2010-10-04 00:00:00,160,7505
2010-10-11 00:00:00,142,7232
2010-10-18 00:00:00,126,7523
2010-10-25 00:00:00,190,8068
2010-11-01 00:00:00,151,6345
2010-11-08 00:00:00,186,7823
2010-11-15 00:00:00,228,7921
2010-11-22 00:00:00,194,6514
2010-11-29 00:00:00,234,8197
2010-12-06 00:00:00,200,8605
2010-12-13 00:00:00,221,8115
2010-12-20 00:00:00,232,6800
2010-12-27 00:00:00,259,6684
2011-01-08 00:00:00,241,8157
2011-01-10 00:00:00,250,8626
2011-01-17 00:00:00,312,8384
2011-01-24 00:00:00,452,8905
2011-01-31 00:00:00,437,7858
2011-02-07 00:00:00,454,9262
2011-02-14 00:00:00,625,9713
2011-02-21 00:00:00,516,9685
2011-02-28 00:00:00,413,8543
2011-03-07 00:00:00,347,9306
2011-03-14 00:00:00,324,8981
2011-03-21 00:00:00,254,8907
2011-03-28 00:00:00,224,8373
2011-04-04 00:00:00,200,8611
2011-04-11 00:00:00,137,7934
2011-04-18 00:00:00,155,8278
2011-04-25 00:00:00,141,8023
2011-05-02 00:00:00,135,8147
2011-05-09 00:00:00,132,7523
2011-05-16 00:00:00,121,7779
2011-05-23 00:00:00,76,4702
2011-05-30 00:00:00,75,4802
2011-06-06 00:00:00,58,4160
2011-06-13 00:00:00,64,4220
2011-06-20 00:00:00,45,5138
2011-06-27 00:00:00,39,4552
2011-07-04 00:00:00,53,4479
2011-07-11 00:00:00,46,4869
2011-07-18 00:00:00,57,4702
2011-07-25 00:00:00,45,4776
2011-08-01 00:00:00,52,5425
2011-08-08 00:00:00,50,5269
2011-08-15 00:00:00,54,4674
2011-08-22 00:00:00,64,5412
2011-08-29 00:00:00,95,5018
2011-09-05 00:00:00,63,3966
2011-09-12 00:00:00,83,4993
2011-09-19 00:00:00,80,5546
2011-09-26 00:00:00,118,5927
2011-10-03 00:00:00,136,7672
2011-10-10 00:00:00,97,6841
2011-10-17 00:00:00,160,8487
2011-10-24 00:00:00,181,8465
2011-10-31 00:00:00,195,7711
2011-11-07 00:00:00,154,8171
2011-11-14 00:00:00,235,7840
2011-11-21 00:00:00,222,6833
2011-11-28 00:00:00,201,7662
2011-12-05 00:00:00,163,7081
2011-12-12 00:00:00,132,6881
2011-12-19 00:00:00,170,6644
2011-12-26 00:00:00,198,6846
2012-01-08 00:00:00,184,7233
2012-01-09 00:00:00,182,7957
2012-01-16 00:00:00,169,8089
2012-01-23 00:00:00,218,8556
2012-01-30 00:00:00,217,8601
2012-02-06 00:00:00,192,8888
2012-02-13 00:00:00,217,8231
2012-02-20 00:00:00,249,8433
2012-02-27 00:00:00,345,9434
2012-03-05 00:00:00,249,8594
2012-03-12 00:00:00,260,8139
2012-03-19 00:00:00,213,8137
2012-03-26 00:00:00,191,8220
2012-04-02 00:00:00,200,7346
2012-04-09 00:00:00,218,8347
2012-04-16 00:00:00,156,7419
2012-04-23 00:00:00,142,8213
2012-04-30 00:00:00,116,7827
2012-05-07 00:00:00,110,7797
2012-05-14 00:00:00,91,6702
2012-05-21 00:00:00,88,4643
2012-05-28 00:00:00,63,4282
2012-06-04 00:00:00,61,3370
2012-06-11 00:00:00,77,4797
2012-06-18 00:00:00,43,4129
2012-06-25 00:00:00,64,3230
2012-07-02 00:00:00,43,3540
2012-07-09 00:00:00,60,3648
2012-07-16 00:00:00,69,3046
2012-07-23 00:00:00,38,2733
2012-07-30 00:00:00,64,3549
2012-08-06 00:00:00,89,4060
2012-08-13 00:00:00,60,4163
2012-08-20 00:00:00,76,3538
2012-08-27 00:00:00,109,4453
2012-09-03 00:00:00,84,3913
2012-09-10 00:00:00,93,4131
2012-09-17 00:00:00,97,3908
2012-09-24 00:00:00,100,4577
2012-10-01 00:00:00,126,8828
2012-10-08 00:00:00,134,9032
2012-10-15 00:00:00,105,9476
2012-10-22 00:00:00,127,8513
2012-10-29 00:00:00,108,9028
2012-11-05 00:00:00,157,9311
2012-11-12 00:00:00,181,8685
2012-11-19 00:00:00,165,7284
2012-11-26 00:00:00,186,8956
2012-12-03 00:00:00,170,9066
2012-12-10 00:00:00,225,8808
2012-12-17 00:00:00,247,8217
2012-12-24 00:00:00,482,6760
2013-01-08 00:00:00,408,7813
2013-01-14 00:00:00,460,9932
2013-01-21 00:00:00,484,10054
2013-01-28 00:00:00,557,9333
2013-02-04 00:00:00,481,9569
2013-02-11 00:00:00,366,9517
2013-02-18 00:00:00,338,9326
2013-02-25 00:00:00,294,8934
2013-03-04 00:00:00,272,9140
2013-03-11 00:00:00,199,9218
2013-03-18 00:00:00,214,8969
2013-03-25 00:00:00,158,9058
2013-04-01 00:00:00,129,8447
2013-04-08 00:00:00,120,8671
2013-04-15 00:00:00,104,8808
2013-04-22 00:00:00,125,8754
2013-04-29 00:00:00,114,8828
2013-05-06 00:00:00,104,8285
2013-05-13 00:00:00,117,8457
2013-05-20 00:00:00,100,8445
2013-05-27 00:00:00,108,6780
2013-06-03 00:00:00,40,5072
2013-06-10 00:00:00,70,5032
2013-06-17 00:00:00,73,6135
2013-06-24 00:00:00,61,6665
2013-07-01 00:00:00,46,6422
2013-07-08 00:00:00,60,5464
2013-07-15 00:00:00,56,6343
2013-07-22 00:00:00,57,5698
2013-07-29 00:00:00,47,5310
2013-08-05 00:00:00,71,6296
2013-08-12 00:00:00,70,5924
2013-08-19 00:00:00,57,6251
2013-08-26 00:00:00,86,7443
2013-09-02 00:00:00,73,6609
2013-09-09 00:00:00,78,5966
2013-09-16 00:00:00,86,5603
2013-09-23 00:00:00,109,5985
2013-09-30 00:00:00,144,5829
2013-10-07 00:00:00,207,11216
2013-10-14 00:00:00,204,11213
2013-10-21 00:00:00,183,10763
2013-10-28 00:00:00,210,11426
2013-11-04 00:00:00,214,10980
2013-11-11 00:00:00,216,10637
2013-11-18 00:00:00,248,10587
2013-11-25 00:00:00,264,10926
2013-12-02 00:00:00,201,8531
2013-12-09 00:00:00,220,9501
2013-12-16 00:00:00,270,10074
2013-12-23 00:00:00,382,10376
2013-12-30 00:00:00,440,8216
2014-01-08 00:00:00,642,9818
2014-01-13 00:00:00,664,11327
2014-01-20 00:00:00,625,11933
2014-01-27 00:00:00,532,11615
2014-02-03 00:00:00,542,11832
2014-02-10 00:00:00,426,12314
2014-02-17 00:00:00,385,8848
2014-02-24 00:00:00,360,11496
2014-03-03 00:00:00,282,11990
2014-03-10 00:00:00,250,12191
2014-03-17 00:00:00,233,11123
2014-03-24 00:00:00,222,10776
2014-03-31 00:00:00,224,10831
2014-04-07 00:00:00,208,10897
2014-04-14 00:00:00,227,10753
2014-04-21 00:00:00,195,11009
2014-04-28 00:00:00,224,11934
2014-05-05 00:00:00,186,10158
2014-05-12 00:00:00,167,10584
2014-05-19 00:00:00,157,9348
2014-05-26 00:00:00,158,7421
2014-06-02 00:00:00,130,7620
2014-06-09 00:00:00,104,6377
2014-06-16 00:00:00,69,6412
2014-06-23 00:00:00,78,7161
2014-06-30 00:00:00,67,7024
2014-07-07 00:00:00,60,5767
2014-07-14 00:00:00,51,5822
2014-07-21 00:00:00,100,6726
2014-07-28 00:00:00,91,6333
2014-08-04 00:00:00,85,6225
2014-08-11 00:00:00,103,7269
2014-08-18 00:00:00,98,7365
2014-08-25 00:00:00,101,7175
2014-09-01 00:00:00,152,7580
2014-09-08 00:00:00,126,6982
2014-09-15 00:00:00,115,6401
2014-09-22 00:00:00,138,6671
2014-09-29 00:00:00,147,8791
2014-10-06 00:00:00,148,11009
2014-10-13 00:00:00,181,11644
2014-10-20 00:00:00,194,10198
2014-10-27 00:00:00,179,10776
2014-11-03 00:00:00,150,11388
2014-11-10 00:00:00,187,10680
2014-11-17 00:00:00,136,10762
2014-11-24 00:00:00,177,10923
2014-12-01 00:00:00,161,8936
2014-12-08 00:00:00,209,11163
2014-12-15 00:00:00,255,11870
2014-12-22 00:00:00,430,11325
2014-12-29 00:00:00,637,9575
2015-01-05 00:00:00,583,10371
2015-01-08 00:00:00,509,12819
2015-01-12 00:00:00,500,12156
2015-01-19 00:00:00,507,11984
2015-01-26 00:00:00,498,12745
2015-02-02 00:00:00,449,12684
2015-02-09 00:00:00,439,13133
2015-02-16 00:00:00,328,13325
2015-02-23 00:00:00,348,12630
2015-03-02 00:00:00,285,11932
2015-03-09 00:00:00,323,12603
2015-03-16 00:00:00,316,12823
2015-03-23 00:00:00,252,12767
2015-03-30 00:00:00,213,11267
2015-04-06 00:00:00,181,12291
2015-04-13 00:00:00,183,11905
2015-04-20 00:00:00,191,12463
2015-04-27 00:00:00,179,12318
2015-05-04 00:00:00,170,12065
2015-05-11 00:00:00,160,9806
2015-05-18 00:00:00,168,10962
2015-05-25 00:00:00,112,8805
2015-06-01 00:00:00,86,7816
2015-06-08 00:00:00,88,9004
2015-06-15 00:00:00,93,8029
2015-06-22 00:00:00,99,9382
2015-06-29 00:00:00,43,5062
2015-07-06 00:00:00,72,8188
2015-07-13 00:00:00,52,4307
2015-07-20 00:00:00,86,7542
2015-07-27 00:00:00,57,6946
2015-08-03 00:00:00,49,6017
2015-08-10 00:00:00,31,4821
2015-08-17 00:00:00,74,6374
2015-08-24 00:00:00,82,8207
2015-08-31 00:00:00,8,958
2015-09-07 00:00:00,70,6040
2015-09-14 00:00:00,91,6482
2015-09-21 00:00:00,93,9070
2015-09-28 00:00:00,66,7084
2015-10-05 00:00:00,109,11221
2015-10-12 00:00:00,112,12350
2015-10-19 00:00:00,142,12226
2015-10-26 00:00:00,114,11450
2015-11-02 00:00:00,152,12636
2015-11-09 00:00:00,155,10685
2015-11-16 00:00:00,180,12255
2015-11-23 00:00:00,227,9963
2015-11-30 00:00:00,160,12391
2015-12-07 00:00:00,211,12082
2015-12-14 00:00:00,193,10321
2015-12-21 00:00:00,169,8040
2015-12-28 00:00:00,183,9191
2016-01-08 00:00:00,183,11407
2016-01-11 00:00:00,203,10922
2016-01-18 00:00:00,247,10476
2016-01-25 00:00:00,308,12840
2016-02-01 00:00:00,321,12121
2016-02-08 00:00:00,482,12957
2016-02-15 00:00:00,560,13661
2016-02-22 00:00:00,594,14275
2016-02-29 00:00:00,699,13851
2016-03-07 00:00:00,637,14494
2016-03-14 00:00:00,636,13633
2016-03-21 00:00:00,513,13048
2016-03-28 00:00:00,423,11737
2016-04-04 00:00:00,307,12615
2016-04-11 00:00:00,229,12329
2016-04-18 00:00:00,206,11961
2016-04-25 00:00:00,187,11455
2016-05-02 00:00:00,155,11275
2016-05-09 00:00:00,174,11077
2016-05-16 00:00:00,150,10756
2016-05-23 00:00:00,95,7768
2016-05-30 00:00:00,94,5176
2016-06-06 00:00:00,67,6386
2016-06-13 00:00:00,59,6480
2016-06-20 00:00:00,72,7207
2016-06-27 00:00:00,59,6753
2016-07-04 00:00:00,80,7169
2016-07-11 00:00:00,80,7453
2016-07-18 00:00:00,70,6403
2016-07-25 00:00:00,48,6091
2016-08-01 00:00:00,47,6666
2016-08-08 00:00:00,20,5444
2016-08-15 00:00:00,66,6678
2016-08-22 00:00:00,71,6370
2016-08-29 00:00:00,87,6721
2016-09-05 00:00:00,67,4570
2016-09-12 00:00:00,85,5710
2016-09-19 00:00:00,101,7162
2016-09-26 00:00:00,110,7563
2016-10-03 00:00:00,128,11380
2016-10-10 00:00:00,110,10672
2016-10-17 00:00:00,107,11306
2016-10-24 00:00:00,125,11093
2016-10-31 00:00:00,154,10358
2016-11-07 00:00:00,151,11178
2016-11-14 00:00:00,152,11715
2016-11-21 00:00:00,130,9329
2016-11-28 00:00:00,155,11427
2016-12-05 00:00:00,163,11145
2016-12-12 00:00:00,175,10200
2016-12-19 00:00:00,199,9616
2016-12-26 00:00:00,183,9017
2017-01-08 00:00:00,228,10185
2017-01-09 00:00:00,242,11552
2017-01-16 00:00:00,305,11144
2017-01-23 00:00:00,371,12588
2017-01-30 00:00:00,504,12264
2017-02-06 00:00:00,641,12980
2017-02-13 00:00:00,615,12730
2017-02-20 00:00:00,562,12152
2017-02-27 00:00:00,445,11422
2017-03-06 00:00:00,402,12054
2017-03-13 00:00:00,368,11255
2017-03-20 00:00:00,253,10668
2017-03-27 00:00:00,215,10921
2017-04-03 00:00:00,185,11059
2017-04-10 00:00:00,199,9891
2017-04-17 00:00:00,150,9192
2017-04-24 00:00:00,153,10995
2017-05-01 00:00:00,166,9916
2017-05-08 00:00:00,137,9511
2017-05-15 00:00:00,99,7754
2017-05-22 00:00:00,54,5992
2017-05-29 00:00:00,81,5462
