date,ILITOTAL,OT
2010-10-04 00:00:00,175,10499
2010-10-11 00:00:00,187,11428
2010-10-18 00:00:00,171,11335
2010-10-25 00:00:00,241,11238
2010-11-01 00:00:00,204,11541
2010-11-08 00:00:00,75,9314
2010-11-15 00:00:00,294,11167
2010-11-22 00:00:00,299,9639
2010-11-29 00:00:00,325,11244
2010-12-06 00:00:00,394,12002
2010-12-13 00:00:00,440,10263
2010-12-20 00:00:00,495,14274
2010-12-27 00:00:00,624,16055
2011-01-08 00:00:00,588,19076
2011-01-10 00:00:00,618,18647
2011-01-17 00:00:00,664,17545
2011-01-24 00:00:00,772,20128
2011-01-31 00:00:00,775,19222
2011-02-07 00:00:00,756,20357
2011-02-14 00:00:00,784,19293
2011-02-21 00:00:00,762,18733
2011-02-28 00:00:00,535,11171
2011-03-07 00:00:00,619,18908
2011-03-14 00:00:00,564,18309
2011-03-21 00:00:00,490,11402
2011-03-28 00:00:00,436,19128
2011-04-04 00:00:00,408,18443
2011-04-11 00:00:00,290,13722
2011-04-18 00:00:00,372,11900
2011-04-25 00:00:00,275,17709
2011-05-02 00:00:00,273,10866
2011-05-09 00:00:00,250,10328
2011-05-16 00:00:00,64,8111
2011-05-23 00:00:00,50,7373
2011-05-30 00:00:00,51,6971
2011-06-06 00:00:00,71,6893
2011-06-13 00:00:00,58,6570
2011-06-20 00:00:00,53,7023
2011-06-27 00:00:00,42,6512
2011-07-04 00:00:00,26,6687
2011-07-11 00:00:00,33,6596
2011-07-18 00:00:00,30,6604
2011-07-25 00:00:00,34,6580
2011-08-01 00:00:00,38,6800
2011-08-08 00:00:00,30,6960
2011-08-15 00:00:00,31,6927
2011-08-22 00:00:00,30,6015
2011-08-29 00:00:00,24,6699
2011-09-05 00:00:00,41,7338
2011-09-12 00:00:00,45,7401
2011-09-19 00:00:00,40,7381
2011-09-26 00:00:00,56,7244
2011-10-03 00:00:00,65,15659
2011-10-10 00:00:00,61,14235
2011-10-17 00:00:00,81,15968
2011-10-24 00:00:00,95,15164
2011-10-31 00:00:00,99,9701
2011-11-07 00:00:00,93,15960
2011-11-14 00:00:00,94,17074
2011-11-21 00:00:00,87,12807
2011-11-28 00:00:00,94,15201
2011-12-05 00:00:00,82,10184
2011-12-12 00:00:00,110,15995
2011-12-19 00:00:00,97,8956
2011-12-26 00:00:00,116,8747
2012-01-08 00:00:00,84,8887
2012-01-09 00:00:00,67,8312
2012-01-16 00:00:00,131,15770
2012-01-23 00:00:00,135,8767
2012-01-30 00:00:00,149,7974
2012-02-06 00:00:00,246,9533
2012-02-13 00:00:00,279,16905
2012-02-20 00:00:00,273,17652
2012-02-27 00:00:00,254,14820
2012-03-05 00:00:00,216,9822
2012-03-12 00:00:00,340,17603
2012-03-19 00:00:00,190,9142
2012-03-26 00:00:00,214,14561
2012-04-02 00:00:00,182,15223
2012-04-09 00:00:00,132,16055
2012-04-16 00:00:00,120,15522
2012-04-23 00:00:00,89,15293
2012-04-30 00:00:00,68,8231
2012-05-07 00:00:00,85,7925
2012-05-14 00:00:00,96,14855
2012-05-21 00:00:00,102,7994
2012-05-28 00:00:00,114,7923
2012-06-04 00:00:00,60,13446
2012-06-11 00:00:00,43,7144
2012-06-18 00:00:00,100,12951
2012-06-25 00:00:00,42,12973
2012-07-02 00:00:00,42,11214
2012-07-09 00:00:00,19,10945
2012-07-16 00:00:00,41,11755
2012-07-23 00:00:00,37,12435
2012-07-30 00:00:00,15,10139
2012-08-06 00:00:00,34,6865
2012-08-13 00:00:00,44,7118
2012-08-20 00:00:00,35,7353
2012-08-27 00:00:00,41,6891
2012-09-03 00:00:00,39,6251
2012-09-10 00:00:00,113,7244
2012-09-17 00:00:00,48,7035
2012-09-24 00:00:00,33,5751
2012-10-01 00:00:00,89,16463
2012-10-08 00:00:00,77,16222
2012-10-15 00:00:00,97,16156
2012-10-22 00:00:00,118,14372
2012-10-29 00:00:00,81,15352
2012-11-05 00:00:00,90,15173
2012-11-12 00:00:00,109,14818
2012-11-19 00:00:00,98,12933
2012-11-26 00:00:00,128,14746
2012-12-03 00:00:00,102,14740
2012-12-10 00:00:00,155,14717
2012-12-17 00:00:00,127,7758
2012-12-24 00:00:00,212,12395
2013-01-08 00:00:00,281,14244
2013-01-14 00:00:00,380,15950
2013-01-21 00:00:00,476,15745
2013-01-28 00:00:00,553,15471
2013-02-04 00:00:00,297,12764
2013-02-11 00:00:00,507,14243
2013-02-18 00:00:00,504,14883
2013-02-25 00:00:00,437,15155
2013-03-04 00:00:00,258,8107
2013-03-11 00:00:00,186,7770
2013-03-18 00:00:00,214,7863
2013-03-25 00:00:00,92,5072
2013-04-01 00:00:00,137,7004
2013-04-08 00:00:00,107,6796
2013-04-15 00:00:00,91,6919
2013-04-22 00:00:00,62,5907
2013-04-29 00:00:00,74,6818
2013-05-06 00:00:00,73,7057
2013-05-13 00:00:00,68,7083
2013-05-20 00:00:00,88,6503
2013-05-27 00:00:00,54,5827
2013-06-03 00:00:00,62,5921
2013-06-10 00:00:00,57,6419
2013-06-17 00:00:00,18,3135
2013-06-24 00:00:00,67,6105
2013-07-01 00:00:00,48,6209
2013-07-08 00:00:00,41,6010
2013-07-15 00:00:00,10,2897
2013-07-22 00:00:00,22,4569
2013-07-29 00:00:00,40,5860
2013-08-05 00:00:00,23,4593
2013-08-12 00:00:00,17,5157
2013-08-19 00:00:00,28,5477
2013-08-26 00:00:00,22,5215
2013-09-02 00:00:00,24,4291
2013-09-09 00:00:00,39,5596
2013-09-16 00:00:00,41,6179
2013-09-23 00:00:00,30,4762
2013-09-30 00:00:00,6,2629
2013-10-07 00:00:00,91,15558
2013-10-14 00:00:00,124,15954
2013-10-21 00:00:00,114,15950
2013-10-28 00:00:00,124,16634
2013-11-04 00:00:00,135,16774
2013-11-11 00:00:00,178,17741
2013-11-18 00:00:00,164,17620
2013-11-25 00:00:00,193,18402
2013-12-02 00:00:00,216,13993
2013-12-09 00:00:00,237,16980
2013-12-16 00:00:00,281,17101
2013-12-23 00:00:00,451,18145
2013-12-30 00:00:00,658,15970
2014-01-08 00:00:00,644,17461
2014-01-13 00:00:00,627,19467
2014-01-20 00:00:00,500,18950
2014-01-27 00:00:00,384,18326
2014-02-03 00:00:00,427,18897
2014-02-10 00:00:00,351,18519
2014-02-17 00:00:00,279,18858
2014-02-24 00:00:00,188,18406
2014-03-03 00:00:00,203,18865
2014-03-10 00:00:00,176,18100
2014-03-17 00:00:00,184,17896
2014-03-24 00:00:00,164,17308
2014-03-31 00:00:00,151,17662
2014-04-07 00:00:00,126,17080
2014-04-14 00:00:00,142,17364
2014-04-21 00:00:00,152,16568
2014-04-28 00:00:00,95,17473
2014-05-05 00:00:00,129,16405
2014-05-12 00:00:00,110,16845
2014-05-19 00:00:00,133,16855
2014-05-26 00:00:00,141,16214
2014-06-02 00:00:00,136,14333
2014-06-09 00:00:00,115,15226
2014-06-16 00:00:00,107,14656
2014-06-23 00:00:00,79,13960
2014-06-30 00:00:00,79,14832
2014-07-07 00:00:00,93,13330
2014-07-14 00:00:00,62,14225
2014-07-21 00:00:00,60,14217
2014-07-28 00:00:00,51,13809
2014-08-04 00:00:00,34,13866
2014-08-11 00:00:00,34,14034
2014-08-18 00:00:00,47,14183
2014-08-25 00:00:00,42,14564
2014-09-01 00:00:00,74,14567
2014-09-08 00:00:00,57,13776
2014-09-15 00:00:00,72,14968
2014-09-22 00:00:00,90,15415
2014-09-29 00:00:00,83,14804
2014-10-06 00:00:00,65,13149
2014-10-13 00:00:00,66,11237
2014-10-20 00:00:00,73,13233
2014-10-27 00:00:00,58,13306
2014-11-03 00:00:00,70,12434
2014-11-10 00:00:00,71,13032
2014-11-17 00:00:00,103,12653
2014-11-24 00:00:00,107,13536
2014-12-01 00:00:00,190,10554
2014-12-08 00:00:00,173,13707
2014-12-15 00:00:00,191,13388
2014-12-22 00:00:00,234,12995
2014-12-29 00:00:00,342,10457
2015-01-05 00:00:00,462,11241
2015-01-08 00:00:00,486,12364
2015-01-12 00:00:00,468,13679
2015-01-19 00:00:00,520,13022
2015-01-26 00:00:00,438,14146
2015-02-02 00:00:00,333,14225
2015-02-09 00:00:00,321,13469
2015-02-16 00:00:00,220,13006
2015-02-23 00:00:00,150,12872
2015-03-02 00:00:00,149,12820
2015-03-09 00:00:00,199,13305
2015-03-16 00:00:00,144,13470
2015-03-23 00:00:00,108,13728
2015-03-30 00:00:00,122,12540
2015-04-06 00:00:00,112,12391
2015-04-13 00:00:00,104,12985
2015-04-20 00:00:00,68,12608
2015-04-27 00:00:00,51,12831
2015-05-04 00:00:00,74,12465
2015-05-11 00:00:00,36,12388
2015-05-18 00:00:00,58,11749
2015-05-25 00:00:00,64,10515
2015-06-01 00:00:00,39,11244
2015-06-08 00:00:00,39,10706
2015-06-15 00:00:00,26,10231
2015-06-22 00:00:00,22,11225
2015-06-29 00:00:00,18,10054
2015-07-06 00:00:00,15,11181
2015-07-13 00:00:00,23,10917
2015-07-20 00:00:00,12,10759
2015-07-27 00:00:00,24,9708
2015-08-03 00:00:00,13,9698
2015-08-10 00:00:00,28,9990
2015-08-17 00:00:00,30,3933
2015-08-24 00:00:00,31,4192
2015-08-31 00:00:00,33,4147
2015-09-07 00:00:00,35,4156
2015-09-14 00:00:00,23,4623
2015-09-21 00:00:00,31,3279
2015-09-28 00:00:00,39,2982
2015-10-05 00:00:00,83,13205
2015-10-12 00:00:00,54,13569
2015-10-19 00:00:00,63,12905
2015-10-26 00:00:00,90,13056
2015-11-02 00:00:00,86,13011
2015-11-09 00:00:00,84,12660
2015-11-16 00:00:00,66,13468
2015-11-23 00:00:00,90,10651
2015-11-30 00:00:00,99,13724
2015-12-07 00:00:00,128,13236
2015-12-14 00:00:00,135,12958
2015-12-21 00:00:00,127,10482
2015-12-28 00:00:00,164,11409
2016-01-08 00:00:00,169,14207
2016-01-11 00:00:00,119,13083
2016-01-18 00:00:00,154,12512
2016-01-25 00:00:00,186,15540
2016-02-01 00:00:00,187,13481
2016-02-08 00:00:00,254,14082
2016-02-15 00:00:00,309,13783
2016-02-22 00:00:00,356,15206
2016-02-29 00:00:00,390,14117
2016-03-07 00:00:00,305,11950
2016-03-14 00:00:00,319,11513
2016-03-21 00:00:00,150,11732
2016-03-28 00:00:00,102,10128
2016-04-04 00:00:00,145,12680
2016-04-11 00:00:00,105,11966
2016-04-18 00:00:00,69,12462
2016-04-25 00:00:00,80,15086
2016-05-02 00:00:00,71,12419
2016-05-09 00:00:00,52,12029
2016-05-16 00:00:00,34,11039
2016-05-23 00:00:00,44,14307
2016-05-30 00:00:00,43,10633
2016-06-06 00:00:00,38,11505
2016-06-13 00:00:00,22,10882
2016-06-20 00:00:00,36,13367
2016-06-27 00:00:00,27,9776
2016-07-04 00:00:00,25,9905
2016-07-11 00:00:00,27,10380
2016-07-18 00:00:00,42,10625
2016-07-25 00:00:00,31,11951
2016-08-01 00:00:00,17,9923
2016-08-08 00:00:00,19,9993
2016-08-15 00:00:00,22,10817
2016-08-22 00:00:00,27,11564
2016-08-29 00:00:00,32,11842
2016-09-05 00:00:00,40,10643
2016-09-12 00:00:00,40,11281
2016-09-19 00:00:00,45,11190
2016-09-26 00:00:00,44,11605
2016-10-03 00:00:00,75,17484
2016-10-10 00:00:00,81,17975
2016-10-17 00:00:00,96,17757
2016-10-24 00:00:00,103,17534
2016-10-31 00:00:00,160,18227
2016-11-07 00:00:00,189,17530
2016-11-14 00:00:00,161,18132
2016-11-21 00:00:00,198,16725
2016-11-28 00:00:00,240,18608
2016-12-05 00:00:00,323,16781
2016-12-12 00:00:00,266,18299
2016-12-19 00:00:00,283,16562
2016-12-26 00:00:00,390,18359
2017-01-08 00:00:00,337,17559
2017-01-09 00:00:00,292,17572
2017-01-16 00:00:00,281,17434
2017-01-23 00:00:00,308,19948
2017-01-30 00:00:00,332,18808
2017-02-06 00:00:00,335,19084
2017-02-13 00:00:00,248,18740
2017-02-20 00:00:00,240,18892
2017-02-27 00:00:00,241,19032
2017-03-06 00:00:00,201,18624
2017-03-13 00:00:00,238,19383
2017-03-20 00:00:00,189,19436
2017-03-27 00:00:00,163,18207
2017-04-03 00:00:00,165,18044
2017-04-10 00:00:00,129,17103
2017-04-17 00:00:00,139,18021
2017-04-24 00:00:00,146,20379
2017-05-01 00:00:00,169,18459
2017-05-08 00:00:00,144,17481
2017-05-15 00:00:00,31,10823
2017-05-22 00:00:00,142,19157
2017-05-29 00:00:00,130,16465
2017-06-05 00:00:00,98,16719
2017-06-12 00:00:00,111,16682
2017-06-19 00:00:00,100,18636
2017-06-26 00:00:00,58,16350
2017-07-03 00:00:00,67,14576
2017-07-10 00:00:00,51,16317
2017-07-17 00:00:00,35,13642
2017-07-24 00:00:00,7,10713
2017-07-31 00:00:00,53,15904
2017-08-07 00:00:00,54,16057
2017-08-14 00:00:00,49,16001
2017-08-21 00:00:00,54,19051
2017-08-28 00:00:00,79,17287
2017-09-04 00:00:00,71,15303
2017-09-11 00:00:00,78,17003
2017-09-18 00:00:00,60,15425
2017-09-25 00:00:00,90,19186
2017-10-02 00:00:00,115,17072
2017-10-09 00:00:00,115,17649
2017-10-16 00:00:00,136,17806
2017-10-23 00:00:00,123,17117
2017-10-30 00:00:00,168,17457
2017-11-06 00:00:00,188,18002
2017-11-13 00:00:00,173,18550
2017-11-20 00:00:00,224,15472
2017-11-27 00:00:00,225,19412
2017-12-04 00:00:00,260,18135
2017-12-11 00:00:00,440,18986
2017-12-18 00:00:00,523,18848
2017-12-25 00:00:00,712,17139
2018-01-08 00:00:00,690,19381
2018-01-15 00:00:00,584,20255
2018-01-22 00:00:00,449,18503
2018-01-29 00:00:00,550,19632
2018-02-05 00:00:00,558,19143
2018-02-12 00:00:00,567,19628
2018-02-19 00:00:00,496,18826
2018-02-26 00:00:00,397,18185
2018-03-05 00:00:00,316,17498
2018-03-12 00:00:00,260,18279
2018-03-19 00:00:00,269,17770
2018-03-26 00:00:00,183,16865
2018-04-02 00:00:00,171,16005
2018-04-09 00:00:00,127,16474
2018-04-16 00:00:00,138,16709
2018-04-23 00:00:00,104,16311
2018-04-30 00:00:00,133,16995
2018-05-07 00:00:00,71,9533
2018-05-14 00:00:00,115,16595
2018-05-21 00:00:00,77,15343
2018-05-28 00:00:00,70,14086
2018-06-04 00:00:00,97,13805
2018-06-11 00:00:00,94,15667
2018-06-18 00:00:00,85,15232
2018-06-25 00:00:00,69,14747
2018-07-02 00:00:00,31,14719
2018-07-09 00:00:00,45,13249
2018-07-16 00:00:00,47,14684
2018-07-23 00:00:00,39,9209
2018-07-30 00:00:00,51,15230
2018-08-06 00:00:00,39,14667
2018-08-13 00:00:00,33,14758
2018-08-20 00:00:00,36,13403
2018-08-27 00:00:00,46,14040
2018-09-03 00:00:00,54,14235
2018-09-10 00:00:00,62,13217
2018-09-17 00:00:00,57,13756
2018-09-24 00:00:00,74,13511
2018-10-01 00:00:00,60,13579
2018-10-08 00:00:00,65,16708
2018-10-15 00:00:00,107,17032
2018-10-22 00:00:00,89,15883
2018-10-29 00:00:00,94,16165
2018-11-05 00:00:00,87,15835
2018-11-12 00:00:00,89,15897
2018-11-19 00:00:00,100,15339
2018-11-26 00:00:00,148,13121
2018-12-03 00:00:00,171,16732
2018-12-10 00:00:00,168,15291
2018-12-17 00:00:00,227,15533
2018-12-24 00:00:00,256,9421
2018-12-31 00:00:00,300,8912
2019-01-08 00:00:00,233,9185
2019-01-14 00:00:00,268,9488
2019-01-21 00:00:00,251,9952
2019-01-28 00:00:00,227,9059
2019-02-04 00:00:00,227,10301
2019-02-11 00:00:00,198,8609
2019-02-18 00:00:00,105,4529
2019-02-25 00:00:00,382,10478
2019-03-04 00:00:00,337,10875
2019-03-11 00:00:00,313,10835
2019-03-18 00:00:00,302,11146
2019-03-25 00:00:00,254,10556
2019-04-01 00:00:00,230,10580
2019-04-08 00:00:00,193,10398
2019-04-15 00:00:00,146,10367
2019-04-22 00:00:00,127,10455
2019-04-29 00:00:00,120,9929
2019-05-06 00:00:00,116,10176
2019-05-13 00:00:00,93,9993
2019-05-20 00:00:00,90,9708
2019-05-27 00:00:00,98,9038
2019-06-03 00:00:00,80,8788
2019-06-10 00:00:00,95,9416
2019-06-17 00:00:00,83,8889
2019-06-24 00:00:00,64,9049
2019-07-01 00:00:00,59,8040
2019-07-08 00:00:00,45,8484
2019-07-15 00:00:00,44,9022
2019-07-22 00:00:00,50,8739
2019-07-29 00:00:00,35,8631
2019-08-05 00:00:00,34,8748
2019-08-12 00:00:00,35,8693
2019-08-19 00:00:00,34,8409
2019-08-26 00:00:00,26,9079
2019-09-02 00:00:00,39,9010
2019-09-09 00:00:00,52,8938
2019-09-16 00:00:00,34,8978
2019-09-23 00:00:00,35,8953
2019-09-30 00:00:00,82,9490
2019-10-07 00:00:00,92,10600
2019-10-14 00:00:00,93,11351
2019-10-21 00:00:00,136,11144
2019-10-28 00:00:00,138,11183
2019-11-04 00:00:00,189,11460
2019-11-11 00:00:00,293,12398
2019-11-18 00:00:00,412,12342
2019-11-25 00:00:00,385,12826
2019-12-02 00:00:00,391,10769
2019-12-09 00:00:00,337,12118
2019-12-16 00:00:00,288,11832
2019-12-23 00:00:00,234,10759
2019-12-30 00:00:00,218,10219
2020-01-08 00:00:00,282,17530
2020-01-13 00:00:00,300,19798
2020-01-20 00:00:00,247,19825
2020-01-27 00:00:00,339,18562
2020-02-03 00:00:00,339,20399
2020-02-10 00:00:00,340,19915
2020-02-17 00:00:00,380,19519
2020-02-24 00:00:00,339,19793
2020-03-02 00:00:00,334,19190
2020-03-09 00:00:00,314,19270
2020-03-16 00:00:00,321,16831
2020-03-23 00:00:00,205,13259
2020-03-30 00:00:00,125,10286
2020-04-06 00:00:00,119,9073
2020-04-13 00:00:00,95,9072
2020-04-20 00:00:00,81,9381
2020-04-27 00:00:00,57,9682
2020-05-04 00:00:00,55,6637
2020-05-11 00:00:00,40,11352
2020-05-18 00:00:00,41,6436
2020-05-25 00:00:00,45,6041
2020-06-01 00:00:00,45,6362
2020-06-08 00:00:00,45,6367
2020-06-15 00:00:00,43,5674
2020-06-22 00:00:00,47,6570
2020-06-29 00:00:00,66,6970
2020-07-06 00:00:00,66,7042
2020-07-13 00:00:00,43,7547
2020-07-20 00:00:00,52,7398
2020-07-27 00:00:00,42,7338
2020-08-03 00:00:00,41,7109
2020-08-10 00:00:00,45,7072
2020-08-17 00:00:00,38,6962
2020-08-24 00:00:00,41,6993
2020-08-31 00:00:00,28,6187
2020-09-07 00:00:00,21,3106
2020-09-14 00:00:00,28,7117
2020-09-21 00:00:00,36,7951
2020-09-28 00:00:00,27,7048
2020-10-05 00:00:00,49,8491
2020-10-12 00:00:00,33,5098
2020-10-19 00:00:00,46,9060
2020-10-26 00:00:00,83,9933
2020-11-02 00:00:00,75,8972
2020-11-09 00:00:00,139,8617
2020-11-16 00:00:00,118,8384
2020-11-23 00:00:00,117,7978
2020-11-30 00:00:00,138,7867
2020-12-07 00:00:00,174,8507
2020-12-14 00:00:00,70,7793
2020-12-21 00:00:00,140,8218
2020-12-28 00:00:00,135,6274
2021-01-04 00:00:00,149,6499
