date,ILITOTAL,OT
2010-10-04 00:00:00,37,14069
2010-10-11 00:00:00,47,12712
2010-10-18 00:00:00,53,14636
2010-10-25 00:00:00,53,14764
2010-11-01 00:00:00,80,15170
2010-11-08 00:00:00,78,15453
2010-11-15 00:00:00,79,15692
2010-11-22 00:00:00,58,10561
2010-11-29 00:00:00,244,15007
2010-12-06 00:00:00,303,14009
2010-12-13 00:00:00,357,13316
2010-12-20 00:00:00,388,10082
2010-12-27 00:00:00,349,8311
2011-01-08 00:00:00,352,12235
2011-01-10 00:00:00,383,11098
2011-01-17 00:00:00,356,11564
2011-01-24 00:00:00,437,13025
2011-01-31 00:00:00,528,13056
2011-02-07 00:00:00,572,14674
2011-02-14 00:00:00,537,13303
2011-02-21 00:00:00,420,11220
2011-02-28 00:00:00,328,12037
2011-03-07 00:00:00,313,11501
2011-03-14 00:00:00,339,11218
2011-03-21 00:00:00,254,10989
2011-03-28 00:00:00,242,11974
2011-04-04 00:00:00,251,11263
2011-04-11 00:00:00,236,9978
2011-04-18 00:00:00,197,8818
2011-04-25 00:00:00,123,9068
2011-05-02 00:00:00,153,9185
2011-05-09 00:00:00,164,9529
2011-05-16 00:00:00,57,8103
2011-05-23 00:00:00,99,6332
2011-05-30 00:00:00,88,4949
2011-06-06 00:00:00,8,5423
2011-06-13 00:00:00,5,5500
2011-06-20 00:00:00,7,5189
2011-06-27 00:00:00,7,5141
2011-07-04 00:00:00,2,3715
2011-07-11 00:00:00,3,5167
2011-07-18 00:00:00,7,4808
2011-07-25 00:00:00,7,5100
2011-08-01 00:00:00,8,4677
2011-08-08 00:00:00,6,4784
2011-08-15 00:00:00,7,5306
2011-08-22 00:00:00,6,6756
2011-08-29 00:00:00,10,6363
2011-09-05 00:00:00,8,5237
2011-09-12 00:00:00,9,7042
2011-09-19 00:00:00,22,7785
2011-09-26 00:00:00,24,7419
2011-10-03 00:00:00,79,14840
2011-10-10 00:00:00,81,14635
2011-10-17 00:00:00,62,14069
2011-10-24 00:00:00,59,14343
2011-10-31 00:00:00,83,15746
2011-11-07 00:00:00,62,15522
2011-11-14 00:00:00,63,14204
2011-11-21 00:00:00,36,9805
2011-11-28 00:00:00,87,14111
2011-12-05 00:00:00,101,14511
2011-12-12 00:00:00,82,14117
2011-12-19 00:00:00,57,11601
