date,ILITOTAL,OT
10/4/2010 0:00,1059,89577
10/11/2010 0:00,1258,89710
10/18/2010 0:00,1175,90998
10/25/2010 0:00,1207,92678
11/1/2010 0:00,1325,87454
11/8/2010 0:00,1557,89571
11/15/2010 0:00,1810,93936
11/22/2010 0:00,1971,84555
11/29/2010 0:00,2411,94844
12/6/2010 0:00,2524,92454
12/13/2010 0:00,3113,94881
12/20/2010 0:00,3819,89593
12/27/2010 0:00,3625,82434
1/8/2011 0:00,3297,99575
1/10/2011 0:00,2840,89582
1/17/2011 0:00,2588,89798
1/24/2011 0:00,2302,86430
1/31/2011 0:00,2198,88873
2/7/2011 0:00,2354,93901
2/14/2011 0:00,2475,95165
2/21/2011 0:00,2397,91654
2/28/2011 0:00,1885,92859
3/7/2011 0:00,1723,92023
3/14/2011 0:00,1676,92267
3/21/2011 0:00,1605,89787
3/28/2011 0:00,1587,89117
4/4/2011 0:00,1657,91412
4/11/2011 0:00,1326,87751
4/18/2011 0:00,1293,84458
4/25/2011 0:00,1073,89156
5/2/2011 0:00,1054,92602
5/9/2011 0:00,1170,97960
5/16/2011 0:00,1018,89747
5/23/2011 0:00,1178,91212
5/30/2011 0:00,1076,91238
6/6/2011 0:00,1104,89484
6/13/2011 0:00,1070,88697
6/20/2011 0:00,908,88918
6/27/2011 0:00,899,85961
7/4/2011 0:00,838,84620
7/11/2011 0:00,729,85572
7/18/2011 0:00,629,85097
7/25/2011 0:00,674,86549
8/1/2011 0:00,630,82116
8/8/2011 0:00,653,82275
8/15/2011 0:00,620,77813
8/22/2011 0:00,693,81083
8/29/2011 0:00,641,80629
9/5/2011 0:00,670,83976
9/12/2011 0:00,768,87136
9/19/2011 0:00,749,89405
9/26/2011 0:00,1023,92210
10/3/2011 0:00,1544,102863
10/10/2011 0:00,1743,102200
10/17/2011 0:00,1703,100263
10/24/2011 0:00,1718,98466
10/31/2011 0:00,2080,100148
11/7/2011 0:00,2131,102437
11/14/2011 0:00,2156,103511
11/21/2011 0:00,2216,90140
11/28/2011 0:00,2517,101973
12/5/2011 0:00,2586,102919
12/12/2011 0:00,2592,102793
12/19/2011 0:00,2690,97255
12/26/2011 0:00,2606,93978
1/8/2012 0:00,2525,101960
1/9/2012 0:00,2032,101279
1/16/2012 0:00,2105,96781
1/23/2012 0:00,2041,97291
1/30/2012 0:00,2030,97672
2/6/2012 0:00,2017,98890
2/13/2012 0:00,2052,98546
2/20/2012 0:00,2230,98624
2/27/2012 0:00,2057,100294
3/5/2012 0:00,2044,103496
3/12/2012 0:00,2304,105702
3/19/2012 0:00,2216,106421
3/26/2012 0:00,2059,102388
4/2/2012 0:00,2041,98750
4/9/2012 0:00,1904,98189
4/16/2012 0:00,1875,107460
4/23/2012 0:00,1532,98021
4/30/2012 0:00,1644,97545
5/7/2012 0:00,1794,100901
5/14/2012 0:00,1672,101659
5/21/2012 0:00,1576,98780
5/28/2012 0:00,1471,98128
6/4/2012 0:00,1471,99075
6/11/2012 0:00,1432,98645
6/18/2012 0:00,1507,97507
6/25/2012 0:00,1507,99026
7/2/2012 0:00,1308,95209
7/9/2012 0:00,1375,99280
7/16/2012 0:00,1198,94322
7/23/2012 0:00,1123,95659
7/30/2012 0:00,1011,91741
8/6/2012 0:00,978,96695
8/13/2012 0:00,979,92274
8/20/2012 0:00,1172,94447
8/27/2012 0:00,959,91674
9/3/2012 0:00,1010,92336
9/10/2012 0:00,1201,94818
9/17/2012 0:00,1374,93906
9/24/2012 0:00,1354,95390
10/1/2012 0:00,1453,99586
10/8/2012 0:00,1555,98207
10/15/2012 0:00,1691,103873
10/22/2012 0:00,1750,102384
10/29/2012 0:00,1450,79382
11/5/2012 0:00,1438,90374
11/12/2012 0:00,1627,96026
11/19/2012 0:00,1900,88781
11/26/2012 0:00,2367,101261
12/3/2012 0:00,2939,102847
12/10/2012 0:00,3411,103562
12/17/2012 0:00,4318,105387
12/24/2012 0:00,4701,93031
1/8/2013 0:00,4785,99882
1/14/2013 0:00,5963,107923
1/21/2013 0:00,6543,106652
1/28/2013 0:00,4918,95600
2/4/2013 0:00,4120,98103
2/11/2013 0:00,3442,91643
2/18/2013 0:00,2883,94476
2/25/2013 0:00,3189,93687
3/4/2013 0:00,2843,97425
3/11/2013 0:00,2931,96850
3/18/2013 0:00,2694,98481
3/25/2013 0:00,2464,95284
4/1/2013 0:00,2182,93099
4/8/2013 0:00,1957,94900
4/15/2013 0:00,1690,97844
4/22/2013 0:00,1685,97792
4/29/2013 0:00,1551,94011
5/6/2013 0:00,1597,96805
5/13/2013 0:00,1560,96761
5/20/2013 0:00,1522,99264
5/27/2013 0:00,1392,94515
6/3/2013 0:00,1343,91126
6/10/2013 0:00,1228,94041
6/17/2013 0:00,1282,92938
6/24/2013 0:00,1243,94797
7/1/2013 0:00,1092,92578
7/8/2013 0:00,1108,89461
7/15/2013 0:00,1090,95247
7/22/2013 0:00,991,93448
7/29/2013 0:00,894,90356
8/5/2013 0:00,872,87604
8/12/2013 0:00,782,86658
