date,ILITOTAL,OT
2010-10-04 00:00:00,29,12705
2010-10-11 00:00:00,55,15209
2010-10-18 00:00:00,84,16044
2010-10-25 00:00:00,57,17298
2010-11-01 00:00:00,149,17913
2010-11-08 00:00:00,86,16602
2010-11-15 00:00:00,95,17817
2010-11-22 00:00:00,48,10561
2010-11-29 00:00:00,59,16878
2010-12-06 00:00:00,55,16060
2010-12-13 00:00:00,69,15455
2010-12-20 00:00:00,72,12037
2010-12-27 00:00:00,80,11091
2011-01-08 00:00:00,153,16724
2011-01-10 00:00:00,189,16134
2011-01-17 00:00:00,273,16650
2011-01-24 00:00:00,437,18179
2011-01-31 00:00:00,555,15888
2011-02-07 00:00:00,418,18438
2011-02-14 00:00:00,409,18282
2011-02-21 00:00:00,316,16575
2011-02-28 00:00:00,273,16231
2011-03-07 00:00:00,236,15898
2011-03-14 00:00:00,190,14817
2011-03-21 00:00:00,90,13874
2011-03-28 00:00:00,112,12828
2011-04-04 00:00:00,71,11536
2011-04-11 00:00:00,51,11280
2011-04-18 00:00:00,36,10118
2011-04-25 00:00:00,39,10396
2011-05-02 00:00:00,68,10275
2011-05-09 00:00:00,39,10063
2011-05-16 00:00:00,48,9879
2011-05-23 00:00:00,27,9459
2011-05-30 00:00:00,38,7815
2011-06-06 00:00:00,20,9513
2011-06-13 00:00:00,5,8565
2011-06-20 00:00:00,6,8095
2011-06-27 00:00:00,22,7928
2011-07-04 00:00:00,20,6790
2011-07-11 00:00:00,6,8506
2011-07-18 00:00:00,8,8290
2011-07-25 00:00:00,3,8484
2011-08-01 00:00:00,13,8019
2011-08-08 00:00:00,14,8133
2011-08-15 00:00:00,4,8462
2011-08-22 00:00:00,9,8941
2011-08-29 00:00:00,5,8775
2011-09-05 00:00:00,9,7184
2011-09-12 00:00:00,20,9155
2011-09-19 00:00:00,10,9696
2011-09-26 00:00:00,19,8932
2011-10-03 00:00:00,85,17193
2011-10-10 00:00:00,114,17506
2011-10-17 00:00:00,124,18296
2011-10-24 00:00:00,119,19177
2011-10-31 00:00:00,138,18259
2011-11-07 00:00:00,148,17405
2011-11-14 00:00:00,116,17555
2011-11-21 00:00:00,97,12039
2011-11-28 00:00:00,120,17170
2011-12-05 00:00:00,101,17569
2011-12-12 00:00:00,107,15868
2011-12-19 00:00:00,69,13396
2011-12-26 00:00:00,65,12112
2012-01-08 00:00:00,98,13771
2012-01-09 00:00:00,132,16307
2012-01-16 00:00:00,112,15767
2012-01-23 00:00:00,109,17540
2012-01-30 00:00:00,149,16039
2012-02-06 00:00:00,137,15679
2012-02-13 00:00:00,127,15283
2012-02-20 00:00:00,160,15947
2012-02-27 00:00:00,123,14506
2012-03-05 00:00:00,129,14448
2012-03-12 00:00:00,93,13008
2012-03-19 00:00:00,99,12855
2012-03-26 00:00:00,98,14258
2012-04-02 00:00:00,86,12459
2012-04-09 00:00:00,60,12121
2012-04-16 00:00:00,63,12926
2012-04-23 00:00:00,48,12828
2012-04-30 00:00:00,56,11678
2012-05-07 00:00:00,62,9673
2012-05-14 00:00:00,35,9522
2012-05-21 00:00:00,28,8301
2012-05-28 00:00:00,19,7226
2012-06-04 00:00:00,20,8033
2012-06-11 00:00:00,7,7476
2012-06-18 00:00:00,7,7502
2012-06-25 00:00:00,12,8115
2012-07-02 00:00:00,9,6028
2012-07-09 00:00:00,8,7793
2012-07-16 00:00:00,3,7408
2012-07-23 00:00:00,20,7743
2012-07-30 00:00:00,1,7233
2012-08-06 00:00:00,14,7358
2012-08-13 00:00:00,5,7923
2012-08-20 00:00:00,19,9649
2012-08-27 00:00:00,30,9937
2012-09-03 00:00:00,25,8417
2012-09-10 00:00:00,34,9249
2012-09-17 00:00:00,45,9324
2012-09-24 00:00:00,47,9432
2012-10-01 00:00:00,123,13377
2012-10-08 00:00:00,109,14441
2012-10-15 00:00:00,136,15723
2012-10-22 00:00:00,119,13781
2012-10-29 00:00:00,117,14538
2012-11-05 00:00:00,142,15384
2012-11-12 00:00:00,143,14722
2012-11-19 00:00:00,167,10160
2012-11-26 00:00:00,275,16968
2012-12-03 00:00:00,359,15785
2012-12-10 00:00:00,475,15845
2012-12-17 00:00:00,661,13566
2012-12-24 00:00:00,438,8246
2013-01-08 00:00:00,466,12665
2013-01-14 00:00:00,485,16748
2013-01-21 00:00:00,488,16235
2013-01-28 00:00:00,386,14559
2013-02-04 00:00:00,298,14709
2013-02-11 00:00:00,233,13826
2013-02-18 00:00:00,218,14455
2013-02-25 00:00:00,294,13870
2013-03-04 00:00:00,216,13621
2013-03-11 00:00:00,134,12084
2013-03-18 00:00:00,154,13062
2013-03-25 00:00:00,105,12754
2013-04-01 00:00:00,97,11190
2013-04-08 00:00:00,104,11800
2013-04-15 00:00:00,74,11840
2013-04-22 00:00:00,62,12498
2013-04-29 00:00:00,50,11675
2013-05-06 00:00:00,45,11708
2013-05-13 00:00:00,32,8925
2013-05-20 00:00:00,16,8504
2013-05-27 00:00:00,24,7362
2013-06-03 00:00:00,31,5872
2013-06-10 00:00:00,19,7052
2013-06-17 00:00:00,17,6924
2013-06-24 00:00:00,28,7066
2013-07-01 00:00:00,24,7535
2013-07-08 00:00:00,7,5406
2013-07-15 00:00:00,23,7003
2013-07-22 00:00:00,6,6980
2013-07-29 00:00:00,13,7202
2013-08-05 00:00:00,26,6951
2013-08-12 00:00:00,9,7114
2013-08-19 00:00:00,22,7101
2013-08-26 00:00:00,25,9075
2013-09-02 00:00:00,29,9672
2013-09-09 00:00:00,29,7954
2013-09-16 00:00:00,30,9296
2013-09-23 00:00:00,22,8891
2013-09-30 00:00:00,58,8015
2013-10-07 00:00:00,57,11902
2013-10-14 00:00:00,96,14842
2013-10-21 00:00:00,78,14848
2013-10-28 00:00:00,87,16069
2013-11-04 00:00:00,93,16435
2013-11-11 00:00:00,98,14313
2013-11-18 00:00:00,118,16570
2013-11-25 00:00:00,110,16084
2013-12-02 00:00:00,103,10540
2013-12-09 00:00:00,113,14560
2013-12-16 00:00:00,122,14920
2013-12-23 00:00:00,136,14331
2013-12-30 00:00:00,182,9556
2014-01-08 00:00:00,239,10345
2014-01-13 00:00:00,243,13221
2014-01-20 00:00:00,298,17594
2014-01-27 00:00:00,264,14399
2014-02-03 00:00:00,250,14571
2014-02-10 00:00:00,176,14452
2014-02-17 00:00:00,209,16134
2014-02-24 00:00:00,154,15764
2014-03-03 00:00:00,186,16509
2014-03-10 00:00:00,161,16170
2014-03-17 00:00:00,121,15196
2014-03-24 00:00:00,109,15224
2014-03-31 00:00:00,111,15447
2014-04-07 00:00:00,107,14921
2014-04-14 00:00:00,119,15863
2014-04-21 00:00:00,82,14114
2014-04-28 00:00:00,83,14012
2014-05-05 00:00:00,79,13815
2014-05-12 00:00:00,54,12479
2014-05-19 00:00:00,28,11173
2014-05-26 00:00:00,36,11187
2014-06-02 00:00:00,32,8709
2014-06-09 00:00:00,39,8937
2014-06-16 00:00:00,22,8860
2014-06-23 00:00:00,21,8884
2014-06-30 00:00:00,23,8839
2014-07-07 00:00:00,23,7255
2014-07-14 00:00:00,19,8378
2014-07-21 00:00:00,18,8202
2014-07-28 00:00:00,27,8683
2014-08-04 00:00:00,26,9055
2014-08-11 00:00:00,20,8518
2014-08-18 00:00:00,20,8267
2014-08-25 00:00:00,18,9082
2014-09-01 00:00:00,25,9685
