date,ILITOTAL,OT
2010-10-04 00:00:00,19,3044
2010-10-11 00:00:00,29,3025
2010-10-18 00:00:00,70,3381
2010-10-25 00:00:00,48,2873
2010-11-01 00:00:00,49,3009
2010-11-08 00:00:00,76,2952
2010-11-15 00:00:00,103,3074
2010-11-22 00:00:00,64,2413
2010-11-29 00:00:00,64,2984
2010-12-06 00:00:00,51,2183
2010-12-13 00:00:00,111,3261
2010-12-20 00:00:00,85,2076
2010-12-27 00:00:00,142,2892
2011-01-08 00:00:00,100,3302
2011-01-10 00:00:00,180,3124
2011-01-17 00:00:00,345,3337
2011-01-24 00:00:00,511,3547
2011-01-31 00:00:00,287,2236
2011-02-07 00:00:00,170,2322
2011-02-14 00:00:00,176,2457
2011-02-21 00:00:00,185,3274
2011-02-28 00:00:00,129,2702
2011-03-07 00:00:00,108,3022
2011-03-14 00:00:00,83,2591
2011-03-21 00:00:00,47,2515
2011-03-28 00:00:00,25,2060
2011-04-04 00:00:00,45,2872
2011-04-11 00:00:00,16,2373
2011-04-18 00:00:00,14,2361
2011-04-25 00:00:00,8,2724
2011-05-02 00:00:00,7,2255
2011-05-09 00:00:00,8,2062
2011-05-16 00:00:00,5,2318
2011-05-23 00:00:00,4,1745
2011-05-30 00:00:00,1,2091
2011-06-06 00:00:00,4,2042
2011-06-13 00:00:00,5,1680
2011-06-20 00:00:00,0,2048
2011-06-27 00:00:00,3,1711
2011-07-04 00:00:00,3,1740
2011-07-11 00:00:00,2,1884
2011-07-18 00:00:00,2,1943
2011-07-25 00:00:00,2,1974
2011-08-01 00:00:00,1,1972
2011-08-08 00:00:00,0,0
2011-08-15 00:00:00,6,1953
2011-08-22 00:00:00,8,2451
2011-08-29 00:00:00,5,1753
2011-09-05 00:00:00,10,2452
2011-09-12 00:00:00,20,2311
2011-09-19 00:00:00,7,2213
2011-09-26 00:00:00,10,1598
2011-10-03 00:00:00,42,2684
2011-10-10 00:00:00,28,2689
2011-10-17 00:00:00,36,2953
2011-10-24 00:00:00,16,2036
2011-10-31 00:00:00,28,2452
2011-11-07 00:00:00,23,1423
2011-11-14 00:00:00,64,2918
2011-11-21 00:00:00,15,1491
2011-11-28 00:00:00,48,2333
2011-12-05 00:00:00,35,2081
2011-12-12 00:00:00,22,2295
2011-12-19 00:00:00,20,1374
2011-12-26 00:00:00,13,1027
2012-01-08 00:00:00,44,2506
2012-01-09 00:00:00,27,2209
2012-01-16 00:00:00,32,2709
2012-01-23 00:00:00,137,4091
2012-01-30 00:00:00,103,3213
2012-02-06 00:00:00,118,3752
2012-02-13 00:00:00,175,4067
2012-02-20 00:00:00,253,4359
2012-02-27 00:00:00,248,4113
2012-03-05 00:00:00,295,4302
2012-03-12 00:00:00,303,3703
2012-03-19 00:00:00,128,3261
2012-03-26 00:00:00,74,3237
2012-04-02 00:00:00,68,3426
2012-04-09 00:00:00,31,2895
2012-04-16 00:00:00,73,4229
2012-04-23 00:00:00,60,2970
2012-04-30 00:00:00,43,3256
2012-05-07 00:00:00,50,3047
2012-05-14 00:00:00,15,3384
2012-05-21 00:00:00,41,2726
2012-05-28 00:00:00,8,2246
2012-06-04 00:00:00,40,3584
2012-06-11 00:00:00,4,2050
2012-06-18 00:00:00,41,2826
2012-06-25 00:00:00,26,3242
2012-07-02 00:00:00,26,3115
2012-07-09 00:00:00,25,2771
2012-07-16 00:00:00,0,1705
2012-07-23 00:00:00,8,2538
2012-07-30 00:00:00,14,3439
2012-08-06 00:00:00,0,2784
2012-08-13 00:00:00,1,3039
2012-08-20 00:00:00,40,3017
2012-08-27 00:00:00,40,3004
2012-09-03 00:00:00,59,3019
2012-09-10 00:00:00,46,3392
2012-09-17 00:00:00,17,2545
2012-09-24 00:00:00,74,3923
2012-10-01 00:00:00,75,4168
2012-10-08 00:00:00,109,4565
2012-10-15 00:00:00,56,4529
2012-10-22 00:00:00,72,3990
2012-10-29 00:00:00,62,3680
2012-11-05 00:00:00,63,3571
2012-11-12 00:00:00,43,2550
2012-11-19 00:00:00,50,2553
2012-11-26 00:00:00,125,4510
2012-12-03 00:00:00,134,4395
2012-12-10 00:00:00,190,4346
2012-12-17 00:00:00,120,2702
2012-12-24 00:00:00,285,2729
2013-01-08 00:00:00,271,3441
2013-01-14 00:00:00,390,4625
2013-01-21 00:00:00,386,3962
2013-01-28 00:00:00,398,4820
2013-02-04 00:00:00,403,4485
2013-02-11 00:00:00,238,4594
2013-02-18 00:00:00,200,4054
2013-02-25 00:00:00,144,2977
2013-03-04 00:00:00,194,4384
2013-03-11 00:00:00,140,4685
2013-03-18 00:00:00,127,3533
2013-03-25 00:00:00,98,3450
2013-04-01 00:00:00,71,3978
2013-04-08 00:00:00,68,3692
2013-04-15 00:00:00,38,3316
2013-04-22 00:00:00,57,4002
2013-04-29 00:00:00,76,4355
2013-05-06 00:00:00,24,2634
2013-05-13 00:00:00,16,2412
2013-05-20 00:00:00,9,2263
2013-05-27 00:00:00,4,1241
2013-06-03 00:00:00,0,2438
2013-06-10 00:00:00,3,2925
2013-06-17 00:00:00,2,2536
2013-06-24 00:00:00,2,2498
2013-07-01 00:00:00,2,2195
2013-07-08 00:00:00,10,2082
2013-07-15 00:00:00,6,2041
2013-07-22 00:00:00,4,1443
2013-07-29 00:00:00,4,2438
2013-08-05 00:00:00,1,2017
2013-08-12 00:00:00,6,2258
2013-08-19 00:00:00,4,2465
2013-08-26 00:00:00,20,1832
2013-09-02 00:00:00,11,2553
2013-09-09 00:00:00,43,2653
2013-09-16 00:00:00,28,2670
2013-09-23 00:00:00,27,3206
2013-09-30 00:00:00,30,2913
2013-10-07 00:00:00,87,3731
2013-10-14 00:00:00,75,3993
2013-10-21 00:00:00,85,4014
2013-10-28 00:00:00,93,3742
2013-11-04 00:00:00,94,3778
2013-11-11 00:00:00,123,3482
2013-11-18 00:00:00,141,4122
2013-11-25 00:00:00,137,4507
2013-12-02 00:00:00,78,3063
2013-12-09 00:00:00,121,2799
2013-12-16 00:00:00,176,4332
2013-12-23 00:00:00,193,4118
2013-12-30 00:00:00,202,2780
2014-01-08 00:00:00,239,3608
2014-01-13 00:00:00,331,4766
2014-01-20 00:00:00,302,3956
2014-01-27 00:00:00,362,4805
2014-02-03 00:00:00,340,3889
2014-02-10 00:00:00,327,3806
2014-02-17 00:00:00,137,3810
2014-02-24 00:00:00,219,4068
2014-03-03 00:00:00,170,4475
2014-03-10 00:00:00,140,4087
2014-03-17 00:00:00,142,4733
2014-03-24 00:00:00,109,3674
2014-03-31 00:00:00,102,4523
2014-04-07 00:00:00,92,3955
2014-04-14 00:00:00,102,4433
2014-04-21 00:00:00,80,4362
2014-04-28 00:00:00,71,3723
2014-05-05 00:00:00,77,4480
2014-05-12 00:00:00,47,3735
2014-05-19 00:00:00,80,3668
2014-05-26 00:00:00,9,2210
2014-06-02 00:00:00,12,2023
2014-06-09 00:00:00,7,1690
2014-06-16 00:00:00,5,1599
2014-06-23 00:00:00,2,2627
2014-06-30 00:00:00,4,2332
2014-07-07 00:00:00,5,2057
2014-07-14 00:00:00,3,1779
2014-07-21 00:00:00,1,1774
2014-07-28 00:00:00,4,1973
2014-08-04 00:00:00,2,1807
2014-08-11 00:00:00,16,2116
2014-08-18 00:00:00,16,2473
2014-08-25 00:00:00,4,2088
2014-09-01 00:00:00,16,2616
2014-09-08 00:00:00,22,1972
2014-09-15 00:00:00,20,2878
2014-09-22 00:00:00,35,2386
2014-09-29 00:00:00,27,2698
2014-10-06 00:00:00,38,2049
2014-10-13 00:00:00,58,2348
2014-10-20 00:00:00,53,3879
2014-10-27 00:00:00,43,3991
2014-11-03 00:00:00,59,4200
2014-11-10 00:00:00,21,1519
2014-11-17 00:00:00,78,3645
2014-11-24 00:00:00,37,3266
2014-12-01 00:00:00,65,2991
2014-12-08 00:00:00,119,4672
2014-12-15 00:00:00,224,3923
2014-12-22 00:00:00,189,4253
2014-12-29 00:00:00,109,2204
2015-01-05 00:00:00,134,2001
2015-01-08 00:00:00,192,3263
2015-01-12 00:00:00,356,3226
2015-01-19 00:00:00,279,2462
2015-01-26 00:00:00,236,2229
2015-02-02 00:00:00,297,3081
2015-02-09 00:00:00,304,2650
2015-02-16 00:00:00,198,2202
2015-02-23 00:00:00,202,2381
2015-03-02 00:00:00,128,2197
2015-03-09 00:00:00,184,2593
2015-03-16 00:00:00,136,2372
2015-03-23 00:00:00,115,2704
2015-03-30 00:00:00,83,2558
2015-04-06 00:00:00,75,2771
2015-04-13 00:00:00,46,2745
2015-04-20 00:00:00,32,2445
2015-04-27 00:00:00,25,2023
2015-05-04 00:00:00,40,2019
2015-05-11 00:00:00,21,2094
2015-05-18 00:00:00,7,1618
2015-05-25 00:00:00,16,1856
2015-06-01 00:00:00,9,1596
2015-06-08 00:00:00,3,1422
2015-06-15 00:00:00,10,2124
2015-06-22 00:00:00,8,2201
2015-06-29 00:00:00,6,1066
2015-07-06 00:00:00,10,2045
2015-07-13 00:00:00,7,1485
2015-07-20 00:00:00,8,2003
2015-07-27 00:00:00,9,1728
2015-08-03 00:00:00,0,1459
2015-08-10 00:00:00,10,2025
2015-08-17 00:00:00,13,1967
2015-08-24 00:00:00,9,2142
2015-08-31 00:00:00,13,1936
2015-09-07 00:00:00,9,1509
2015-09-14 00:00:00,36,2466
2015-09-21 00:00:00,28,2570
2015-09-28 00:00:00,24,2257
2015-10-05 00:00:00,57,6083
2015-10-12 00:00:00,130,6006
2015-10-19 00:00:00,133,6096
2015-10-26 00:00:00,122,5576
2015-11-02 00:00:00,111,5204
2015-11-09 00:00:00,199,6268
2015-11-16 00:00:00,143,6329
2015-11-23 00:00:00,199,4751
2015-11-30 00:00:00,185,6300
2015-12-07 00:00:00,157,5592
2015-12-14 00:00:00,113,5370
2015-12-21 00:00:00,141,4069
2015-12-28 00:00:00,169,4505
2016-01-08 00:00:00,112,4814
2016-01-11 00:00:00,150,5381
2016-01-18 00:00:00,221,6014
2016-01-25 00:00:00,218,6197
2016-02-01 00:00:00,215,6296
2016-02-08 00:00:00,264,5974
2016-02-15 00:00:00,214,5953
2016-02-22 00:00:00,238,6160
2016-02-29 00:00:00,183,5773
2016-03-07 00:00:00,276,6241
2016-03-14 00:00:00,162,5195
2016-03-21 00:00:00,188,5402
2016-03-28 00:00:00,97,5148
2016-04-04 00:00:00,123,5187
2016-04-11 00:00:00,148,5155
2016-04-18 00:00:00,79,5003
2016-04-25 00:00:00,85,4965
2016-05-02 00:00:00,113,5183
2016-05-09 00:00:00,52,4407
2016-05-16 00:00:00,69,4524
2016-05-23 00:00:00,8,2037
2016-05-30 00:00:00,20,3597
2016-06-06 00:00:00,21,3576
2016-06-13 00:00:00,17,3812
2016-06-20 00:00:00,4,3139
2016-06-27 00:00:00,4,2946
2016-07-04 00:00:00,15,2770
2016-07-11 00:00:00,15,3362
2016-07-18 00:00:00,13,3310
2016-07-25 00:00:00,12,3479
