date,ILITOTAL,OT
2010-10-04 00:00:00,37,6711
2010-10-11 00:00:00,38,6089
2010-10-18 00:00:00,36,7425
2010-10-25 00:00:00,52,6917
2010-11-01 00:00:00,57,7452
2010-11-08 00:00:00,54,6965
2010-11-15 00:00:00,44,6688
2010-11-22 00:00:00,25,2350
2010-11-29 00:00:00,27,3759
2010-12-06 00:00:00,33,3367
2010-12-13 00:00:00,35,2509
2010-12-20 00:00:00,43,2087
2010-12-27 00:00:00,45,1959
2011-01-08 00:00:00,48,3926
2011-01-10 00:00:00,66,4012
2011-01-17 00:00:00,62,3257
2011-01-24 00:00:00,86,4067
2011-01-31 00:00:00,55,3389
2011-02-07 00:00:00,89,3955
2011-02-14 00:00:00,94,3667
2011-02-21 00:00:00,59,3259
2011-02-28 00:00:00,68,3557
2011-03-07 00:00:00,76,3633
2011-03-14 00:00:00,52,3200
2011-03-21 00:00:00,35,2128
2011-03-28 00:00:00,47,3644
2011-04-04 00:00:00,38,3769
2011-04-11 00:00:00,30,3106
2011-04-18 00:00:00,37,3450
2011-04-25 00:00:00,31,3230
2011-05-02 00:00:00,29,3136
2011-05-09 00:00:00,28,3011
2011-05-16 00:00:00,31,2873
2011-05-23 00:00:00,19,2942
2011-05-30 00:00:00,19,2334
2011-06-06 00:00:00,15,2606
2011-06-13 00:00:00,18,1669
2011-06-20 00:00:00,23,1775
2011-06-27 00:00:00,14,1793
2011-07-04 00:00:00,10,1543
2011-07-11 00:00:00,10,1794
2011-07-18 00:00:00,6,1919
2011-07-25 00:00:00,10,1845
2011-08-01 00:00:00,8,1782
2011-08-08 00:00:00,9,1859
2011-08-15 00:00:00,8,2085
2011-08-22 00:00:00,7,1948
2011-08-29 00:00:00,9,1856
2011-09-05 00:00:00,10,1782
2011-09-12 00:00:00,16,1519
2011-09-19 00:00:00,23,2015
2011-09-26 00:00:00,21,2799
2011-10-03 00:00:00,9,3403
2011-10-10 00:00:00,25,3684
2011-10-17 00:00:00,21,3604
2011-10-24 00:00:00,19,3266
2011-10-31 00:00:00,25,3672
2011-11-07 00:00:00,15,3216
2011-11-14 00:00:00,27,2930
2011-11-21 00:00:00,37,2526
2011-11-28 00:00:00,32,3779
2011-12-05 00:00:00,20,3593
2011-12-12 00:00:00,31,2473
2011-12-19 00:00:00,44,2551
2011-12-26 00:00:00,29,2312
2012-01-08 00:00:00,35,2810
2012-01-09 00:00:00,28,3907
2012-01-16 00:00:00,37,2868
2012-01-23 00:00:00,52,3721
2012-01-30 00:00:00,38,3940
2012-02-06 00:00:00,44,3994
2012-02-13 00:00:00,67,3834
2012-02-20 00:00:00,49,3529
2012-02-27 00:00:00,71,4133
2012-03-05 00:00:00,70,4219
2012-03-12 00:00:00,79,3925
2012-03-19 00:00:00,120,3273
2012-03-26 00:00:00,41,2109
2012-04-02 00:00:00,31,3599
2012-04-09 00:00:00,81,3941
2012-04-16 00:00:00,28,3446
2012-04-23 00:00:00,36,3480
2012-04-30 00:00:00,30,3439
2012-05-07 00:00:00,22,3231
2012-05-14 00:00:00,22,3264
2012-05-21 00:00:00,15,3113
2012-05-28 00:00:00,15,2410
2012-06-04 00:00:00,19,2966
2012-06-11 00:00:00,19,2620
2012-06-18 00:00:00,12,1681
2012-06-25 00:00:00,9,1697
2012-07-02 00:00:00,4,1361
2012-07-09 00:00:00,5,1891
2012-07-16 00:00:00,6,1565
2012-07-23 00:00:00,5,1453
2012-07-30 00:00:00,3,1622
2012-08-06 00:00:00,7,1543
2012-08-13 00:00:00,5,1582
2012-08-20 00:00:00,4,1402
2012-08-27 00:00:00,6,1324
2012-09-03 00:00:00,6,1301
2012-09-10 00:00:00,10,1471
2012-09-17 00:00:00,18,2268
2012-09-24 00:00:00,10,1457
2012-10-01 00:00:00,14,3835
2012-10-08 00:00:00,25,3317
2012-10-15 00:00:00,27,3485
2012-10-22 00:00:00,24,3388
2012-10-29 00:00:00,26,3245
2012-11-05 00:00:00,23,3473
2012-11-12 00:00:00,16,3636
2012-11-19 00:00:00,9,2458
2012-11-26 00:00:00,13,3086
2012-12-03 00:00:00,37,3450
2012-12-10 00:00:00,47,2600
2012-12-17 00:00:00,25,2623
2012-12-24 00:00:00,62,1642
2013-01-08 00:00:00,63,2260
2013-01-14 00:00:00,103,3855
2013-01-21 00:00:00,120,3707
2013-01-28 00:00:00,150,3416
2013-02-04 00:00:00,123,3715
2013-02-11 00:00:00,96,3486
2013-02-18 00:00:00,89,3266
2013-02-25 00:00:00,92,3548
2013-03-04 00:00:00,65,3558
2013-03-11 00:00:00,29,2840
2013-03-18 00:00:00,47,3307
2013-03-25 00:00:00,18,3309
2013-04-01 00:00:00,15,2128
2013-04-08 00:00:00,25,3260
2013-04-15 00:00:00,9,3152
2013-04-22 00:00:00,8,3100
2013-04-29 00:00:00,7,3133
2013-05-06 00:00:00,10,3162
2013-05-13 00:00:00,2,2470
2013-05-20 00:00:00,6,2684
2013-05-27 00:00:00,6,2608
2013-06-03 00:00:00,3,2189
