date,ILITOTAL,OT
2010-10-04 00:00:00,122,17347
2010-10-11 00:00:00,157,17239
2010-10-18 00:00:00,161,18273
2010-10-25 00:00:00,133,18442
2010-11-01 00:00:00,181,18256
2010-11-08 00:00:00,184,17799
2010-11-15 00:00:00,170,17964
2010-11-22 00:00:00,144,12991
2010-11-29 00:00:00,217,17952
2010-12-06 00:00:00,203,16584
2010-12-13 00:00:00,196,14447
2010-12-20 00:00:00,214,10680
2010-12-27 00:00:00,243,10188
2011-01-08 00:00:00,257,12189
2011-01-10 00:00:00,322,13856
2011-01-17 00:00:00,439,16098
2011-01-24 00:00:00,681,16829
2011-01-31 00:00:00,758,17335
2011-02-07 00:00:00,687,18365
2011-02-14 00:00:00,663,18324
2011-02-21 00:00:00,591,17359
2011-02-28 00:00:00,485,16662
2011-03-07 00:00:00,368,13294
2011-03-14 00:00:00,328,16251
2011-03-21 00:00:00,253,15963
2011-03-28 00:00:00,244,15682
2011-04-04 00:00:00,264,15700
2011-04-11 00:00:00,213,15047
2011-04-18 00:00:00,144,14841
2011-04-25 00:00:00,142,14546
2011-05-02 00:00:00,141,13653
2011-05-09 00:00:00,120,12038
2011-05-16 00:00:00,113,11227
2011-05-23 00:00:00,95,11018
2011-05-30 00:00:00,98,9761
2011-06-06 00:00:00,111,10847
2011-06-13 00:00:00,75,10747
2011-06-20 00:00:00,81,9999
2011-06-27 00:00:00,64,10255
2011-07-04 00:00:00,82,9983
2011-07-11 00:00:00,55,10213
2011-07-18 00:00:00,60,10014
2011-07-25 00:00:00,54,10237
2011-08-01 00:00:00,50,9626
2011-08-08 00:00:00,62,9857
2011-08-15 00:00:00,56,9727
2011-08-22 00:00:00,57,12020
2011-08-29 00:00:00,67,12635
2011-09-05 00:00:00,76,12367
2011-09-12 00:00:00,113,13857
2011-09-19 00:00:00,139,14202
2011-09-26 00:00:00,188,24136
2011-10-03 00:00:00,150,20578
2011-10-10 00:00:00,161,19637
2011-10-17 00:00:00,168,20827
2011-10-24 00:00:00,186,20552
2011-10-31 00:00:00,206,21019
2011-11-07 00:00:00,228,21750
2011-11-14 00:00:00,201,20529
2011-11-21 00:00:00,193,14603
2011-11-28 00:00:00,217,18405
2011-12-05 00:00:00,180,17883
2011-12-12 00:00:00,192,16006
2011-12-19 00:00:00,203,12511
2011-12-26 00:00:00,228,10825
2012-01-08 00:00:00,183,11449
2012-01-09 00:00:00,205,13642
2012-01-16 00:00:00,201,14701
2012-01-23 00:00:00,217,16715
2012-01-30 00:00:00,219,16437
2012-02-06 00:00:00,236,17505
2012-02-13 00:00:00,230,17775
2012-02-20 00:00:00,232,17062
2012-02-27 00:00:00,213,16211
2012-03-05 00:00:00,172,13315
2012-03-12 00:00:00,199,14741
2012-03-19 00:00:00,205,16852
2012-03-26 00:00:00,214,16668
2012-04-02 00:00:00,184,14841
2012-04-09 00:00:00,196,16813
2012-04-16 00:00:00,193,17112
2012-04-23 00:00:00,148,16357
2012-04-30 00:00:00,143,15216
2012-05-07 00:00:00,127,12678
2012-05-14 00:00:00,119,12766
2012-05-21 00:00:00,97,11502
2012-05-28 00:00:00,83,10962
2012-06-04 00:00:00,71,11264
2012-06-11 00:00:00,62,10809
2012-06-18 00:00:00,64,8876
2012-06-25 00:00:00,59,9329
2012-07-02 00:00:00,43,8562
2012-07-09 00:00:00,49,9530
2012-07-16 00:00:00,57,9305
2012-07-23 00:00:00,71,9356
2012-07-30 00:00:00,52,8936
2012-08-06 00:00:00,46,9101
2012-08-13 00:00:00,55,9015
2012-08-20 00:00:00,68,9212
2012-08-27 00:00:00,65,11621
2012-09-03 00:00:00,66,10931
2012-09-10 00:00:00,117,13681
2012-09-17 00:00:00,97,13711
2012-09-24 00:00:00,109,14080
2012-10-01 00:00:00,213,20636
2012-10-08 00:00:00,171,19646
2012-10-15 00:00:00,219,19732
2012-10-22 00:00:00,201,20723
2012-10-29 00:00:00,213,16970
2012-11-05 00:00:00,235,20198
2012-11-12 00:00:00,236,19609
2012-11-19 00:00:00,208,14225
2012-11-26 00:00:00,282,19764
2012-12-03 00:00:00,424,20512
2012-12-10 00:00:00,566,17546
2012-12-17 00:00:00,629,15357
2012-12-24 00:00:00,642,10582
2013-01-08 00:00:00,539,12839
2013-01-14 00:00:00,762,17711
2013-01-21 00:00:00,892,17972
2013-01-28 00:00:00,608,16726
2013-02-04 00:00:00,486,17813
2013-02-11 00:00:00,412,16542
2013-02-18 00:00:00,507,16991
2013-02-25 00:00:00,431,17194
2013-03-04 00:00:00,452,17642
2013-03-11 00:00:00,350,13590
2013-03-18 00:00:00,387,14570
2013-03-25 00:00:00,296,13231
2013-04-01 00:00:00,222,12951
2013-04-08 00:00:00,226,14301
2013-04-15 00:00:00,179,13929
2013-04-22 00:00:00,154,14562
2013-04-29 00:00:00,135,14749
2013-05-06 00:00:00,126,14143
2013-05-13 00:00:00,111,13096
2013-05-20 00:00:00,87,11781
2013-05-27 00:00:00,91,10276
2013-06-03 00:00:00,86,8958
2013-06-10 00:00:00,78,10256
2013-06-17 00:00:00,70,8276
2013-06-24 00:00:00,57,9282
2013-07-01 00:00:00,53,8772
2013-07-08 00:00:00,42,7737
2013-07-15 00:00:00,61,9969
2013-07-22 00:00:00,41,9369
2013-07-29 00:00:00,40,9586
2013-08-05 00:00:00,48,8524
2013-08-12 00:00:00,51,8943
2013-08-19 00:00:00,53,9276
2013-08-26 00:00:00,41,10162
2013-09-02 00:00:00,44,12037
2013-09-09 00:00:00,51,10735
2013-09-16 00:00:00,89,13473
2013-09-23 00:00:00,86,11827
2013-09-30 00:00:00,78,12834
2013-10-07 00:00:00,137,18161
2013-10-14 00:00:00,142,17176
2013-10-21 00:00:00,120,16874
2013-10-28 00:00:00,147,18510
2013-11-04 00:00:00,143,17244
2013-11-11 00:00:00,139,17963
2013-11-18 00:00:00,141,15888
2013-11-25 00:00:00,118,16265
2013-12-02 00:00:00,85,8340
2013-12-09 00:00:00,164,16118
2013-12-16 00:00:00,157,13004
2013-12-23 00:00:00,177,9634
2013-12-30 00:00:00,231,7446
2014-01-08 00:00:00,222,6841
2014-01-13 00:00:00,243,8568
2014-01-20 00:00:00,335,12321
2014-01-27 00:00:00,366,11893
2014-02-03 00:00:00,352,12436
2014-02-10 00:00:00,291,11563
2014-02-17 00:00:00,260,13186
2014-02-24 00:00:00,268,14979
2014-03-03 00:00:00,247,14572
2014-03-10 00:00:00,192,13077
2014-03-17 00:00:00,192,12055
2014-03-24 00:00:00,195,12603
2014-03-31 00:00:00,192,10944
2014-04-07 00:00:00,254,13306
2014-04-14 00:00:00,216,14109
2014-04-21 00:00:00,157,12813
2014-04-28 00:00:00,134,11679
2014-05-05 00:00:00,118,12413
2014-05-12 00:00:00,142,11379
2014-05-19 00:00:00,123,9674
2014-05-26 00:00:00,128,10182
2014-06-02 00:00:00,112,9878
2014-06-09 00:00:00,125,10320
2014-06-16 00:00:00,104,11377
2014-06-23 00:00:00,67,7662
2014-06-30 00:00:00,92,9802
2014-07-07 00:00:00,57,7068
2014-07-14 00:00:00,85,9698
2014-07-21 00:00:00,56,9128
2014-07-28 00:00:00,61,6556
2014-08-04 00:00:00,92,9077
2014-08-11 00:00:00,41,9030
2014-08-18 00:00:00,72,9254
2014-08-25 00:00:00,68,9809
2014-09-01 00:00:00,74,10883
2014-09-08 00:00:00,90,11582
2014-09-15 00:00:00,131,14091
2014-09-22 00:00:00,149,11801
2014-09-29 00:00:00,151,14178
2014-10-06 00:00:00,137,14610
2014-10-13 00:00:00,159,13321
2014-10-20 00:00:00,166,16363
2014-10-27 00:00:00,195,16661
2014-11-03 00:00:00,170,15697
2014-11-10 00:00:00,204,17188
2014-11-17 00:00:00,217,17864
2014-11-24 00:00:00,223,15579
2014-12-01 00:00:00,246,10892
2014-12-08 00:00:00,290,16466
2014-12-15 00:00:00,424,15406
2014-12-22 00:00:00,676,15262
2014-12-29 00:00:00,756,10753
2015-01-05 00:00:00,625,9856
2015-01-08 00:00:00,558,12447
2015-01-12 00:00:00,577,15210
2015-01-19 00:00:00,893,16775
2015-01-26 00:00:00,774,15915
2015-02-02 00:00:00,666,15830
2015-02-09 00:00:00,477,16822
2015-02-16 00:00:00,366,14155
2015-02-23 00:00:00,331,16768
2015-03-02 00:00:00,333,12246
2015-03-09 00:00:00,221,11710
2015-03-16 00:00:00,256,14607
2015-03-23 00:00:00,261,13589
2015-03-30 00:00:00,225,13162
2015-04-06 00:00:00,224,13262
2015-04-13 00:00:00,219,13773
2015-04-20 00:00:00,193,14204
2015-04-27 00:00:00,207,14305
2015-05-04 00:00:00,177,13837
2015-05-11 00:00:00,132,11132
2015-05-18 00:00:00,117,10900
2015-05-25 00:00:00,131,8679
2015-06-01 00:00:00,103,10024
2015-06-08 00:00:00,114,10137
2015-06-15 00:00:00,88,9734
2015-06-22 00:00:00,88,9649
2015-06-29 00:00:00,88,8747
2015-07-06 00:00:00,112,9569
2015-07-13 00:00:00,83,9024
2015-07-20 00:00:00,84,9488
2015-07-27 00:00:00,68,9585
2015-08-03 00:00:00,93,10073
2015-08-10 00:00:00,65,8840
2015-08-17 00:00:00,84,9040
2015-08-24 00:00:00,88,11520
2015-08-31 00:00:00,119,10820
2015-09-07 00:00:00,110,11842
2015-09-14 00:00:00,157,13146
2015-09-21 00:00:00,143,11950
2015-09-28 00:00:00,112,11100
2015-10-05 00:00:00,203,15537
2015-10-12 00:00:00,228,15125
2015-10-19 00:00:00,230,14220
2015-10-26 00:00:00,222,16420
2015-11-02 00:00:00,246,17675
2015-11-09 00:00:00,248,15940
2015-11-16 00:00:00,240,15389
2015-11-23 00:00:00,214,10840
2015-11-30 00:00:00,251,16043
2015-12-07 00:00:00,284,14552
2015-12-14 00:00:00,298,13435
2015-12-21 00:00:00,207,7557
2015-12-28 00:00:00,288,9565
2016-01-08 00:00:00,295,12131
2016-01-11 00:00:00,288,13359
2016-01-18 00:00:00,294,12906
2016-01-25 00:00:00,385,15582
2016-02-01 00:00:00,389,15827
2016-02-08 00:00:00,368,15496
2016-02-15 00:00:00,294,14489
2016-02-22 00:00:00,438,15049
2016-02-29 00:00:00,484,14557
2016-03-07 00:00:00,519,11615
2016-03-14 00:00:00,458,14297
2016-03-21 00:00:00,463,13565
2016-03-28 00:00:00,361,13723
2016-04-04 00:00:00,283,13448
2016-04-11 00:00:00,288,12491
2016-04-18 00:00:00,306,13579
2016-04-25 00:00:00,305,13451
2016-05-02 00:00:00,214,11709
2016-05-09 00:00:00,172,10259
2016-05-16 00:00:00,155,8999
2016-05-23 00:00:00,144,10268
2016-05-30 00:00:00,136,9060
2016-06-06 00:00:00,123,9324
2016-06-13 00:00:00,95,9643
2016-06-20 00:00:00,102,9238
2016-06-27 00:00:00,99,8979
2016-07-04 00:00:00,71,7824
2016-07-11 00:00:00,79,9555
2016-07-18 00:00:00,86,9551
2016-07-25 00:00:00,83,9051
2016-08-01 00:00:00,76,8495
2016-08-08 00:00:00,87,9241
2016-08-15 00:00:00,74,10796
2016-08-22 00:00:00,80,12677
2016-08-29 00:00:00,141,14036
2016-09-05 00:00:00,112,13392
2016-09-12 00:00:00,93,14662
2016-09-19 00:00:00,107,13874
2016-09-26 00:00:00,127,13859
2016-10-03 00:00:00,141,15135
2016-10-10 00:00:00,121,16264
2016-10-17 00:00:00,150,16106
2016-10-24 00:00:00,142,15308
2016-10-31 00:00:00,177,15884
2016-11-07 00:00:00,187,15842
2016-11-14 00:00:00,186,14907
2016-11-21 00:00:00,139,9992
2016-11-28 00:00:00,173,15359
2016-12-05 00:00:00,208,14215
2016-12-12 00:00:00,234,12723
2016-12-19 00:00:00,215,11079
2016-12-26 00:00:00,298,9513
2017-01-08 00:00:00,351,12028
2017-01-09 00:00:00,358,13371
2017-01-16 00:00:00,465,13792
2017-01-23 00:00:00,535,13703
2017-01-30 00:00:00,655,15641
2017-02-06 00:00:00,735,12702
2017-02-13 00:00:00,698,14905
2017-02-20 00:00:00,559,13941
2017-02-27 00:00:00,374,14544
2017-03-06 00:00:00,301,11501
2017-03-13 00:00:00,299,10354
2017-03-20 00:00:00,259,10986
2017-03-27 00:00:00,309,11712
2017-04-03 00:00:00,245,13199
2017-04-10 00:00:00,209,12048
2017-04-17 00:00:00,191,12723
2017-04-24 00:00:00,161,13578
2017-05-01 00:00:00,148,13393
2017-05-08 00:00:00,94,11550
2017-05-15 00:00:00,101,9906
2017-05-22 00:00:00,69,9727
2017-05-29 00:00:00,73,8189
2017-06-05 00:00:00,75,9847
2017-06-12 00:00:00,58,8761
2017-06-19 00:00:00,52,9033
2017-06-26 00:00:00,36,7255
2017-07-03 00:00:00,44,7675
2017-07-10 00:00:00,37,9230
2017-07-17 00:00:00,52,9123
2017-07-24 00:00:00,45,7564
2017-07-31 00:00:00,69,9104
2017-08-07 00:00:00,36,8585
2017-08-14 00:00:00,41,9137
2017-08-21 00:00:00,46,10888
2017-08-28 00:00:00,60,10310
2017-09-04 00:00:00,60,11574
2017-09-11 00:00:00,75,13045
2017-09-18 00:00:00,82,13459
2017-09-25 00:00:00,92,10328
2017-10-02 00:00:00,611,77633
2017-10-09 00:00:00,534,62660
2017-10-16 00:00:00,587,63072
2017-10-23 00:00:00,557,57073
2017-10-30 00:00:00,664,60038
2017-11-06 00:00:00,764,62684
2017-11-13 00:00:00,810,63190
2017-11-20 00:00:00,718,55326
2017-11-27 00:00:00,888,65665
2017-12-04 00:00:00,848,61060
2017-12-11 00:00:00,852,58302
2017-12-18 00:00:00,1016,59874
2017-12-25 00:00:00,1334,52889
2018-01-08 00:00:00,1709,66452
2018-01-15 00:00:00,1836,60812
2018-01-22 00:00:00,2352,58584
2018-01-29 00:00:00,3269,66151
