date,ILITOTAL,OT
2013-10-07 00:00:00,40,775
2013-10-14 00:00:00,45,716
2013-10-21 00:00:00,58,752
2013-10-28 00:00:00,45,999
2013-11-04 00:00:00,53,723
2013-11-11 00:00:00,37,778
2013-11-18 00:00:00,20,711
2013-11-25 00:00:00,27,680
2013-12-02 00:00:00,25,690
2013-12-09 00:00:00,28,679
2013-12-16 00:00:00,20,635
2013-12-23 00:00:00,27,657
2013-12-30 00:00:00,0,0
2014-01-08 00:00:00,21,699
2014-01-13 00:00:00,24,688
2014-01-20 00:00:00,22,664
2014-01-27 00:00:00,25,650
2014-02-03 00:00:00,30,653
2014-02-10 00:00:00,32,662
2014-02-17 00:00:00,37,737
2014-02-24 00:00:00,29,779
2014-03-03 00:00:00,32,761
2014-03-10 00:00:00,21,731
2014-03-17 00:00:00,27,767
2014-03-24 00:00:00,28,742
2014-03-31 00:00:00,34,725
2014-04-07 00:00:00,27,660
2014-04-14 00:00:00,22,637
2014-04-21 00:00:00,22,674
2014-04-28 00:00:00,38,707
2014-05-05 00:00:00,24,707
2014-05-12 00:00:00,43,653
2014-05-19 00:00:00,34,628
2014-05-26 00:00:00,35,684
2014-06-02 00:00:00,37,685
2014-06-09 00:00:00,60,756
2014-06-16 00:00:00,67,742
2014-06-23 00:00:00,62,763
2014-06-30 00:00:00,74,879
2014-07-07 00:00:00,0,0
2014-07-14 00:00:00,167,1596
2014-07-21 00:00:00,248,1745
2014-07-28 00:00:00,159,2053
2014-08-04 00:00:00,250,3174
2014-08-11 00:00:00,180,4595
2014-08-18 00:00:00,187,5003
2014-08-25 00:00:00,234,5089
2014-09-01 00:00:00,374,5421
2014-09-08 00:00:00,400,5565
2014-09-15 00:00:00,394,5543
2014-09-22 00:00:00,212,5484
2014-09-29 00:00:00,432,5964
2014-10-06 00:00:00,397,5857
2014-10-13 00:00:00,210,5046
2014-10-20 00:00:00,577,5691
2014-10-27 00:00:00,547,5898
2014-11-03 00:00:00,344,5558
2014-11-10 00:00:00,514,4847
2014-11-17 00:00:00,420,4899
2014-11-24 00:00:00,521,4896
2014-12-01 00:00:00,550,5068
2014-12-08 00:00:00,439,6171
2014-12-15 00:00:00,465,4896
2014-12-22 00:00:00,445,4578
2014-12-29 00:00:00,504,5457
2015-01-05 00:00:00,483,5359
2015-01-08 00:00:00,458,4910
2015-01-12 00:00:00,424,4929
2015-01-19 00:00:00,333,4647
2015-01-26 00:00:00,369,4784
2015-02-02 00:00:00,467,4839
2015-02-09 00:00:00,469,4763
2015-02-16 00:00:00,426,5407
2015-02-23 00:00:00,353,4671
2015-03-02 00:00:00,346,4968
2015-03-09 00:00:00,290,4298
2015-03-16 00:00:00,342,5067
2015-03-23 00:00:00,306,4879
2015-03-30 00:00:00,204,4116
2015-04-06 00:00:00,194,4003
2015-04-13 00:00:00,171,4078
2015-04-20 00:00:00,190,4139
2015-04-27 00:00:00,177,4258
2015-05-04 00:00:00,159,4769
2015-05-11 00:00:00,164,3035
2015-05-18 00:00:00,132,3765
2015-05-25 00:00:00,161,3915
2015-06-01 00:00:00,104,3900
2015-06-08 00:00:00,150,5071
2015-06-15 00:00:00,131,5685
2015-06-22 00:00:00,127,3719
2015-06-29 00:00:00,132,3682
2015-07-06 00:00:00,101,5268
2015-07-13 00:00:00,88,4900
2015-07-20 00:00:00,75,3958
2015-07-27 00:00:00,90,3563
2015-08-03 00:00:00,126,4112
2015-08-10 00:00:00,120,4949
2015-08-17 00:00:00,93,4331
2015-08-24 00:00:00,121,4798
2015-08-31 00:00:00,161,3869
2015-09-07 00:00:00,153,5291
2015-09-14 00:00:00,139,4096
2015-09-21 00:00:00,146,3938
2015-09-28 00:00:00,210,5538
2015-10-05 00:00:00,156,4649
2015-10-12 00:00:00,138,4648
2015-10-19 00:00:00,199,4671
2015-10-26 00:00:00,179,5036
2015-11-02 00:00:00,227,4550
2015-11-09 00:00:00,169,4682
2015-11-16 00:00:00,156,4596
2015-11-23 00:00:00,207,5028
2015-11-30 00:00:00,205,5040
2015-12-07 00:00:00,235,4772
2015-12-14 00:00:00,231,4962
2015-12-21 00:00:00,238,4827
2015-12-28 00:00:00,306,6230
2016-01-08 00:00:00,245,5639
2016-01-11 00:00:00,277,6461
2016-01-18 00:00:00,345,6743
2016-01-25 00:00:00,473,6450
2016-02-01 00:00:00,477,5563
2016-02-08 00:00:00,524,6502
2016-02-15 00:00:00,430,6548
2016-02-22 00:00:00,370,5603
2016-02-29 00:00:00,324,5660
2016-03-07 00:00:00,299,4544
2016-03-14 00:00:00,273,4823
2016-03-21 00:00:00,317,5891
2016-03-28 00:00:00,208,5623
