date,ILITOTAL,OT
2010-10-04 00:00:00,15,6382
2010-10-11 00:00:00,12,5954
2010-10-18 00:00:00,25,6890
2010-10-25 00:00:00,22,6818
2010-11-01 00:00:00,34,6412
2010-11-08 00:00:00,30,6284
2010-11-15 00:00:00,35,6942
2010-11-22 00:00:00,31,4572
2010-11-29 00:00:00,51,6660
2010-12-06 00:00:00,42,6609
2010-12-13 00:00:00,30,6408
2010-12-20 00:00:00,38,4446
2010-12-27 00:00:00,44,3414
2011-01-08 00:00:00,32,5438
2011-01-10 00:00:00,19,4568
2011-01-17 00:00:00,23,4574
2011-01-24 00:00:00,55,5784
2011-01-31 00:00:00,81,5765
2011-02-07 00:00:00,149,6432
2011-02-14 00:00:00,189,6933
2011-02-21 00:00:00,286,5777
2011-02-28 00:00:00,175,7055
2011-03-07 00:00:00,148,6515
2011-03-14 00:00:00,84,6396
2011-03-21 00:00:00,50,5571
2011-03-28 00:00:00,54,5956
2011-04-04 00:00:00,47,6703
2011-04-11 00:00:00,35,6616
2011-04-18 00:00:00,27,5813
2011-04-25 00:00:00,45,6296
2011-05-02 00:00:00,25,6398
2011-05-09 00:00:00,3,6012
2011-05-16 00:00:00,1,5002
2011-05-23 00:00:00,1,4207
2011-05-30 00:00:00,1,3332
2011-06-06 00:00:00,1,4109
2011-06-13 00:00:00,1,4124
2011-06-20 00:00:00,1,4113
2011-06-27 00:00:00,1,3466
2011-07-04 00:00:00,2,3129
2011-07-11 00:00:00,0,3952
2011-07-18 00:00:00,2,3770
2011-07-25 00:00:00,0,3684
2011-08-01 00:00:00,1,3813
2011-08-08 00:00:00,0,3641
2011-08-15 00:00:00,0,3337
2011-08-22 00:00:00,0,4048
2011-08-29 00:00:00,4,3956
2011-09-05 00:00:00,4,4569
2011-09-12 00:00:00,4,5786
2011-09-19 00:00:00,6,5497
2011-09-26 00:00:00,12,6012
2011-10-03 00:00:00,11,6497
2011-10-10 00:00:00,6,5662
2011-10-17 00:00:00,16,6622
2011-10-24 00:00:00,17,6567
2011-10-31 00:00:00,26,6759
2011-11-07 00:00:00,38,6269
2011-11-14 00:00:00,18,6968
2011-11-21 00:00:00,6,4520
2011-11-28 00:00:00,33,7033
2011-12-05 00:00:00,15,6699
2011-12-12 00:00:00,23,6659
2011-12-19 00:00:00,18,5261
2011-12-26 00:00:00,7,3117
2012-01-08 00:00:00,7,4455
2012-01-09 00:00:00,5,5476
2012-01-16 00:00:00,9,4945
2012-01-23 00:00:00,18,6534
2012-01-30 00:00:00,20,6770
2012-02-06 00:00:00,23,6734
2012-02-13 00:00:00,12,6538
2012-02-20 00:00:00,14,5583
2012-02-27 00:00:00,18,6537
2012-03-05 00:00:00,10,6093
2012-03-12 00:00:00,7,4986
2012-03-19 00:00:00,15,6122
2012-03-26 00:00:00,25,5830
2012-04-02 00:00:00,28,6004
2012-04-09 00:00:00,43,6566
2012-04-16 00:00:00,21,5529
2012-04-23 00:00:00,10,6379
2012-04-30 00:00:00,16,6472
2012-05-07 00:00:00,14,6024
2012-05-14 00:00:00,6,5415
2012-05-21 00:00:00,6,5042
2012-05-28 00:00:00,2,3771
2012-06-04 00:00:00,1,4514
2012-06-11 00:00:00,3,4384
2012-06-18 00:00:00,1,4283
2012-06-25 00:00:00,1,3799
2012-07-02 00:00:00,0,3661
2012-07-09 00:00:00,0,4131
2012-07-16 00:00:00,0,4479
2012-07-23 00:00:00,0,3657
2012-07-30 00:00:00,0,4106
2012-08-06 00:00:00,0,4006
2012-08-13 00:00:00,1,3889
2012-08-20 00:00:00,0,4297
2012-08-27 00:00:00,0,4784
2012-09-03 00:00:00,2,4786
2012-09-10 00:00:00,7,6062
2012-09-17 00:00:00,4,6143
2012-09-24 00:00:00,10,6518
2012-10-01 00:00:00,13,6526
2012-10-08 00:00:00,9,5510
2012-10-15 00:00:00,19,6955
2012-10-22 00:00:00,26,6694
2012-10-29 00:00:00,9,5316
2012-11-05 00:00:00,13,6641
2012-11-12 00:00:00,11,6922
2012-11-19 00:00:00,14,4466
2012-11-26 00:00:00,30,7070
2012-12-03 00:00:00,84,7024
2012-12-10 00:00:00,161,7188
2012-12-17 00:00:00,169,6203
2012-12-24 00:00:00,150,3733
2013-01-08 00:00:00,130,4323
2013-01-14 00:00:00,185,5433
2013-01-21 00:00:00,166,5878
2013-01-28 00:00:00,89,5947
2013-02-04 00:00:00,113,6619
2013-02-11 00:00:00,53,5793
2013-02-18 00:00:00,47,6101
2013-02-25 00:00:00,31,5251
2013-03-04 00:00:00,24,6389
2013-03-11 00:00:00,28,6223
2013-03-18 00:00:00,41,5257
2013-03-25 00:00:00,24,6412
2013-04-01 00:00:00,37,5841
2013-04-08 00:00:00,34,6830
2013-04-15 00:00:00,35,6586
2013-04-22 00:00:00,29,6059
2013-04-29 00:00:00,26,6280
2013-05-06 00:00:00,17,6397
2013-05-13 00:00:00,15,6161
2013-05-20 00:00:00,0,5102
2013-05-27 00:00:00,0,4639
2013-06-03 00:00:00,0,3459
2013-06-10 00:00:00,0,4449
2013-06-17 00:00:00,1,4105
2013-06-24 00:00:00,1,3677
2013-07-01 00:00:00,0,4128
2013-07-08 00:00:00,0,3533
2013-07-15 00:00:00,2,4183
2013-07-22 00:00:00,0,4233
2013-07-29 00:00:00,0,4414
2013-08-05 00:00:00,0,4055
2013-08-12 00:00:00,0,4036
2013-08-19 00:00:00,0,3829
2013-08-26 00:00:00,0,4180
2013-09-02 00:00:00,0,4341
2013-09-09 00:00:00,2,4288
2013-09-16 00:00:00,5,5882
2013-09-23 00:00:00,4,6125
2013-09-30 00:00:00,2,6295
2013-10-07 00:00:00,6,6440
2013-10-14 00:00:00,7,5925
2013-10-21 00:00:00,6,5497
2013-10-28 00:00:00,12,6733
2013-11-04 00:00:00,22,6510
2013-11-11 00:00:00,10,6558
2013-11-18 00:00:00,7,6261
2013-11-25 00:00:00,18,6755
2013-12-02 00:00:00,10,4193
2013-12-09 00:00:00,22,6307
2013-12-16 00:00:00,14,6118
2013-12-23 00:00:00,10,5660
2013-12-30 00:00:00,12,2868
2014-01-08 00:00:00,23,2971
2014-01-13 00:00:00,56,5064
2014-01-20 00:00:00,84,5041
2014-01-27 00:00:00,52,5537
2014-02-03 00:00:00,71,6491
2014-02-10 00:00:00,83,5757
2014-02-17 00:00:00,65,6111
2014-02-24 00:00:00,40,5530
2014-03-03 00:00:00,29,6538
2014-03-10 00:00:00,32,6459
2014-03-17 00:00:00,32,4977
2014-03-24 00:00:00,51,6108
2014-03-31 00:00:00,43,6123
2014-04-07 00:00:00,80,6702
2014-04-14 00:00:00,110,6551
2014-04-21 00:00:00,93,6478
2014-04-28 00:00:00,75,5868
2014-05-05 00:00:00,52,6330
2014-05-12 00:00:00,30,6297
2014-05-19 00:00:00,10,5274
2014-05-26 00:00:00,8,4834
2014-06-02 00:00:00,2,3704
2014-06-09 00:00:00,3,3851
2014-06-16 00:00:00,0,3981
2014-06-23 00:00:00,2,4176
2014-06-30 00:00:00,1,3946
2014-07-07 00:00:00,2,3294
2014-07-14 00:00:00,2,4307
2014-07-21 00:00:00,2,3995
2014-07-28 00:00:00,2,4083
2014-08-04 00:00:00,0,3845
2014-08-11 00:00:00,0,3960
2014-08-18 00:00:00,0,3754
2014-08-25 00:00:00,19,3699
2014-09-01 00:00:00,12,3821
2014-09-08 00:00:00,3,4313
2014-09-15 00:00:00,1,5814
2014-09-22 00:00:00,2,5842
2014-09-29 00:00:00,1,5908
2014-10-06 00:00:00,3,6915
2014-10-13 00:00:00,10,6571
2014-10-20 00:00:00,14,5794
2014-10-27 00:00:00,7,7040
2014-11-03 00:00:00,11,7133
2014-11-10 00:00:00,13,6273
2014-11-17 00:00:00,18,6607
2014-11-24 00:00:00,9,6408
2014-12-01 00:00:00,5,4359
2014-12-08 00:00:00,19,7069
2014-12-15 00:00:00,33,6696
2014-12-22 00:00:00,31,6409
2014-12-29 00:00:00,48,3442
2015-01-05 00:00:00,48,3956
2015-01-08 00:00:00,99,5084
2015-01-12 00:00:00,133,5313
2015-01-19 00:00:00,259,5729
2015-01-26 00:00:00,231,5618
2015-02-02 00:00:00,215,6063
2015-02-09 00:00:00,155,6065
2015-02-16 00:00:00,95,5413
2015-02-23 00:00:00,70,6748
2015-03-02 00:00:00,48,6147
2015-03-09 00:00:00,56,6402
2015-03-16 00:00:00,34,5471
2015-03-23 00:00:00,26,6438
2015-03-30 00:00:00,35,6742
2015-04-06 00:00:00,47,6731
2015-04-13 00:00:00,39,6569
2015-04-20 00:00:00,47,6393
2015-04-27 00:00:00,28,6672
2015-05-04 00:00:00,17,6023
2015-05-11 00:00:00,2,5499
2015-05-18 00:00:00,4,5282
2015-05-25 00:00:00,3,4125
2015-06-01 00:00:00,1,4535
2015-06-08 00:00:00,0,4475
2015-06-15 00:00:00,2,4518
2015-06-22 00:00:00,0,4193
2015-06-29 00:00:00,5,3928
2015-07-06 00:00:00,2,4708
2015-07-13 00:00:00,1,4582
2015-07-20 00:00:00,2,4712
2015-07-27 00:00:00,0,4220
2015-08-03 00:00:00,3,4672
2015-08-10 00:00:00,2,3495
2015-08-17 00:00:00,0,4188
2015-08-24 00:00:00,2,5099
2015-08-31 00:00:00,1,5086
2015-09-07 00:00:00,2,5019
2015-09-14 00:00:00,3,5678
2015-09-21 00:00:00,5,6245
2015-09-28 00:00:00,8,6276
2015-10-05 00:00:00,6,5451
2015-10-12 00:00:00,7,4799
2015-10-19 00:00:00,14,6053
2015-10-26 00:00:00,14,6058
2015-11-02 00:00:00,17,6331
2015-11-09 00:00:00,11,5878
2015-11-16 00:00:00,12,6440
2015-11-23 00:00:00,8,3751
2015-11-30 00:00:00,13,6208
2015-12-07 00:00:00,11,6158
2015-12-14 00:00:00,12,5689
2015-12-21 00:00:00,6,2995
2015-12-28 00:00:00,11,2868
2016-01-08 00:00:00,14,3976
2016-01-11 00:00:00,20,4265
2016-01-18 00:00:00,22,3965
2016-01-25 00:00:00,34,5382
2016-02-01 00:00:00,59,5268
2016-02-08 00:00:00,51,5357
2016-02-15 00:00:00,71,5183
2016-02-22 00:00:00,86,5861
2016-02-29 00:00:00,82,5994
2016-03-07 00:00:00,127,6144
2016-03-14 00:00:00,94,5451
2016-03-21 00:00:00,66,4163
2016-03-28 00:00:00,69,5318
2016-04-04 00:00:00,66,5397
2016-04-11 00:00:00,51,5828
2016-04-18 00:00:00,41,5572
2016-04-25 00:00:00,48,5175
2016-05-02 00:00:00,13,5204
2016-05-09 00:00:00,12,5027
2016-05-16 00:00:00,10,4604
2016-05-23 00:00:00,2,3742
2016-05-30 00:00:00,0,3131
2016-06-06 00:00:00,3,3557
2016-06-13 00:00:00,0,3504
2016-06-20 00:00:00,2,3580
2016-06-27 00:00:00,2,3460
2016-07-04 00:00:00,0,2341
2016-07-11 00:00:00,0,3346
2016-07-18 00:00:00,0,3779
2016-07-25 00:00:00,0,3239
2016-08-01 00:00:00,1,2669
2016-08-08 00:00:00,0,2923
2016-08-15 00:00:00,0,3647
2016-08-22 00:00:00,2,3011
2016-08-29 00:00:00,6,3812
2016-09-05 00:00:00,49,3464
2016-09-12 00:00:00,65,5256
2016-09-19 00:00:00,46,5501
2016-09-26 00:00:00,18,5427
2016-10-03 00:00:00,22,5238
2016-10-10 00:00:00,17,4239
2016-10-17 00:00:00,40,5682
2016-10-24 00:00:00,22,5386
2016-10-31 00:00:00,25,5442
2016-11-07 00:00:00,23,5087
2016-11-14 00:00:00,19,5723
2016-11-21 00:00:00,10,3342
2016-11-28 00:00:00,18,5331
2016-12-05 00:00:00,18,5473
2016-12-12 00:00:00,28,5322
2016-12-19 00:00:00,17,3776
2016-12-26 00:00:00,21,2682
2017-01-08 00:00:00,40,3167
2017-01-09 00:00:00,32,3442
2017-01-16 00:00:00,28,3339
2017-01-23 00:00:00,82,4553
2017-01-30 00:00:00,115,4628
2017-02-06 00:00:00,172,4203
2017-02-13 00:00:00,210,5062
2017-02-20 00:00:00,193,4479
2017-02-27 00:00:00,138,4861
2017-03-06 00:00:00,112,4356
2017-03-13 00:00:00,63,3244
2017-03-20 00:00:00,132,4948
2017-03-27 00:00:00,121,4234
2017-04-03 00:00:00,129,5230
2017-04-10 00:00:00,104,4940
2017-04-17 00:00:00,50,4616
2017-04-24 00:00:00,22,4373
2017-05-01 00:00:00,21,4409
2017-05-08 00:00:00,17,4269
2017-05-15 00:00:00,2,3982
2017-05-22 00:00:00,0,3344
2017-05-29 00:00:00,3,2890
2017-06-05 00:00:00,0,2833
2017-06-12 00:00:00,2,2766
2017-06-19 00:00:00,0,2725
2017-06-26 00:00:00,3,2850
2017-07-03 00:00:00,0,2181
2017-07-10 00:00:00,0,2846
2017-07-17 00:00:00,1,2917
2017-07-24 00:00:00,1,2734
2017-07-31 00:00:00,0,2720
2017-08-07 00:00:00,0,2876
2017-08-14 00:00:00,0,2445
2017-08-21 00:00:00,0,2401
2017-08-28 00:00:00,3,2989
2017-09-04 00:00:00,0,3343
2017-09-11 00:00:00,5,4598
2017-09-18 00:00:00,12,4747
2017-09-25 00:00:00,18,4773
2017-10-02 00:00:00,21,5363
2017-10-09 00:00:00,13,4749
2017-10-16 00:00:00,26,5492
2017-10-23 00:00:00,35,5621
2017-10-30 00:00:00,29,5635
2017-11-06 00:00:00,39,5939
2017-11-13 00:00:00,39,5861
2017-11-20 00:00:00,29,3891
2017-11-27 00:00:00,32,5926
2017-12-04 00:00:00,106,5943
2017-12-11 00:00:00,79,5558
2017-12-18 00:00:00,70,4505
2017-12-25 00:00:00,45,2953
2018-01-08 00:00:00,71,3007
2018-01-15 00:00:00,135,4387
2018-01-22 00:00:00,197,4499
2018-01-29 00:00:00,290,5461
2018-02-05 00:00:00,374,6428
2018-02-12 00:00:00,507,6487
2018-02-19 00:00:00,459,6334
2018-02-26 00:00:00,261,5215
2018-03-05 00:00:00,143,4900
2018-03-12 00:00:00,115,5185
2018-03-19 00:00:00,109,3888
2018-03-26 00:00:00,110,5030
2018-04-02 00:00:00,74,4735
2018-04-09 00:00:00,77,5275
2018-04-16 00:00:00,102,5758
