date,ILITOTAL,OT
2010-10-04 00:00:00,33,7397
2010-10-11 00:00:00,54,7054
2010-10-18 00:00:00,28,7190
2010-10-25 00:00:00,31,7410
2010-11-01 00:00:00,32,7186
2010-11-08 00:00:00,32,6261
2010-11-15 00:00:00,33,7238
2010-11-22 00:00:00,23,4483
2010-11-29 00:00:00,37,7258
2010-12-06 00:00:00,29,5983
2010-12-13 00:00:00,41,5098
2010-12-20 00:00:00,31,3878
2010-12-27 00:00:00,57,4854
2011-01-08 00:00:00,94,6440
2011-01-10 00:00:00,140,5677
2011-01-17 00:00:00,171,6874
2011-01-24 00:00:00,414,8544
2011-01-31 00:00:00,726,10187
2011-02-07 00:00:00,616,10195
2011-02-14 00:00:00,456,9407
2011-02-21 00:00:00,364,9454
2011-02-28 00:00:00,241,8349
2011-03-07 00:00:00,141,6435
2011-03-14 00:00:00,113,7884
2011-03-21 00:00:00,62,8052
2011-03-28 00:00:00,55,6944
2011-04-04 00:00:00,51,7956
2011-04-11 00:00:00,39,7798
2011-04-18 00:00:00,36,7063
2011-04-25 00:00:00,15,6046
2011-05-02 00:00:00,12,5216
2011-05-09 00:00:00,3,5114
2011-05-16 00:00:00,7,5376
2011-05-23 00:00:00,14,5375
2011-05-30 00:00:00,6,4526
2011-06-06 00:00:00,9,4221
2011-06-13 00:00:00,7,4177
2011-06-20 00:00:00,5,4198
2011-06-27 00:00:00,9,4063
2011-07-04 00:00:00,9,3389
2011-07-11 00:00:00,4,3521
2011-07-18 00:00:00,4,3897
2011-07-25 00:00:00,14,3720
2011-08-01 00:00:00,6,3361
2011-08-08 00:00:00,5,3567
2011-08-15 00:00:00,4,4464
2011-08-22 00:00:00,3,5264
2011-08-29 00:00:00,4,5437
2011-09-05 00:00:00,4,4817
2011-09-12 00:00:00,8,5445
2011-09-19 00:00:00,10,5558
2011-09-26 00:00:00,6,5791
2011-10-03 00:00:00,20,7589
2011-10-10 00:00:00,21,7532
2011-10-17 00:00:00,10,6581
2011-10-24 00:00:00,20,7681
2011-10-31 00:00:00,31,7687
2011-11-07 00:00:00,29,7815
2011-11-14 00:00:00,25,7370
2011-11-21 00:00:00,10,5038
2011-11-28 00:00:00,28,7513
2011-12-05 00:00:00,37,7371
2011-12-12 00:00:00,22,6402
2011-12-19 00:00:00,17,4992
2011-12-26 00:00:00,37,4321
2012-01-08 00:00:00,25,5600
2012-01-09 00:00:00,28,6933
2012-01-16 00:00:00,52,6628
2012-01-23 00:00:00,54,7539
2012-01-30 00:00:00,60,6230
2012-02-06 00:00:00,44,6979
2012-02-13 00:00:00,47,7247
2012-02-20 00:00:00,48,6806
2012-02-27 00:00:00,38,6690
2012-03-05 00:00:00,19,5621
2012-03-12 00:00:00,27,6614
2012-03-19 00:00:00,23,6904
2012-03-26 00:00:00,22,7443
2012-04-02 00:00:00,19,6599
2012-04-09 00:00:00,16,7298
2012-04-16 00:00:00,30,7589
2012-04-23 00:00:00,20,7060
2012-04-30 00:00:00,20,6465
2012-05-07 00:00:00,8,5645
2012-05-14 00:00:00,17,5994
2012-05-21 00:00:00,10,5896
2012-05-28 00:00:00,13,4961
2012-06-04 00:00:00,5,5137
2012-06-11 00:00:00,15,3292
2012-06-18 00:00:00,10,3822
2012-06-25 00:00:00,7,3312
2012-07-02 00:00:00,7,2748
2012-07-09 00:00:00,13,3448
2012-07-16 00:00:00,8,3276
2012-07-23 00:00:00,4,3445
2012-07-30 00:00:00,12,3486
2012-08-06 00:00:00,2,3425
2012-08-13 00:00:00,0,3645
2012-08-20 00:00:00,3,4347
2012-08-27 00:00:00,14,4845
2012-09-03 00:00:00,7,4424
2012-09-10 00:00:00,9,3864
2012-09-17 00:00:00,13,4376
2012-09-24 00:00:00,15,4241
2012-10-01 00:00:00,28,7629
2012-10-08 00:00:00,23,7188
2012-10-15 00:00:00,27,6742
2012-10-22 00:00:00,18,7162
2012-10-29 00:00:00,18,7299
2012-11-05 00:00:00,30,7558
2012-11-12 00:00:00,40,7734
2012-11-19 00:00:00,54,4935
2012-11-26 00:00:00,172,8210
2012-12-03 00:00:00,351,8314
2012-12-10 00:00:00,268,7516
2012-12-17 00:00:00,233,6177
2012-12-24 00:00:00,138,3928
2013-01-08 00:00:00,120,5434
2013-01-14 00:00:00,145,7094
2013-01-21 00:00:00,104,7868
2013-01-28 00:00:00,70,7412
2013-02-04 00:00:00,70,7414
2013-02-11 00:00:00,75,7744
2013-02-18 00:00:00,80,7504
2013-02-25 00:00:00,76,7548
2013-03-04 00:00:00,72,7517
2013-03-11 00:00:00,103,7421
2013-03-18 00:00:00,70,6559
2013-03-25 00:00:00,101,7755
2013-04-01 00:00:00,95,7517
2013-04-08 00:00:00,57,6788
2013-04-15 00:00:00,50,7308
2013-04-22 00:00:00,26,7224
2013-04-29 00:00:00,23,6644
2013-05-06 00:00:00,9,5949
2013-05-13 00:00:00,14,6297
2013-05-20 00:00:00,10,5427
2013-05-27 00:00:00,5,4993
2013-06-03 00:00:00,16,4107
2013-06-10 00:00:00,6,4928
2013-06-17 00:00:00,3,4920
2013-06-24 00:00:00,4,4436
2013-07-01 00:00:00,4,3980
2013-07-08 00:00:00,1,3483
2013-07-15 00:00:00,1,2767
2013-07-22 00:00:00,0,3791
2013-07-29 00:00:00,1,4075
2013-08-05 00:00:00,3,3808
2013-08-12 00:00:00,1,4176
2013-08-19 00:00:00,1,4329
2013-08-26 00:00:00,1,5173
2013-09-02 00:00:00,4,5534
2013-09-09 00:00:00,5,5361
2013-09-16 00:00:00,8,5755
2013-09-23 00:00:00,5,5336
2013-09-30 00:00:00,5,5273
2013-10-07 00:00:00,14,5137
2013-10-14 00:00:00,22,6571
2013-10-21 00:00:00,24,6566
2013-10-28 00:00:00,36,6291
2013-11-04 00:00:00,37,6622
2013-11-11 00:00:00,30,6656
2013-11-18 00:00:00,21,6506
2013-11-25 00:00:00,70,6977
2013-12-02 00:00:00,43,4195
2013-12-09 00:00:00,124,6865
2013-12-16 00:00:00,96,6187
2013-12-23 00:00:00,133,4931
2013-12-30 00:00:00,105,3660
2014-01-08 00:00:00,103,3922
2014-01-13 00:00:00,116,5357
2014-01-20 00:00:00,72,6267
2014-01-27 00:00:00,89,6318
2014-02-03 00:00:00,85,5229
2014-02-10 00:00:00,58,6545
2014-02-17 00:00:00,39,4099
2014-02-24 00:00:00,37,6394
2014-03-03 00:00:00,13,6276
2014-03-10 00:00:00,18,6229
2014-03-17 00:00:00,23,5157
2014-03-24 00:00:00,17,5845
2014-03-31 00:00:00,20,6134
2014-04-07 00:00:00,19,6190
2014-04-14 00:00:00,20,6024
2014-04-21 00:00:00,11,5818
2014-04-28 00:00:00,8,6076
2014-05-05 00:00:00,12,5551
2014-05-12 00:00:00,11,5539
2014-05-19 00:00:00,4,4301
2014-05-26 00:00:00,8,4202
2014-06-02 00:00:00,6,4130
