date,ILITOTAL,OT
2010-10-04 00:00:00,63,5713
2010-10-11 00:00:00,44,5543
2010-10-18 00:00:00,43,5436
2010-10-25 00:00:00,44,5491
2010-11-01 00:00:00,43,5514
2010-11-08 00:00:00,39,5246
2010-11-15 00:00:00,59,5892
2010-11-22 00:00:00,37,4148
2010-11-29 00:00:00,62,5600
2010-12-06 00:00:00,64,5502
2010-12-13 00:00:00,51,5392
2010-12-20 00:00:00,69,4544
2010-12-27 00:00:00,67,4395
2011-01-08 00:00:00,78,5547
2011-01-10 00:00:00,91,5184
2011-01-17 00:00:00,124,5237
2011-01-24 00:00:00,150,5606
2011-01-31 00:00:00,155,5395
2011-02-07 00:00:00,185,5776
2011-02-14 00:00:00,275,6325
2011-02-21 00:00:00,244,5855
2011-02-28 00:00:00,242,6223
2011-03-07 00:00:00,215,6136
2011-03-14 00:00:00,168,6077
2011-03-21 00:00:00,153,6046
2011-03-28 00:00:00,131,5841
2011-04-04 00:00:00,69,5097
2011-04-11 00:00:00,44,4816
2011-04-18 00:00:00,49,4860
2011-04-25 00:00:00,41,4657
2011-05-02 00:00:00,27,4485
2011-05-09 00:00:00,28,4462
2011-05-16 00:00:00,22,4207
2011-05-23 00:00:00,22,4242
2011-05-30 00:00:00,19,3745
2011-06-06 00:00:00,18,4296
2011-06-13 00:00:00,23,4244
2011-06-20 00:00:00,16,4065
2011-06-27 00:00:00,13,4191
2011-07-04 00:00:00,20,3627
2011-07-11 00:00:00,21,4186
2011-07-18 00:00:00,18,3918
2011-07-25 00:00:00,24,4197
2011-08-01 00:00:00,22,4159
2011-08-08 00:00:00,18,4179
2011-08-15 00:00:00,15,4480
2011-08-22 00:00:00,21,4453
2011-08-29 00:00:00,25,4543
2011-09-05 00:00:00,26,4033
2011-09-12 00:00:00,24,4439
2011-09-19 00:00:00,20,4322
2011-09-26 00:00:00,22,3608
2011-10-03 00:00:00,46,6054
2011-10-10 00:00:00,70,6004
2011-10-17 00:00:00,45,5847
2011-10-24 00:00:00,55,5991
2011-10-31 00:00:00,56,5993
2011-11-07 00:00:00,44,6218
2011-11-14 00:00:00,41,6230
2011-11-21 00:00:00,39,4516
2011-11-28 00:00:00,37,6395
2011-12-05 00:00:00,55,6126
2011-12-12 00:00:00,64,6282
2011-12-19 00:00:00,44,5869
2011-12-26 00:00:00,49,4542
2012-01-08 00:00:00,38,4882
2012-01-09 00:00:00,58,5102
2012-01-16 00:00:00,76,5197
2012-01-23 00:00:00,95,5365
2012-01-30 00:00:00,131,5663
2012-02-06 00:00:00,129,5817
2012-02-13 00:00:00,167,5558
2012-02-20 00:00:00,134,5613
2012-02-27 00:00:00,122,4923
2012-03-05 00:00:00,106,5253
2012-03-12 00:00:00,114,5179
2012-03-19 00:00:00,53,5197
2012-03-26 00:00:00,48,4765
2012-04-02 00:00:00,36,4950
2012-04-09 00:00:00,40,4704
2012-04-16 00:00:00,40,4888
2012-04-23 00:00:00,36,4909
2012-04-30 00:00:00,21,4377
2012-05-07 00:00:00,28,4408
2012-05-14 00:00:00,29,4328
2012-05-21 00:00:00,22,4163
2012-05-28 00:00:00,19,3502
2012-06-04 00:00:00,14,2854
2012-06-11 00:00:00,0,591
2012-06-18 00:00:00,0,578
2012-06-25 00:00:00,1,527
2012-07-02 00:00:00,0,489
2012-07-09 00:00:00,2,547
2012-07-16 00:00:00,3,565
2012-07-23 00:00:00,2,522
2012-07-30 00:00:00,3,475
2012-08-06 00:00:00,3,489
2012-08-13 00:00:00,3,495
2012-08-20 00:00:00,3,479
2012-08-27 00:00:00,2,521
2012-09-03 00:00:00,3,453
