date,ILITOTAL,OT
2010-10-04 00:00:00,32,11651
2010-10-11 00:00:00,59,11812
2010-10-18 00:00:00,61,12211
2010-10-25 00:00:00,51,12698
2010-11-01 00:00:00,64,12119
2010-11-08 00:00:00,76,12801
2010-11-15 00:00:00,86,12712
2010-11-22 00:00:00,65,7909
2010-11-29 00:00:00,106,13155
2010-12-06 00:00:00,122,11033
2010-12-13 00:00:00,121,8778
2010-12-20 00:00:00,145,6142
2010-12-27 00:00:00,188,6853
2011-01-08 00:00:00,178,10471
2011-01-10 00:00:00,237,8694
2011-01-17 00:00:00,390,10699
2011-01-24 00:00:00,652,12659
2011-01-31 00:00:00,841,13144
2011-02-07 00:00:00,791,12606
2011-02-14 00:00:00,781,13081
2011-02-21 00:00:00,446,12491
2011-02-28 00:00:00,369,11707
2011-03-07 00:00:00,223,10386
2011-03-14 00:00:00,176,11117
2011-03-21 00:00:00,74,11695
2011-03-28 00:00:00,88,11492
2011-04-04 00:00:00,88,12510
2011-04-11 00:00:00,60,10867
2011-04-18 00:00:00,65,11286
2011-04-25 00:00:00,44,11399
2011-05-02 00:00:00,10,9223
2011-05-09 00:00:00,7,8669
2011-05-16 00:00:00,5,9060
2011-05-23 00:00:00,2,8058
2011-05-30 00:00:00,2,7067
2011-06-06 00:00:00,6,8206
2011-06-13 00:00:00,2,7242
2011-06-20 00:00:00,3,7997
2011-06-27 00:00:00,1,7621
2011-07-04 00:00:00,1,5677
2011-07-11 00:00:00,1,8120
2011-07-18 00:00:00,1,7610
2011-07-25 00:00:00,0,7445
2011-08-01 00:00:00,2,8169
2011-08-08 00:00:00,2,8620
2011-08-15 00:00:00,6,9625
2011-08-22 00:00:00,7,10001
2011-08-29 00:00:00,15,10571
2011-09-05 00:00:00,15,8349
2011-09-12 00:00:00,33,11720
2011-09-19 00:00:00,38,10538
2011-09-26 00:00:00,44,10310
2011-10-03 00:00:00,50,11558
2011-10-10 00:00:00,47,11761
2011-10-17 00:00:00,44,11469
2011-10-24 00:00:00,62,11353
2011-10-31 00:00:00,60,12466
2011-11-07 00:00:00,99,12495
2011-11-14 00:00:00,57,10550
2011-11-21 00:00:00,63,7104
2011-11-28 00:00:00,65,11659
2011-12-05 00:00:00,106,10948
2011-12-12 00:00:00,52,9328
2011-12-19 00:00:00,36,7203
2011-12-26 00:00:00,45,5163
2012-01-08 00:00:00,68,9269
2012-01-09 00:00:00,85,11600
2012-01-16 00:00:00,125,11091
2012-01-23 00:00:00,154,12884
2012-01-30 00:00:00,111,13249
2012-02-06 00:00:00,145,11911
2012-02-13 00:00:00,196,12805
2012-02-20 00:00:00,224,13040
2012-02-27 00:00:00,215,12580
2012-03-05 00:00:00,204,11404
2012-03-12 00:00:00,322,12028
2012-03-19 00:00:00,194,11784
2012-03-26 00:00:00,109,12505
2012-04-02 00:00:00,75,10396
2012-04-09 00:00:00,117,12415
2012-04-16 00:00:00,52,11822
2012-04-23 00:00:00,54,11608
2012-04-30 00:00:00,79,10873
2012-05-07 00:00:00,32,10096
2012-05-14 00:00:00,44,9184
2012-05-21 00:00:00,61,10285
2012-05-28 00:00:00,42,8746
2012-06-04 00:00:00,43,9682
2012-06-11 00:00:00,6,8824
2012-06-18 00:00:00,56,9593
2012-06-25 00:00:00,44,8436
2012-07-02 00:00:00,32,7498
2012-07-09 00:00:00,5,8460
2012-07-16 00:00:00,0,8327
2012-07-23 00:00:00,21,8843
2012-07-30 00:00:00,5,7960
2012-08-06 00:00:00,3,7903
2012-08-13 00:00:00,46,10320
2012-08-20 00:00:00,30,11126
2012-08-27 00:00:00,29,10637
2012-09-03 00:00:00,79,10501
2012-09-10 00:00:00,15,12058
2012-09-17 00:00:00,33,12400
2012-09-24 00:00:00,41,12325
2012-10-01 00:00:00,44,10989
2012-10-08 00:00:00,50,10157
2012-10-15 00:00:00,118,10441
2012-10-22 00:00:00,108,11417
2012-10-29 00:00:00,131,11509
2012-11-05 00:00:00,172,11672
2012-11-12 00:00:00,183,9775
2012-11-19 00:00:00,338,7608
2012-11-26 00:00:00,416,13277
2012-12-03 00:00:00,716,13197
2012-12-10 00:00:00,597,9854
2012-12-17 00:00:00,517,8422
2012-12-24 00:00:00,406,4874
2013-01-08 00:00:00,556,8074
2013-01-14 00:00:00,522,12639
2013-01-21 00:00:00,322,10824
2013-01-28 00:00:00,175,9543
2013-02-04 00:00:00,306,11439
2013-02-11 00:00:00,253,11445
2013-02-18 00:00:00,363,12435
2013-02-25 00:00:00,221,11493
2013-03-04 00:00:00,175,10713
2013-03-11 00:00:00,287,10409
2013-03-18 00:00:00,166,10018
2013-03-25 00:00:00,153,10946
2013-04-01 00:00:00,144,9245
2013-04-08 00:00:00,107,11767
2013-04-15 00:00:00,95,10477
2013-04-22 00:00:00,51,10351
2013-04-29 00:00:00,52,10560
2013-05-06 00:00:00,27,9758
2013-05-13 00:00:00,16,7798
2013-05-20 00:00:00,10,7133
2013-05-27 00:00:00,7,7735
2013-06-03 00:00:00,6,6633
2013-06-10 00:00:00,4,8449
2013-06-17 00:00:00,10,8511
2013-06-24 00:00:00,7,7649
2013-07-01 00:00:00,3,8157
2013-07-08 00:00:00,0,5845
2013-07-15 00:00:00,1,8806
2013-07-22 00:00:00,1,8877
2013-07-29 00:00:00,2,9027
2013-08-05 00:00:00,2,8999
2013-08-12 00:00:00,2,8643
2013-08-19 00:00:00,5,8472
2013-08-26 00:00:00,10,10376
2013-09-02 00:00:00,17,10731
2013-09-09 00:00:00,5,9782
2013-09-16 00:00:00,16,10691
2013-09-23 00:00:00,18,10713
2013-09-30 00:00:00,27,10550
2013-10-07 00:00:00,30,10240
2013-10-14 00:00:00,26,10596
2013-10-21 00:00:00,30,9274
2013-10-28 00:00:00,27,10354
2013-11-04 00:00:00,33,11196
2013-11-11 00:00:00,44,11890
2013-11-18 00:00:00,56,11365
2013-11-25 00:00:00,94,10810
2013-12-02 00:00:00,69,6003
2013-12-09 00:00:00,176,10082
2013-12-16 00:00:00,172,9988
2013-12-23 00:00:00,282,8834
2013-12-30 00:00:00,335,4589
2014-01-08 00:00:00,361,5501
2014-01-13 00:00:00,525,9236
2014-01-20 00:00:00,573,11259
2014-01-27 00:00:00,392,9281
2014-02-03 00:00:00,316,9755
2014-02-10 00:00:00,301,9623
2014-02-17 00:00:00,210,9089
2014-02-24 00:00:00,145,9644
2014-03-03 00:00:00,148,10680
2014-03-10 00:00:00,150,9148
2014-03-17 00:00:00,94,9046
2014-03-24 00:00:00,109,9512
2014-03-31 00:00:00,119,9746
2014-04-07 00:00:00,40,9845
2014-04-14 00:00:00,43,10442
2014-04-21 00:00:00,17,8971
2014-04-28 00:00:00,20,9898
2014-05-05 00:00:00,14,9549
2014-05-12 00:00:00,14,8878
2014-05-19 00:00:00,10,7660
2014-05-26 00:00:00,12,8260
2014-06-02 00:00:00,6,6771
2014-06-09 00:00:00,7,7663
2014-06-16 00:00:00,6,7788
2014-06-23 00:00:00,4,7475
2014-06-30 00:00:00,3,8235
2014-07-07 00:00:00,4,6513
2014-07-14 00:00:00,3,8381
2014-07-21 00:00:00,2,8697
2014-07-28 00:00:00,2,8058
2014-08-04 00:00:00,7,8292
2014-08-11 00:00:00,9,7379
2014-08-18 00:00:00,4,8781
2014-08-25 00:00:00,15,9986
2014-09-01 00:00:00,15,10569
2014-09-08 00:00:00,16,8911
2014-09-15 00:00:00,20,11424
2014-09-22 00:00:00,21,10375
2014-09-29 00:00:00,14,10351
2014-10-06 00:00:00,23,9761
2014-10-13 00:00:00,49,10464
2014-10-20 00:00:00,47,8662
2014-10-27 00:00:00,83,10556
2014-11-03 00:00:00,87,10380
2014-11-10 00:00:00,109,10587
2014-11-17 00:00:00,99,10304
2014-11-24 00:00:00,93,10983
2014-12-01 00:00:00,78,6489
2014-12-08 00:00:00,225,10744
2014-12-15 00:00:00,341,10639
2014-12-22 00:00:00,349,7682
2014-12-29 00:00:00,398,4955
2015-01-05 00:00:00,428,6310
2015-01-08 00:00:00,560,9649
2015-01-12 00:00:00,344,10723
2015-01-19 00:00:00,385,10221
2015-01-26 00:00:00,446,11090
2015-02-02 00:00:00,390,10630
2015-02-09 00:00:00,237,10351
2015-02-16 00:00:00,87,5786
2015-02-23 00:00:00,89,7418
2015-03-02 00:00:00,170,8727
2015-03-09 00:00:00,67,8703
2015-03-16 00:00:00,79,8566
2015-03-23 00:00:00,55,8761
2015-03-30 00:00:00,44,7983
2015-04-06 00:00:00,37,8936
2015-04-13 00:00:00,34,8754
2015-04-20 00:00:00,22,8164
2015-04-27 00:00:00,25,8689
2015-05-04 00:00:00,21,7991
2015-05-11 00:00:00,82,8332
2015-05-18 00:00:00,66,7265
2015-05-25 00:00:00,61,6421
2015-06-01 00:00:00,49,8224
2015-06-08 00:00:00,6,7924
2015-06-15 00:00:00,5,7425
2015-06-22 00:00:00,12,6831
2015-06-29 00:00:00,10,6688
2015-07-06 00:00:00,4,7385
2015-07-13 00:00:00,11,7232
2015-07-20 00:00:00,7,7409
2015-07-27 00:00:00,8,7816
2015-08-03 00:00:00,10,7805
2015-08-10 00:00:00,16,8249
2015-08-17 00:00:00,20,9574
2015-08-24 00:00:00,29,9931
2015-08-31 00:00:00,45,10234
2015-09-07 00:00:00,52,8866
2015-09-14 00:00:00,68,10670
2015-09-21 00:00:00,61,10218
2015-09-28 00:00:00,39,9484
2015-10-05 00:00:00,72,9801
2015-10-12 00:00:00,49,8102
2015-10-19 00:00:00,76,10028
2015-10-26 00:00:00,54,8405
2015-11-02 00:00:00,79,11302
2015-11-09 00:00:00,60,10208
2015-11-16 00:00:00,110,11710
2015-11-23 00:00:00,86,6959
2015-11-30 00:00:00,87,9129
2015-12-07 00:00:00,109,7403
2015-12-14 00:00:00,100,8272
2015-12-21 00:00:00,61,4967
2015-12-28 00:00:00,52,4512
2016-01-08 00:00:00,112,9093
2016-01-11 00:00:00,152,8370
2016-01-18 00:00:00,121,6445
2016-01-25 00:00:00,134,10082
2016-02-01 00:00:00,176,10254
2016-02-08 00:00:00,149,9117
2016-02-15 00:00:00,284,9114
2016-02-22 00:00:00,358,10725
2016-02-29 00:00:00,361,10838
2016-03-07 00:00:00,396,10931
2016-03-14 00:00:00,184,8357
2016-03-21 00:00:00,210,7505
2016-03-28 00:00:00,295,10176
2016-04-04 00:00:00,200,10647
2016-04-11 00:00:00,249,10088
2016-04-18 00:00:00,230,10687
2016-04-25 00:00:00,249,10037
2016-05-02 00:00:00,211,8792
2016-05-09 00:00:00,138,8157
2016-05-16 00:00:00,158,8274
2016-05-23 00:00:00,147,7274
2016-05-30 00:00:00,155,5892
2016-06-06 00:00:00,142,6304
2016-06-13 00:00:00,130,6495
2016-06-20 00:00:00,90,6591
2016-06-27 00:00:00,88,6407
2016-07-04 00:00:00,48,5486
2016-07-11 00:00:00,86,7463
2016-07-18 00:00:00,51,6482
2016-07-25 00:00:00,82,7741
2016-08-01 00:00:00,53,6848
2016-08-08 00:00:00,120,7538
2016-08-15 00:00:00,103,9139
2016-08-22 00:00:00,150,10540
2016-08-29 00:00:00,92,9346
2016-09-05 00:00:00,15,7056
2016-09-12 00:00:00,124,10268
2016-09-19 00:00:00,146,9796
2016-09-26 00:00:00,151,9128
