date,ILITOTAL,OT
2010-10-04 00:00:00,1050,50844
2010-10-11 00:00:00,1061,50670
2010-10-18 00:00:00,1090,51887
2010-10-25 00:00:00,1117,50622
2010-11-01 00:00:00,1218,51527
2010-11-08 00:00:00,1310,52030
2010-11-15 00:00:00,1121,49906
2010-11-22 00:00:00,964,37096
2010-11-29 00:00:00,1273,49607
2010-12-06 00:00:00,1165,48474
2010-12-13 00:00:00,1350,47519
2010-12-20 00:00:00,1418,36611
2010-12-27 00:00:00,1293,37950
2011-01-08 00:00:00,1524,47440
2011-01-10 00:00:00,1950,48030
2011-01-17 00:00:00,2518,53212
2011-01-24 00:00:00,3381,56973
2011-01-31 00:00:00,3086,46194
2011-02-07 00:00:00,3280,40351
2011-02-14 00:00:00,4821,58329
2011-02-21 00:00:00,3641,54666
2011-02-28 00:00:00,2401,52359
2011-03-07 00:00:00,1784,48475
2011-03-14 00:00:00,1231,43231
2011-03-21 00:00:00,1082,34763
2011-03-28 00:00:00,968,45332
2011-04-04 00:00:00,827,45138
2011-04-11 00:00:00,770,46101
2011-04-18 00:00:00,683,41092
2011-04-25 00:00:00,605,41857
2011-05-02 00:00:00,662,40684
2011-05-09 00:00:00,730,40821
2011-05-16 00:00:00,574,39895
2011-05-23 00:00:00,459,38805
2011-05-30 00:00:00,487,33080
2011-06-06 00:00:00,391,37665
2011-06-13 00:00:00,434,36047
2011-06-20 00:00:00,378,34521
2011-06-27 00:00:00,323,22409
2011-07-04 00:00:00,333,30296
2011-07-11 00:00:00,384,34592
2011-07-18 00:00:00,260,32713
2011-07-25 00:00:00,298,32115
2011-08-01 00:00:00,317,33473
2011-08-08 00:00:00,302,36805
2011-08-15 00:00:00,372,38515
2011-08-22 00:00:00,388,38353
2011-08-29 00:00:00,550,38352
2011-09-05 00:00:00,557,32200
2011-09-12 00:00:00,591,35643
2011-09-19 00:00:00,568,35448
2011-09-26 00:00:00,510,36050
2011-10-03 00:00:00,772,41347
2011-10-10 00:00:00,692,41222
2011-10-17 00:00:00,792,38842
2011-10-24 00:00:00,833,41091
2011-10-31 00:00:00,768,40940
2011-11-07 00:00:00,876,41949
2011-11-14 00:00:00,915,42117
2011-11-21 00:00:00,722,32601
2011-11-28 00:00:00,802,39772
2011-12-05 00:00:00,608,32112
2011-12-12 00:00:00,781,37428
2011-12-19 00:00:00,779,34181
2011-12-26 00:00:00,713,30692
2012-01-08 00:00:00,745,37727
2012-01-09 00:00:00,859,39846
2012-01-16 00:00:00,923,40004
2012-01-23 00:00:00,899,39868
2012-01-30 00:00:00,1046,41362
2012-02-06 00:00:00,1124,42351
2012-02-13 00:00:00,1241,42015
2012-02-20 00:00:00,1141,35285
2012-02-27 00:00:00,1434,43127
2012-03-05 00:00:00,960,33421
2012-03-12 00:00:00,1278,35563
2012-03-19 00:00:00,1149,41082
2012-03-26 00:00:00,1057,39138
2012-04-02 00:00:00,947,37554
2012-04-09 00:00:00,851,39861
2012-04-16 00:00:00,842,38883
2012-04-23 00:00:00,765,37138
2012-04-30 00:00:00,737,35154
2012-05-07 00:00:00,751,35952
2012-05-14 00:00:00,750,33156
2012-05-21 00:00:00,781,35509
2012-05-28 00:00:00,611,20657
2012-06-04 00:00:00,552,34379
2012-06-11 00:00:00,520,33138
2012-06-18 00:00:00,539,32083
2012-06-25 00:00:00,572,20605
2012-07-02 00:00:00,516,27796
2012-07-09 00:00:00,467,30578
2012-07-16 00:00:00,471,31299
2012-07-23 00:00:00,438,30764
2012-07-30 00:00:00,491,33653
2012-08-06 00:00:00,500,34496
2012-08-13 00:00:00,519,36358
2012-08-20 00:00:00,561,38057
2012-08-27 00:00:00,542,37908
2012-09-03 00:00:00,579,33032
2012-09-10 00:00:00,780,36280
2012-09-17 00:00:00,782,36808
2012-09-24 00:00:00,778,37331
2012-10-01 00:00:00,794,40021
2012-10-08 00:00:00,951,40443
2012-10-15 00:00:00,768,39486
2012-10-22 00:00:00,981,38436
2012-10-29 00:00:00,1080,38768
2012-11-05 00:00:00,1314,40968
2012-11-12 00:00:00,1269,39354
2012-11-19 00:00:00,1644,31850
2012-11-26 00:00:00,1692,42689
2012-12-03 00:00:00,2229,42716
2012-12-10 00:00:00,2524,41809
2012-12-17 00:00:00,3327,41627
2012-12-24 00:00:00,2924,30162
2013-01-08 00:00:00,3023,36652
2013-01-14 00:00:00,3518,46197
2013-01-21 00:00:00,3430,44615
2013-01-28 00:00:00,3284,43281
2013-02-04 00:00:00,2367,40552
2013-02-11 00:00:00,1822,39345
2013-02-18 00:00:00,1514,37990
2013-02-25 00:00:00,1247,38516
2013-03-04 00:00:00,1272,38624
2013-03-11 00:00:00,1350,39871
2013-03-18 00:00:00,1028,33481
2013-03-25 00:00:00,1042,38868
