date,ILITOTAL,OT
2010-10-04 00:00:00,43,5751
2010-10-11 00:00:00,29,7057
2010-10-18 00:00:00,36,8171
2010-10-25 00:00:00,46,6085
2010-11-01 00:00:00,54,8284
2010-11-08 00:00:00,40,6025
2010-11-15 00:00:00,53,5838
2010-11-22 00:00:00,37,4976
2010-11-29 00:00:00,66,7873
2010-12-06 00:00:00,89,7640
2010-12-13 00:00:00,78,6993
2010-12-20 00:00:00,43,3883
2010-12-27 00:00:00,42,3853
2011-01-08 00:00:00,37,7116
2011-01-10 00:00:00,58,2233
2011-01-17 00:00:00,143,6688
2011-01-24 00:00:00,48,5361
2011-01-31 00:00:00,133,6546
2011-02-07 00:00:00,299,10281
2011-02-14 00:00:00,152,6192
2011-02-21 00:00:00,90,4764
2011-02-28 00:00:00,66,5574
2011-03-07 00:00:00,154,8119
2011-03-14 00:00:00,142,9274
2011-03-21 00:00:00,123,10082
2011-03-28 00:00:00,98,7705
2011-04-04 00:00:00,54,7178
2011-04-11 00:00:00,75,7784
2011-04-18 00:00:00,40,6902
2011-04-25 00:00:00,17,6591
2011-05-02 00:00:00,26,8190
2011-05-09 00:00:00,26,7800
2011-05-16 00:00:00,31,8503
2011-05-23 00:00:00,17,6217
2011-05-30 00:00:00,10,4815
2011-06-06 00:00:00,16,5110
2011-06-13 00:00:00,17,6213
2011-06-20 00:00:00,12,5882
2011-06-27 00:00:00,23,5629
2011-07-04 00:00:00,17,3532
2011-07-11 00:00:00,5,5797
2011-07-18 00:00:00,14,4395
2011-07-25 00:00:00,8,3843
2011-08-01 00:00:00,4,4704
2011-08-08 00:00:00,12,4596
2011-08-15 00:00:00,11,5028
2011-08-22 00:00:00,14,5119
2011-08-29 00:00:00,17,4919
2011-09-05 00:00:00,14,4316
2011-09-12 00:00:00,18,5802
2011-09-19 00:00:00,99,12932
2011-09-26 00:00:00,103,14198
2011-10-03 00:00:00,244,11998
2011-10-10 00:00:00,287,18097
2011-10-17 00:00:00,273,17353
2011-10-24 00:00:00,292,17798
2011-10-31 00:00:00,352,18010
2011-11-07 00:00:00,383,16511
2011-11-14 00:00:00,363,16515
2011-11-21 00:00:00,388,16343
2011-11-28 00:00:00,332,17294
2011-12-05 00:00:00,297,17258
2011-12-12 00:00:00,343,17735
2011-12-19 00:00:00,343,15522
2011-12-26 00:00:00,381,15902
2012-01-08 00:00:00,406,17069
2012-01-09 00:00:00,428,18036
2012-01-16 00:00:00,372,16097
2012-01-23 00:00:00,422,19157
2012-01-30 00:00:00,542,19475
2012-02-06 00:00:00,566,19412
2012-02-13 00:00:00,589,19295
2012-02-20 00:00:00,629,19402
2012-02-27 00:00:00,629,25129
2012-03-05 00:00:00,618,20107
