date,ILITOTAL,OT
2010-10-04 00:00:00,660,57721
2010-10-11 00:00:00,754,60977
2010-10-18 00:00:00,758,61855
2010-10-25 00:00:00,763,60125
2010-11-01 00:00:00,729,57607
2010-11-08 00:00:00,888,62905
2010-11-15 00:00:00,898,58600
2010-11-22 00:00:00,987,60654
2010-11-29 00:00:00,970,61726
2010-12-06 00:00:00,982,57786
2010-12-13 00:00:00,945,53894
2010-12-20 00:00:00,1260,57381
2010-12-27 00:00:00,1466,61175
2011-01-08 00:00:00,1596,64119
2011-01-10 00:00:00,1835,65278
2011-01-17 00:00:00,2719,68448
2011-01-24 00:00:00,3294,69460
2011-01-31 00:00:00,3859,72151
2011-02-07 00:00:00,3731,72740
2011-02-14 00:00:00,3743,72778
2011-02-21 00:00:00,3184,73043
2011-02-28 00:00:00,2411,69415
2011-03-07 00:00:00,1825,64358
2011-03-14 00:00:00,1561,68804
2011-03-21 00:00:00,1210,65301
2011-03-28 00:00:00,1173,64702
2011-04-04 00:00:00,1028,68000
2011-04-11 00:00:00,722,48569
2011-04-18 00:00:00,774,58721
2011-04-25 00:00:00,635,60064
2011-05-02 00:00:00,672,62644
2011-05-09 00:00:00,705,66245
2011-05-16 00:00:00,709,62220
2011-05-23 00:00:00,617,61739
2011-05-30 00:00:00,629,62193
2011-06-06 00:00:00,580,60114
2011-06-13 00:00:00,548,60150
2011-06-20 00:00:00,458,55290
2011-06-27 00:00:00,452,55265
2011-07-04 00:00:00,444,61333
2011-07-11 00:00:00,357,56725
2011-07-18 00:00:00,353,56413
2011-07-25 00:00:00,369,54767
2011-08-01 00:00:00,320,57113
2011-08-08 00:00:00,355,60282
2011-08-15 00:00:00,409,60376
2011-08-22 00:00:00,396,51117
2011-08-29 00:00:00,427,59040
2011-09-05 00:00:00,488,60971
2011-09-12 00:00:00,601,65598
2011-09-19 00:00:00,714,66060
2011-09-26 00:00:00,833,68658
2011-10-03 00:00:00,840,67252
2011-10-10 00:00:00,927,68447
2011-10-17 00:00:00,897,69938
2011-10-24 00:00:00,909,65470
2011-10-31 00:00:00,938,64590
2011-11-07 00:00:00,1023,66698
2011-11-14 00:00:00,1050,69646
2011-11-21 00:00:00,1009,63057
2011-11-28 00:00:00,1144,68123
2011-12-05 00:00:00,1014,66582
2011-12-12 00:00:00,1116,65565
2011-12-19 00:00:00,1145,65366
2011-12-26 00:00:00,1359,68808
2012-01-08 00:00:00,1264,70227
2012-01-09 00:00:00,946,67689
2012-01-16 00:00:00,1117,66982
2012-01-23 00:00:00,1034,70041
2012-01-30 00:00:00,1128,67086
2012-02-06 00:00:00,1020,68949
2012-02-13 00:00:00,1164,68782
2012-02-20 00:00:00,1163,71193
2012-02-27 00:00:00,1091,70250
2012-03-05 00:00:00,1077,68552
