date,ILITOTAL,OT
2011-10-03 00:00:00,0,0
2011-10-10 00:00:00,0,0
2011-10-17 00:00:00,0,0
2011-10-24 00:00:00,0,0
2011-10-31 00:00:00,0,0
2011-11-07 00:00:00,0,0
2011-11-14 00:00:00,0,0
2011-11-21 00:00:00,0,0
2011-11-28 00:00:00,0,0
2011-12-05 00:00:00,0,0
2011-12-12 00:00:00,0,0
2011-12-19 00:00:00,0,0
2011-12-26 00:00:00,0,0
2012-01-08 00:00:00,0,0
2012-01-09 00:00:00,0,0
2012-01-16 00:00:00,0,0
2012-01-23 00:00:00,0,0
2012-01-30 00:00:00,0,0
2012-02-06 00:00:00,0,0
2012-02-13 00:00:00,0,0
2012-02-20 00:00:00,0,0
2012-02-27 00:00:00,0,0
2012-03-05 00:00:00,0,0
2012-03-12 00:00:00,0,0
2012-03-19 00:00:00,0,0
2012-03-26 00:00:00,0,0
2012-04-02 00:00:00,1,399
2012-04-09 00:00:00,0,384
2012-04-16 00:00:00,2,434
2012-04-23 00:00:00,0,376
2012-04-30 00:00:00,5,347
2012-05-07 00:00:00,0,379
2012-05-14 00:00:00,0,295
2012-05-21 00:00:00,0,423
2012-05-28 00:00:00,5,416
2012-06-04 00:00:00,1,404
2012-06-11 00:00:00,5,471
2012-06-18 00:00:00,6,388
2012-06-25 00:00:00,2,410
2012-07-02 00:00:00,0,366
2012-07-09 00:00:00,2,371
2012-07-16 00:00:00,0,375
2012-07-23 00:00:00,0,399
2012-07-30 00:00:00,2,234
2012-08-06 00:00:00,2,400
2012-08-13 00:00:00,2,314
2012-08-20 00:00:00,1,363
2012-08-27 00:00:00,1,224
2012-09-03 00:00:00,1,219
2012-09-10 00:00:00,0,232
2012-09-17 00:00:00,0,426
2012-09-24 00:00:00,1,427
2012-10-01 00:00:00,1,493
2012-10-08 00:00:00,2,432
2012-10-15 00:00:00,3,512
2012-10-22 00:00:00,2,472
2012-10-29 00:00:00,1,447
2012-11-05 00:00:00,0,494
2012-11-12 00:00:00,1,458
2012-11-19 00:00:00,2,462
2012-11-26 00:00:00,4,495
2012-12-03 00:00:00,2,439
2012-12-10 00:00:00,3,435
2012-12-17 00:00:00,1,413
2012-12-24 00:00:00,0,394
2013-01-08 00:00:00,0,373
2013-01-14 00:00:00,1,389
2013-01-21 00:00:00,4,368
2013-01-28 00:00:00,3,372
2013-02-04 00:00:00,0,352
2013-02-11 00:00:00,3,359
