date,ILITOTAL,OT
2010-10-04 00:00:00,41,2777
2010-10-11 00:00:00,40,2946
2010-10-18 00:00:00,45,3036
2010-10-25 00:00:00,47,3255
2010-11-01 00:00:00,34,2714
2010-11-08 00:00:00,33,2928
2010-11-15 00:00:00,53,2960
2010-11-22 00:00:00,46,2371
2010-11-29 00:00:00,52,3301
2010-12-06 00:00:00,48,4150
2010-12-13 00:00:00,50,3716
2010-12-20 00:00:00,45,2963
2010-12-27 00:00:00,63,3479
2011-01-08 00:00:00,75,4233
2011-01-10 00:00:00,57,3835
2011-01-17 00:00:00,73,4179
2011-01-24 00:00:00,89,4083
2011-01-31 00:00:00,97,3915
2011-02-07 00:00:00,116,4245
2011-02-14 00:00:00,128,3723
2011-02-21 00:00:00,100,3941
2011-02-28 00:00:00,82,3595
2011-03-07 00:00:00,89,3242
2011-03-14 00:00:00,62,2912
2011-03-21 00:00:00,52,3391
2011-03-28 00:00:00,55,3289
2011-04-04 00:00:00,60,3261
2011-04-11 00:00:00,56,2792
2011-04-18 00:00:00,37,2578
2011-04-25 00:00:00,36,2712
2011-05-02 00:00:00,40,2642
2011-05-09 00:00:00,52,2644
2011-05-16 00:00:00,38,2609
2011-05-23 00:00:00,22,1837
2011-05-30 00:00:00,18,1598
2011-06-06 00:00:00,20,1874
2011-06-13 00:00:00,10,1706
2011-06-20 00:00:00,20,1684
2011-06-27 00:00:00,11,1703
2011-07-04 00:00:00,12,1579
2011-07-11 00:00:00,12,1687
2011-07-18 00:00:00,16,1921
2011-07-25 00:00:00,15,1366
2011-08-01 00:00:00,14,1385
2011-08-08 00:00:00,15,1506
2011-08-15 00:00:00,26,1430
2011-08-22 00:00:00,23,1541
2011-08-29 00:00:00,23,1584
2011-09-05 00:00:00,28,1386
2011-09-12 00:00:00,30,1380
2011-09-19 00:00:00,20,1803
2011-09-26 00:00:00,24,1879
2011-10-03 00:00:00,49,3403
2011-10-10 00:00:00,53,3482
2011-10-17 00:00:00,36,3392
2011-10-24 00:00:00,42,3400
2011-10-31 00:00:00,62,3718
2011-11-07 00:00:00,49,3794
2011-11-14 00:00:00,47,4262
2011-11-21 00:00:00,55,2600
2011-11-28 00:00:00,75,4073
2011-12-05 00:00:00,58,3612
2011-12-12 00:00:00,58,3665
2011-12-19 00:00:00,62,2777
2011-12-26 00:00:00,79,2829
2012-01-08 00:00:00,60,2740
2012-01-09 00:00:00,72,2698
2012-01-16 00:00:00,63,3006
2012-01-23 00:00:00,60,3042
2012-01-30 00:00:00,58,3174
2012-02-06 00:00:00,69,3166
2012-02-13 00:00:00,58,3350
2012-02-20 00:00:00,64,2781
2012-02-27 00:00:00,53,2663
2012-03-05 00:00:00,50,2643
2012-03-12 00:00:00,76,2832
2012-03-19 00:00:00,91,3167
2012-03-26 00:00:00,94,3073
2012-04-02 00:00:00,87,3006
2012-04-09 00:00:00,80,3092
2012-04-16 00:00:00,64,2326
2012-04-23 00:00:00,58,2266
2012-04-30 00:00:00,45,2366
2012-05-07 00:00:00,34,1623
2012-05-14 00:00:00,28,1516
2012-05-21 00:00:00,29,1468
2012-05-28 00:00:00,24,1299
2012-06-04 00:00:00,23,1393
2012-06-11 00:00:00,18,1568
2012-06-18 00:00:00,19,1450
2012-06-25 00:00:00,18,1432
2012-07-02 00:00:00,14,1259
2012-07-09 00:00:00,15,1556
2012-07-16 00:00:00,16,1401
2012-07-23 00:00:00,17,1490
2012-07-30 00:00:00,16,1468
2012-08-06 00:00:00,20,1700
2012-08-13 00:00:00,21,1449
2012-08-20 00:00:00,16,932
2012-08-27 00:00:00,20,1711
2012-09-03 00:00:00,25,1556
2012-09-10 00:00:00,19,1530
2012-09-17 00:00:00,31,1584
2012-09-24 00:00:00,31,1831
2012-10-01 00:00:00,40,3051
2012-10-08 00:00:00,34,2728
2012-10-15 00:00:00,36,2777
2012-10-22 00:00:00,31,2841
2012-10-29 00:00:00,34,3421
2012-11-05 00:00:00,34,3286
2012-11-12 00:00:00,33,3357
2012-11-19 00:00:00,25,2195
2012-11-26 00:00:00,52,3978
2012-12-03 00:00:00,49,3742
2012-12-10 00:00:00,95,3659
2012-12-17 00:00:00,119,3433
2012-12-24 00:00:00,121,2323
2013-01-08 00:00:00,128,2848
2013-01-14 00:00:00,180,3501
2013-01-21 00:00:00,203,3980
2013-01-28 00:00:00,194,3595
2013-02-04 00:00:00,185,3113
2013-02-11 00:00:00,166,3053
2013-02-18 00:00:00,159,3132
2013-02-25 00:00:00,94,3086
2013-03-04 00:00:00,110,3085
