date,ILITOTAL,OT
2010-10-04 00:00:00,16,3137
2010-10-11 00:00:00,34,3269
2010-10-18 00:00:00,28,3096
2010-10-25 00:00:00,30,3141
2010-11-01 00:00:00,24,3052
2010-11-08 00:00:00,40,3748
2010-11-15 00:00:00,44,3305
2010-11-22 00:00:00,21,1121
2010-11-29 00:00:00,35,3565
2010-12-06 00:00:00,33,3421
2010-12-13 00:00:00,14,2162
2010-12-20 00:00:00,6,1550
2010-12-27 00:00:00,30,1220
2011-01-08 00:00:00,35,2299
2011-01-10 00:00:00,33,2707
2011-01-17 00:00:00,16,2219
2011-01-24 00:00:00,46,2536
2011-01-31 00:00:00,75,2668
2011-02-07 00:00:00,63,2908
2011-02-14 00:00:00,114,2752
2011-02-21 00:00:00,94,2469
2011-02-28 00:00:00,98,2825
2011-03-07 00:00:00,82,2689
2011-03-14 00:00:00,73,2004
2011-03-21 00:00:00,76,2483
2011-03-28 00:00:00,42,2715
2011-04-04 00:00:00,18,2254
2011-04-11 00:00:00,25,2576
2011-04-18 00:00:00,33,2379
2011-04-25 00:00:00,16,2465
2011-05-02 00:00:00,16,2220
2011-05-09 00:00:00,11,1894
2011-05-16 00:00:00,8,1606
2011-05-23 00:00:00,2,1110
2011-05-30 00:00:00,2,673
2011-06-06 00:00:00,3,903
2011-06-13 00:00:00,1,373
2011-06-20 00:00:00,0,446
2011-06-27 00:00:00,0,495
2011-07-04 00:00:00,0,344
2011-07-11 00:00:00,0,389
2011-07-18 00:00:00,0,477
2011-07-25 00:00:00,0,638
2011-08-01 00:00:00,0,578
2011-08-08 00:00:00,0,647
2011-08-15 00:00:00,0,847
2011-08-22 00:00:00,1,1263
2011-08-29 00:00:00,0,1215
2011-09-05 00:00:00,1,1070
2011-09-12 00:00:00,1,1281
2011-09-19 00:00:00,4,1785
2011-09-26 00:00:00,0,1511
2011-10-03 00:00:00,38,7519
2011-10-10 00:00:00,39,7869
2011-10-17 00:00:00,32,8096
2011-10-24 00:00:00,39,8338
2011-10-31 00:00:00,55,8249
2011-11-07 00:00:00,41,7955
2011-11-14 00:00:00,55,8190
2011-11-21 00:00:00,39,4762
2011-11-28 00:00:00,42,8260
2011-12-05 00:00:00,28,7989
2011-12-12 00:00:00,47,7141
2011-12-19 00:00:00,47,6048
2011-12-26 00:00:00,43,4510
2012-01-08 00:00:00,53,5746
2012-01-09 00:00:00,44,7493
2012-01-16 00:00:00,39,4038
2012-01-23 00:00:00,49,8093
2012-01-30 00:00:00,93,8051
2012-02-06 00:00:00,90,8058
2012-02-13 00:00:00,83,7731
2012-02-20 00:00:00,92,7095
2012-02-27 00:00:00,84,7573
2012-03-05 00:00:00,103,7117
2012-03-12 00:00:00,97,6445
2012-03-19 00:00:00,78,6838
2012-03-26 00:00:00,102,6733
2012-04-02 00:00:00,115,7095
2012-04-09 00:00:00,125,7193
2012-04-16 00:00:00,120,7161
2012-04-23 00:00:00,93,6757
2012-04-30 00:00:00,106,6932
2012-05-07 00:00:00,79,6696
2012-05-14 00:00:00,54,6402
2012-05-21 00:00:00,26,5580
2012-05-28 00:00:00,25,4480
2012-06-04 00:00:00,19,5242
2012-06-11 00:00:00,16,5098
2012-06-18 00:00:00,17,4851
2012-06-25 00:00:00,16,4348
2012-07-02 00:00:00,13,3424
2012-07-09 00:00:00,12,4361
2012-07-16 00:00:00,12,4374
2012-07-23 00:00:00,13,4400
2012-07-30 00:00:00,7,3476
2012-08-06 00:00:00,14,4370
2012-08-13 00:00:00,11,4443
2012-08-20 00:00:00,8,2757
2012-08-27 00:00:00,7,4374
2012-09-03 00:00:00,13,3806
2012-09-10 00:00:00,9,4665
2012-09-17 00:00:00,18,4540
2012-09-24 00:00:00,18,5288
2012-10-01 00:00:00,38,7203
2012-10-08 00:00:00,40,7579
2012-10-15 00:00:00,49,7450
2012-10-22 00:00:00,47,7348
2012-10-29 00:00:00,61,7160
2012-11-05 00:00:00,60,7557
2012-11-12 00:00:00,86,7106
2012-11-19 00:00:00,56,4535
2012-11-26 00:00:00,75,7726
2012-12-03 00:00:00,71,7209
2012-12-10 00:00:00,100,8656
