date,ILITOTAL,OT
2010-10-04 00:00:00,143,8952
2010-10-11 00:00:00,170,10694
2010-10-18 00:00:00,134,8777
2010-10-25 00:00:00,173,9549
2010-11-01 00:00:00,196,10653
2010-11-08 00:00:00,201,9716
2010-11-15 00:00:00,224,11211
2010-11-22 00:00:00,133,7892
2010-11-29 00:00:00,159,11434
2010-12-06 00:00:00,158,9957
2010-12-13 00:00:00,121,8545
2010-12-20 00:00:00,87,7272
2010-12-27 00:00:00,103,7285
2011-01-08 00:00:00,135,10842
2011-01-10 00:00:00,128,10170
2011-01-17 00:00:00,207,10770
2011-01-24 00:00:00,313,10854
2011-01-31 00:00:00,438,12611
2011-02-07 00:00:00,524,13144
2011-02-14 00:00:00,727,14196
2011-02-21 00:00:00,765,14029
2011-02-28 00:00:00,596,13784
2011-03-07 00:00:00,324,12417
2011-03-14 00:00:00,304,11742
2011-03-21 00:00:00,159,11743
2011-03-28 00:00:00,136,10674
2011-04-04 00:00:00,103,10946
2011-04-11 00:00:00,75,10647
2011-04-18 00:00:00,69,9590
2011-04-25 00:00:00,60,9448
2011-05-02 00:00:00,37,8924
2011-05-09 00:00:00,38,9800
2011-05-16 00:00:00,34,10125
2011-05-23 00:00:00,37,9170
2011-05-30 00:00:00,33,8028
2011-06-06 00:00:00,28,7628
2011-06-13 00:00:00,36,7651
2011-06-20 00:00:00,16,8597
2011-06-27 00:00:00,17,7646
2011-07-04 00:00:00,20,5921
2011-07-11 00:00:00,14,7583
2011-07-18 00:00:00,6,6990
2011-07-25 00:00:00,9,6977
2011-08-01 00:00:00,5,6690
2011-08-08 00:00:00,8,6751
2011-08-15 00:00:00,13,7076
2011-08-22 00:00:00,29,6749
2011-08-29 00:00:00,30,7767
2011-09-05 00:00:00,27,7775
2011-09-12 00:00:00,51,8169
2011-09-19 00:00:00,69,7848
2011-09-26 00:00:00,59,8498
2011-10-03 00:00:00,77,11776
2011-10-10 00:00:00,99,13258
2011-10-17 00:00:00,91,12762
2011-10-24 00:00:00,119,14030
2011-10-31 00:00:00,140,14255
2011-11-07 00:00:00,136,14429
2011-11-14 00:00:00,95,12169
2011-11-21 00:00:00,84,10180
2011-11-28 00:00:00,92,12657
2011-12-05 00:00:00,85,12875
2011-12-12 00:00:00,79,13426
2011-12-19 00:00:00,90,11717
2011-12-26 00:00:00,92,9752
2012-01-08 00:00:00,70,11159
2012-01-09 00:00:00,101,13988
2012-01-16 00:00:00,76,12556
2012-01-23 00:00:00,93,13938
2012-01-30 00:00:00,117,14423
2012-02-06 00:00:00,82,13992
2012-02-13 00:00:00,104,13592
2012-02-20 00:00:00,94,11794
2012-02-27 00:00:00,96,13796
2012-03-05 00:00:00,126,13424
2012-03-12 00:00:00,101,13867
2012-03-19 00:00:00,151,13132
2012-03-26 00:00:00,114,12772
2012-04-02 00:00:00,81,10880
2012-04-09 00:00:00,61,11683
2012-04-16 00:00:00,69,11584
2012-04-23 00:00:00,56,12178
2012-04-30 00:00:00,46,10851
