date,ILITOTAL,OT
2010-10-04 00:00:00,32,5056
2010-10-11 00:00:00,21,4766
2010-10-18 00:00:00,23,5206
2010-10-25 00:00:00,22,4487
2010-11-01 00:00:00,25,4412
2010-11-08 00:00:00,23,4964
2010-11-15 00:00:00,36,4834
2010-11-22 00:00:00,17,3399
2010-11-29 00:00:00,29,4884
2010-12-06 00:00:00,20,4781
2010-12-13 00:00:00,15,4811
2010-12-20 00:00:00,62,3798
2010-12-27 00:00:00,60,4099
2011-01-08 00:00:00,39,4837
2011-01-10 00:00:00,51,4786
2011-01-17 00:00:00,105,4443
2011-01-24 00:00:00,152,5245
2011-01-31 00:00:00,145,4957
2011-02-07 00:00:00,167,4945
2011-02-14 00:00:00,125,4805
2011-02-21 00:00:00,107,4516
2011-02-28 00:00:00,106,4636
2011-03-07 00:00:00,71,4632
2011-03-14 00:00:00,46,4153
2011-03-21 00:00:00,34,4415
2011-03-28 00:00:00,44,3932
2011-04-04 00:00:00,35,4179
2011-04-11 00:00:00,21,4072
2011-04-18 00:00:00,23,3996
2011-04-25 00:00:00,14,4033
2011-05-02 00:00:00,7,2773
2011-05-09 00:00:00,18,2600
2011-05-16 00:00:00,10,2354
2011-05-23 00:00:00,4,2397
2011-05-30 00:00:00,4,2195
2011-06-06 00:00:00,4,1972
2011-06-13 00:00:00,6,1840
2011-06-20 00:00:00,5,1787
2011-06-27 00:00:00,2,1943
2011-07-04 00:00:00,3,1760
2011-07-11 00:00:00,4,1592
2011-07-18 00:00:00,3,1590
2011-07-25 00:00:00,2,1650
2011-08-01 00:00:00,2,2104
2011-08-08 00:00:00,3,2470
2011-08-15 00:00:00,5,2172
2011-08-22 00:00:00,4,2591
2011-08-29 00:00:00,6,2275
2011-09-05 00:00:00,9,2140
2011-09-12 00:00:00,10,2588
2011-09-19 00:00:00,18,2522
2011-09-26 00:00:00,12,2729
2011-10-03 00:00:00,24,5384
2011-10-10 00:00:00,20,4597
2011-10-17 00:00:00,44,5683
2011-10-24 00:00:00,43,5602
2011-10-31 00:00:00,40,5005
2011-11-07 00:00:00,40,5594
2011-11-14 00:00:00,38,5847
2011-11-21 00:00:00,24,3963
2011-11-28 00:00:00,35,5543
2011-12-05 00:00:00,29,5323
2011-12-12 00:00:00,22,5289
2011-12-19 00:00:00,21,4677
2011-12-26 00:00:00,25,4473
2012-01-08 00:00:00,37,5112
2012-01-09 00:00:00,35,6012
2012-01-16 00:00:00,42,5499
2012-01-23 00:00:00,49,6018
2012-01-30 00:00:00,66,5676
2012-02-06 00:00:00,44,5261
2012-02-13 00:00:00,56,5153
2012-02-20 00:00:00,70,4834
2012-02-27 00:00:00,90,5392
2012-03-05 00:00:00,85,5399
2012-03-12 00:00:00,99,5337
2012-03-19 00:00:00,48,4705
2012-03-26 00:00:00,82,4561
2012-04-02 00:00:00,65,4137
2012-04-09 00:00:00,37,4226
2012-04-16 00:00:00,33,4562
2012-04-23 00:00:00,42,3967
2012-04-30 00:00:00,21,3943
2012-05-07 00:00:00,14,3831
2012-05-14 00:00:00,10,3697
2012-05-21 00:00:00,15,3478
2012-05-28 00:00:00,12,3171
2012-06-04 00:00:00,15,3708
2012-06-11 00:00:00,4,3547
2012-06-18 00:00:00,5,3884
2012-06-25 00:00:00,3,3451
2012-07-02 00:00:00,5,3150
2012-07-09 00:00:00,1,3545
2012-07-16 00:00:00,1,2735
2012-07-23 00:00:00,2,2770
2012-07-30 00:00:00,1,2941
2012-08-06 00:00:00,5,3015
2012-08-13 00:00:00,3,3117
2012-08-20 00:00:00,2,3085
2012-08-27 00:00:00,4,3045
2012-09-03 00:00:00,9,2601
2012-09-10 00:00:00,6,2878
2012-09-17 00:00:00,6,2906
2012-09-24 00:00:00,9,2737
2012-10-01 00:00:00,27,4805
2012-10-08 00:00:00,39,4872
2012-10-15 00:00:00,36,5133
2012-10-22 00:00:00,34,4918
2012-10-29 00:00:00,38,4926
2012-11-05 00:00:00,28,4489
2012-11-12 00:00:00,19,4637
2012-11-19 00:00:00,29,3238
2012-11-26 00:00:00,75,5439
2012-12-03 00:00:00,137,5020
2012-12-10 00:00:00,150,5018
2012-12-17 00:00:00,314,4795
2012-12-24 00:00:00,208,2905
2013-01-08 00:00:00,169,3707
2013-01-14 00:00:00,336,4666
2013-01-21 00:00:00,245,4923
2013-01-28 00:00:00,231,4151
2013-02-04 00:00:00,176,4564
2013-02-11 00:00:00,128,4339
2013-02-18 00:00:00,122,4250
2013-02-25 00:00:00,93,4044
2013-03-04 00:00:00,62,4525
2013-03-11 00:00:00,42,4317
2013-03-18 00:00:00,29,4278
2013-03-25 00:00:00,29,4033
2013-04-01 00:00:00,18,4048
2013-04-08 00:00:00,18,3849
2013-04-15 00:00:00,16,3716
2013-04-22 00:00:00,11,4063
2013-04-29 00:00:00,2,3520
2013-05-06 00:00:00,6,3824
2013-05-13 00:00:00,8,3686
2013-05-20 00:00:00,1,3458
2013-05-27 00:00:00,2,3032
2013-06-03 00:00:00,8,2842
2013-06-10 00:00:00,0,3327
2013-06-17 00:00:00,3,3372
2013-06-24 00:00:00,1,3133
2013-07-01 00:00:00,1,3145
2013-07-08 00:00:00,1,2619
2013-07-15 00:00:00,0,2525
2013-07-22 00:00:00,2,2382
2013-07-29 00:00:00,0,2165
