date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-09-30 00:00:00,1.22262,1.16668,582,805,2060,754,176569
2002-10-07 00:00:00,1.33344,1.2165,683,872,2267,785,186355
2002-10-14 00:00:00,1.31929,1.13057,642,878,2176,831,192469
2002-10-21 00:00:00,1.49484,1.25246,728,1045,2599,863,207512
2002-10-28 00:00:00,1.47195,1.30237,823,1189,2907,909,223208
2002-11-04 00:00:00,1.58094,1.40551,887,1272,3225,930,229454
2002-11-11 00:00:00,1.49426,1.38437,851,1173,3097,923,223712
2002-11-18 00:00:00,1.40569,1.32563,802,1166,2967,922,223818
2002-11-25 00:00:00,1.6141,1.43475,834,978,2709,918,188814
2002-12-02 00:00:00,1.45967,1.25433,857,1117,3049,937,243078
2002-12-09 00:00:00,1.59896,1.25757,804,1179,2957,928,235136
2002-12-16 00:00:00,2.16697,1.58017,951,1404,3416,908,216179
2002-12-23 00:00:00,2.57842,1.98008,915,937,2857,865,144287
2002-12-30 00:00:00,2.38636,1.90428,1028,1019,3260,879,171193
2003-01-06 00:00:00,1.73621,1.5901,1068,1296,3729,926,234513
2003-01-13 00:00:00,2.06296,1.81559,1154,1798,4204,902,231550
2003-01-20 00:00:00,2.58113,2.41801,1373,2998,5696,927,235566
2003-01-27 00:00:00,2.93909,2.86635,1411,4064,7079,884,246969
2003-02-03 00:00:00,3.22539,3.16662,1606,4447,7782,889,245751
2003-02-10 00:00:00,3.06982,3.0155,1568,4224,7649,903,253656
2003-02-17 00:00:00,3.20044,2.9978,1694,3689,7228,871,241110
2003-02-24 00:00:00,2.44888,2.31957,1336,2583,5606,857,241683
2003-03-03 00:00:00,2.1344,1.94707,1015,2103,4450,839,228549
2003-03-10 00:00:00,1.99866,1.72985,880,1669,3810,835,220250
2003-03-17 00:00:00,1.93849,1.51837,737,1321,2987,795,196724
2003-03-24 00:00:00,1.41293,1.22616,624,1016,2439,775,198913
2003-03-31 00:00:00,1.23472,1.05433,506,846,2028,741,192349
2003-04-07 00:00:00,1.20005,1.07108,569,799,2082,735,194383
2003-04-14 00:00:00,0.910135,0.82612,440,539,1467,669,177577
2003-04-21 00:00:00,0.932265,0.820505,429,508,1445,682,176111
2003-04-28 00:00:00,0.692175,0.630846,275,444,1075,655,170406
2003-05-05 00:00:00,0.669406,0.63935,215,471,1005,613,157191
2003-05-12 00:00:00,0.727705,0.586609,248,283,836,547,142514
2003-05-19 00:00:00,0.717701,0.773024,264,262,740,406,95728
2003-05-26 00:00:00,0.789394,0.790743,213,205,641,393,81063
2003-06-02 00:00:00,0.722129,0.711847,201,195,563,344,79090
2003-06-09 00:00:00,0.591326,0.794637,198,187,620,341,78023
2003-06-16 00:00:00,0.52307,0.586604,139,123,423,322,72110
2003-06-23 00:00:00,0.450236,0.615982,122,124,441,322,71593
2003-06-30 00:00:00,0.397421,0.491507,109,91,318,310,64699
2003-07-07 00:00:00,0.448002,0.604341,137,141,441,308,72972
2003-07-14 00:00:00,0.474767,0.524478,98,98,365,301,69593
2003-07-21 00:00:00,0.453251,0.590692,112,139,420,302,71103
2003-07-28 00:00:00,0.352158,0.505135,100,120,361,290,71466
2003-08-04 00:00:00,0.525322,0.634271,136,125,443,295,69844
2003-08-11 00:00:00,0.492991,0.610118,120,131,421,283,69003
2003-08-18 00:00:00,0.542728,0.641227,159,144,450,277,70178
2003-08-25 00:00:00,0.490347,0.661429,166,155,463,276,70000
2003-09-01 00:00:00,0.735914,0.792681,177,182,519,271,65474
2003-09-08 00:00:00,0.581771,0.639059,145,184,475,267,74328
2003-09-15 00:00:00,0.654162,0.636732,136,183,461,264,72401
2003-09-22 00:00:00,0.749504,0.747829,135,221,533,268,71273
2003-09-29 00:00:00,0.884021,0.960873,808,881,2442,830,254144
2003-10-06 00:00:00,1.02773,1.04325,913,1132,2932,931,281045
2003-10-13 00:00:00,1.28296,1.0545,878,1147,3031,974,287436
2003-10-20 00:00:00,1.32661,1.11231,1006,1369,3475,1007,312412
2003-10-27 00:00:00,1.77304,1.41274,1207,2080,4690,1074,331980
2003-11-03 00:00:00,2.43814,1.72703,1542,2735,5790,1111,335258
2003-11-10 00:00:00,2.72605,2.407,2185,4133,8385,1141,348359
2003-11-17 00:00:00,3.73192,3.10962,2561,5684,11141,1129,358275
2003-11-24 00:00:00,4.54894,4.30779,3247,4933,11742,1118,272576
2003-12-01 00:00:00,5.39906,4.8303,4734,7817,18948,1189,392274
2003-12-08 00:00:00,7.38735,6.42905,6620,11550,24962,1173,388269
2003-12-15 00:00:00,7.48097,6.86734,6434,9851,23699,1148,345097
2003-12-22 00:00:00,7.62797,7.06496,5336,5231,16415,1122,232344
2003-12-29 00:00:00,5.14051,4.55115,3391,2894,11332,1139,248992
