date,ILITOTAL
2002-09-30 00:00:00,2060
2002-10-07 00:00:00,2267
2002-10-14 00:00:00,2176
2002-10-21 00:00:00,2599
2002-10-28 00:00:00,2907
2002-11-04 00:00:00,3225
2002-11-11 00:00:00,3097
2002-11-18 00:00:00,2967
2002-11-25 00:00:00,2709
2002-12-02 00:00:00,3049
2002-12-09 00:00:00,2957
2002-12-16 00:00:00,3416
2002-12-23 00:00:00,2857
2002-12-30 00:00:00,3260
2003-01-06 00:00:00,3729
2003-01-13 00:00:00,4204
2003-01-20 00:00:00,5696
2003-01-27 00:00:00,7079
2003-02-03 00:00:00,7782
2003-02-10 00:00:00,7649
2003-02-17 00:00:00,7228
2003-02-24 00:00:00,5606
2003-03-03 00:00:00,4450
2003-03-10 00:00:00,3810
2003-03-17 00:00:00,2987
2003-03-24 00:00:00,2439
2003-03-31 00:00:00,2028
2003-04-07 00:00:00,2082
2003-04-14 00:00:00,1467
2003-04-21 00:00:00,1445
2003-04-28 00:00:00,1075
2003-05-05 00:00:00,1005
2003-05-12 00:00:00,836
2003-05-19 00:00:00,740
2003-05-26 00:00:00,641
2003-06-02 00:00:00,563
2003-06-09 00:00:00,620
2003-06-16 00:00:00,423
2003-06-23 00:00:00,441
2003-06-30 00:00:00,318
2003-07-07 00:00:00,441
2003-07-14 00:00:00,365
2003-07-21 00:00:00,420
2003-07-28 00:00:00,361
2003-08-04 00:00:00,443
2003-08-11 00:00:00,421
2003-08-18 00:00:00,450
2003-08-25 00:00:00,463
2003-09-01 00:00:00,519
2003-09-08 00:00:00,475
2003-09-15 00:00:00,461
2003-09-22 00:00:00,533
2003-09-29 00:00:00,2442
2003-10-06 00:00:00,2932
2003-10-13 00:00:00,3031
2003-10-20 00:00:00,3475
2003-10-27 00:00:00,4690
2003-11-03 00:00:00,5790
2003-11-10 00:00:00,8385
2003-11-17 00:00:00,11141
2003-11-24 00:00:00,11742
2003-12-01 00:00:00,18948
2003-12-08 00:00:00,24962
2003-12-15 00:00:00,23699
2003-12-22 00:00:00,16415
2003-12-29 00:00:00,11332
2004-01-05 00:00:00,7602
2004-01-12 00:00:00,5583
2004-01-19 00:00:00,4961
2004-01-26 00:00:00,4436
2004-02-02 00:00:00,4251
2004-02-09 00:00:00,3824
2004-02-16 00:00:00,3691
2004-02-23 00:00:00,2916
2004-03-01 00:00:00,2744
2004-03-08 00:00:00,2708
2004-03-15 00:00:00,2487
2004-03-22 00:00:00,2300
2004-03-29 00:00:00,1858
2004-04-05 00:00:00,1705
2004-04-12 00:00:00,1749
2004-04-19 00:00:00,1615
2004-04-26 00:00:00,1331
2004-05-03 00:00:00,1394
2004-05-10 00:00:00,1327
2004-05-17 00:00:00,1262
2004-05-24 00:00:00,1070
2004-05-31 00:00:00,1061
2004-06-07 00:00:00,987
2004-06-14 00:00:00,851
2004-06-21 00:00:00,887
2004-06-28 00:00:00,698
2004-07-05 00:00:00,710
2004-07-12 00:00:00,836
2004-07-19 00:00:00,659
2004-07-26 00:00:00,719
2004-08-02 00:00:00,733
2004-08-09 00:00:00,809
2004-08-16 00:00:00,770
2004-08-23 00:00:00,799
2004-08-30 00:00:00,960
2004-09-06 00:00:00,913
2004-09-13 00:00:00,1122
2004-09-20 00:00:00,1089
2004-09-27 00:00:00,1116
2004-10-04 00:00:00,3171
2004-10-11 00:00:00,3631
2004-10-18 00:00:00,4019
2004-10-25 00:00:00,4369
2004-11-01 00:00:00,4551
2004-11-08 00:00:00,4969
2004-11-15 00:00:00,4983
2004-11-22 00:00:00,4713
2004-11-29 00:00:00,5407
2004-12-06 00:00:00,5428
2004-12-13 00:00:00,5755
2004-12-20 00:00:00,5689
2004-12-27 00:00:00,7279
2005-01-03 00:00:00,8041
2005-01-10 00:00:00,8323
2005-01-17 00:00:00,9328
2005-01-24 00:00:00,12422
2005-01-31 00:00:00,16192
2005-02-07 00:00:00,19369
2005-02-14 00:00:00,19931
2005-02-21 00:00:00,16630
2005-02-28 00:00:00,13234
2005-03-07 00:00:00,11601
2005-03-14 00:00:00,9502
2005-03-21 00:00:00,7900
2005-03-28 00:00:00,6329
2005-04-04 00:00:00,4816
2005-04-11 00:00:00,4445
2005-04-18 00:00:00,3825
2005-04-25 00:00:00,3646
2005-05-02 00:00:00,2990
2005-05-09 00:00:00,3012
2005-05-16 00:00:00,2531
2005-05-23 00:00:00,2056
2005-05-30 00:00:00,2099
2005-06-06 00:00:00,1744
2005-06-13 00:00:00,1614
2005-06-20 00:00:00,1628
2005-06-27 00:00:00,1359
2005-07-04 00:00:00,1198
2005-07-11 00:00:00,1148
2005-07-18 00:00:00,1068
2005-07-25 00:00:00,990
2005-08-01 00:00:00,982
2005-08-08 00:00:00,1023
2005-08-15 00:00:00,928
2005-08-22 00:00:00,922
2005-08-29 00:00:00,1033
2005-09-05 00:00:00,1061
2005-09-12 00:00:00,1026
2005-09-19 00:00:00,1219
