date,ILITOTAL,NUM. OF PROVIDERS,OT
2002-09-30 00:00:00,2060,754,176569
2002-10-07 00:00:00,2267,785,186355
2002-10-14 00:00:00,2176,831,192469
2002-10-21 00:00:00,2599,863,207512
2002-10-28 00:00:00,2907,909,223208
2002-11-04 00:00:00,3225,930,229454
2002-11-11 00:00:00,3097,923,223712
2002-11-18 00:00:00,2967,922,223818
2002-11-25 00:00:00,2709,918,188814
2002-12-02 00:00:00,3049,937,243078
2002-12-09 00:00:00,2957,928,235136
2002-12-16 00:00:00,3416,908,216179
2002-12-23 00:00:00,2857,865,144287
2002-12-30 00:00:00,3260,879,171193
2003-01-06 00:00:00,3729,926,234513
2003-01-13 00:00:00,4204,902,231550
2003-01-20 00:00:00,5696,927,235566
2003-01-27 00:00:00,7079,884,246969
2003-02-03 00:00:00,7782,889,245751
2003-02-10 00:00:00,7649,903,253656
2003-02-17 00:00:00,7228,871,241110
2003-02-24 00:00:00,5606,857,241683
2003-03-03 00:00:00,4450,839,228549
2003-03-10 00:00:00,3810,835,220250
2003-03-17 00:00:00,2987,795,196724
2003-03-24 00:00:00,2439,775,198913
2003-03-31 00:00:00,2028,741,192349
2003-04-07 00:00:00,2082,735,194383
2003-04-14 00:00:00,1467,669,177577
2003-04-21 00:00:00,1445,682,176111
2003-04-28 00:00:00,1075,655,170406
2003-05-05 00:00:00,1005,613,157191
2003-05-12 00:00:00,836,547,142514
2003-05-19 00:00:00,740,406,95728
2003-05-26 00:00:00,641,393,81063
2003-06-02 00:00:00,563,344,79090
2003-06-09 00:00:00,620,341,78023
2003-06-16 00:00:00,423,322,72110
2003-06-23 00:00:00,441,322,71593
2003-06-30 00:00:00,318,310,64699
2003-07-07 00:00:00,441,308,72972
2003-07-14 00:00:00,365,301,69593
2003-07-21 00:00:00,420,302,71103
2003-07-28 00:00:00,361,290,71466
2003-08-04 00:00:00,443,295,69844
2003-08-11 00:00:00,421,283,69003
2003-08-18 00:00:00,450,277,70178
2003-08-25 00:00:00,463,276,70000
2003-09-01 00:00:00,519,271,65474
2003-09-08 00:00:00,475,267,74328
2003-09-15 00:00:00,461,264,72401
2003-09-22 00:00:00,533,268,71273
2003-09-29 00:00:00,2442,830,254144
2003-10-06 00:00:00,2932,931,281045
2003-10-13 00:00:00,3031,974,287436
2003-10-20 00:00:00,3475,1007,312412
2003-10-27 00:00:00,4690,1074,331980
2003-11-03 00:00:00,5790,1111,335258
2003-11-10 00:00:00,8385,1141,348359
2003-11-17 00:00:00,11141,1129,358275
2003-11-24 00:00:00,11742,1118,272576
2003-12-01 00:00:00,18948,1189,392274
2003-12-08 00:00:00,24962,1173,388269
2003-12-15 00:00:00,23699,1148,345097
2003-12-22 00:00:00,16415,1122,232344
2003-12-29 00:00:00,11332,1139,248992
2004-01-05 00:00:00,7602,1160,314349
2004-01-12 00:00:00,5583,1141,308614
2004-01-19 00:00:00,4961,1084,289774
2004-01-26 00:00:00,4436,1071,287586
