date,ILITOTAL,RSV_Region 3_total_patients_total_patients
2019-07-01,8549,440.0
2019-07-08,8422,485.0
2019-07-15,8111,418.0
2019-07-22,7755,426.0
2019-07-29,7874,414.0
2019-08-05,8038,448.0
2019-08-12,8987,414.0
2019-08-19,10096,429.0
2019-08-26,11817,487.0
2019-09-02,13158,578.0
2019-09-09,14831,694.0
2019-09-16,15977,782.0
2019-09-23,17414,810.0
2019-09-30,21915,899.0
2019-10-07,22953,943.0
2019-10-14,24857,1017.0
2019-10-21,27419,1181.0
2019-10-28,28910,1174.0
2019-11-04,34586,1265.0
2019-11-11,37728,1516.0
2019-11-18,44148,1544.0
2019-11-25,43817,1478.0
2019-12-02,48877,1629.0
2019-12-09,56444,1783.0
2019-12-16,71584,1872.0
2019-12-23,95757,2141.0
2019-12-30,88681,2198.0
2020-01-06,75585,2184.0
2020-01-13,79746,2231.0
2020-01-20,90072,2369.0
2020-01-27,108307,2600.0
2020-02-03,111289,2428.0
2020-02-10,95418,2410.0
2020-02-17,79832,2140.0
2020-02-24,74809,2260.0
2020-03-02,78779,2272.0
2020-03-09,89571,3520.0
2020-03-16,78584,4360.0
2020-03-23,53142,3250.0
2020-03-30,36251,1733.0
2020-04-06,24974,832.0
2020-04-13,18265,628.0
2020-04-20,15164,482.0
2020-04-27,12817,364.0
2020-05-04,11066,315.0
2020-05-11,10480,324.0
2020-05-18,11735,405.0
2020-05-25,9614,311.0
2020-06-01,9325,315.0
2020-06-08,9580,345.0
2020-06-15,11866,281.0
2020-06-22,15499,299.0
2020-06-29,17843,340.0
2020-07-06,20046,370.0
2020-07-13,19260,333.0
2020-07-20,16533,394.0
2020-07-27,15524,323.0
2020-08-03,14117,345.0
2020-08-10,13193,380.0
2020-08-17,12952,330.0
2020-08-24,13159,341.0
2020-08-31,12316,393.0
2020-09-07,13035,404.0
2020-09-14,13049,474.0
2020-09-21,14586,520.0
2020-09-28,16466,677.0
2020-10-05,19144,653.0
2020-10-12,17235,636.0
2020-10-19,18133,683.0
2020-10-26,18554,718.0
2020-11-02,21370,783.0
