date,ILITOTAL,RSV_Region 3_total_patients_total_patients,RSV_Region 10_total_patients_total_patients
2019-07-01,8549,440.0,410.0
2019-07-08,8422,485.0,394.0
2019-07-15,8111,418.0,359.0
2019-07-22,7755,426.0,302.0
2019-07-29,7874,414.0,363.0
2019-08-05,8038,448.0,271.0
2019-08-12,8987,414.0,266.0
2019-08-19,10096,429.0,267.0
2019-08-26,11817,487.0,287.0
2019-09-02,13158,578.0,311.0
2019-09-09,14831,694.0,447.0
2019-09-16,15977,782.0,547.0
2019-09-23,17414,810.0,1079.0
2019-09-30,21915,899.0,1395.0
2019-10-07,22953,943.0,1859.0
2019-10-14,24857,1017.0,1745.0
2019-10-21,27419,1181.0,1731.0
2019-10-28,28910,1174.0,1827.0
2019-11-04,34586,1265.0,1864.0
2019-11-11,37728,1516.0,1960.0
2019-11-18,44148,1544.0,2154.0
2019-11-25,43817,1478.0,2311.0
2019-12-02,48877,1629.0,2943.0
2019-12-09,56444,1783.0,3744.0
2019-12-16,71584,1872.0,4556.0
2019-12-23,95757,2141.0,4678.0
2019-12-30,88681,2198.0,4871.0
2020-01-06,75585,2184.0,4282.0
2020-01-13,79746,2231.0,3931.0
2020-01-20,90072,2369.0,4040.0
2020-01-27,108307,2600.0,3935.0
2020-02-03,111289,2428.0,3742.0
2020-02-10,95418,2410.0,3661.0
2020-02-17,79832,2140.0,3425.0
2020-02-24,74809,2260.0,4146.0
2020-03-02,78779,2272.0,5340.0
2020-03-09,89571,3520.0,6711.0
2020-03-16,78584,4360.0,4614.0
2020-03-23,53142,3250.0,3671.0
2020-03-30,36251,1733.0,2316.0
2020-04-06,24974,832.0,1733.0
2020-04-13,18265,628.0,1147.0
2020-04-20,15164,482.0,1057.0
2020-04-27,12817,364.0,753.0
2020-05-04,11066,315.0,684.0
2020-05-11,10480,324.0,615.0
2020-05-18,11735,405.0,497.0
2020-05-25,9614,311.0,401.0
2020-06-01,9325,315.0,393.0
2020-06-08,9580,345.0,334.0
2020-06-15,11866,281.0,352.0
2020-06-22,15499,299.0,281.0
2020-06-29,17843,340.0,318.0
2020-07-06,20046,370.0,331.0
2020-07-13,19260,333.0,308.0
2020-07-20,16533,394.0,216.0
2020-07-27,15524,323.0,218.0
2020-08-03,14117,345.0,181.0
2020-08-10,13193,380.0,232.0
2020-08-17,12952,330.0,286.0
2020-08-24,13159,341.0,240.0
2020-08-31,12316,393.0,210.0
2020-09-07,13035,404.0,235.0
2020-09-14,13049,474.0,358.0
2020-09-21,14586,520.0,387.0
2020-09-28,16466,677.0,570.0
2020-10-05,19144,653.0,777.0
2020-10-12,17235,636.0,793.0
2020-10-19,18133,683.0,903.0
2020-10-26,18554,718.0,993.0
2020-11-02,21370,783.0,1600.0
2020-11-09,22598,933.0,2130.0
2020-11-16,22709,928.0,2747.0
2020-11-23,21313,973.0,2612.0
2020-11-30,22251,1126.0,3020.0
2020-12-07,22103,1240.0,2744.0
2020-12-14,20874,995.0,2643.0
2020-12-21,19836,977.0,2487.0
2020-12-28,22423,1108.0,2741.0
2021-01-04,22711,1152.0,2831.0
2021-01-11,19018,1043.0,2728.0
2021-01-18,18350,1038.0,2602.0
2021-01-25,16896,980.0,2750.0
2021-02-01,16098,1000.0,2706.0
2021-02-08,14079,801.0,1565.0
2021-02-15,12591,775.0,2272.0
2021-02-22,13344,1009.0,2304.0
2021-03-01,13000,1054.0,2150.0
2021-03-08,14077,882.0,1992.0
2021-03-15,14574,1523.0,1897.0
2021-03-22,15354,1457.0,2101.0
2021-03-29,15993,1984.0,2026.0
2021-04-05,18100,1001.0,2043.0
2021-04-12,19165,1094.0,2176.0
2021-04-19,19305,990.0,2373.0
2021-04-26,20099,984.0,2194.0
2021-05-03,19930,966.0,2179.0
2021-05-10,20367,850.0,2213.0
2021-05-17,21262,921.0,2027.0
2021-05-24,19675,863.0,1651.0
2021-05-31,20143,895.0,1861.0
2021-06-07,19182,898.0,1670.0
2021-06-14,19579,1161.0,1700.0
2021-06-21,19890,1067.0,1662.0
2021-06-28,20092,875.0,1010.0
2021-07-05,22371,889.0,1675.0
2021-07-12,25261,913.0,1727.0
2021-07-19,30545,1108.0,1911.0
2021-07-26,35195,1190.0,2278.0
2021-08-02,37756,1157.0,2603.0
2021-08-09,40067,1251.0,2655.0
2021-08-16,42721,1350.0,2839.0
2021-08-23,43058,1463.0,2725.0
2021-08-30,40864,1460.0,2775.0
2021-09-06,39421,1568.0,2752.0
2021-09-13,36193,1728.0,3124.0
2021-09-20,33976,1701.0,3451.0
2021-09-27,29949,1775.0,3366.0
2021-10-04,39535,1928.0,3544.0
2021-10-11,37638,1886.0,4188.0
2021-10-18,35714,2094.0,4086.0
2021-10-25,36639,1371.0,4046.0
2021-11-01,40030,1843.0,4103.0
2021-11-08,44163,1830.0,4406.0
2021-11-15,47076,2449.0,4315.0
2021-11-22,43324,2449.0,4547.0
2021-11-29,52729,2551.0,5340.0
2021-12-06,55069,3190.0,5384.0
2021-12-13,62545,3817.0,4628.0
2021-12-20,79225,4358.0,6316.0
2021-12-27,113862,4292.0,7212.0
2022-01-03,93262,3305.0,8311.0
2022-01-10,69183,3044.0,6794.0
2022-01-17,48498,2306.0,5345.0
2022-01-24,34810,2072.0,5328.0
2022-01-31,25831,1751.0,3898.0
2022-02-07,23731,1593.0,2900.0
2022-02-14,23946,1555.0,2821.0
2022-02-21,23609,1690.0,2641.0
2022-02-28,25801,1652.0,3329.0
2022-03-07,28077,1922.0,3168.0
2022-03-14,31359,1811.0,3136.0
2022-03-21,32423,1942.0,3551.0
2022-03-28,34822,1935.0,3620.0
2022-04-04,38144,2132.0,3544.0
2022-04-11,40966,2272.0,3812.0
2022-04-18,42086,2176.0,3299.0
2022-04-25,43420,2159.0,3645.0
2022-05-02,47799,2187.0,4028.0
2022-05-09,52025,2349.0,4462.0
2022-05-16,54081,2403.0,4379.0
2022-05-23,52385,2267.0,4434.0
2022-05-30,51863,2252.0,4242.0
2022-06-06,45240,2213.0,5331.0
2022-06-13,40250,1729.0,3895.0
2022-06-20,37830,1772.0,3808.0
2022-06-27,34566,1365.0,3151.0
2022-07-04,34983,2044.0,3625.0
2022-07-11,33011,1945.0,3254.0
2022-07-18,32611,1858.0,3202.0
2022-07-25,32040,1770.0,3253.0
2022-08-01,29641,1758.0,2740.0
2022-08-08,28642,1719.0,3122.0
2022-08-15,31572,1620.0,2959.0
2022-08-22,35787,1704.0,1940.0
2022-08-29,37513,1735.0,2509.0
2022-09-05,38334,2201.0,2549.0
2022-09-12,39838,2094.0,2911.0
2022-09-19,44726,2317.0,3529.0
2022-09-26,46321,2468.0,4455.0
