date,ILITOTAL,RSV_Region 3_total_patients_total_patients,RSV_Region 10_total_patients_total_patients,RSV_Region 5_total_patients_total_patients,Adenovirus_Region 10_total_patients_total_patients
2019-07-01,8549,440.0,410.0,1593.0,277.0
2019-07-08,8422,485.0,394.0,1585.0,303.0
2019-07-15,8111,418.0,359.0,1534.0,269.0
2019-07-22,7755,426.0,302.0,1480.0,254.0
2019-07-29,7874,414.0,363.0,1457.0,274.0
2019-08-05,8038,448.0,271.0,1590.0,210.0
2019-08-12,8987,414.0,266.0,1482.0,200.0
2019-08-19,10096,429.0,267.0,1463.0,193.0
2019-08-26,11817,487.0,287.0,1724.0,213.0
2019-09-02,13158,578.0,311.0,1954.0,161.0
2019-09-09,14831,694.0,447.0,2537.0,299.0
2019-09-16,15977,782.0,547.0,2662.0,362.0
2019-09-23,17414,810.0,1079.0,2903.0,462.0
2019-09-30,21915,899.0,1395.0,3274.0,553.0
2019-10-07,22953,943.0,1859.0,3650.0,644.0
2019-10-14,24857,1017.0,1745.0,3784.0,626.0
2019-10-21,27419,1181.0,1731.0,4153.0,642.0
2019-10-28,28910,1174.0,1827.0,4474.0,637.0
2019-11-04,34586,1265.0,1864.0,4693.0,661.0
2019-11-11,37728,1516.0,1960.0,4616.0,751.0
2019-11-18,44148,1544.0,2154.0,5191.0,835.0
2019-11-25,43817,1478.0,2311.0,5349.0,865.0
2019-12-02,48877,1629.0,2943.0,6403.0,1072.0
2019-12-09,56444,1783.0,3744.0,6980.0,1274.0
2019-12-16,71584,1872.0,4556.0,8550.0,1492.0
2019-12-23,95757,2141.0,4678.0,10393.0,1323.0
2019-12-30,88681,2198.0,4871.0,10973.0,1355.0
2020-01-06,75585,2184.0,4282.0,10122.0,1315.0
2020-01-13,79746,2231.0,3931.0,10212.0,1244.0
2020-01-20,90072,2369.0,4040.0,10794.0,1281.0
2020-01-27,108307,2600.0,3935.0,11069.0,1276.0
2020-02-03,111289,2428.0,3742.0,12222.0,1220.0
2020-02-10,95418,2410.0,3661.0,11946.0,1255.0
2020-02-17,79832,2140.0,3425.0,11791.0,1094.0
2020-02-24,74809,2260.0,4146.0,11660.0,1434.0
2020-03-02,78779,2272.0,5340.0,11513.0,1841.0
2020-03-09,89571,3520.0,6711.0,14019.0,1375.0
2020-03-16,78584,4360.0,4614.0,17982.0,887.0
2020-03-23,53142,3250.0,3671.0,10509.0,995.0
2020-03-30,36251,1733.0,2316.0,8224.0,665.0
2020-04-06,24974,832.0,1733.0,4758.0,633.0
2020-04-13,18265,628.0,1147.0,3258.0,418.0
2020-04-20,15164,482.0,1057.0,2893.0,425.0
2020-04-27,12817,364.0,753.0,2316.0,338.0
2020-05-04,11066,315.0,684.0,2012.0,262.0
2020-05-11,10480,324.0,615.0,1974.0,284.0
2020-05-18,11735,405.0,497.0,1628.0,265.0
2020-05-25,9614,311.0,401.0,1450.0,209.0
2020-06-01,9325,315.0,393.0,1657.0,224.0
2020-06-08,9580,345.0,334.0,1629.0,184.0
2020-06-15,11866,281.0,352.0,1720.0,183.0
2020-06-22,15499,299.0,281.0,1881.0,180.0
2020-06-29,17843,340.0,318.0,1821.0,170.0
2020-07-06,20046,370.0,331.0,2288.0,185.0
2020-07-13,19260,333.0,308.0,2765.0,191.0
2020-07-20,16533,394.0,216.0,2906.0,153.0
2020-07-27,15524,323.0,218.0,2705.0,152.0
2020-08-03,14117,345.0,181.0,1301.0,141.0
2020-08-10,13193,380.0,232.0,2132.0,176.0
2020-08-17,12952,330.0,286.0,1982.0,233.0
2020-08-24,13159,341.0,240.0,2048.0,194.0
2020-08-31,12316,393.0,210.0,2067.0,190.0
2020-09-07,13035,404.0,235.0,2136.0,202.0
2020-09-14,13049,474.0,358.0,2111.0,268.0
2020-09-21,14586,520.0,387.0,2546.0,305.0
2020-09-28,16466,677.0,570.0,2545.0,320.0
2020-10-05,19144,653.0,777.0,3188.0,402.0
2020-10-12,17235,636.0,793.0,3142.0,365.0
2020-10-19,18133,683.0,903.0,3319.0,441.0
2020-10-26,18554,718.0,993.0,3507.0,431.0
2020-11-02,21370,783.0,1600.0,4198.0,486.0
2020-11-09,22598,933.0,2130.0,4005.0,519.0
2020-11-16,22709,928.0,2747.0,4582.0,544.0
2020-11-23,21313,973.0,2612.0,4526.0,475.0
2020-11-30,22251,1126.0,3020.0,4740.0,460.0
2020-12-07,22103,1240.0,2744.0,4861.0,399.0
2020-12-14,20874,995.0,2643.0,4292.0,406.0
