date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value
2019-07-06,8549.0,433
2019-07-13,8422.0,477
2019-07-20,8111.0,416
2019-07-27,7755.0,425
2019-08-03,7874.0,414
2019-08-10,8038.0,447
2019-08-17,8987.0,411
2019-08-24,10096.0,426
2019-08-31,11817.0,486
2019-09-07,13158.0,576
2019-09-14,14831.0,688
2019-09-21,15977.0,779
2019-09-28,17414.0,803
2019-10-05,21915.0,884
2019-10-12,22953.0,919
2019-10-19,24857.0,997
2019-10-26,27419.0,1128
2019-11-02,28910.0,1115
2019-11-09,34586.0,1174
2019-11-16,37728.0,1366
2019-11-23,44148.0,1394
2019-11-30,43817.0,1254
2019-12-07,48877.0,1384
2019-12-14,56444.0,1496
2019-12-21,71584.0,1545
2019-12-28,95757.0,1771
2020-01-04,88681.0,1796
2020-01-11,75585.0,1891
2020-01-18,79746.0,1960
2020-01-25,90072.0,2139
2020-02-01,108307.0,2395
2020-02-08,111289.0,2275
2020-02-15,95418.0,2308
2020-02-22,79832.0,2040
2020-02-29,74809.0,2194
2020-03-07,78779.0,2210
2020-03-14,89571.0,3425
2020-03-21,78584.0,4257
2020-03-28,53142.0,3195
2020-04-04,36251.0,1712
2020-04-11,24974.0,828
2020-04-18,18265.0,621
2020-04-25,15164.0,480
2020-05-02,12817.0,363
2020-05-09,11066.0,315
2020-05-16,10480.0,324
2020-05-23,11735.0,405
2020-05-30,9614.0,310
2020-06-06,9325.0,314
2020-06-13,9580.0,344
2020-06-20,11866.0,280
2020-06-27,15499.0,297
2020-07-04,17843.0,340
2020-07-11,20046.0,370
2020-07-18,19260.0,333
2020-07-25,16533.0,394
2020-08-01,15524.0,323
2020-08-08,14117.0,345
2020-08-15,13193.0,380
2020-08-22,12952.0,329
2020-08-29,13159.0,341
2020-09-05,12316.0,393
2020-09-12,13035.0,404
2020-09-19,13049.0,474
2020-09-26,14586.0,520
2020-10-03,16466.0,677
2020-10-10,19144.0,653
2020-10-17,17235.0,635
2020-10-24,18133.0,683
2020-10-31,18554.0,716
2020-11-07,21370.0,782
2020-11-14,22598.0,933
2020-11-21,22709.0,928
2020-11-28,21313.0,973
2020-12-05,22251.0,1124
2020-12-12,22103.0,1234
2020-12-19,20874.0,994
2020-12-26,19836.0,977
2021-01-02,22423.0,1107
2021-01-09,22711.0,1152
2021-01-16,19018.0,1043
2021-01-23,18350.0,1035
2021-01-30,16896.0,979
2021-02-06,16098.0,998
2021-02-13,14079.0,800
2021-02-20,12591.0,773
2021-02-27,13344.0,1009
2021-03-06,13000.0,1051
2021-03-13,14077.0,877
2021-03-20,14574.0,1518
2021-03-27,15354.0,1449
2021-04-03,15993.0,1975
2021-04-10,18100.0,994
2021-04-17,19165.0,1083
2021-04-24,19305.0,978
2021-05-01,20099.0,962
2021-05-08,19930.0,954
2021-05-15,20367.0,827
2021-05-22,21262.0,904
2021-05-29,19675.0,848
2021-06-05,20143.0,880
2021-06-12,19182.0,873
2021-06-19,19579.0,1126
2021-06-26,19890.0,1032
2021-07-03,20092.0,825
2021-07-10,22371.0,821
2021-07-17,25261.0,839
2021-07-24,30545.0,994
2021-07-31,35195.0,1062
2021-08-07,37756.0,1014
2021-08-14,40067.0,1057
2021-08-21,42721.0,1111
2021-08-28,43058.0,1198
2021-09-04,40864.0,1197
2021-09-11,39421.0,1286
2021-09-18,36193.0,1444
2021-09-25,33976.0,1417
2021-10-02,29949.0,1520
2021-10-09,39535.0,1684
2021-10-16,37638.0,1653
2021-10-23,35714.0,1863
2021-10-30,36639.0,1227
2021-11-06,40030.0,1615
2021-11-13,44163.0,1655
2021-11-20,47076.0,2284
2021-11-27,43324.0,2293
2021-12-04,52729.0,2389
2021-12-11,55069.0,3037
2021-12-18,62545.0,3668
2021-12-25,79225.0,4234
2022-01-01,113862.0,4137
2022-01-08,93262.0,3213
2022-01-15,69183.0,2996
2022-01-22,48498.0,2266
2022-01-29,34810.0,2053
2022-02-05,25831.0,1729
2022-02-12,23731.0,1570
2022-02-19,23946.0,1536
2022-02-26,23609.0,1680
2022-03-05,25801.0,1636
2022-03-12,28077.0,1902
2022-03-19,31359.0,1798
2022-03-26,32423.0,1927
2022-04-02,34822.0,1928
2022-04-09,38144.0,2118
2022-04-16,40966.0,2252
2022-04-23,42086.0,2152
2022-04-30,43420.0,2134
2022-05-07,47799.0,2149
2022-05-14,52025.0,2312
2022-05-21,54081.0,2354
2022-05-28,52385.0,2208
2022-06-04,51863.0,2195
2022-06-11,45240.0,2136
2022-06-18,40250.0,1667
2022-06-25,37830.0,1679
2022-07-02,34566.0,1266
2022-07-09,34983.0,1941
2022-07-16,33011.0,1857
2022-07-23,32611.0,1780
2022-07-30,32040.0,1670
2022-08-06,29641.0,1654
2022-08-13,28642.0,1601
2022-08-20,31572.0,1491
2022-08-27,35787.0,1577
2022-09-03,37513.0,1604
2022-09-10,38334.0,2059
2022-09-17,39838.0,1853
2022-09-24,44726.0,2018
2022-10-01,46321.0,2097
2022-10-08,57318.0,2286
2022-10-15,63388.0,2484
2022-10-22,75615.0,2694
2022-10-29,109496.0,3244
2022-11-05,139247.0,4070
2022-11-12,140055.0,4434
2022-11-19,137419.0,4493
2022-11-26,164936.0,5036
2022-12-03,185673.0,6061
2022-12-10,167248.0,5653
2022-12-17,151672.0,4335
2022-12-24,129978.0,4585
2022-12-31,112531.0,4529
2023-01-07,92034.0,4514
2023-01-14,67720.0,3764
2023-01-21,57770.0,3616
2023-01-28,58231.0,3660
2023-02-04,59326.0,3221
2023-02-11,62258.0,3147
2023-02-18,59665.0,3122
2023-02-25,57223.0,2768
2023-03-04,55682.0,2752
2023-03-11,54686.0,3208
2023-03-18,54263.0,2853
2023-03-25,55394.0,2485
2023-04-01,53342.0,2359
2023-04-08,48355.0,2149
2023-04-15,46725.0,1997
2023-04-22,44507.0,1550
2023-04-29,44802.0,1506
2023-05-06,45582.0,1525
2023-05-13,45769.0,1959
2023-05-20,43287.0,1867
2023-05-27,41516.0,1662
2023-06-03,41589.0,1548
2023-06-10,36939.0,1506
2023-06-17,33880.0,1150
2023-06-24,30889.0,1030
2023-07-01,28486.0,957
2023-07-08,26648.0,1191
2023-07-15,25903.0,1261
2023-07-22,25802.0,1290
2023-07-29,26417.0,1188
2023-08-05,26896.0,1339
2023-08-12,29313.0,1443
2023-08-19,33663.0,1506
2023-08-26,40979.0,1639
2023-09-02,44411.0,2063
2023-09-09,44734.0,2322
2023-09-16,45287.0,2309
2023-09-23,48265.0,2491
2023-09-30,49269.0,2597
2023-10-07,56312.0,2579
2023-10-14,57524.0,2423
2023-10-21,62503.0,2499
2023-10-28,67635.0,2559
2023-11-04,72231.0,2513
2023-11-11,85459.0,2904
2023-11-18,90948.0,3137
2023-11-25,85524.0,3025
2023-12-02,103712.0,3705
2023-12-09,114141.0,3786
2023-12-16,135998.0,4320
2023-12-23,163265.0,4949
2023-12-30,166750.0,5517
2024-01-06,143938.0,5113
2024-01-13,118459.0,4772
2024-01-20,100098.0,3871
2024-01-27,105571.0,4149
2024-02-03,107922.0,4104
2024-02-10,112968.0,4078
2024-02-17,108366.0,4029
2024-02-24,107566.0,4122
2024-03-02,104864.0,4009
2024-03-09,94742.0,3775
2024-03-16,84963.0,3438
2024-03-23,78618.0,3322
2024-03-30,73845.0,3183
2024-04-06,68526.0,3081
2024-04-13,64449.0,2654
2024-04-20,57522.0,2431
2024-04-27,55413.0,2403
2024-05-04,53519.0,2179
2024-05-11,50457.0,2324
2024-05-18,49254.0,1989
2024-05-25,47562.0,1887
2024-06-01,44766.0,1843
2024-06-08,41248.0,1760
2024-06-15,37720.0,1715
2024-06-22,35781.0,1570
2024-06-29,35208.0,1609
2024-07-06,32093.0,1686
2024-07-13,34982.0,1829
2024-07-20,33474.0,1851
2024-07-27,34749.0,1918
2024-08-03,34935.0,2119
2024-08-10,34912.0,2445
2024-08-17,35347.0,2759
