date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,national_newu_ILITOTAL
2019-07-06,8549.0,433,9986
2019-07-13,8422.0,477,8549
2019-07-20,8111.0,416,8422
2019-07-27,7755.0,425,8111
2019-08-03,7874.0,414,7755
2019-08-10,8038.0,447,7874
2019-08-17,8987.0,411,8038
2019-08-24,10096.0,426,8987
2019-08-31,11817.0,486,10096
2019-09-07,13158.0,576,11817
2019-09-14,14831.0,688,13158
2019-09-21,15977.0,779,14831
2019-09-28,17414.0,803,15977
2019-10-05,21915.0,884,17414
2019-10-12,22953.0,919,21915
2019-10-19,24857.0,997,22953
2019-10-26,27419.0,1128,24857
2019-11-02,28910.0,1115,27419
2019-11-09,34586.0,1174,28910
2019-11-16,37728.0,1366,34586
2019-11-23,44148.0,1394,37728
2019-11-30,43817.0,1254,44148
2019-12-07,48877.0,1384,43817
2019-12-14,56444.0,1496,48877
2019-12-21,71584.0,1545,56444
2019-12-28,95757.0,1771,71584
2020-01-04,88681.0,1796,95757
2020-01-11,75585.0,1891,88681
2020-01-18,79746.0,1960,75585
2020-01-25,90072.0,2139,79746
2020-02-01,108307.0,2395,90072
2020-02-08,111289.0,2275,108307
2020-02-15,95418.0,2308,111289
2020-02-22,79832.0,2040,95418
2020-02-29,74809.0,2194,79832
2020-03-07,78779.0,2210,74809
2020-03-14,89571.0,3425,78779
2020-03-21,78584.0,4257,89571
2020-03-28,53142.0,3195,78584
2020-04-04,36251.0,1712,53142
2020-04-11,24974.0,828,36251
2020-04-18,18265.0,621,24974
2020-04-25,15164.0,480,18265
2020-05-02,12817.0,363,15164
2020-05-09,11066.0,315,12817
2020-05-16,10480.0,324,11066
2020-05-23,11735.0,405,10480
2020-05-30,9614.0,310,11735
2020-06-06,9325.0,314,9614
2020-06-13,9580.0,344,9325
2020-06-20,11866.0,280,9580
2020-06-27,15499.0,297,11866
2020-07-04,17843.0,340,15499
2020-07-11,20046.0,370,17843
2020-07-18,19260.0,333,20046
2020-07-25,16533.0,394,19260
2020-08-01,15524.0,323,16533
2020-08-08,14117.0,345,15524
2020-08-15,13193.0,380,14117
2020-08-22,12952.0,329,13193
2020-08-29,13159.0,341,12952
2020-09-05,12316.0,393,13159
2020-09-12,13035.0,404,12316
2020-09-19,13049.0,474,13035
2020-09-26,14586.0,520,13049
2020-10-03,16466.0,677,14586
2020-10-10,19144.0,653,16466
2020-10-17,17235.0,635,19144
2020-10-24,18133.0,683,17235
2020-10-31,18554.0,716,18133
2020-11-07,21370.0,782,18554
2020-11-14,22598.0,933,21370
2020-11-21,22709.0,928,22598
2020-11-28,21313.0,973,22709
2020-12-05,22251.0,1124,21313
2020-12-12,22103.0,1234,22251
2020-12-19,20874.0,994,22103
2020-12-26,19836.0,977,20874
2021-01-02,22423.0,1107,19836
2021-01-09,22711.0,1152,22423
2021-01-09,22711.0,1152,22711
2021-01-16,19018.0,1043,19018
2021-01-23,18350.0,1035,18350
2021-01-30,16896.0,979,16896
2021-02-06,16098.0,998,16098
2021-02-13,14079.0,800,14079
2021-02-20,12591.0,773,12591
2021-02-27,13344.0,1009,13344
2021-03-06,13000.0,1051,13000
2021-03-13,14077.0,877,14077
2021-03-20,14574.0,1518,14574
2021-03-27,15354.0,1449,15354
2021-04-03,15993.0,1975,15993
2021-04-10,18100.0,994,18100
2021-04-17,19165.0,1083,19165
2021-04-24,19305.0,978,19305
