date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,national_newu_ILITOTAL,colorado_new_ILITOTAL
2019-07-06,8549.0,433,9986,354
2019-07-13,8422.0,477,8549,387
2019-07-20,8111.0,416,8422,399
2019-07-27,7755.0,425,8111,338
2019-08-03,7874.0,414,7755,374
2019-08-10,8038.0,447,7874,361
2019-08-17,8987.0,411,8038,457
2019-08-24,10096.0,426,8987,550
2019-08-31,11817.0,486,10096,793
2019-09-07,13158.0,576,11817,773
2019-09-14,14831.0,688,13158,917
2019-09-21,15977.0,779,14831,918
2019-09-28,17414.0,803,15977,879
2019-10-05,21915.0,884,17414,870
2019-10-12,22953.0,919,21915,957
2019-10-19,24857.0,997,22953,979
2019-10-26,27419.0,1128,24857,1007
2019-11-02,28910.0,1115,27419,919
2019-11-09,34586.0,1174,28910,982
2019-11-16,37728.0,1366,34586,1112
2019-11-23,44148.0,1394,37728,1216
2019-11-30,43817.0,1254,44148,912
2019-12-07,48877.0,1384,43817,1465
2019-12-14,56444.0,1496,48877,1635
2019-12-21,71584.0,1545,56444,1943
2019-12-28,95757.0,1771,71584,2569
2020-01-04,88681.0,1796,95757,2178
2020-01-11,75585.0,1891,88681,2472
2020-01-18,79746.0,1960,75585,2403
2020-01-25,90072.0,2139,79746,2869
2020-02-01,108307.0,2395,90072,3136
2020-02-08,111289.0,2275,108307,2903
2020-02-15,95418.0,2308,111289,2373
2020-02-22,79832.0,2040,95418,2086
2020-02-29,74809.0,2194,79832,2046
2020-03-07,78779.0,2210,74809,2238
2020-03-14,89571.0,3425,78779,2793
2020-03-21,78584.0,4257,89571,1504
2020-03-28,53142.0,3195,78584,656
2020-04-04,36251.0,1712,53142,472
2020-04-11,24974.0,828,36251,325
2020-04-18,18265.0,621,24974,217
2020-04-25,15164.0,480,18265,192
2020-05-02,12817.0,363,15164,128
2020-05-09,11066.0,315,12817,107
2020-05-16,10480.0,324,11066,126
2020-05-23,11735.0,405,10480,105
2020-05-30,9614.0,310,11735,100
2020-06-06,9325.0,314,9614,63
2020-06-13,9580.0,344,9325,71
2020-06-20,11866.0,280,9580,74
2020-06-27,15499.0,297,11866,87
2020-07-04,17843.0,340,15499,96
2020-07-11,20046.0,370,17843,125
2020-07-18,19260.0,333,20046,125
2020-07-25,16533.0,394,19260,123
2020-08-01,15524.0,323,16533,113
2020-08-08,14117.0,345,15524,114
2020-08-15,13193.0,380,14117,145
2020-08-22,12952.0,329,13193,145
2020-08-29,13159.0,341,12952,135
2020-09-05,12316.0,393,13159,136
2020-09-12,13035.0,404,12316,157
2020-09-19,13049.0,474,13035,231
2020-09-26,14586.0,520,13049,254
2020-10-03,16466.0,677,14586,226
2020-10-10,19144.0,653,16466,342
2020-10-17,17235.0,635,19144,297
2020-10-24,18133.0,683,17235,326
2020-10-31,18554.0,716,18133,409
2020-11-07,21370.0,782,18554,410
2020-11-14,22598.0,933,21370,369
2020-11-21,22709.0,928,22598,351
2020-11-28,21313.0,973,22709,201
2020-12-05,22251.0,1124,21313,240
2020-12-12,22103.0,1234,22251,216
2020-12-19,20874.0,994,22103,177
2020-12-26,19836.0,977,20874,142
2021-01-02,22423.0,1107,19836,131
2021-01-09,22711.0,1152,22423,178
2021-01-09,22711.0,1152,22711,178
2021-01-16,19018.0,1043,19018,158
2021-01-23,18350.0,1035,18350,192
2021-01-30,16896.0,979,16896,230
2021-02-06,16098.0,998,16098,225
2021-02-13,14079.0,800,14079,245
2021-02-20,12591.0,773,12591,242
2021-02-27,13344.0,1009,13344,238
2021-03-06,13000.0,1051,13000,207
2021-03-13,14077.0,877,14077,269
2021-03-20,14574.0,1518,14574,190
2021-03-27,15354.0,1449,15354,205
2021-04-03,15993.0,1975,15993,252
2021-04-10,18100.0,994,18100,313
2021-04-17,19165.0,1083,19165,333
2021-04-24,19305.0,978,19305,376
2021-05-01,20099.0,962,20099,412
2021-05-08,19930.0,954,19930,388
2021-05-15,20367.0,827,20367,428
2021-05-22,21262.0,904,21262,412
2021-05-29,19675.0,848,19675,400
2021-06-05,20143.0,880,20143,391
2021-06-12,19182.0,873,19182,404
2021-06-19,19579.0,1126,19579,403
2021-06-26,19890.0,1032,19890,421
2021-07-03,20092.0,825,20092,443
2021-07-10,22371.0,821,22371,370
2021-07-17,25261.0,839,25261,452
2021-07-24,30545.0,994,30545,488
2021-07-31,35195.0,1062,35195,490
2021-08-07,37756.0,1014,37756,421
2021-08-14,40067.0,1057,40067,509
2021-08-21,42721.0,1111,42721,635
2021-08-28,43058.0,1198,43058,858
2021-09-04,40864.0,1197,40864,991
2021-09-11,39421.0,1286,39421,872
2021-09-18,36193.0,1444,36193,870
2021-09-25,33976.0,1417,33976,794
2021-10-02,29949.0,1520,29949,851
2021-10-09,39535.0,1684,39535,1012
2021-10-16,37638.0,1653,37638,1021
2021-10-23,35714.0,1863,35714,917
2021-10-30,36639.0,1227,36639,945
2021-11-06,40030.0,1615,40030,1056
2021-11-13,44163.0,1655,44163,1112
2021-11-20,47076.0,2284,47076,1123
2021-11-27,43324.0,2293,43324,887
2021-12-04,52729.0,2389,52729,1120
2021-12-11,55069.0,3037,55069,1134
2021-12-18,62545.0,3668,62545,1226
2021-12-25,79225.0,4234,79225,1224
2022-01-01,113862.0,4137,113862,1636
2022-01-08,93262.0,3213,93262,1535
2022-01-15,69183.0,2996,69183,1088
2022-01-22,48498.0,2266,48498,862
2022-01-29,34810.0,2053,34810,622
2022-02-05,25831.0,1729,25831,500
2022-02-12,23731.0,1570,23731,459
2022-02-19,23946.0,1536,23946,539
2022-02-26,23609.0,1680,23609,580
2022-03-05,25801.0,1636,25801,811
2022-03-12,28077.0,1902,28077,929
2022-03-19,31359.0,1798,31359,1126
2022-03-26,32423.0,1927,32423,1199
2022-04-02,34822.0,1928,34822,1231
