date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,national_newu_ILITOTAL,colorado_new_ILITOTAL,new_mexico_new_ILITOTAL
2019-07-06,8549.0,433,9986,354,88
2019-07-13,8422.0,477,8549,387,104
2019-07-20,8111.0,416,8422,399,100
2019-07-27,7755.0,425,8111,338,86
2019-08-03,7874.0,414,7755,374,91
2019-08-10,8038.0,447,7874,361,79
2019-08-17,8987.0,411,8038,457,110
2019-08-24,10096.0,426,8987,550,173
2019-08-31,11817.0,486,10096,793,165
2019-09-07,13158.0,576,11817,773,213
2019-09-14,14831.0,688,13158,917,180
2019-09-21,15977.0,779,14831,918,175
2019-09-28,17414.0,803,15977,879,191
2019-10-05,21915.0,884,17414,870,211
2019-10-12,22953.0,919,21915,957,260
2019-10-19,24857.0,997,22953,979,338
2019-10-26,27419.0,1128,24857,1007,383
2019-11-02,28910.0,1115,27419,919,366
2019-11-09,34586.0,1174,28910,982,495
2019-11-16,37728.0,1366,34586,1112,612
2019-11-23,44148.0,1394,37728,1216,799
2019-11-30,43817.0,1254,44148,912,656
2019-12-07,48877.0,1384,43817,1465,956
2019-12-14,56444.0,1496,48877,1635,1227
2019-12-21,71584.0,1545,56444,1943,1621
2019-12-28,95757.0,1771,71584,2569,3084
2020-01-04,88681.0,1796,95757,2178,2520
2020-01-11,75585.0,1891,88681,2472,2463
2020-01-18,79746.0,1960,75585,2403,2513
2020-01-25,90072.0,2139,79746,2869,2367
2020-02-01,108307.0,2395,90072,3136,2163
2020-02-08,111289.0,2275,108307,2903,1771
2020-02-15,95418.0,2308,111289,2373,1449
2020-02-22,79832.0,2040,95418,2086,1310
2020-02-29,74809.0,2194,79832,2046,1099
2020-03-07,78779.0,2210,74809,2238,1262
2020-03-14,89571.0,3425,78779,2793,1406
2020-03-21,78584.0,4257,89571,1504,1144
2020-03-28,53142.0,3195,78584,656,663
2020-04-04,36251.0,1712,53142,472,393
2020-04-11,24974.0,828,36251,325,272
2020-04-18,18265.0,621,24974,217,253
2020-04-25,15164.0,480,18265,192,204
2020-05-02,12817.0,363,15164,128,171
2020-05-09,11066.0,315,12817,107,190
2020-05-16,10480.0,324,11066,126,174
2020-05-23,11735.0,405,10480,105,136
2020-05-30,9614.0,310,11735,100,111
2020-06-06,9325.0,314,9614,63,79
2020-06-13,9580.0,344,9325,71,106
2020-06-20,11866.0,280,9580,74,85
2020-06-27,15499.0,297,11866,87,123
2020-07-04,17843.0,340,15499,96,149
2020-07-11,20046.0,370,17843,125,147
2020-07-18,19260.0,333,20046,125,154
2020-07-25,16533.0,394,19260,123,144
2020-08-01,15524.0,323,16533,113,117
2020-08-08,14117.0,345,15524,114,132
2020-08-15,13193.0,380,14117,145,128
2020-08-22,12952.0,329,13193,145,128
2020-08-29,13159.0,341,12952,135,113
2020-09-05,12316.0,393,13159,136,130
2020-09-12,13035.0,404,12316,157,120
2020-09-19,13049.0,474,13035,231,145
2020-09-26,14586.0,520,13049,254,179
2020-10-03,16466.0,677,14586,226,168
2020-10-10,19144.0,653,16466,342,231
2020-10-17,17235.0,635,19144,297,299
2020-10-24,18133.0,683,17235,326,334
2020-10-31,18554.0,716,18133,409,345
2020-11-07,21370.0,782,18554,410,404
2020-11-14,22598.0,933,21370,369,426
2020-11-21,22709.0,928,22598,351,498
2020-11-28,21313.0,973,22709,201,344
2020-12-05,22251.0,1124,21313,240,317
2020-12-12,22103.0,1234,22251,216,657
2020-12-19,20874.0,994,22103,177,527
2020-12-26,19836.0,977,20874,142,504
2021-01-02,22423.0,1107,19836,131,299
2021-01-09,22711.0,1152,22423,178,297
2021-01-09,22711.0,1152,22711,178,297
2021-01-16,19018.0,1043,19018,158,252
2021-01-23,18350.0,1035,18350,192,255
2021-01-30,16896.0,979,16896,230,221
2021-02-06,16098.0,998,16098,225,172
2021-02-13,14079.0,800,14079,245,198
2021-02-20,12591.0,773,12591,242,187
2021-02-27,13344.0,1009,13344,238,177
2021-03-06,13000.0,1051,13000,207,156
2021-03-13,14077.0,877,14077,269,219
2021-03-20,14574.0,1518,14574,190,198
2021-03-27,15354.0,1449,15354,205,179
2021-04-03,15993.0,1975,15993,252,205
2021-04-10,18100.0,994,18100,313,247
2021-04-17,19165.0,1083,19165,333,230
2021-04-24,19305.0,978,19305,376,229
2021-05-01,20099.0,962,20099,412,311
2021-05-08,19930.0,954,19930,388,241
2021-05-15,20367.0,827,20367,428,213
2021-05-22,21262.0,904,21262,412,193
2021-05-29,19675.0,848,19675,400,221
2021-06-05,20143.0,880,20143,391,250
2021-06-12,19182.0,873,19182,404,252
2021-06-19,19579.0,1126,19579,403,222
2021-06-26,19890.0,1032,19890,421,208
2021-07-03,20092.0,825,20092,443,222
2021-07-10,22371.0,821,22371,370,262
2021-07-17,25261.0,839,25261,452,258
2021-07-24,30545.0,994,30545,488,389
2021-07-31,35195.0,1062,35195,490,389
2021-08-07,37756.0,1014,37756,421,488
2021-08-14,40067.0,1057,40067,509,609
2021-08-21,42721.0,1111,42721,635,725
2021-08-28,43058.0,1198,43058,858,847
2021-09-04,40864.0,1197,40864,991,743
