date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,value_pathogen_RSV_Region_10_Negatives_Value,value_pathogen_RSV_National_Negatives_Value
2019-07-06,8549.0,433,400,7110
2019-07-13,8422.0,477,392,7443
2019-07-20,8111.0,416,359,6863
2019-07-27,7755.0,425,299,6486
2019-08-03,7874.0,414,363,6550
2019-08-10,8038.0,447,270,6697
2019-08-17,8987.0,411,266,6804
2019-08-24,10096.0,426,267,6897
2019-08-31,11817.0,486,287,7932
2019-09-07,13158.0,576,309,8891
2019-09-14,14831.0,688,446,10359
2019-09-21,15977.0,779,544,10928
2019-09-28,17414.0,803,1073,12254
2019-10-05,21915.0,884,1387,14281
2019-10-12,22953.0,919,1853,15826
2019-10-19,24857.0,997,1739,16806
2019-10-26,27419.0,1128,1710,16442
2019-11-02,28910.0,1115,1802,17275
2019-11-09,34586.0,1174,1824,18886
2019-11-16,37728.0,1366,1885,19213
2019-11-23,44148.0,1394,2055,21207
2019-11-30,43817.0,1254,2138,19791
2019-12-07,48877.0,1384,2694,23540
2019-12-14,56444.0,1496,3381,24852
2019-12-21,71584.0,1545,4112,28582
2019-12-28,95757.0,1771,4099,31303
2020-01-04,88681.0,1796,4255,33498
2020-01-11,75585.0,1891,3780,32875
2020-01-18,79746.0,1960,3449,32638
2020-01-25,90072.0,2139,3570,35075
2020-02-01,108307.0,2395,3494,37542
2020-02-08,111289.0,2275,3323,37909
2020-02-15,95418.0,2308,3259,37194
2020-02-22,79832.0,2040,3072,35283
2020-02-29,74809.0,2194,3795,35973
2020-03-07,78779.0,2210,4969,38242
2020-03-14,89571.0,3425,6301,47610
2020-03-21,78584.0,4257,4416,53078
2020-03-28,53142.0,3195,3560,35341
2020-04-04,36251.0,1712,2277,23275
2020-04-11,24974.0,828,1708,15420
2020-04-18,18265.0,621,1142,11703
2020-04-25,15164.0,480,1050,10304
2020-05-02,12817.0,363,751,8650
2020-05-09,11066.0,315,682,7426
2020-05-16,10480.0,324,615,7066
2020-05-23,11735.0,405,496,6609
2020-05-30,9614.0,310,400,5731
2020-06-06,9325.0,314,393,5744
2020-06-13,9580.0,344,334,5664
2020-06-20,11866.0,280,350,5620
2020-06-27,15499.0,297,281,5570
2020-07-04,17843.0,340,318,6655
2020-07-11,20046.0,370,330,7569
2020-07-18,19260.0,333,308,7965
2020-07-25,16533.0,394,215,7763
2020-08-01,15524.0,323,218,7324
2020-08-08,14117.0,345,181,6110
2020-08-15,13193.0,380,231,6823
2020-08-22,12952.0,329,286,6799
2020-08-29,13159.0,341,240,6794
2020-09-05,12316.0,393,210,7055
2020-09-12,13035.0,404,234,7542
2020-09-19,13049.0,474,357,8358
2020-09-26,14586.0,520,387,9330
2020-10-03,16466.0,677,570,10507
2020-10-10,19144.0,653,775,12249
2020-10-17,17235.0,635,791,12493
2020-10-24,18133.0,683,903,13632
2020-10-31,18554.0,716,993,14991
2020-11-07,21370.0,782,1599,17245
2020-11-14,22598.0,933,2130,20669
2020-11-21,22709.0,928,2747,23186
2020-11-28,21313.0,973,2612,22115
2020-12-05,22251.0,1124,3018,24712
2020-12-12,22103.0,1234,2741,24019
2020-12-19,20874.0,994,2643,22608
2020-12-26,19836.0,977,2485,21673
2021-01-02,22423.0,1107,2740,22509
2021-01-09,22711.0,1152,2829,24267
2021-01-16,19018.0,1043,2728,23689
2021-01-23,18350.0,1035,2602,23420
2021-01-30,16896.0,979,2748,22782
2021-02-06,16098.0,998,2706,23049
2021-02-13,14079.0,800,1565,21581
2021-02-20,12591.0,773,2272,20424
2021-02-27,13344.0,1009,2304,22040
2021-03-06,13000.0,1051,2150,22276
2021-03-13,14077.0,877,1991,22408
2021-03-20,14574.0,1518,1894,22663
2021-03-27,15354.0,1449,2101,23697
2021-04-03,15993.0,1975,2024,23623
2021-04-10,18100.0,994,2043,23237
2021-04-17,19165.0,1083,2175,23283
2021-04-24,19305.0,978,2373,22410
2021-05-01,20099.0,962,2190,22440
2021-05-08,19930.0,954,2177,21224
2021-05-15,20367.0,827,2212,19838
2021-05-22,21262.0,904,2024,18884
2021-05-29,19675.0,848,1650,16894
2021-06-05,20143.0,880,1857,16059
2021-06-12,19182.0,873,1666,16161
2021-06-19,19579.0,1126,1696,16936
2021-06-26,19890.0,1032,1654,15714
2021-07-03,20092.0,825,1003,14816
2021-07-10,22371.0,821,1663,19015
2021-07-17,25261.0,839,1711,20272
2021-07-24,30545.0,994,1890,20299
2021-07-31,35195.0,1062,2249,20842
2021-08-07,37756.0,1014,2546,21870
2021-08-14,40067.0,1057,2601,23661
2021-08-21,42721.0,1111,2774,23293
2021-08-28,43058.0,1198,2625,27579
2021-09-04,40864.0,1197,2664,27299
2021-09-11,39421.0,1286,2646,28476
2021-09-18,36193.0,1444,2988,30911
2021-09-25,33976.0,1417,3309,30400
2021-10-02,29949.0,1520,3185,32157
2021-10-09,39535.0,1684,3321,33431
2021-10-16,37638.0,1653,3977,33382
2021-10-23,35714.0,1863,3823,35591
2021-10-30,36639.0,1227,3761,37971
2021-11-06,40030.0,1615,3724,42251
2021-11-13,44163.0,1655,3947,45754
2021-11-20,47076.0,2284,3823,53576
2021-11-27,43324.0,2293,3976,54654
2021-12-04,52729.0,2389,4714,60097
2021-12-11,55069.0,3037,4711,70931
2021-12-18,62545.0,3668,3926,81501
2021-12-25,79225.0,4234,5633,91366
2022-01-01,113862.0,4137,6534,97992
2022-01-08,93262.0,3213,7707,101950
2022-01-15,69183.0,2996,6492,86529
2022-01-22,48498.0,2266,5164,67025
2022-01-29,34810.0,2053,5176,54289
2022-02-05,25831.0,1729,3787,47814
2022-02-12,23731.0,1570,2827,44175
2022-02-19,23946.0,1536,2747,43120
2022-02-26,23609.0,1680,2584,41249
2022-03-05,25801.0,1636,3291,40715
2022-03-12,28077.0,1902,3128,43329
2022-03-19,31359.0,1798,3092,43684
2022-03-26,32423.0,1927,3498,44412
2022-04-02,34822.0,1928,3580,44699
2022-04-09,38144.0,2118,3514,48198
2022-04-16,40966.0,2252,3783,49314
2022-04-23,42086.0,2152,3268,49461
2022-04-30,43420.0,2134,3599,53065
2022-05-07,47799.0,2149,3979,54785
2022-05-14,52025.0,2312,4371,59823
2022-05-21,54081.0,2354,4330,60414
2022-05-28,52385.0,2208,4385,60311
2022-06-04,51863.0,2195,4196,55777
2022-06-11,45240.0,2136,5286,55149
2022-06-18,40250.0,1667,3842,47846
2022-06-25,37830.0,1679,3765,45944
2022-07-02,34566.0,1266,3119,42282
2022-07-09,34983.0,1941,3581,46665
2022-07-16,33011.0,1857,3213,47082
2022-07-23,32611.0,1780,3158,47916
2022-07-30,32040.0,1670,3212,44176
2022-08-06,29641.0,1654,2715,43482
2022-08-13,28642.0,1601,3077,41171
2022-08-20,31572.0,1491,2927,42473
2022-08-27,35787.0,1577,1902,44316
2022-09-03,37513.0,1604,2446,46583
2022-09-10,38334.0,2059,2503,46537
2022-09-17,39838.0,1853,2873,47633
2022-09-24,44726.0,2018,3454,50581
2022-10-01,46321.0,2097,4302,48929
2022-10-08,57318.0,2286,4108,49705
2022-10-15,63388.0,2484,4256,53360
2022-10-22,75615.0,2694,4923,58307
2022-10-29,109496.0,3244,5438,68135
2022-11-05,139247.0,4070,6295,79637
2022-11-12,140055.0,4434,5847,85395
2022-11-19,137419.0,4493,8771,98225
2022-11-26,164936.0,5036,9016,103669
2022-12-03,185673.0,6061,12677,127878
2022-12-10,167248.0,5653,11707,127128
2022-12-17,151672.0,4335,10176,123193
2022-12-24,129978.0,4585,7927,105394
2022-12-31,112531.0,4529,9623,99606
2023-01-07,92034.0,4514,8227,88306
2023-01-14,67720.0,3764,6355,78682
2023-01-21,57770.0,3616,5568,72270
2023-01-28,58231.0,3660,5721,72850
2023-02-04,59326.0,3221,6726,71364
2023-02-11,62258.0,3147,7063,72376
2023-02-18,59665.0,3122,6805,68953
2023-02-25,57223.0,2768,5984,66781
2023-03-04,55682.0,2752,5943,64809
2023-03-11,54686.0,3208,5819,62905
2023-03-18,54263.0,2853,6012,61780
2023-03-25,55394.0,2485,5781,60912
2023-04-01,53342.0,2359,5515,57813
2023-04-08,48355.0,2149,4839,55868
2023-04-15,46725.0,1997,4477,46562
2023-04-22,44507.0,1550,4302,42807
2023-04-29,44802.0,1506,3895,40903
2023-05-06,45582.0,1525,4049,38881
2023-05-13,45769.0,1959,3719,38086
2023-05-20,43287.0,1867,3855,37452
2023-05-27,41516.0,1662,3556,34033
2023-06-03,41589.0,1548,3539,33070
2023-06-10,36939.0,1506,2700,30407
2023-06-17,33880.0,1150,2834,27679
2023-06-24,30889.0,1030,2660,25643
2023-07-01,28486.0,957,2639,23268
2023-07-08,26648.0,1191,2495,27264
2023-07-15,25903.0,1261,2620,25114
2023-07-22,25802.0,1290,2704,25019
2023-07-29,26417.0,1188,2632,25845
2023-08-05,26896.0,1339,2821,27167
2023-08-12,29313.0,1443,2834,29029
2023-08-19,33663.0,1506,2913,32238
2023-08-26,40979.0,1639,3036,37944
2023-09-02,44411.0,2063,3300,41350
2023-09-09,44734.0,2322,3580,44475
2023-09-16,45287.0,2309,4262,47621
2023-09-23,48265.0,2491,4935,51434
2023-09-30,49269.0,2597,5579,52011
2023-10-07,56312.0,2579,5724,51383
2023-10-14,57524.0,2423,5767,51800
