date,ILITOTAL,value_pathogen_RSV_Region_3_Negatives_Value,value_pathogen_RSV_Region_10_Negatives_Value,value_pathogen_RSV_National_Negatives_Value,value_pathogen_RV_EV_National_Negatives_Value
2019-07-06,8549.0,433,400,7110,5087
2019-07-13,8422.0,477,392,7443,5508
2019-07-20,8111.0,416,359,6863,5019
2019-07-27,7755.0,425,299,6486,4784
2019-08-03,7874.0,414,363,6550,4875
2019-08-10,8038.0,447,270,6697,4761
2019-08-17,8987.0,411,266,6804,4819
2019-08-24,10096.0,426,267,6897,4668
2019-08-31,11817.0,486,287,7932,4940
2019-09-07,13158.0,576,309,8891,5156
2019-09-14,14831.0,688,446,10359,5782
2019-09-21,15977.0,779,544,10928,5846
2019-09-28,17414.0,803,1073,12254,6473
2019-10-05,21915.0,884,1387,14281,7678
2019-10-12,22953.0,919,1853,15826,8266
2019-10-19,24857.0,997,1739,16806,8563
2019-10-26,27419.0,1128,1710,16442,8674
2019-11-02,28910.0,1115,1802,17275,9219
2019-11-09,34586.0,1174,1824,18886,10181
2019-11-16,37728.0,1366,1885,19213,10437
2019-11-23,44148.0,1394,2055,21207,11698
2019-11-30,43817.0,1254,2138,19791,11013
2019-12-07,48877.0,1384,2694,23540,12959
2019-12-14,56444.0,1496,3381,24852,13197
2019-12-21,71584.0,1545,4112,28582,14724
2019-12-28,95757.0,1771,4099,31303,14833
2020-01-04,88681.0,1796,4255,33498,16742
2020-01-11,75585.0,1891,3780,32875,16647
2020-01-18,79746.0,1960,3449,32638,15965
2020-01-25,90072.0,2139,3570,35075,16737
2020-02-01,108307.0,2395,3494,37542,17344
2020-02-08,111289.0,2275,3323,37909,16465
2020-02-15,95418.0,2308,3259,37194,16277
2020-02-22,79832.0,2040,3072,35283,15398
2020-02-29,74809.0,2194,3795,35973,15567
2020-03-07,78779.0,2210,4969,38242,17133
2020-03-14,89571.0,3425,6301,47610,22530
2020-03-21,78584.0,4257,4416,53078,25700
2020-03-28,53142.0,3195,3560,35341,18287
2020-04-04,36251.0,1712,2277,23275,12589
2020-04-11,24974.0,828,1708,15420,9690
2020-04-18,18265.0,621,1142,11703,7771
2020-04-25,15164.0,480,1050,10304,7284
2020-05-02,12817.0,363,751,8650,7043
2020-05-09,11066.0,315,682,7426,5632
2020-05-16,10480.0,324,615,7066,5429
2020-05-23,11735.0,405,496,6609,5362
2020-05-30,9614.0,310,400,5731,4655
2020-06-06,9325.0,314,393,5744,4790
